protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.94503,0.429511,53,2871,4609,4609,0,1137.427456,0.388997,0.647598,8082,217759,118609,2615,1734,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.872727,0.941409,0.39104,48,2860,4123,2970,1153,923.036672,0.317413,0.462169,9482,192545,97824,2001,0,1130,23,31,24,0,0,0.0,0.279651,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.872727,0.966425,0.927198,48,2936,3395,2645,750,776.39168,0.260185,0.434257,8244,158111,79575,1459,749,735,15,40,15,0,7,0.9501,0.220913,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.927273,0.921988,0.541965,51,2801,4814,2571,2243,1499.887616,0.525907,0.417315,6924,228962,91094,1482,735,2200,43,5,50,85,7,0.973219,0.465933,1,95,82.762186,0
meshtastic-like,2,1200.0,125,69,56,0.971014,0.978134,0.450524,67,2684,5082,5082,0,1254.156288,0.455891,0.589125,8587,240431,127398,2638,1827,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.521739,0.952624,0.383097,36,2614,3566,2714,852,810.235904,0.305749,0.403147,7878,166856,82862,1823,0,834,18,28,41,0,0,0.0,0.238923,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.434783,0.954446,0.934039,30,2619,3000,2448,552,695.13216,0.262413,0.425123,6761,140239,70671,1709,703,541,11,22,47,89,5,0.94712,0.184,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.942029,0.925292,5.388934,65,2539,5355,2695,2660,1691.37664,0.64953,0.66027,7870,254525,107869,1900,792,2609,51,1,68,438,6,0.966558,0.496732,3,108,93.241121,0
meshtastic-like,3,1200.0,125,79,46,0.974684,0.913043,0.622233,77,2058,4831,4831,0,1192.213504,0.558414,0.393133,8792,227927,121684,2961,1933,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.670886,0.978261,0.352546,53,2205,3209,2305,904,717.874176,0.317925,0.296213,8305,148936,72956,1694,0,885,19,37,42,0,0,0.0,0.281708,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.493671,0.978261,0.686631,39,2205,2614,2019,595,596.350976,0.265754,0.2888,6406,121680,59635,1264,556,583,12,32,47,37,4,0.942866,0.227621,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.962025,0.955634,1.457268,76,2154,5564,2156,3408,1847.934976,0.82867,0.394427,8193,264443,103950,1936,675,3347,61,2,77,276,17,0.965027,0.612509,3,118,111.454982,0
meshtastic-like,4,1200.0,123,53,70,0.962264,0.913703,0.966495,51,3134,4525,4525,0,1116.6976,0.350611,0.736501,9264,212412,121347,3636,2197,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.622642,0.954227,0.390276,33,3273,4271,3370,901,980.204544,0.296493,0.365252,8825,200307,94773,2216,0,883,18,22,31,0,0,0.0,0.210958,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.622642,0.968222,1.209811,33,3321,3706,2909,797,849.291264,0.253217,0.432157,8617,172830,89878,2203,1015,782,15,25,28,34,8,0.951268,0.215057,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.981132,0.965889,4.764235,52,3313,5141,3021,2120,1563.853824,0.464741,0.590553,8238,243671,105992,2144,1027,2081,39,5,48,189,6,0.968799,0.412371,5,93,86.453324,0
meshtastic-like,5,1200.0,105,54,51,0.944444,0.980392,0.693271,51,2450,4197,4197,0,1035.752448,0.414135,0.39578,7568,198085,110000,2548,1741,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.407407,1.0,0.39666,22,2499,3254,2576,678,747.493376,0.296507,0.275045,6516,152930,73264,1643,0,664,14,16,38,0,0,0.0,0.208359,0,0,0.0,-1
calm-mesh,5,1200.0,105,54,51,0.851852,0.966787,1.05323,46,2416,3036,2304,732,689.270784,0.279964,0.284692,7392,141372,71258,1320,663,718,14,34,20,111,9,0.950711,0.241107,0,0,0.0,-1
smart-calm,5,1200.0,105,54,51,0.944444,0.965986,2.040901,51,2414,4441,2295,2146,1394.607104,0.565764,0.283904,6617,210992,84260,1346,574,2106,40,6,48,119,11,0.96622,0.483224,11,94,80.282965,0
meshtastic-like,6,1200.0,107,62,45,0.951613,0.931973,0.532811,59,2055,4041,4041,0,997.254144,0.471738,0.683362,7593,190416,104518,2682,1652,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,107,62,45,0.790323,0.910658,0.372945,49,2008,3182,2083,1099,695.236608,0.337986,0.526285,8553,147365,75697,1874,0,1075,24,35,27,0,0,0.0,0.34538,0,0,0.0,-1
calm-mesh,6,1200.0,107,62,45,0.870968,0.9678,0.785238,54,2134,2652,1951,701,597.045248,0.272873,0.398554,7423,122525,60929,1375,621,687,14,42,20,41,8,0.951809,0.264329,0,0,0.0,-1
smart-calm,6,1200.0,107,62,45,0.983871,0.888889,5.112576,61,1960,4676,2176,2500,1501.323264,0.742862,0.473717,6328,222747,83929,1294,591,2451,49,0,62,459,4,0.98,0.534645,1,101,85.956708,0
meshtastic-like,7,1200.0,128,68,60,0.970588,0.933333,0.420956,66,2744,4925,4925,0,1215.4112,0.432531,0.451084,9076,232249,124829,3102,1972,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,128,68,60,0.720588,0.95,0.361179,49,2793,3905,2905,1000,881.77152,0.310264,0.455573,9094,182251,87951,2084,0,980,20,34,34,0,0,0.0,0.256082,0,0,0.0,-1
calm-mesh,7,1200.0,128,68,60,0.955882,0.966667,0.713062,65,2842,3238,2538,700,741.742592,0.255157,0.363553,8966,149696,73077,1530,764,686,14,54,14,0,6,0.945195,0.216183,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,1.0,0.905102,2.176534,68,2661,5103,2419,2684,1632.627712,0.598251,0.466166,8014,242033,97202,1683,682,2633,51,13,55,57,5,0.96695,0.525965,1,108,108.725848,0
meshtastic-like,8,1200.0,125,63,62,0.952381,0.967413,0.514969,60,2939,4917,4917,0,1213.436928,0.404614,0.438324,8909,232024,127890,3030,1900,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.619048,0.967742,0.398966,39,2940,3995,3044,951,907.99616,0.304799,0.270764,8296,187459,89609,1595,0,932,19,24,39,0,0,0.0,0.238048,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.761905,0.983871,0.788,48,2989,3437,2737,700,790.852608,0.260406,0.28089,7869,160544,76451,1245,653,686,14,39,24,0,6,0.945144,0.203666,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,1.0,0.901251,0.744039,63,2738,5531,2553,2978,1779.723264,0.635389,0.454018,8219,262800,106577,1992,737,2924,54,2,61,118,7,0.978384,0.53842,7,103,106.797018,0
meshtastic-like,9,1200.0,127,58,69,0.948276,0.968353,0.604735,55,3274,4843,4843,0,1195.174912,0.359019,0.563433,9349,227958,125312,3381,2147,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.672414,0.966282,0.365148,39,3267,4276,3374,902,981.356544,0.296841,0.526621,9281,200243,97215,2314,0,883,19,32,26,0,0,0.0,0.210945,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.862069,0.980183,0.915465,50,3314,3814,3013,801,875.616256,0.26029,0.381702,8947,177939,86652,1655,867,785,16,38,20,41,9,0.94812,0.210016,0,0,0.0,-1
smart-calm,9,1200.0,127,58,69,0.965517,0.936705,8.717964,56,3167,5316,3369,1947,1582.915584,0.491131,0.623469,8415,252069,108593,2224,1195,1911,36,1,57,688,8,0.98,0.366253,3,98,85.155947,0
meshtastic-like,10,1200.0,133,72,61,0.930556,0.917364,0.869751,67,2742,4928,4928,0,1216.151552,0.432948,0.464087,9147,232325,132047,3151,2062,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,133,72,61,0.694444,0.983607,0.358892,50,2940,4008,3058,950,911.286272,0.304778,0.320238,9057,187335,90041,1809,0,931,19,39,33,0,0,0.0,0.237026,0,0,0.0,-1
calm-mesh,10,1200.0,133,72,61,0.847222,0.983607,0.740935,61,2940,3418,2720,698,786.327552,0.262022,0.318877,8754,158728,78401,1451,745,684,14,54,18,40,7,0.948596,0.204213,0,0,0.0,-1
smart-calm,10,1200.0,133,72,61,0.972222,0.940448,1.151493,70,2811,5725,2540,3185,1855.47264,0.644038,0.439811,8118,272407,106775,1678,758,3123,62,4,68,56,8,0.971844,0.556332,7,112,109.349625,0
meshtastic-like,11,1200.0,140,66,74,0.939394,0.94567,0.455554,62,3429,5392,5392,0,1330.659328,0.381169,0.572287,9851,254357,137411,3384,2169,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,11,1200.0,140,66,74,0.818182,0.930778,0.381118,54,3375,4710,3509,1201,1063.96672,0.310285,0.395846,10770,220020,104713,2356,0,1177,24,37,29,0,0,0.0,0.254989,0,0,0.0,-1
calm-mesh,11,1200.0,140,66,74,0.742424,0.949807,0.750249,49,3444,3824,3072,752,882.098176,0.252533,0.54147,9468,177908,91311,2325,1033,736,16,41,25,41,8,0.945025,0.196653,0,0,0.0,-1
smart-calm,11,1200.0,140,66,74,0.984848,0.88941,8.006833,65,3225,5574,3569,2005,1653.549056,0.502598,0.581294,8749,264377,106341,1781,1027,1963,42,8,58,730,4,0.94481,0.359706,3,106,125.649326,0
meshtastic-like,12,1200.0,132,63,69,0.888889,0.983437,0.744967,56,3325,5044,5044,0,1244.778496,0.368169,0.60008,9889,237267,131057,3830,2150,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,12,1200.0,132,63,69,0.555556,0.980479,0.378675,35,3315,4251,3403,848,979.610624,0.292421,0.500756,8759,199540,98770,2144,0,829,19,26,37,0,0,0.0,0.199482,0,0,0.0,-1
calm-mesh,12,1200.0,132,63,69,0.698413,0.977226,1.016145,44,3304,3760,3016,744,866.95936,0.258948,0.493144,8707,175533,91819,1876,945,730,14,35,28,85,8,0.955559,0.197872,0,0,0.0,-1
smart-calm,12,1200.0,132,63,69,0.952381,0.931973,0.810639,60,3151,5816,3096,2720,1813.520384,0.564784,0.457923,8222,276762,112959,1915,884,2668,52,0,63,284,12,0.972549,0.467675,3,103,98.087826,0
meshtastic-like,13,1200.0,129,63,66,0.936508,0.893321,0.863152,59,2889,4785,4785,0,1180.86144,0.400564,0.441509,8719,225746,123218,2951,1899,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,13,1200.0,129,63,66,0.698413,0.924242,0.3648,44,2989,4160,3108,1052,940.4416,0.31007,0.32623,9192,194648,90910,1885,0,1030,22,33,30,0,0,0.0,0.252885,0,0,0.0,-1
calm-mesh,13,1200.0,129,63,66,0.84127,0.969079,0.894107,53,3134,3654,2902,752,840.144896,0.263616,0.408083,8850,170196,80979,1562,818,737,15,46,17,90,9,0.952596,0.205802,0,0,0.0,-1
smart-calm,13,1200.0,129,63,66,0.984127,0.943723,3.104023,62,3052,5650,3089,2561,1751.11168,0.562335,0.506205,8522,268328,111303,1955,822,2515,46,3,60,374,12,0.959686,0.453274,3,102,100.331853,0
meshtastic-like,14,1200.0,114,46,68,0.978261,0.953481,0.46248,45,3177,4587,4587,0,1131.998208,0.351334,0.581862,7644,216580,115088,2276,1612,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,14,1200.0,114,46,68,0.913043,0.991597,0.403797,42,3304,4393,3392,1001,1002.120192,0.299498,0.577271,9642,205615,100965,2338,0,981,20,25,21,0,0,0.0,0.227863,0,0,0.0,-1
calm-mesh,14,1200.0,114,46,68,0.826087,0.982293,0.816485,38,3273,3702,2953,749,852.236288,0.257395,0.46801,8494,172904,86736,1839,887,735,14,31,15,1,8,0.956679,0.202323,0,0,0.0,-1
smart-calm,14,1200.0,114,46,68,0.978261,0.918968,0.688542,45,3062,4977,2816,2161,1529.259008,0.492198,0.501353,7193,235798,97011,1646,826,2122,39,0,46,101,6,0.98,0.434197,4,86,81.182674,2
meshtastic-like,15,1200.0,135,68,67,0.911765,0.891563,0.768547,62,2927,5093,5093,0,1256.870912,0.420499,0.565841,8879,240678,131048,2915,1890,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,15,1200.0,135,68,67,0.397059,0.908925,0.381118,27,2984,3861,3075,786,888.443904,0.295066,0.422868,7676,181513,88467,1788,0,767,19,16,52,0,0,0.0,0.203574,0,0,0.0,-1
calm-mesh,15,1200.0,135,68,67,0.720588,0.919281,1.050089,49,3018,3776,2898,878,859.930624,0.280382,0.574772,9289,175735,91879,2221,903,863,15,37,31,122,12,0.934268,0.232521,0,0,0.0,-1
smart-calm,15,1200.0,135,68,67,0.955882,0.952787,9.001461,65,3128,4304,3256,1048,1207.668736,0.378224,0.763533,9017,201879,87191,1866,997,1027,21,35,33,410,9,0.939882,0.243494,4,108,97.551523,1
meshtastic-like,16,1200.0,121,53,68,0.943396,0.941777,0.385713,50,3138,4718,4718,0,1164.326912,0.365222,0.61921,8263,222919,120666,2684,1691,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,16,1200.0,121,53,68,0.735849,0.938475,0.382057,39,3127,4027,3225,802,928.099328,0.293146,0.562752,8672,188651,94076,2059,0,786,16,26,27,0,0,0.0,0.199156,0,0,0.0,-1
calm-mesh,16,1200.0,121,53,68,0.867925,0.981693,0.858593,46,3271,3511,2861,650,813.210624,0.245164,0.550369,8601,163438,82412,1787,933,637,13,40,13,0,5,0.952041,0.185132,0,0,0.0,-1
smart-calm,16,1200.0,121,53,68,1.0,0.896759,0.790913,53,2988,5158,2684,2474,1616.996352,0.531732,0.643131,7830,244912,104894,2026,883,2427,47,0,53,87,6,0.969787,0.479643,3,93,92.907184,0
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.662572,49,2597,4164,4164,0,1027.608576,0.388363,0.296779,7286,196750,106736,2284,1563,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,17,1200.0,107,53,54,0.754717,0.99811,0.41367,40,2641,3741,2739,1002,841.135104,0.313739,0.360331,8535,174774,85124,1755,0,981,21,25,28,0,0,0.0,0.267843,0,0,0.0,-1
calm-mesh,17,1200.0,107,53,54,0.660377,0.997732,0.967135,35,2640,2990,2339,651,684.55424,0.255908,0.373507,7259,139251,70936,1525,674,637,14,29,24,0,5,0.927845,0.217726,0,0,0.0,-1
smart-calm,17,1200.0,107,53,54,0.981132,0.99093,0.683989,52,2622,4825,2503,2322,1513.7024,0.566082,0.343991,7060,229365,94050,1716,705,2278,44,0,53,232,9,0.969091,0.481244,3,93,84.656844,0
meshtastic-like,18,1200.0,122,67,55,0.985075,0.97885,0.568981,66,2638,4891,4891,0,1207.020544,0.446383,0.554236,8646,231013,123743,2780,1869,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,18,1200.0,122,67,55,0.880597,0.963636,0.359948,59,2597,3865,2717,1148,859.776,0.323711,0.377812,10180,179205,87968,2403,0,1125,23,44,23,0,0,0.0,0.297025,0,0,0.0,-1
calm-mesh,18,1200.0,122,67,55,0.880597,0.945455,0.708009,59,2548,3068,2367,701,699.707392,0.268396,0.282156,8568,141764,69857,1465,573,686,15,52,15,0,6,0.928679,0.228488,0,0,0.0,-1
smart-calm,18,1200.0,122,67,55,0.955224,0.956586,2.488044,64,2578,3566,2353,1213,1048.520704,0.396866,0.37341,7881,166853,74467,1456,649,1189,24,42,25,17,5,0.937295,0.340157,11,107,100.903384,0
meshtastic-like,19,1200.0,116,67,49,0.985075,0.970012,0.567822,66,2329,4666,4666,0,1151.494144,0.480791,0.547256,8165,220469,118965,2621,1769,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,19,1200.0,116,67,49,0.910448,0.992087,0.365702,61,2382,3633,2483,1150,802.358272,0.328432,0.444347,9311,168706,85420,1738,0,1127,23,42,25,0,0,0.0,0.316543,0,0,0.0,-1
calm-mesh,19,1200.0,116,67,49,0.865672,1.0,0.773279,58,2401,2964,2170,794,666.423296,0.271014,0.362623,8161,137075,68993,1381,639,778,16,47,20,0,8,0.951889,0.267881,0,0,0.0,-1
smart-calm,19,1200.0,116,67,49,1.0,0.949604,3.313797,67,2280,5136,2245,2891,1669.320704,0.711257,0.665964,7432,244232,97038,1610,700,2835,56,1,66,254,6,0.970709,0.562889,1,107,105.825644,0
meshtastic-like,20,1200.0,117,50,67,0.9,0.996954,0.389735,45,3273,4617,4617,0,1139.401728,0.3434,0.51619,8447,217786,119401,2923,1791,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,20,1200.0,117,50,67,0.48,0.989948,0.411648,24,3250,4135,3337,798,955.07968,0.291716,0.382861,7994,194621,94256,2051,0,780,18,15,35,0,0,0.0,0.192987,0,0,0.0,-1
calm-mesh,20,1200.0,117,50,67,0.8,0.978069,1.086526,40,3211,3706,2922,784,850.356224,0.261568,0.387562,8297,173297,85315,1653,850,770,14,31,19,47,9,0.959536,0.211549,0,0,0.0,-1
smart-calm,20,1200.0,117,50,67,0.96,1.0,4.87543,48,3283,4558,2964,1594,1346.373632,0.404195,0.442298,8335,215007,87900,1773,815,1563,31,17,33,3,4,0.934424,0.349715,11,90,79.89247,0
