protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,202,98,104,0.908163,0.923469,0.96114,89,4706,7712,7712,0,1903.198208,0.396913,0.672592,13778,364110,199453,4691,2932,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,202,98,104,0.602041,0.946036,0.357116,59,4821,6098,4972,1126,1412.646912,0.289477,0.722673,13706,285096,150007,3656,0,1102,24,55,43,0,0,0.0,0.184651,0,0,0.0,-1
calm-mesh,1,1200.0,202,98,104,0.581633,0.914443,0.550625,57,4660,4888,4188,700,1148.936192,0.243573,0.491146,11471,228041,114073,2743,1303,686,14,62,36,0,6,0.944957,0.143208,0,0,0.0,-1
smart-calm,1,1200.0,202,98,104,0.918367,0.891484,5.462271,90,4543,7386,4390,2996,2240.088064,0.483507,0.720146,13610,348304,154182,3352,1403,2942,54,26,72,343,14,0.905161,0.405632,4,138,108.077,1
meshtastic-like,2,1200.0,205,109,96,0.899083,0.882228,0.727984,98,4150,7435,7435,0,1834.83904,0.43193,0.860446,15117,349051,198603,6091,3459,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,205,109,96,0.559633,0.956633,0.341118,61,4500,5604,4652,952,1304.989696,0.286119,0.612349,12639,261957,131384,3425,0,933,19,55,54,0,0,0.0,0.169879,0,0,0.0,-1
calm-mesh,2,1200.0,205,109,96,0.385321,0.950043,0.610578,42,4469,4608,4009,599,1088.110592,0.241213,0.491741,9982,215810,108371,2527,1187,587,12,39,70,0,4,0.906429,0.129991,0,0,0.0,-1
smart-calm,2,1200.0,205,109,96,0.954128,0.84949,3.153291,104,3996,7276,3943,3333,2259.902464,0.551196,0.588245,13136,343388,146588,2803,1160,3273,60,29,80,327,22,0.89791,0.458081,1,149,136.863793,0
meshtastic-like,3,1200.0,216,123,93,0.902439,0.883257,0.939213,111,4025,7756,7756,0,1914.056704,0.46278,0.759228,15180,364864,206188,5665,3485,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,216,123,93,0.373984,0.911784,0.325632,46,4155,4995,4290,705,1174.93248,0.279679,0.445556,10124,234631,108069,2326,0,689,16,42,81,0,0,0.0,0.141141,0,0,0.0,-1
calm-mesh,3,1200.0,216,123,93,0.504065,0.922098,0.691588,62,4202,4530,3831,699,1060.66944,0.24875,0.426421,11077,210893,105314,2476,1169,686,13,63,60,73,8,0.936145,0.154305,0,0,0.0,-1
smart-calm,3,1200.0,216,123,93,0.878049,0.866359,4.109263,108,3948,8834,4277,4557,2814.908416,0.694011,0.583257,12910,419907,170005,3169,1249,4475,82,0,123,772,24,0.975556,0.515848,1,159,117.998183,0
meshtastic-like,4,1200.0,203,94,109,0.914894,0.90058,0.865688,86,4810,7312,7312,0,1804.484608,0.368563,0.822292,14594,343694,194507,5586,3432,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
