protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.945359,0.46944,53,2872,4632,4632,0,1143.103488,0.390805,0.602447,8327,218641,121507,2816,1863,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.872727,0.902238,0.39104,48,2741,4003,2851,1152,893.504512,0.320367,0.447228,9558,186589,95261,2196,0,1128,24,31,24,0,0,0.0,0.287784,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.909091,0.983871,0.899982,50,2989,3429,2679,750,784.782336,0.258237,0.4659,8831,159190,81063,1957,931,735,15,40,15,0,7,0.9501,0.218723,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,1.0,0.940421,0.999987,55,2857,5147,2544,2603,1632.775168,0.560706,0.546416,8236,243967,105142,2476,952,2556,47,0,55,81,8,0.97234,0.505731,1,95,92.872993,0
meshtastic-like,2,1200.0,125,69,56,0.942029,0.963921,0.508612,65,2645,4952,4952,0,1222.074368,0.45095,0.641328,9318,233330,126560,3446,2071,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.521739,0.962464,0.383097,36,2641,3639,2741,898,824.482816,0.307988,0.401383,8167,170144,84646,1996,0,880,18,28,41,0,0,0.0,0.246771,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.449275,0.944242,0.917187,31,2591,2968,2367,601,683.220992,0.260572,0.415377,6863,138569,70398,1681,711,589,12,24,45,46,5,0.948226,0.202493,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.985507,0.923469,1.484703,68,2534,5350,2315,3035,1743.0016,0.66987,0.652419,9349,252801,111454,2906,897,2980,55,3,66,111,12,0.951499,0.56729,1,108,106.328852,0
meshtastic-like,3,1200.0,125,79,46,0.962025,0.913043,0.570953,76,2058,4829,4829,0,1191.719936,0.558444,0.282035,8730,227891,120647,2955,1890,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.683544,1.0,0.370404,54,2254,3415,2361,1054,756.42368,0.32774,0.302201,8785,158550,76813,1562,0,1031,23,37,42,0,0,0.0,0.308638,0,0,0.0,-1
