protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,202,98,104,0.908163,0.923469,0.96114,89,4706,7712,7712,0,0,1903.198208,0.396913,0.672592,13778,364110,199453,4691,2932,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,202,98,104,0.55102,0.940149,0.405483,54,4791,6022,4928,1094,54,1486.133248,0.306735,0.685526,14187,280891,138588,3262,0,1019,21,46,52,0,0,0.0,0.181667,0,0,0.0,-1
calm-mesh,1,1200.0,202,98,104,0.530612,0.94113,0.63565,52,4796,5030,4328,702,52,1241.32352,0.256049,0.594171,13507,232963,112378,2716,1398,637,13,55,43,0,5,0.945524,0.139563,0,0,0.0,-1
smart-calm,1,1200.0,202,98,104,0.928571,0.937598,14.32791,91,4778,5560,4764,796,106,1372.11904,0.281807,0.905289,19467,252336,131948,3412,1674,676,14,61,37,456,6,0.89429,0.143165,8,136,100.965228,2
meshtastic-like,2,1200.0,205,109,96,0.899083,0.882228,0.727984,98,4150,7435,7435,0,0,1834.83904,0.43193,0.860446,15117,349051,198603,6091,3459,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,205,109,96,0.495413,0.917092,0.377066,54,4314,5468,4464,1004,54,1349.414912,0.308932,0.455356,13220,254712,119653,2791,0,928,22,46,63,0,0,0.0,0.183614,0,0,0.0,-1
calm-mesh,2,1200.0,205,109,96,0.394495,0.923044,0.661965,43,4342,4548,3868,680,43,1122.373632,0.255957,0.50793,11949,210903,104760,2457,1377,625,12,39,70,61,7,0.939912,0.149516,0,0,0.0,-1
smart-calm,2,1200.0,205,109,96,0.908257,0.900723,23.968522,99,4237,6122,5387,735,110,1510.811648,0.348434,1.173227,17763,282215,147148,3345,1802,612,13,27,82,1651,8,0.876036,0.120059,6,146,61.489085,0
meshtastic-like,3,1200.0,216,123,93,0.902439,0.883257,0.939213,111,4025,7756,7756,0,0,1914.056704,0.46278,0.759228,15180,364864,206188,5665,3485,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,216,123,93,0.365854,0.929339,0.367434,45,4235,5190,4352,838,45,1280.80896,0.299254,0.487588,11808,242453,107506,2360,0,777,16,42,81,0,0,0.0,0.161464,0,0,0.0,-1
