protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.945359,0.46944,53,2872,4632,4632,0,0,1143.103488,0.390805,0.602447,8327,218641,121507,2816,1863,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.8,0.946017,0.459916,44,2874,4056,2978,1078,44,1000.955904,0.343028,0.495134,9912,188832,87747,1730,0,1014,20,28,27,0,0,0.0,0.265779,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.854545,0.949638,1.128453,47,2885,3498,2651,847,50,863.250432,0.294424,0.494658,10716,160686,76579,1849,867,782,15,38,17,30,8,0.948932,0.242138,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.981818,0.95688,7.198023,54,2907,3530,2879,651,57,871.14752,0.294207,0.579344,10974,161996,79158,1691,862,583,11,38,17,236,5,0.951492,0.184419,5,94,95.029424,0
meshtastic-like,2,1200.0,125,69,56,0.942029,0.963921,0.508612,65,2645,4952,4952,0,0,1222.074368,0.45095,0.641328,9318,233330,126560,3446,2071,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.449275,0.962099,0.439271,31,2640,3505,2723,782,31,864.97792,0.32384,0.442027,8236,163509,75764,1769,0,736,15,23,46,0,0,0.0,0.22311,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.492754,0.969752,1.140188,34,2661,3352,2609,743,37,827.219968,0.306946,0.460371,8683,155565,79690,1672,810,694,12,24,45,202,9,0.94821,0.221659,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.942029,0.933309,15.425214,65,2561,4371,3461,910,68,1078.692864,0.410774,0.873146,12138,202041,98825,2093,1052,829,13,27,42,1166,12,0.893789,0.20819,10,107,71.12818,0
meshtastic-like,3,1200.0,125,79,46,0.962025,0.913043,0.570953,76,2058,4829,4829,0,0,1191.719936,0.558444,0.282035,8730,227891,120647,2955,1890,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.35443,0.999113,0.405431,28,2252,2905,2328,577,28,716.90752,0.314433,0.322424,6711,135634,60972,1162,0,538,11,21,58,0,0,0.0,0.198623,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.632911,0.998225,0.776141,50,2250,2839,2137,702,50,700.619776,0.304617,0.341959,9415,129696,60207,1133,584,639,13,42,37,84,7,0.947834,0.24727,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.949367,0.980479,13.385192,75,2210,3966,3148,818,78,978.745344,0.428335,0.731012,12803,181531,85769,1958,1005,728,12,40,39,1168,11,0.946566,0.206253,4,118,82.904111,0
meshtastic-like,4,1200.0,123,53,70,0.924528,0.949271,0.575199,49,3256,4623,4623,0,0,1140.882432,0.345199,0.591441,8925,217357,121589,3271,2095,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.698113,0.954227,0.486898,37,3273,4474,3385,1089,40,1104.111616,0.333568,0.389676,10820,208259,94568,2356,0,1026,23,25,28,0,0,0.0,0.243406,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.660377,0.96793,1.180254,35,3320,3870,2956,914,35,955.05408,0.284666,0.453569,10611,178921,91072,2582,1112,865,14,27,26,69,11,0.952659,0.236176,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.886792,0.959184,14.186574,47,3290,4054,3349,705,52,1000.462336,0.299809,0.658165,11416,187181,90129,2000,1122,641,12,31,22,442,7,0.949302,0.173902,5,92,61.006735,0
meshtastic-like,5,1200.0,105,54,51,0.962963,0.980392,0.576011,52,2450,4108,4108,0,0,1013.788672,0.405191,0.350459,7728,193564,105426,2766,1742,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.592593,0.998399,0.447296,32,2495,3410,2583,827,32,841.53344,0.333017,0.359681,8108,158982,72771,1552,0,778,17,23,31,0,0,0.0,0.242522,0,0,0.0,-1
