protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,275,141,134,0.808511,0.855011,1.076678,114,5614,9434,9434,0,2328.160256,0.406453,0.842248,17640,444626,246314,6387,3894,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,275,141,134,0.283688,0.909077,0.376346,40,5969,6852,6124,728,1690.963968,0.281405,0.632306,13361,322387,156019,3798,0,710,18,41,100,0,0,0.0,0.106246,0,0,0.0,-1
calm-mesh,1,1200.0,275,141,134,0.64539,0.924307,0.832549,91,6069,6568,5585,983,1620.877312,0.263129,0.624881,16393,305439,156857,4089,1977,968,15,98,43,152,15,0.945936,0.149665,0,0,0.0,-1
smart-calm,1,1200.0,275,141,134,0.921986,0.917301,16.42137,130,6023,6439,5739,700,1589.042176,0.258255,0.979497,17138,298373,153880,3556,2003,687,13,84,57,303,10,0.941116,0.108713,7,179,137.826399,0
meshtastic-like,2,1200.0,278,144,134,0.854167,0.876942,0.709148,123,5758,9866,9866,0,2434.770944,0.414006,1.034815,18790,464644,263229,7046,4271,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,278,144,134,0.201389,0.898264,0.405477,29,5898,6697,6025,672,1652.712448,0.278845,0.63743,12041,316112,152961,3549,0,656,16,35,109,0,0,0.0,0.100343,0,0,0.0,-1
calm-mesh,2,1200.0,278,144,134,0.291667,0.896588,0.666801,42,5887,5864,5328,536,1447.141376,0.244078,0.557793,11775,275561,134900,2927,1724,525,11,37,107,85,5,0.936245,0.091405,0,0,0.0,-1
smart-calm,2,1200.0,278,144,134,0.833333,0.860646,15.861539,120,5651,7662,6838,824,1890.859008,0.327648,1.04775,17622,357816,183286,4331,2234,809,15,65,79,1700,15,0.858903,0.107544,16,182,110.081479,0
meshtastic-like,3,1200.0,292,159,133,0.861635,0.872948,1.028244,137,5689,10230,10230,0,2524.60032,0.433333,0.82202,19708,481562,265983,7308,4484,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,292,159,133,0.251572,0.904864,0.364006,40,5897,6764,6065,699,1669.246976,0.28116,0.596768,13661,317775,151738,4135,0,683,16,46,113,0,0,0.0,0.103341,0,0,0.0,-1
calm-mesh,3,1200.0,292,159,133,0.522013,0.891668,0.720468,83,5811,6251,5284,967,1542.646784,0.261732,0.655799,16282,290017,153109,4559,2165,951,16,94,65,168,15,0.942316,0.154695,0,0,0.0,-1
smart-calm,3,1200.0,292,159,133,0.836478,0.901795,23.908623,133,5877,7407,6769,638,1827.929088,0.304148,1.16617,17982,344961,173655,4241,2353,626,12,52,107,1609,7,0.930382,0.086135,7,196,91.678572,1
meshtastic-like,4,1200.0,283,143,140,0.895105,0.895627,1.417204,128,6144,9859,9859,0,2433.043456,0.387921,1.332744,22212,460879,274187,9787,5522,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,283,143,140,0.412587,0.879446,0.388999,59,6033,7278,6238,1040,1796.093952,0.294828,0.574921,15111,341511,160757,4172,0,1019,21,67,76,0,0,0.0,0.142896,0,0,0.0,-1
calm-mesh,4,1200.0,283,143,140,0.468531,0.880175,0.719919,67,6038,6262,5417,845,1545.361408,0.25313,0.532056,14286,292552,144299,3399,1943,830,15,76,67,80,11,0.939757,0.134941,0,0,0.0,-1
smart-calm,4,1200.0,283,143,140,0.916084,0.926239,15.475727,131,6354,6903,6167,736,1703.549952,0.262691,1.068216,18704,319543,167703,4490,2513,722,14,87,56,682,7,0.933641,0.10662,11,181,137.641035,0
meshtastic-like,5,1200.0,257,136,121,0.838235,0.875696,1.259669,114,5192,8795,8795,0,2170.46528,0.409059,0.910803,18696,412259,244748,7773,4573,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,257,136,121,0.397059,0.948052,0.402559,54,5621,6562,5818,744,1619.396608,0.285356,0.591738,13930,307608,143986,3435,0,727,17,55,81,0,0,0.0,0.11338,0,0,0.0,-1
calm-mesh,5,1200.0,257,136,121,0.375,0.933378,0.656219,51,5534,5638,4938,700,1391.368192,0.249126,0.557681,12706,263556,131902,3391,1865,687,13,63,73,85,8,0.949354,0.124158,0,0,0.0,-1
smart-calm,5,1200.0,257,136,121,0.779412,0.900489,22.35087,106,5339,7403,6587,816,1826.941952,0.335527,1.082614,16346,346401,178250,4372,2411,804,12,44,92,1940,11,0.947651,0.110226,8,172,58.929438,2
meshtastic-like,6,1200.0,275,150,125,0.886667,0.861878,1.058276,133,5279,9621,9621,0,2374.308864,0.438712,1.137463,20513,450916,273819,8565,4955,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,275,150,125,0.446667,0.915429,0.375701,67,5607,6956,5806,1150,1716.629504,0.302543,0.569689,14958,325837,152918,3878,0,1126,24,73,77,0,0,0.0,0.165325,0,0,0.0,-1
calm-mesh,6,1200.0,275,150,125,0.52,0.943837,0.61785,78,5781,5903,5155,748,1456.765952,0.248637,0.554592,13779,275468,132192,2903,1676,733,15,92,58,0,7,0.945757,0.126715,0,0,0.0,-1
