protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.967084,0.586139,53,2938,4578,4578,0,1129.777152,0.377726,0.568123,9143,215179,118265,3610,2125,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.727273,0.96445,0.46889,40,2930,4010,3031,979,989.60384,0.3332,0.469939,8680,187810,85581,1920,0,959,20,25,30,0,0,0.0,0.24414,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.818182,0.966096,1.022419,45,2935,3438,2640,798,848.443392,0.284713,0.468243,8641,159821,75812,1952,962,783,15,36,19,23,8,0.949115,0.232112,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.981818,0.977288,6.467129,54,2969,3226,2673,553,796.125184,0.263356,0.555751,8806,149268,74021,2129,1019,541,12,38,17,29,5,0.952033,0.17142,3,94,101.812125,0
meshtastic-like,2,1200.0,125,69,56,0.971014,0.958455,0.497184,67,2630,4823,4823,0,1190.239232,0.44132,0.652037,10088,226239,124666,4187,2315,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.463768,0.981414,0.433256,32,2693,3577,2781,796,882.746368,0.323944,0.460276,8029,167244,78754,2336,0,780,16,23,46,0,0,0.0,0.222533,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.521739,0.962828,0.982882,36,2642,3001,2399,602,740.598784,0.276549,0.454236,7547,139502,67312,2128,946,590,12,28,41,83,6,0.950496,0.2006,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.971014,0.9457,13.07137,67,2595,2987,2340,647,737.143808,0.276914,0.716675,9320,137043,66443,1965,864,633,14,37,32,20,5,0.923029,0.216605,5,108,113.741353,0
meshtastic-like,3,1200.0,125,79,46,0.949367,0.934339,0.511659,75,2106,4746,4746,0,1171.236864,0.537018,0.344416,9160,223394,121765,3386,2098,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.367089,0.999556,0.39996,29,2253,2932,2329,603,723.570688,0.317077,0.28767,6433,137235,62679,1596,0,590,13,21,58,0,0,0.0,0.205662,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.607595,0.999556,0.858543,48,2253,2768,2120,648,683.098112,0.29687,0.371766,7332,128300,61054,1585,718,635,13,40,39,115,7,0.951346,0.234104,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.949367,0.999556,12.870301,75,2253,3029,2283,746,747.508736,0.321095,0.761781,8930,139491,67595,1593,730,734,12,40,39,254,11,0.948609,0.246286,1,118,104.206597,0
meshtastic-like,4,1200.0,123,53,70,0.943396,0.977551,0.738701,50,3353,4622,4622,0,1140.635648,0.335185,0.719587,10388,215992,123176,4586,2614,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.641509,0.953353,0.460777,34,3270,4319,3371,948,1065.860096,0.322597,0.363279,9415,202020,92635,2562,0,928,20,23,30,0,0,0.0,0.219495,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.698113,0.960641,1.290657,37,3295,3868,2989,879,954.560512,0.286483,0.392751,9025,180507,88964,2287,1115,864,15,27,26,113,10,0.954612,0.227249,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.90566,0.968805,13.016369,48,3323,3550,2951,599,876.0832,0.259888,0.664571,9332,164618,79370,2374,1232,587,12,33,20,100,4,0.94611,0.168732,4,92,73.573665,1
meshtastic-like,5,1200.0,105,54,51,1.0,1.0,0.555033,54,2499,4213,4213,0,1039.700992,0.407247,0.398185,8495,197942,107785,3353,1997,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.592593,0.9992,0.447296,32,2497,3384,2585,799,835.117056,0.330216,0.304055,7342,158474,71622,1697,0,781,18,23,31,0,0,0.0,0.236111,0,0,0.0,-1
calm-mesh,5,1200.0,105,54,51,0.740741,0.997999,1.118495,40,2494,3121,2325,796,770.212864,0.303951,0.344757,7768,145161,69775,1857,790,782,14,31,23,124,10,0.950995,0.255046,0,0,0.0,-1
smart-calm,5,1200.0,105,54,51,0.907407,0.996799,10.847008,49,2491,3047,2357,690,751.950848,0.296044,0.543269,8330,140973,71069,2072,883,677,13,27,27,160,8,0.949012,0.226452,1,94,73.378632,0
meshtastic-like,6,1200.0,107,62,45,0.951613,0.930612,0.370804,59,2052,4023,4023,0,992.812032,0.470304,0.613284,8024,189103,104463,3052,1831,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,107,62,45,0.774194,0.866667,0.431872,48,1911,3059,2008,1051,754.912256,0.385356,0.374521,8076,141815,64565,1815,0,1029,22,34,28,0,0,0.0,0.343576,0,0,0.0,-1
