protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.964121,0.408533,53,2929,4730,4730,0,1167.28832,0.391445,0.60362,7940,223830,119384,2416,1647,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.727273,0.966096,0.46889,40,2935,4038,3035,1003,996.513792,0.334963,0.443069,8302,189560,83732,1443,0,982,21,25,30,0,0,0.0,0.24839,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.872727,0.940092,0.907697,48,2856,3340,2590,750,824.25856,0.283836,0.469294,8084,155576,71501,1419,747,735,15,39,16,0,7,0.950107,0.224551,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.981818,0.945359,3.329515,54,2872,3285,2696,589,810.68544,0.277063,0.456219,7875,153090,71714,1206,712,578,11,42,13,82,6,0.948989,0.1793,3,94,103.403016,0
meshtastic-like,2,1200.0,125,69,56,0.971014,0.978134,0.450524,67,2684,5082,5082,0,1254.156288,0.455891,0.589125,8587,240431,127398,2638,1827,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.550725,0.962464,0.436285,38,2641,3583,2733,850,884.227072,0.330059,0.449008,8142,167425,77012,2039,0,832,18,28,41,0,0,0.0,0.237231,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.405797,0.962099,0.863677,28,2640,3002,2409,593,740.845568,0.277678,0.464742,6268,140830,65916,1279,681,581,12,23,46,0,4,0.926784,0.197535,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.971014,0.948251,8.988678,67,2602,3154,2455,699,778.356736,0.291629,0.597052,8445,146101,68703,1305,686,685,14,42,27,59,7,0.931212,0.221623,7,108,114.529181,0
meshtastic-like,3,1200.0,125,79,46,0.974684,0.891304,0.618747,77,2009,4827,4827,0,1191.226368,0.571058,0.316935,8382,228141,122850,2600,1814,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.620253,0.978261,0.412985,49,2205,3314,2308,1006,817.842176,0.36284,0.250397,8192,154194,68525,1219,0,978,28,35,44,0,0,0.0,0.303561,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.734177,0.994232,0.881719,58,2241,2924,2142,782,721.596416,0.313874,0.412049,7976,135300,63911,1354,704,768,14,50,29,141,10,0.951789,0.267442,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.936709,1.0,13.276765,74,2254,2754,2150,604,679.643136,0.291943,0.698893,8256,126690,59072,1104,618,590,14,43,36,110,7,0.93794,0.219317,5,118,102.338395,0
meshtastic-like,4,1200.0,123,53,70,0.943396,0.964723,0.927924,50,3309,4718,4718,0,1164.326912,0.346629,0.631777,9181,222001,125569,3413,2141,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.754717,0.965015,0.465696,40,3310,4410,3413,997,1088.31744,0.324871,0.433488,9665,206376,94248,2285,0,976,21,27,26,0,0,0.0,0.226077,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.622642,0.966764,1.109212,33,3316,3713,2930,783,916.308992,0.273607,0.464569,8461,173476,87940,2112,1027,768,15,27,26,52,8,0.944378,0.210881,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.924528,0.926239,9.890459,49,3177,3372,2774,598,832.155648,0.257953,0.572172,8577,156602,76848,1684,969,586,12,39,14,4,4,0.948947,0.177343,5,92,78.507457,0
meshtastic-like,5,1200.0,105,54,51,0.962963,1.0,0.660313,52,2499,4197,4197,0,1035.752448,0.406018,0.381169,7922,197731,108246,2876,1787,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.407407,1.0,0.471133,22,2499,3236,2576,660,798.593024,0.316776,0.268461,6315,152249,67563,1447,0,645,15,16,38,0,0,0.0,0.203956,0,0,0.0,-1
calm-mesh,5,1200.0,105,54,51,0.592593,0.9992,0.87098,32,2497,2928,2276,652,722.583552,0.285719,0.325137,6715,136757,65711,1305,642,639,13,28,26,42,7,0.947855,0.222678,0,0,0.0,-1
smart-calm,5,1200.0,105,54,51,0.925926,0.998399,7.836066,50,2495,3251,2460,791,802.294784,0.315244,0.472701,7940,151359,74152,1430,685,777,14,30,24,203,10,0.948711,0.24331,11,94,80.619548,0
meshtastic-like,6,1200.0,107,62,45,0.967742,0.954649,0.471839,60,2105,4122,4122,0,1017.243648,0.469858,0.715979,7882,194096,109412,2841,1721,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,107,62,45,0.822581,0.889796,0.430662,51,1962,3091,2065,1026,762.809344,0.378942,0.423479,7886,143573,64720,1287,0,1004,22,36,26,0,0,0.0,0.331931,0,0,0.0,-1
calm-mesh,6,1200.0,107,62,45,0.870968,0.982766,0.81867,54,2167,2668,1922,746,658.419712,0.296452,0.594608,7623,123109,62400,1533,723,730,16,43,19,0,7,0.946467,0.27961,0,0,0.0,-1
smart-calm,6,1200.0,107,62,45,0.935484,0.945578,6.249095,58,2085,2841,2150,691,701.113344,0.327164,0.656676,7697,131512,63794,1436,670,678,13,37,25,269,9,0.936796,0.243224,11,98,92.481018,2
meshtastic-like,7,1200.0,128,68,60,0.985294,0.933333,0.448946,67,2744,4970,4970,0,1226.51648,0.436327,0.451741,9298,234232,126525,3275,2023,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,128,68,60,0.544118,0.971769,0.40686,37,2857,3756,2956,800,926.920704,0.32029,0.447185,8015,176029,81901,1920,0,784,16,27,41,0,0,0.0,0.212993,0,0,0.0,-1
calm-mesh,7,1200.0,128,68,60,0.897059,0.965986,0.828623,61,2840,3382,2594,788,834.623488,0.287702,0.416381,9023,156695,76437,1687,846,774,14,50,18,63,8,0.943067,0.232998,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,0.985294,0.937755,1.614961,67,2757,3252,2606,646,802.541568,0.284186,0.374203,8851,150497,71253,1635,765,636,10,55,13,87,5,0.95181,0.198647,3,108,119.710361,0
meshtastic-like,8,1200.0,125,63,62,0.968254,0.982883,0.545491,61,2986,4924,4924,0,1215.164416,0.398807,0.537111,9089,232187,129316,3117,2007,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.619048,0.967742,0.474585,39,2940,3946,3044,902,973.809664,0.326891,0.260796,7794,185560,79346,1163,0,884,18,24,39,0,0,0.0,0.228586,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.920635,0.967742,0.823594,58,2940,3476,2725,751,857.821184,0.286131,0.290174,8409,161915,72575,1110,679,736,15,47,16,40,8,0.948954,0.216053,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,1.0,0.967742,4.441103,63,2940,3216,2665,551,793.657344,0.264288,0.356166,8562,149022,68116,1049,692,539,12,51,12,2,3,0.923826,0.171331,3,103,121.403604,0
meshtastic-like,9,1200.0,127,58,69,0.931034,0.943508,0.492328,54,3190,4799,4799,0,1184.316416,0.365079,0.545277,8984,226167,122765,3148,2063,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.603448,0.995563,0.416007,35,3366,4276,3473,803,1055.248384,0.310276,0.491588,8720,200804,91058,2091,0,786,17,29,29,0,0,0.0,0.187792,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.931034,0.981071,1.041407,54,3317,3854,3100,754,951.105536,0.282143,0.415443,8955,179891,82772,1490,973,739,15,38,20,172,12,0.953489,0.195641,0,0,0.0,-1
smart-calm,9,1200.0,127,58,69,1.0,0.980183,4.921605,58,3314,3642,2991,651,898.787328,0.266544,0.469124,9001,169457,78334,1600,994,638,13,41,17,86,6,0.953267,0.178748,5,98,102.718332,0
meshtastic-like,10,1200.0,133,72,61,0.958333,0.983607,0.540404,69,2940,5321,5321,0,1313.137664,0.436403,0.496483,9276,251453,134206,2957,1963,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,133,72,61,0.652778,0.982937,0.425309,47,2938,4002,3051,951,987.629568,0.330864,0.313469,8547,187551,84266,1508,0,931,20,35,37,0,0,0.0,0.237631,0,0,0.0,-1
calm-mesh,10,1200.0,133,72,61,0.902778,0.998996,0.884109,65,2986,3531,2790,741,871.394304,0.285609,0.337088,9052,163967,77449,1438,801,727,14,56,16,66,8,0.950514,0.209856,0,0,0.0,-1
smart-calm,10,1200.0,133,72,61,0.972222,0.962529,5.110417,70,2877,3374,2741,633,832.649216,0.282541,0.416001,8955,156371,73793,1409,785,621,12,56,16,124,8,0.950014,0.187611,7,111,116.225913,0
