protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses
meshtastic-like,1,600.0,55,55,0,0.945455,0.0,0.525365,1319,1319,0,325.508096,6.259771,2134,36117,19358,626,408,0,0,0,0
meshcore-like,1,600.0,55,55,0,0.854545,0.0,0.309793,258,47,211,63.670272,1.354687,1865,5617,2907,123,0,203,8,41,14
meshtastic-like,2,600.0,61,61,0,0.885246,0.0,0.554302,1281,1281,0,316.130304,5.854265,2323,34826,19557,770,522,0,0,0,0
meshcore-like,2,600.0,61,61,0,0.95082,0.0,0.314862,301,61,240,74.281984,1.280724,2232,6497,2935,69,0,232,8,53,8
meshtastic-like,3,600.0,68,68,0,0.897059,0.0,0.446049,1495,1495,0,368.94208,6.048231,2667,40688,22578,882,574,0,0,0,0
meshcore-like,3,600.0,68,68,0,0.808824,0.0,0.309602,302,62,240,74.528768,1.355069,2162,6596,3098,83,0,232,8,53,15
meshtastic-like,4,600.0,55,55,0,0.945455,0.0,0.329052,1245,1245,0,307.24608,5.908578,2220,33885,18884,712,472,0,0,0,0
meshcore-like,4,600.0,55,55,0,0.963636,0.0,0.321285,295,55,240,72.80128,1.373609,2110,6445,3033,85,0,232,8,47,8
meshtastic-like,5,600.0,59,59,0,0.966102,0.0,0.386498,1377,1377,0,339.821568,5.961782,2321,37612,20539,668,491,0,0,0,0
meshcore-like,5,600.0,59,59,0,0.762712,0.0,0.312593,226,45,181,55.773184,1.239404,1732,4822,2307,74,0,175,6,39,20
