protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshtastic-like,1,1200.0,117,55,62,0.963636,0.945359,0.46944,4632,4632,0,1143.103488,0.390805,8327,218641,121507,2816,1863,0,0,0,0,0,0,0.0,0.0
meshcore-like,1,1200.0,117,55,62,0.818182,0.947334,0.466148,4065,2978,1087,1003.17696,0.343201,8863,190322,88023,1752,0,1065,22,28,27,0,0,0.0,0.267405
calm-mesh,1,1200.0,117,55,62,0.836364,0.94898,1.066867,3330,2580,750,821.79072,0.28057,8041,155129,73561,1500,844,735,15,37,18,0,7,0.949428,0.225225
meshtastic-like,2,1200.0,125,69,56,0.942029,0.963921,0.508612,4952,4952,0,1222.074368,0.45095,9318,233330,126560,3446,2071,0,0,0,0,0,0,0.0,0.0
meshcore-like,2,1200.0,125,69,56,0.449275,0.96137,0.439271,3519,2721,798,868.432896,0.325378,7321,165110,76875,1677,0,781,17,23,46,0,0,0.0,0.226769
calm-mesh,2,1200.0,125,69,56,0.57971,0.969023,1.083608,3169,2482,687,782.058496,0.289759,7471,147810,75406,1656,805,673,14,33,36,108,8,0.92898,0.216788
meshtastic-like,3,1200.0,125,79,46,0.962025,0.913043,0.570953,4829,4829,0,1191.719936,0.558444,8730,227891,120647,2955,1890,0,0,0,0,0,0,0.0,0.0
meshcore-like,3,1200.0,125,79,46,0.594937,0.978261,0.414807,3156,2302,854,778.850304,0.345848,7317,147327,63605,1031,0,836,18,33,46,0,0,0.0,0.270596
calm-mesh,3,1200.0,125,79,46,0.556962,0.998669,0.897263,2844,2143,701,701.853696,0.305819,6876,132480,60076,1195,567,688,13,36,43,86,8,0.945673,0.246484
meshtastic-like,4,1200.0,123,53,70,0.924528,0.949271,0.575199,4623,4623,0,1140.882432,0.345199,8925,217357,121589,3271,2095,0,0,0,0,0,0,0.0,0.0
meshcore-like,4,1200.0,123,53,70,0.566038,0.983382,0.481084,4365,3465,900,1077.21216,0.316548,8559,205228,90921,2024,0,881,19,19,34,0,0,0.0,0.206186
calm-mesh,4,1200.0,123,53,70,0.660377,0.966764,1.474391,3796,2952,844,936.792064,0.279556,8815,177042,88624,2265,1063,828,16,27,26,71,9,0.95082,0.222339
meshtastic-like,5,1200.0,105,54,51,0.962963,0.980392,0.576011,4108,4108,0,1013.788672,0.405191,7728,193564,105426,2766,1742,0,0,0,0,0,0,0.0,0.0
