protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshtastic-like,1,1200.0,117,117,0,0.957265,0.0,0.569299,4596,4596,0,1134.219264,10.126958,7990,217214,118546,2504,1617,0,0,0,0,0,0,0.0,0.0
meshcore-like,1,1200.0,117,117,0,0.923077,0.0,0.379316,1617,117,1500,399.049728,3.694905,8716,70517,31212,430,0,1470,30,87,30,0,0,0.0,0.927644
calm-mesh,1,1200.0,117,117,0,0.965812,0.0,0.658027,962,161,801,237.406208,2.10094,7369,39769,16381,195,5,785,16,99,18,45,9,0.942338,0.83264
meshtastic-like,2,1200.0,126,126,0,0.944444,0.0,0.361886,4888,4888,0,1206.280192,10.136808,8500,231012,127428,2638,1833,0,0,0,0,0,0,0.0,0.0
meshcore-like,2,1200.0,126,126,0,0.865079,0.0,0.362252,1417,115,1302,349.692928,3.208192,8805,60628,28818,725,0,1274,28,87,39,0,0,0.0,0.918843
calm-mesh,2,1200.0,126,126,0,0.761905,0.0,0.575061,842,141,701,207.792128,2.164501,6276,34982,15570,300,7,687,14,85,41,45,7,0.944487,0.832542
meshtastic-like,3,1200.0,129,129,0,0.953488,0.0,0.49392,5009,5009,0,1236.141056,10.049927,8624,236817,128744,2586,1862,0,0,0,0,0,0,0.0,0.0
meshcore-like,3,1200.0,129,129,0,0.821705,0.0,0.353879,1361,111,1250,335.873024,3.168613,8279,58410,28154,624,0,1224,26,88,41,0,0,0.0,0.918442
calm-mesh,3,1200.0,129,129,0,0.751938,0.0,0.626664,927,129,798,228.768768,2.358441,6717,38706,18235,496,41,782,16,87,42,29,8,0.947314,0.860841
meshtastic-like,4,1200.0,112,112,0,0.955357,0.0,0.519554,4254,4254,0,1049.819136,9.811394,7783,200663,110811,2514,1777,0,0,0,0,0,0,0.0,0.0
meshcore-like,4,1200.0,112,112,0,0.875,0.0,0.367658,1406,103,1303,346.978304,3.540595,8064,60830,28611,700,0,1275,28,79,33,0,0,0.0,0.926743
calm-mesh,4,1200.0,112,112,0,0.669643,0.0,0.564398,783,83,700,193.231872,2.576425,5475,32892,16114,415,0,686,14,71,41,0,6,0.947504,0.893997
meshtastic-like,5,1200.0,134,134,0,0.910448,0.0,0.627014,4864,4864,0,1200.357376,9.838995,9558,228778,130478,3571,2232,0,0,0,0,0,0,0.0,0.0
meshcore-like,5,1200.0,134,134,0,0.776119,0.0,0.39616,1482,128,1354,365.733888,3.516672,9161,63457,29937,671,0,1324,30,91,43,0,0,0.0,0.91363
calm-mesh,5,1200.0,134,134,0,0.865672,0.0,0.622226,962,161,801,237.406208,2.046605,7643,39495,17115,419,19,785,16,106,28,39,9,0.942316,0.83264
meshtastic-like,6,1200.0,92,92,0,1.0,0.0,0.388078,3706,3706,0,914.581504,9.941103,6910,174684,94944,2402,1495,0,0,0,0,0,0,0.0,0.0
meshcore-like,6,1200.0,92,92,0,0.826087,0.0,0.37667,1179,78,1101,290.958336,3.828399,6071,51700,23176,354,0,1079,22,58,34,0,0,0.0,0.933842
calm-mesh,6,1200.0,92,92,0,0.869565,0.0,0.709971,833,83,750,205.571072,2.569638,5522,35295,14443,207,0,735,15,69,23,0,7,0.950564,0.90036
meshtastic-like,7,1200.0,114,114,0,0.921053,0.0,0.483984,4273,4273,0,1054.508032,10.042934,7309,202068,108491,2167,1558,0,0,0,0,0,0,0.0,0.0
meshcore-like,7,1200.0,114,114,0,0.833333,0.0,0.379211,1351,100,1251,333.405184,3.509528,7454,58745,26114,354,0,1226,25,75,39,0,0,0.0,0.925981
calm-mesh,7,1200.0,114,114,0,0.964912,0.0,0.673731,965,163,802,238.14656,2.164969,7674,39611,16685,247,11,785,17,97,17,41,9,0.92993,0.831088
meshtastic-like,8,1200.0,105,105,0,0.942857,0.0,0.409614,4012,4012,0,990.097408,10.000984,6655,189933,100365,1873,1356,0,0,0,0,0,0,0.0,0.0
meshcore-like,8,1200.0,105,105,0,0.72381,0.0,0.392329,1231,80,1151,303.791104,3.997251,6399,53920,24630,475,0,1128,23,57,48,0,0,0.0,0.935012
