protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses
meshtastic-like,1,1200.0,117,55,62,0.963636,0.94503,0.429511,4609,4609,0,1137.427456,0.388997,8082,217759,118609,2615,1734,0,0,0,0
meshcore-like,1,1200.0,117,55,62,0.727273,0.966096,0.46889,4038,3035,1003,996.513792,0.334963,8302,189560,83732,1443,0,982,21,25,30
meshtastic-like,2,1200.0,125,69,56,0.971014,0.978134,0.450524,5082,5082,0,1254.156288,0.455891,8587,240431,127398,2638,1827,0,0,0,0
meshcore-like,2,1200.0,125,69,56,0.550725,0.962464,0.436285,3583,2733,850,884.227072,0.330059,8142,167425,77012,2039,0,832,18,28,41
meshtastic-like,3,1200.0,125,79,46,0.974684,0.913043,0.622233,4831,4831,0,1192.213504,0.558414,8792,227927,121684,2961,1933,0,0,0,0
meshcore-like,3,1200.0,125,79,46,0.620253,0.978261,0.412985,3314,2308,1006,817.842176,0.36284,8192,154194,68525,1219,0,978,28,35,44
meshtastic-like,4,1200.0,123,53,70,0.962264,0.913703,0.966495,4525,4525,0,1116.6976,0.350611,9264,212412,121347,3636,2197,0,0,0,0
meshcore-like,4,1200.0,123,53,70,0.754717,0.965015,0.465696,4410,3413,997,1088.31744,0.324871,9665,206376,94248,2285,0,976,21,27,26
meshtastic-like,5,1200.0,105,54,51,0.944444,0.980392,0.693271,4197,4197,0,1035.752448,0.414135,7568,198085,110000,2548,1741,0,0,0,0
meshcore-like,5,1200.0,105,54,51,0.407407,1.0,0.471133,3236,2576,660,798.593024,0.316776,6315,152249,67563,1447,0,645,15,16,38
meshtastic-like,6,1200.0,107,62,45,0.951613,0.931973,0.532811,4041,4041,0,997.254144,0.471738,7593,190416,104518,2682,1652,0,0,0,0
meshcore-like,6,1200.0,107,62,45,0.822581,0.889796,0.430662,3091,2065,1026,762.809344,0.378942,7886,143573,64720,1287,0,1004,22,36,26
meshtastic-like,7,1200.0,128,68,60,0.970588,0.933333,0.420956,4925,4925,0,1215.4112,0.432531,9076,232249,124829,3102,1972,0,0,0,0
meshcore-like,7,1200.0,128,68,60,0.544118,0.971769,0.40686,3756,2956,800,926.920704,0.32029,8015,176029,81901,1920,0,784,16,27,41
meshtastic-like,8,1200.0,125,63,62,0.952381,0.967413,0.514969,4917,4917,0,1213.436928,0.404614,8909,232024,127890,3030,1900,0,0,0,0
meshcore-like,8,1200.0,125,63,62,0.619048,0.967742,0.474585,3946,3044,902,973.809664,0.326891,7794,185560,79346,1163,0,884,18,24,39
meshtastic-like,9,1200.0,127,58,69,0.948276,0.968353,0.604735,4843,4843,0,1195.174912,0.359019,9349,227958,125312,3381,2147,0,0,0,0
meshcore-like,9,1200.0,127,58,69,0.603448,0.995563,0.416007,4276,3473,803,1055.248384,0.310276,8720,200804,91058,2091,0,786,17,29,29
meshtastic-like,10,1200.0,133,72,61,0.930556,0.917364,0.869751,4928,4928,0,1216.151552,0.432948,9147,232325,132047,3151,2062,0,0,0,0
meshcore-like,10,1200.0,133,72,61,0.652778,0.982937,0.425309,4002,3051,951,987.629568,0.330864,8547,187551,84266,1508,0,931,20,35,37
meshtastic-like,11,1200.0,140,66,74,0.939394,0.94567,0.455554,5392,5392,0,1330.659328,0.381169,9851,254357,137411,3384,2169,0,0,0,0
meshcore-like,11,1200.0,140,66,74,0.80303,0.918643,0.451661,4658,3457,1201,1149.519872,0.339693,10403,217839,97224,2072,0,1177,24,37,29
meshtastic-like,12,1200.0,132,63,69,0.888889,0.983437,0.744967,5044,5044,0,1244.778496,0.368169,9889,237267,131057,3830,2150,0,0,0,0
meshcore-like,12,1200.0,132,63,69,0.396825,0.972789,0.444211,4022,3370,652,992.565248,0.299507,7519,189559,87029,1794,0,639,13,17,46
meshtastic-like,13,1200.0,129,63,66,0.936508,0.893321,0.863152,4785,4785,0,1180.86144,0.400564,8719,225746,123218,2951,1899,0,0,0,0
meshcore-like,13,1200.0,129,63,66,0.634921,0.924552,0.431872,4061,3108,953,1002.189824,0.330756,8232,190757,80151,1285,0,932,21,31,32
meshtastic-like,14,1200.0,114,46,68,0.978261,0.953481,0.46248,4587,4587,0,1131.998208,0.351334,7644,216580,115088,2276,1612,0,0,0,0
meshcore-like,14,1200.0,114,46,68,0.891304,0.983193,0.487549,4384,3383,1001,1081.901056,0.326169,8888,205928,93555,1626,0,981,20,25,21
meshtastic-like,15,1200.0,135,68,67,0.911765,0.891563,0.768547,5093,5093,0,1256.870912,0.420499,8879,240678,131048,2915,1890,0,0,0,0
meshcore-like,15,1200.0,135,68,67,0.279412,0.923546,0.467591,3860,3116,744,952.58624,0.312221,7266,181874,87139,1819,0,725,19,11,57
meshtastic-like,16,1200.0,121,53,68,0.943396,0.941777,0.385713,4718,4718,0,1164.326912,0.365222,8263,222919,120666,2684,1691,0,0,0,0
meshcore-like,16,1200.0,121,53,68,0.735849,0.97509,0.449273,4139,3337,802,1021.438976,0.310657,8633,194178,90963,1941,0,786,16,26,27
meshtastic-like,17,1200.0,107,53,54,0.924528,0.981481,0.662572,4164,4164,0,1027.608576,0.388363,7286,196750,106736,2284,1563,0,0,0,0
