protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,36,18,18,0.722222,1.0,0.992063,1.109689,0.991394,1.109689,1.921666,2.63537,18,13,875,493,465,28,28,35.464448,27.228571,0.045381,14.043921,58.318191,72.362112,0.081489,0.039937,0.629494,7098,17059,24157,0.293828,11773,0.487354,4666,1613,0,0,0,0,0,0,0,0,0.0,0.056795,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0,0.0,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshcore-like,1,600.0,36,18,18,0.333333,0.333333,0.996599,0.587044,0.491129,0.587044,1.454754,1.634594,6,6,879,1769,906,863,8,127.254784,55.953252,0.093255,50.392894,202.056112,252.449007,0.285253,0.143791,0.671944,9911,76770,86681,0.114339,65005,0.749934,7284,0,833,22,18,7,0,18,0,0,0.0,0.487846,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,7,2,0.3888888888888889,0.026410564225690276,0,1.4285714285714286,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
calm-mesh,1,600.0,36,18,18,0.277778,0.333333,0.993197,2.287744,2.203819,2.287744,2.287744,2.431616,6,5,876,1237,368,869,9,88.984832,42.029557,0.070049,35.237993,141.877197,177.11519,0.201039,0.101004,0.612109,8012,52601,60613,0.132183,44246,0.729975,5372,858,833,27,18,8,0,18,17,1,0.824617,0.702506,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,8,5,0.4444444444444444,0.03241296518607443,0,1.75,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm,1,600.0,36,18,18,0.444444,0.5,0.994331,2.687744,2.81887,2.687744,3.8706,2.831616,9,8,877,1249,376,873,13,89.848064,44.379641,0.073966,35.579833,143.495856,179.075689,0.202345,0.101523,0.665681,9028,52173,61201,0.147514,43101,0.704253,5803,897,833,27,18,8,0,18,38,1,0.806423,0.698959,5,38,4.137879,2,1,2,15,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,8,4,0.4444444444444444,0.03241296518607443,0,1.625,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm-static,1,600.0,36,18,18,0.277778,0.333333,0.993197,2.287744,2.203819,2.287744,2.287744,2.431616,6,5,876,1237,368,869,9,88.984832,42.029557,0.070049,35.237993,141.877197,177.11519,0.201039,0.101004,0.612109,8012,52601,60613,0.132183,44246,0.729975,5372,858,833,27,18,8,0,18,17,1,0.824617,0.702506,0,0,0.0,1,0,18,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,8,5,0.4444444444444444,0.03241296518607443,0,1.75,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm-no-fallback,1,600.0,36,18,18,0.388889,0.388889,0.994331,2.708297,2.605531,2.708297,2.687744,2.831616,7,7,877,1204,334,870,10,86.610944,42.258754,0.070431,34.297934,138.304899,172.602833,0.195252,0.097976,0.655424,8527,50469,58996,0.144535,41921,0.710574,5485,814,833,27,18,9,0,18,0,1,0.814402,0.722591,3,38,1.845279,2,1,2,15,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,9,5,0.5,0.03241296518607443,0,1.5555555555555556,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm-no-confidence,1,600.0,36,18,18,0.5,0.611111,0.942177,2.827708,3.029183,2.827708,4.403401,3.457939,11,9,831,1229,350,879,17,88.409344,44.615329,0.074359,35.0101,141.669363,176.679463,0.210333,0.105249,0.561461,9085,51136,60221,0.150861,42919,0.712692,5708,934,834,28,18,10,0,18,74,1,0.780468,0.715216,5,38,5.402183,2,2,2,14,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,10,6,0.5555555555555556,0.03357314148681055,0,1.7,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshtastic-like,2,600.0,35,18,17,0.722222,1.0,0.995198,0.348659,0.419438,0.348659,1.560082,1.434117,18,13,829,473,451,22,22,34.025728,25.955622,0.043259,13.474188,55.921988,69.396177,0.082418,0.040411,0.628099,6854,16323,23177,0.295724,10915,0.470941,4673,1583,0,0,0,0,0,0,0,0,0.0,0.046512,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0,0.0,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
meshcore-like,2,600.0,35,18,17,0.555556,0.555556,1.0,0.287744,0.215808,0.287744,0.215808,0.287744,10,10,833,1770,860,910,10,127.32672,55.884356,0.093141,50.421381,202.638047,253.059428,0.300189,0.15104,0.496243,9981,76749,86730,0.115081,65691,0.75742,7118,0,880,20,18,10,0,18,0,0,0.0,0.514124,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,10,0,0.5555555555555556,0.022727272727272728,0,1.0,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
calm-mesh,2,600.0,35,18,17,0.555556,0.555556,0.9988,2.28055,2.187034,2.28055,2.287744,2.431616,10,10,832,1238,319,919,13,89.056768,43.443409,0.072406,35.26648,142.591167,177.857647,0.211232,0.105768,0.492513,8470,52192,60662,0.139626,44016,0.725594,5529,770,881,25,18,12,0,18,0,0,0.883811,0.742326,0,0,0.0,-1,0,0,0,sf7_random_pairs_budget_matched,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,12,5,0.6666666666666666,0.028376844494892167,0,1.4166666666666667,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
