protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,5,5,0,0.8,1.0,0.0,0.823643,0.586978,0.823643,1.524163,1.695472,5,4,0,44,37,7,7,3.165184,2.798008,0.004663,1.253413,2.024547,3.27796,0.81949,0.791296,0.586978,406,430,836,0.485646,189,0.226077,229,79,0,0,0,0,0,0,0,0,0.0,0.159091,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
meshcore-like,1,600.0,5,5,0,0.0,0.2,0.0,0.0,0.215808,0.0,0.215808,0.0,1,0,0,104,3,101,1,7.481344,5.441408,0.009069,2.962612,4.660369,7.622982,0.0,0.0,0.215808,556,1420,1976,0.281377,1055,0.533907,337,0,94,6,5,3,0,5,0,0,0.0,0.971154,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,0,0.6,0.06382978723404255,0,1.0,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
calm-mesh,1,600.0,5,5,0,0.4,0.4,0.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,0,114,6,108,5,8.200704,6.126321,0.010211,3.247479,5.100488,8.347967,4.173984,4.100352,2.35968,687,1479,2166,0.317175,1059,0.48892,332,0,95,8,5,3,0,5,0,0,0.793341,0.947368,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,2,0.6,0.08421052631578947,0,2.0,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
smart-calm,1,600.0,5,5,0,0.4,0.4,0.0,2.231616,2.087744,2.231616,2.397229,2.605843,2,2,0,112,5,107,4,8.056832,5.494162,0.009157,3.190505,4.968453,8.158958,4.079479,4.028416,2.087744,606,1522,2128,0.284774,1083,0.508929,287,0,95,8,5,3,0,5,0,0,0.818568,0.955357,2,25,-0.560154,1,3,2,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,2,0.6,0.08421052631578947,0,2.0,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
smart-calm-static,1,600.0,5,5,0,0.4,0.4,0.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,0,114,6,108,5,8.200704,6.126321,0.010211,3.247479,5.100488,8.347967,4.173984,4.100352,2.35968,687,1479,2166,0.317175,1059,0.48892,332,0,95,8,5,3,0,5,0,0,0.793341,0.947368,0,0,0.0,1,0,5,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,2,0.6,0.08421052631578947,0,2.0,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
smart-calm-no-fallback,1,600.0,5,5,0,0.4,0.4,0.0,2.231616,2.087744,2.231616,2.397229,2.605843,2,2,0,112,5,107,4,8.056832,5.494162,0.009157,3.190505,4.968453,8.158958,4.079479,4.028416,2.087744,606,1522,2128,0.284774,1083,0.508929,287,0,95,8,5,3,0,5,0,0,0.818568,0.955357,2,25,-0.560154,1,3,2,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,2,0.6,0.08421052631578947,0,2.0,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
smart-calm-no-confidence,1,600.0,5,5,0,0.4,0.4,0.0,2.701776,2.143872,2.701776,2.503872,3.499147,2,2,0,112,8,104,3,8.056832,5.70299,0.009505,3.190505,4.990459,8.180964,4.090482,4.028416,2.143872,657,1471,2128,0.308741,1037,0.487312,376,15,95,6,5,3,0,5,5,0,0.738267,0.928571,5,25,-0.659767,2,3,1,1,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,1,0.6,0.06315789473684211,0,1.3333333333333333,0.0003431415033737544,0.20950996094377347,0.9634142653432736,0.9999255645787859,0.9999999996326001,0.5526315789473685,0.33157894736842103
meshtastic-like,2,600.0,10,10,0,0.7,1.0,0.0,1.3389,0.985557,1.3389,1.822054,2.136381,10,7,0,79,61,18,18,5.682944,5.20105,0.008668,2.250446,3.635871,5.886316,0.840902,0.811849,0.985557,841,660,1501,0.560293,277,0.184544,416,157,0,0,0,0,0,0,0,0,0.0,0.227848,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.0017760776453976245,0.21118653663547002,0.9857402066697052,0.9999683849778584,0.9999999999940125,0.5105263157894737,0.3
meshcore-like,2,600.0,10,10,0,0.0,0.1,0.0,0.0,0.215808,0.0,0.215808,0.0,1,0,0,207,2,205,1,14.890752,9.625735,0.016043,5.896738,9.11535,15.012088,0.0,0.0,0.215808,1059,2874,3933,0.26926,2123,0.539792,663,0,190,14,10,2,0,10,0,0,0.0,0.990338,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,0,0.2,0.07368421052631578,0,1.0,0.0017760776453976245,0.21118653663547002,0.9857402066697052,0.9999683849778584,0.9999999999940125,0.5105263157894737,0.3
calm-mesh,2,600.0,10,10,0,0.5,0.5,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,0,227,12,215,10,16.329472,11.212786,0.018688,6.466471,10.05916,16.525631,3.305126,3.265894,2.287744,1358,2955,4313,0.314862,2160,0.500812,576,0,187,18,10,6,0,10,0,0,0.890768,0.947137,0,0,0.0,-1,0,0,0,sf7_15km_connected90_budget_matched_lowload,20,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.6,0.0962566844919786,0,2.0,0.0017760776453976245,0.21118653663547002,0.9857402066697052,0.9999683849778584,0.9999999999940125,0.5105263157894737,0.3
