protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,5,5,0,0.6,1.0,0.0,1.893482,1.542866,1.893482,3.415686,3.886489,5,3,0,59,48,11,11,4.244224,3.363703,0.005606,1.680713,7.00278,8.683492,2.894497,1.414741,1.542866,1169,1722,2891,0.404358,1110,0.38395,622,230,0,0,0,0,0,0,0,0,0.0,0.186441,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
meshcore-like,1,600.0,5,5,0,0.2,0.2,0.0,0.287744,0.215808,0.287744,0.215808,0.287744,1,1,0,253,1,252,1,18.199808,7.949018,0.013248,7.207124,28.86446,36.071584,36.071584,18.199808,0.215808,1490,10907,12397,0.12019,9335,0.753005,1096,0,245,6,5,1,0,5,0,0,0.0,0.996047,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,0,0.2,0.024489795918367346,1.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
calm-mesh,1,600.0,5,5,0,0.4,0.4,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,2,2,0,260,4,256,4,18.70336,8.129271,0.013549,7.406531,29.617553,37.024083,18.512042,9.35168,2.287744,1657,11083,12740,0.130063,9419,0.739325,1009,0,245,7,5,2,0,5,0,0,0.773566,0.984615,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.02857142857142857,2.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm,1,600.0,5,5,0,0.4,0.6,0.0,2.831616,6.998002,2.831616,14.32544,2.831616,3,2,0,278,18,260,6,19.998208,9.067519,0.015113,7.91929,31.849933,39.769223,19.884612,9.999104,6.998002,2056,11566,13622,0.150932,9873,0.724783,1193,35,245,9,5,2,0,5,14,0,0.765032,0.935252,3,25,-1.512648,2,2,1,2,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.036734693877551024,2.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm-static,1,600.0,5,5,0,0.2,0.8,0.0,15.91664,15.75026,15.91664,15.77194,15.91664,4,1,0,343,84,259,7,24.674048,10.648015,0.017747,9.770923,39.038541,48.809464,48.809464,24.674048,15.75026,2043,14764,16807,0.121556,12632,0.751592,1315,144,245,7,5,0,0,5,84,0,0.744804,0.755102,0,0,0.0,1,0,5,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.02857142857142857,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm-no-fallback,1,600.0,5,5,0,0.4,0.4,0.0,8.931616,2.35968,8.931616,2.424422,14.781616,2,2,0,269,8,261,7,19.350784,8.779315,0.014632,7.66291,30.822989,38.4859,19.24295,9.675392,2.35968,1952,11229,13181,0.148092,9580,0.726804,948,0,245,9,5,2,0,5,0,1,0.767624,0.97026,4,25,-1.985468,1,2,3,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.036734693877551024,2.5,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm-no-confidence,1,600.0,5,5,0,0.4,0.6,0.0,9.05968,11.358746,9.05968,16.134546,14.664938,3,2,0,283,25,258,5,20.357888,8.993715,0.01499,8.061724,32.346289,40.408013,20.204006,10.178944,11.358746,1995,11872,13867,0.143867,10149,0.731881,1157,25,245,8,5,2,0,5,20,0,0.677271,0.911661,5,25,-1.791662,2,2,2,1,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.0326530612244898,2.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
meshtastic-like,2,600.0,7,7,0,0.571429,1.0,0.0,1.230335,1.03333,1.230335,1.395569,1.615829,7,4,0,102,88,14,14,7.337472,5.046252,0.00841,2.905639,11.990793,14.896432,3.724108,1.834368,1.03333,1554,3444,4998,0.310924,2610,0.522209,880,310,0,0,0,0,0,0,0,0,0.0,0.137255,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0416666666666665,1,0,0,0.0,0.0,0.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
meshcore-like,2,600.0,7,7,0,0.142857,0.142857,0.0,0.287744,0.215808,0.287744,0.215808,0.287744,1,1,0,308,2,306,1,22.156288,10.031299,0.016719,8.77389,35.275525,44.049415,44.049415,22.156288,0.215808,2057,13035,15092,0.136297,11067,0.733302,1418,0,295,10,7,2,0,7,0,0,0.0,0.993506,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0416666666666665,1,2,0,0.2857142857142857,0.03389830508474576,1.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
calm-mesh,2,600.0,7,7,0,0.142857,0.142857,0.0,2.431616,2.287744,2.431616,2.287744,2.431616,1,1,0,362,5,357,2,26.040832,11.441142,0.019069,10.312169,41.424963,51.737132,51.737132,26.040832,2.287744,2294,15444,17738,0.129327,13362,0.753298,1472,0,343,12,7,3,0,7,0,0,0.816594,0.986188,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0416666666666665,1,3,3,0.42857142857142855,0.03498542274052478,2.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
smart-calm,2,600.0,7,7,0,0.428571,0.428571,0.0,20.287744,10.858496,20.287744,15.143872,28.787744,3,3,0,379,15,364,8,27.263744,12.312383,0.020521,10.796443,43.417723,54.214166,18.071389,9.087915,10.858496,2723,15848,18571,0.146626,13472,0.725432,1366,0,343,13,7,3,0,7,4,0,0.794998,0.960422,4,27,-2.162931,1,4,3,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0416666666666665,1,3,3,0.42857142857142855,0.037900874635568516,2.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
