protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,20.0,2,2,0,0.5,1.0,0.0,4.16604,2.397175,4.16604,3.730184,4.16604,2,1,0,29,24,5,5,2.086144,1.544218,0.077211,0.826113,3.435372,4.261485,4.261485,2.086144,2.397175,484,937,1421,0.340605,702,0.494018,262,93,0,0,0,0,0,0,0,0,0.0,0.172414,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
meshcore-like,1,20.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.260772,0.063039,1.424333,5.631076,7.055409,0.0,0.0,0.0,232,2218,2450,0.094694,1869,0.762857,170,0,49,1,1,0,0,2,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
calm-mesh,1,20.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.2837,0.064185,1.424333,5.601735,7.026068,0.0,0.0,0.0,256,2194,2450,0.10449,1812,0.739592,185,0,49,1,1,0,0,2,0,0,0.744999,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm,1,20.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,53,1,52,0,3.812608,1.516296,0.075815,1.509793,6.034518,7.544311,0.0,0.0,0.0,325,2272,2597,0.125144,1947,0.749711,195,0,49,3,1,0,0,2,1,0,0.76,0.981132,1,0,0.0,0,2,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.061224489795918366,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm-static,1,20.0,2,2,0,0.5,0.5,0.0,15.766011,15.622139,15.766011,15.622139,15.766011,1,1,0,62,10,52,2,4.460032,1.879996,0.094,1.766173,7.022341,8.788513,8.788513,4.460032,15.622139,462,2576,3038,0.152074,2074,0.682686,302,36,49,1,1,0,0,2,10,0,0.744999,0.83871,0,0,0.0,1,0,2,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm-no-fallback,1,20.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,52,0,52,0,3.740672,1.44436,0.072218,1.481306,5.914708,7.396014,0.0,0.0,0.0,285,2263,2548,0.111852,1947,0.764129,195,0,49,3,1,0,0,2,0,0,0.76,1.0,1,0,0.0,0,2,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.061224489795918366,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
smart-calm-no-confidence,1,20.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,52,1,51,0,3.740672,1.516296,0.075815,1.481306,5.922043,7.40335,0.0,0.0,0.0,330,2218,2548,0.129513,1897,0.744505,211,0,49,2,1,0,0,2,1,0,0.759995,0.980769,1,0,0.0,0,2,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.04081632653061224,0.0,0.0003981124136949109,0.14939883325143355,0.9841673309635237,0.9999601044750567,0.9999999996501752,0.5183673469387755,0.3240816326530612
meshtastic-like,2,20.0,1,1,0,1.0,1.0,0.0,1.064687,0.920815,1.064687,0.920815,1.064687,1,1,0,14,12,2,2,1.007104,0.765716,0.038286,0.398813,1.655336,2.054149,2.054149,1.007104,0.920815,243,443,686,0.354227,344,0.501458,132,46,0,0,0,0,0,0,0,0,0.0,0.142857,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.0,0.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
meshcore-like,2,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.658122,0.082906,1.424333,5.748441,7.172774,0.0,0.0,0.0,295,2155,2450,0.120408,1841,0.751429,233,0,49,1,1,0,0,1,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
calm-mesh,2,20.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,0,50,0,3.5968,1.613196,0.08066,1.424333,5.760667,7.184999,0.0,0.0,0.0,260,2190,2450,0.106122,1951,0.796327,192,0,49,1,1,0,0,1,0,0,0.745,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_singleflow,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,1,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.00016086249559578458,0.12042274795664898,0.9615593149113648,0.9999402237092,0.9999999999678921,0.5722448979591837,0.33877551020408164
