protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,36,18,18,0.722222,1.0,0.992063,1.109689,0.991394,1.109689,1.921666,2.63537,18,13,875,493,465,28,28,35.464448,27.228571,0.045381,14.043921,58.318191,72.362112,0.081489,0.039937,0.629494,7098,17059,24157,0.293828,11773,0.487354,4666,1613,0,0,0,0,0,0,0,0,0.0,0.056795,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0.0,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshcore-like,1,600.0,36,18,18,0.333333,0.333333,0.996599,0.587044,0.491129,0.587044,1.454754,1.634594,6,6,879,1769,906,863,8,127.254784,55.953252,0.093255,50.392894,202.056112,252.449007,0.285253,0.143791,0.671944,9911,76770,86681,0.114339,65005,0.749934,7284,0,833,22,18,7,0,18,0,0,0.0,0.487846,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,7,2,0.3888888888888889,0.026410564225690276,1.4285714285714286,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
calm-mesh,1,600.0,36,18,18,0.277778,0.333333,0.993197,2.287744,2.203819,2.287744,2.287744,2.431616,6,5,876,1237,368,869,9,88.984832,42.029557,0.070049,35.237993,141.877197,177.11519,0.201039,0.101004,0.612109,8012,52601,60613,0.132183,44246,0.729975,5372,858,833,27,18,8,0,18,17,1,0.824617,0.702506,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,8,5,0.4444444444444444,0.03241296518607443,1.75,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm,1,600.0,36,18,18,0.722222,0.888889,0.936508,9.767599,9.031693,9.767599,15.833846,21.726473,16,13,826,1310,419,891,30,94.23616,47.340618,0.078901,37.317519,150.899633,188.217152,0.224335,0.11232,0.781731,9859,54331,64190,0.153591,45354,0.706559,5944,1022,834,27,18,9,0,18,103,1,0.814742,0.680153,4,38,15.261266,2,1,12,5,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,9,6,0.5,0.03237410071942446,1.8888888888888888,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm-static,1,600.0,36,18,18,0.722222,0.888889,0.993197,11.543542,12.28717,11.543542,19.646091,21.782411,16,13,876,1367,436,931,25,98.336512,47.718614,0.079531,38.941259,157.012394,195.953653,0.22042,0.110615,0.827812,9800,57183,66983,0.146306,47315,0.706373,6087,972,882,24,18,9,0,18,80,0,0.825786,0.681053,0,0,0.0,1,0,18,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,9,4,0.5,0.027210884353741496,1.4444444444444444,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm-no-fallback,1,600.0,36,18,18,0.444444,0.444444,0.995465,12.26976,10.536856,12.26976,24.893872,25.037744,8,8,878,1238,366,872,14,89.056768,44.235442,0.073726,35.26648,142.324651,177.591131,0.200441,0.100516,0.677436,8636,52026,60662,0.142363,43747,0.72116,5566,815,834,24,18,8,0,18,0,1,0.82261,0.704362,3,38,-1.15455,2,1,17,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,8,5,0.4444444444444444,0.02877697841726619,1.625,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
smart-calm-no-confidence,1,600.0,36,18,18,0.611111,0.833333,0.88322,11.001552,9.459815,11.001552,15.885773,23.153351,15,11,779,1272,391,881,26,91.502592,46.542962,0.077572,36.235026,146.674492,182.909518,0.231531,0.115826,0.68419,9266,53062,62328,0.148665,44661,0.716548,5602,925,833,22,18,10,0,18,82,0,0.798251,0.69261,5,38,10.037575,2,1,12,5,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,10,4,0.5555555555555556,0.026410564225690276,1.4,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshtastic-like,2,600.0,35,18,17,0.722222,1.0,0.995198,0.348659,0.419438,0.348659,1.560082,1.434117,18,13,829,473,451,22,22,34.025728,25.955622,0.043259,13.474188,55.921988,69.396177,0.082418,0.040411,0.628099,6854,16323,23177,0.295724,10915,0.470941,4673,1583,0,0,0,0,0,0,0,0,0.0,0.046512,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0.0,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
meshcore-like,2,600.0,35,18,17,0.555556,0.555556,1.0,0.287744,0.215808,0.287744,0.215808,0.287744,10,10,833,1770,860,910,10,127.32672,55.884356,0.093141,50.421381,202.638047,253.059428,0.300189,0.15104,0.496243,9981,76749,86730,0.115081,65691,0.75742,7118,0,880,20,18,10,0,18,0,0,0.0,0.514124,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,10,0,0.5555555555555556,0.022727272727272728,1.0,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
calm-mesh,2,600.0,35,18,17,0.555556,0.555556,0.9988,2.28055,2.187034,2.28055,2.287744,2.431616,10,10,832,1238,319,919,13,89.056768,43.443409,0.072406,35.26648,142.591167,177.857647,0.211232,0.105768,0.492513,8470,52192,60662,0.139626,44016,0.725594,5529,770,881,25,18,12,0,18,0,0,0.883811,0.742326,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,12,5,0.6666666666666666,0.028376844494892167,1.4166666666666667,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
