protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,route_discovery_success_rate,evaluation_variant,scenario
meshcore-like,1,1200.0,117,55,62,0.363636,0.727273,0.93318,0.493568,0.46889,0.493568,0.740352,0.493568,40,20,2835,3919,2927,992,40,967.146496,119.136613,0.099281,382.990012,1191.986702,1574.976715,0.551656,0.338755,0.451408,9037,182994,192031,0.04706,83170,0.433107,1429,0,933,19,21,18,25,30,0,0,0.0,0.253126,0,0,0.0,-1,0,0,0,0.8571428571428571,meshcore-reference,main_mixed_recovery_budget
calm-mesh,1,1200.0,117,55,62,0.745455,0.8,0.949638,1.254743,1.007124,1.254743,2.493568,2.740352,44,41,2885,3420,2625,795,44,844.00128,119.984671,0.099987,334.224507,1061.147743,1395.37225,0.476887,0.288449,0.518317,9756,157824,167580,0.058217,75678,0.451593,1288,795,736,15,16,14,36,19,44,8,0.949115,0.232456,0,0,0.0,-1,0,0,0,0.875,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,1,1200.0,117,55,62,0.745455,0.8,0.954575,1.205963,0.96167,1.205963,2.493568,2.740352,44,41,2900,3386,2591,795,44,835.610624,118.371977,0.098643,330.901807,1047.726642,1378.628449,0.468762,0.284125,0.455724,9953,155961,165914,0.059989,73965,0.445803,1400,784,736,15,16,15,38,17,0,8,0.949854,0.23479,0,0,0.0,-1,0,0,0,0.9375,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,2,1200.0,125,69,56,0.376812,0.652174,0.951531,0.702385,0.504536,0.702385,0.987136,1.974272,45,26,2611,3778,2740,1038,62,932.349952,133.445785,0.111205,369.210581,1158.937241,1528.147822,0.579502,0.353565,0.424435,11548,173574,185122,0.06238,79688,0.430462,1829,0,950,26,20,18,37,32,0,0,0.0,0.274749,0,0,0.0,-1,0,0,0,0.9,meshcore-reference,main_mixed_recovery_budget
calm-mesh,2,1200.0,125,69,56,0.478261,0.521739,0.965015,1.196339,0.925981,1.196339,2.493568,2.740352,36,33,2648,3156,2452,704,39,778.850304,119.720769,0.099767,308.42472,997.439454,1305.864174,0.487081,0.290507,0.518387,8691,145953,154644,0.0562,74506,0.48179,1639,836,654,11,16,7,29,40,120,9,0.948611,0.223067,0,0,0.0,-1,0,0,0,0.4375,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,2,1200.0,125,69,56,0.362319,0.405797,0.95809,0.942925,0.728238,0.942925,2.493568,2.740352,28,25,2629,2972,2349,623,28,733.442048,102.564525,0.08547,290.443051,925.082943,1215.525994,0.457998,0.276353,0.465937,7509,138119,145628,0.051563,67478,0.463359,1372,718,584,11,14,6,24,45,0,6,0.94477,0.209623,0,0,0.0,-1,0,0,0,0.42857142857142855,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,3,1200.0,125,79,46,0.329114,0.518987,1.0,0.493568,0.403281,0.493568,0.740352,0.493568,41,26,2254,3088,2343,745,41,762.068992,93.997356,0.078331,301.779321,926.99545,1228.774771,0.538936,0.334241,0.290897,7952,143360,151312,0.052554,61945,0.409386,1039,0,690,14,18,13,30,49,0,0,0.0,0.241256,0,0,0.0,-1,0,0,0,0.7222222222222222,meshcore-reference,main_mixed_recovery_budget
calm-mesh,3,1200.0,125,79,46,0.683544,0.721519,0.978261,1.103964,0.920206,1.103964,2.493568,2.740352,57,54,2205,2997,2189,808,59,739.611648,110.629877,0.092192,292.886213,918.875684,1211.761896,0.536415,0.327407,0.336202,10376,136477,146853,0.070656,62148,0.423199,1181,625,735,14,18,13,50,29,166,10,0.951789,0.269603,0,0,0.0,-1,0,0,0,0.7222222222222222,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,3,1200.0,125,79,46,0.734177,0.759494,0.978261,0.95842,0.696141,0.95842,2.493568,2.740352,60,58,2205,2874,2063,811,60,709.257216,103.111034,0.085926,280.865858,871.868277,1152.734135,0.509383,0.313415,0.2754,10418,130408,140826,0.073978,57050,0.40511,926,455,737,14,17,13,58,21,0,9,0.951326,0.282185,0,0,0.0,-1,0,0,0,0.7647058823529411,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,4,1200.0,123,53,70,0.226415,0.45283,0.968513,0.493568,0.493568,0.493568,0.740352,0.493568,24,12,3322,4290,3413,877,24,1058.70336,127.360239,0.106134,419.246531,1301.435781,1720.682312,0.516101,0.317547,0.368131,8808,201206,210014,0.04194,91655,0.436423,2149,0,833,20,18,12,15,38,0,0,0.0,0.204429,0,0,0.0,-1,0,0,0,0.6666666666666666,meshcore-reference,main_mixed_recovery_budget
calm-mesh,4,1200.0,123,53,70,0.509434,0.641509,0.933819,1.159282,1.397025,1.159282,3.998228,2.740352,34,27,3203,3814,2893,921,35,941.234176,148.69865,0.123916,372.728734,1214.106354,1586.835088,0.49128,0.291404,0.481439,10318,176568,186886,0.05521,92370,0.494259,2462,1115,872,14,18,10,27,26,147,11,0.952659,0.241479,0,0,0.0,-1,0,0,0,0.5555555555555556,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,4,1200.0,123,53,70,0.528302,0.584906,0.950437,1.135506,0.971553,1.135506,2.493568,2.740352,31,28,3260,3614,2767,847,31,891.877376,135.694217,0.113079,353.183441,1138.184863,1491.368304,0.453579,0.271252,0.533018,10046,166942,176988,0.056761,84184,0.475648,2306,1066,801,15,17,11,27,26,0,9,0.950246,0.234366,0,0,0.0,-1,0,0,0,0.6470588235294118,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,5,1200.0,105,54,51,0.277778,0.481481,0.980392,0.822613,0.578993,0.822613,1.480704,2.961408,26,15,2450,3332,2548,784,40,822.284288,113.489263,0.094574,325.624578,1027.73759,1353.362168,0.549031,0.333584,0.358941,8868,154400,163268,0.054316,72893,0.446462,1820,0,722,22,16,11,19,35,0,0,0.0,0.235294,0,0,0.0,-1,0,0,0,0.6875,meshcore-reference,main_mixed_recovery_budget
calm-mesh,5,1200.0,105,54,51,0.740741,0.814815,0.979192,1.217603,1.100737,1.217603,2.493568,2.740352,44,40,2447,3316,2381,935,47,818.335744,124.772094,0.103977,324.060955,1033.366064,1357.427019,0.545809,0.329045,0.415163,9905,152579,162484,0.06096,74084,0.455946,1702,747,874,14,21,14,33,21,167,13,0.955267,0.281966,0,0,0.0,-1,0,0,0,0.6666666666666666,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,5,1200.0,105,54,51,0.648148,0.648148,1.0,1.135506,0.888722,1.135506,2.493568,2.740352,35,35,2499,3063,2277,786,35,755.899392,104.332465,0.086944,299.336159,936.742525,1236.078684,0.487797,0.298303,0.334604,8530,141557,150087,0.056834,64807,0.431796,1304,611,737,14,17,12,29,25,0,9,0.953303,0.256611,0,0,0.0,-1,0,0,0,0.7058823529411765,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,6,1200.0,107,62,45,0.548387,0.822581,0.955556,0.580668,0.435501,0.580668,0.740352,0.987136,51,34,2107,3354,2217,1137,56,827.713536,113.288272,0.094407,327.77456,1026.689066,1354.463626,0.632631,0.386601,0.540779,10366,153980,164346,0.063074,70094,0.426503,1399,0,1055,26,22,21,37,25,0,0,0.0,0.338998,0,0,0.0,-1,0,0,0,0.9545454545454546,meshcore-reference,main_mixed_recovery_budget
calm-mesh,6,1200.0,107,62,45,0.806452,0.870968,0.954195,1.02786,0.824713,1.02786,2.493568,2.740352,54,50,2104,2671,1924,747,54,659.160064,106.312231,0.088594,261.027385,836.85598,1097.883365,0.509695,0.306017,0.49947,9705,121174,130879,0.074152,58977,0.450622,1236,653,679,14,15,13,43,19,43,8,0.95191,0.279671,0,0,0.0,-1,0,0,0,0.8666666666666667,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,6,1200.0,107,62,45,0.790323,0.854839,0.954649,0.997948,0.797882,0.997948,2.493568,2.740352,53,49,2105,2666,1920,746,53,657.926144,101.987277,0.084989,260.538753,828.820096,1089.358849,0.505738,0.305444,0.42326,9494,121140,130634,0.072676,57555,0.440582,1121,579,679,14,15,13,43,19,0,8,0.95191,0.27982,0,0,0.0,-1,0,0,0,0.8666666666666667,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,7,1200.0,128,68,60,0.558824,0.75,0.933333,0.493568,0.372595,0.493568,0.740352,0.493568,51,38,2744,3746,2856,890,51,924.452864,125.093192,0.104244,366.083334,1145.147059,1511.230394,0.543217,0.332298,0.396373,10465,173089,183554,0.057013,79170,0.431317,1780,0,822,17,17,15,40,28,0,0,0.0,0.237587,0,0,0.0,-1,0,0,0,0.8823529411764706,meshcore-reference,main_mixed_recovery_budget
calm-mesh,7,1200.0,128,68,60,0.808824,0.823529,0.967347,0.983775,0.833912,0.983775,2.493568,2.740352,56,55,2844,3309,2562,747,56,816.608256,126.068639,0.105057,323.376869,1035.60571,1358.98258,0.468776,0.281686,0.428155,11080,151061,162141,0.068336,73744,0.454814,1584,813,678,13,14,12,45,23,40,6,0.942795,0.225748,0,0,0.0,-1,0,0,0,0.8571428571428571,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,7,1200.0,128,68,60,0.794118,0.808824,0.966327,0.992853,0.736991,0.992853,2.493568,2.740352,55,54,2841,3250,2497,753,55,802.048,125.950934,0.104959,317.611008,1019.039039,1336.650047,0.46171,0.277046,0.45107,11223,148027,159250,0.070474,72516,0.455359,1764,807,685,13,14,12,45,23,0,6,0.942795,0.231692,0,0,0.0,-1,0,0,0,0.8571428571428571,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,8,1200.0,125,63,62,0.428571,0.746032,0.951613,0.530129,0.462064,0.530129,0.740352,0.839066,47,27,2891,4160,3010,1150,49,1026.62144,126.53485,0.105446,406.54209,1252.926889,1659.468979,0.568701,0.351824,0.302497,10565,193275,203840,0.05183,84382,0.413962,1606,0,1078,23,22,21,32,31,0,0,0.0,0.276442,0,0,0.0,-1,0,0,0,0.9545454545454546,meshcore-reference,main_mixed_recovery_budget
calm-mesh,8,1200.0,125,63,62,0.761905,0.761905,0.983871,1.055264,0.80848,1.055264,2.493568,2.740352,48,48,2989,3447,2699,748,48,850.664448,110.699628,0.09225,336.863121,1045.528937,1382.392058,0.455183,0.2801,0.274055,9995,158908,168903,0.059176,70411,0.416872,960,637,686,14,14,13,39,24,0,6,0.94591,0.217,0,0,0.0,-1,0,0,0,0.9285714285714286,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,8,1200.0,125,63,62,0.761905,0.761905,0.983871,1.055264,0.80848,1.055264,2.493568,2.740352,48,48,2989,3447,2699,748,48,850.664448,110.699628,0.09225,336.863121,1045.528937,1382.392058,0.455183,0.2801,0.274055,9995,158908,168903,0.059176,70411,0.416872,960,637,686,14,14,13,39,24,0,6,0.94591,0.217,0,0,0.0,-1,0,0,0,0.9285714285714286,calm-no-route-miss-fallback,main_mixed_recovery_budget
