protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.836364,0.945455,0.94865,0.493568,0.442815,0.493568,2.038478,0.493568,52,46,2882,4618,4564,54,54,1139.648512,166.780748,0.138984,451.300811,1499.95903,1951.259841,0.666414,0.389224,0.62641,10833,215449,226282,0.047874,120935,0.534444,3111,1937,0,0,0,0,0,0,0.0,0.011693,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.4,0.781818,0.939434,0.493568,0.464872,0.493568,0.740352,0.493568,43,22,2854,4101,2957,1144,43,1012.061184,128.201024,0.106834,400.776229,1249.017993,1649.794222,0.573642,0.351899,0.417068,9772,191177,200949,0.048629,87154,0.433712,1640,0,1079,22,28,27,0,0,0.0,0.278956,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,55,62,0.781818,0.854545,0.938117,1.21934,0.958592,1.21934,2.493568,2.740352,47,43,2850,3420,2622,798,47,844.00128,120.520717,0.100434,334.224507,1059.847574,1394.072081,0.481878,0.291739,0.466512,10114,157466,167580,0.060353,74987,0.44747,1396,817,736,15,38,17,44,8,0.949854,0.233333,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,55,62,0.945455,0.981818,0.94865,2.58718,2.540633,2.58718,15.246784,15.493568,54,52,2882,3267,2618,649,56,806.243328,129.322449,0.107769,319.272358,1027.871801,1347.144159,0.459149,0.274793,0.506103,11123,148960,160083,0.069483,73938,0.461873,1728,917,581,12,43,12,2,4,0.947899,0.198653,3,95,104.816266,0,54,1,0
smart-calm-static,1,1200.0,117,55,62,0.945455,0.981818,0.937788,4.516802,3.607061,4.516802,15.246784,15.493568,54,52,2849,3499,2691,808,58,863.497216,134.153183,0.111794,341.944898,1091.722689,1433.667587,0.494198,0.297655,0.534526,11513,159938,171451,0.06715,77385,0.451353,1872,930,735,15,37,18,137,7,0.945995,0.230923,0,0,0.0,1,0,55,0
smart-calm-no-fallback,1,1200.0,117,55,62,0.836364,0.872727,0.96445,0.903738,0.639864,0.903738,2.093568,2.340352,48,46,2930,3215,2616,599,49,793.41056,122.643385,0.102203,314.190582,1001.004434,1315.195016,0.441934,0.266603,0.504596,10258,147277,157535,0.065116,70914,0.450148,1585,865,539,11,43,12,7,5,0.944844,0.186314,4,94,88.673712,1,33,22,0
smart-calm-no-confidence,1,1200.0,117,55,62,0.945455,0.981818,0.94865,2.58718,2.540633,2.58718,15.246784,15.493568,54,52,2882,3267,2618,649,56,806.243328,129.322449,0.107769,319.272358,1027.871801,1347.144159,0.459149,0.274793,0.506103,11123,148960,160083,0.069483,73938,0.461873,1728,917,581,12,43,12,2,4,0.947899,0.198653,3,95,104.816266,0,54,1,0
meshtastic-like,2,1200.0,125,69,56,0.797101,0.971014,0.961006,0.720111,0.656664,0.720111,3.358545,2.573261,67,55,2637,4936,4856,80,80,1218.125824,187.101654,0.155918,482.377826,1611.052194,2093.430021,0.777649,0.452498,0.630181,12873,228991,241864,0.053224,130152,0.538121,3961,2364,0,0,0,0,0,0,0.0,0.016207,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.275362,0.463768,0.956997,0.495899,0.433256,0.495899,0.740352,0.497997,32,19,2626,3445,2713,732,32,850.17088,112.326649,0.093606,336.667668,1056.467134,1393.134803,0.526705,0.321426,0.435053,8500,160305,168805,0.050354,74743,0.442777,2041,0,683,17,23,46,0,0,0.0,0.212482,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,125,69,56,0.463768,0.536232,0.943513,1.086753,1.103763,1.086753,3.473247,2.740352,37,32,2589,3111,2433,678,37,767.745024,118.273113,0.098561,304.02703,988.447316,1292.474346,0.493123,0.292921,0.443148,8962,143477,152439,0.058791,74325,0.487572,1977,945,630,11,29,40,153,9,0.948079,0.217936,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,125,69,56,0.855072,0.927536,0.930758,6.97982,6.342981,6.97982,15.246784,15.493568,64,59,2554,3960,3195,765,76,977.26464,150.337335,0.125281,386.996797,1246.451208,1633.448005,0.625124,0.374001,0.593639,12552,181488,194040,0.064688,90937,0.468651,2196,1119,677,12,33,36,910,10,0.920054,0.193182,4,107,98.545313,1,6,63,0
smart-calm-static,2,1200.0,125,69,56,0.855072,0.927536,0.946793,7.679702,7.07035,7.679702,15.246784,15.493568,64,59,2598,4141,3434,707,66,1021.932544,154.040124,0.128367,404.685287,1299.31357,1703.998857,0.641324,0.384619,0.654643,12227,190682,202909,0.060259,95018,0.468279,2509,1276,630,11,29,40,1143,9,0.946924,0.170732,0,0,0.0,1,0,69,0
smart-calm-no-fallback,2,1200.0,125,69,56,0.405797,0.42029,0.96465,1.040749,0.745897,1.040749,2.733568,3.000352,29,28,2647,3145,2472,673,30,776.13568,116.201256,0.096834,307.349729,997.078762,1304.428491,0.487637,0.290144,0.428352,8442,145663,154105,0.054781,75226,0.488148,1975,904,633,10,24,45,167,7,0.937936,0.21399,10,106,-7.321066,1,10,44,15
smart-calm-no-confidence,2,1200.0,125,69,56,0.855072,0.927536,0.930758,6.97982,6.342981,6.97982,15.246784,15.493568,64,59,2554,3960,3195,765,76,977.26464,150.337335,0.125281,386.996797,1246.451208,1633.448005,0.625124,0.374001,0.593639,12552,181488,194040,0.064688,90937,0.468651,2196,1119,677,12,33,36,910,10,0.920054,0.193182,4,107,98.545313,1,6,63,0
meshtastic-like,3,1200.0,125,79,46,0.860759,0.962025,0.891304,0.722002,0.621492,0.722002,2.932294,2.209144,76,68,2009,4793,4704,89,89,1182.835712,172.435361,0.143696,468.402942,1546.547027,2014.949969,0.970125,0.569492,0.334716,12575,222282,234857,0.053543,121727,0.518303,3209,2084,0,0,0,0,0,0,0.0,0.018569,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,125,79,46,0.329114,0.518987,1.0,0.493568,0.403281,0.493568,0.740352,0.493568,41,26,2254,3138,2343,795,41,774.408192,97.397998,0.081165,306.665644,950.742411,1257.408055,0.551495,0.339653,0.307141,8268,145494,153762,0.053771,64741,0.421047,1255,0,738,16,30,49,0,0,0.0,0.253346,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,125,79,46,0.594937,0.620253,1.0,1.056714,0.786944,1.056714,2.493568,2.740352,49,47,2254,2855,2153,702,49,704.56832,100.754058,0.083962,279.009055,872.472227,1151.481282,0.500426,0.306201,0.352933,9495,130400,139895,0.067872,58897,0.421009,1255,593,639,14,42,37,81,7,0.947834,0.245884,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,125,79,46,0.810127,0.911392,0.93567,6.482128,6.317724,6.482128,15.246784,15.493568,72,64,2109,3528,2655,873,75,870.653952,138.927092,0.115773,344.778965,1093.593255,1438.37222,0.661929,0.400669,0.53122,12396,160476,172872,0.071706,75775,0.43833,1833,877,785,13,40,39,718,10,0.949027,0.247449,9,118,91.678118,0,26,53,0
smart-calm-static,3,1200.0,125,79,46,0.924051,0.962025,0.954303,6.75687,6.302143,6.75687,15.246784,15.493568,76,73,2151,3754,2975,779,81,926.427136,137.161713,0.114301,366.865146,1155.489695,1522.354841,0.684512,0.416559,0.563544,12684,171262,183946,0.068955,79267,0.430925,1611,812,684,14,42,37,1015,7,0.947707,0.207512,0,0,0.0,1,0,79,0
smart-calm-no-fallback,3,1200.0,125,79,46,0.367089,0.392405,0.999556,2.125467,1.738123,2.125467,2.693568,2.980352,31,29,2253,2745,2113,632,34,677.42208,97.595473,0.08133,268.259144,848.775595,1117.034739,0.489498,0.296855,0.39209,7782,126723,134505,0.057857,60111,0.446905,1493,684,587,11,25,54,124,6,0.929518,0.230237,18,117,-22.91377,0,37,10,32
smart-calm-no-confidence,3,1200.0,125,79,46,0.810127,0.911392,0.93567,6.482128,6.317724,6.482128,15.246784,15.493568,72,64,2109,3528,2655,873,75,870.653952,138.927092,0.115773,344.778965,1093.593255,1438.37222,0.661929,0.400669,0.53122,12396,160476,172872,0.071706,75775,0.43833,1833,877,785,13,40,39,718,10,0.949027,0.247449,9,118,91.678118,0,26,53,0
meshtastic-like,4,1200.0,123,53,70,0.792453,0.943396,0.907872,0.569841,0.807808,0.569841,4.104005,0.493568,50,42,3114,4533,4472,61,61,1118.671872,166.406441,0.138672,442.994061,1475.51585,1918.509911,0.607893,0.354459,0.53914,11367,210554,221921,0.051221,118605,0.534447,3528,2134,0,0,0,0,0,0,0.0,0.013457,0,0,0.0,-1,0,0,0
meshcore-like,4,1200.0,123,53,70,0.264151,0.54717,0.953061,0.493568,0.485058,0.493568,0.740352,0.493568,29,14,3269,4341,3362,979,29,1071.289344,126.146536,0.105122,424.23058,1313.539937,1737.770517,0.529324,0.326314,0.339852,9139,203276,212415,0.043024,91415,0.43036,2001,0,930,20,19,34,0,0,0.0,0.225524,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,123,53,70,0.528302,0.622642,0.954227,1.135506,1.162078,1.135506,2.970685,2.740352,33,28,3273,3738,2937,801,36,922.478592,132.151419,0.110126,365.301522,1168.868856,1534.170378,0.464759,0.279454,0.435349,9919,173047,182966,0.054212,85467,0.46712,2061,1011,751,14,27,26,63,8,0.948741,0.214286,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,123,53,70,0.811321,0.867925,0.980758,5.435918,5.252485,5.435918,15.246784,15.493568,46,43,3364,3780,3131,649,49,932.84352,137.674879,0.114729,369.406034,1179.370867,1548.776901,0.454587,0.273802,0.545264,11093,173980,185073,0.059939,84804,0.458219,1993,1128,588,12,32,21,200,4,0.935607,0.171693,4,92,77.957064,2,38,0,15
smart-calm-static,4,1200.0,123,53,70,0.90566,0.943396,0.967347,7.236024,6.275671,7.236024,15.246784,15.493568,50,48,3318,4154,3311,843,57,1025.140736,150.958332,0.125799,405.955731,1304.07806,1710.033792,0.508031,0.304558,0.508428,12309,191139,203448,0.060502,95064,0.467264,2293,1254,772,14,27,26,452,8,0.949405,0.202937,0,0,0.0,1,0,53,0
smart-calm-no-fallback,4,1200.0,123,53,70,0.641509,0.679245,0.968805,1.10695,0.849611,1.10695,2.093568,2.340352,36,34,3323,3513,2881,632,37,866.952192,132.659918,0.11055,343.313068,1105.496094,1448.809162,0.431579,0.258252,0.556533,10197,161940,172137,0.059238,81272,0.472136,2079,1128,582,13,32,21,12,4,0.951147,0.179903,1,92,51.01905,0,53,0,0
smart-calm-no-confidence,4,1200.0,123,53,70,0.811321,0.867925,0.980758,5.435918,5.252485,5.435918,15.246784,15.493568,46,43,3364,3780,3131,649,49,932.84352,137.674879,0.114729,369.406034,1179.370867,1548.776901,0.454587,0.273802,0.545264,11093,173980,185073,0.059939,84804,0.458219,1993,1128,588,12,32,21,200,4,0.935607,0.171693,4,92,77.957064,2,38,0,15
meshtastic-like,5,1200.0,105,54,51,0.777778,0.907407,0.987995,0.493568,0.563274,0.493568,3.431313,0.493568,49,42,2469,4160,4111,49,49,1026.62144,143.288814,0.119407,406.54209,1337.773412,1744.315503,0.69467,0.40885,0.387033,9544,194296,203840,0.046821,106142,0.520712,2551,1610,0,0,0,0,0,0,0.0,0.011779,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,105,54,51,0.351852,0.611111,0.980392,0.493568,0.44122,0.493568,0.740352,0.493568,33,19,2450,3370,2538,832,33,831.66208,104.40651,0.087005,329.338184,1024.424255,1353.762439,0.548304,0.336842,0.313315,8135,156995,165130,0.049264,71083,0.430467,1627,0,783,16,23,31,0,0,0.0,0.246884,0,0,0.0,-1,0,0,0
calm-mesh,5,1200.0,105,54,51,0.62963,0.703704,0.987595,1.279292,1.149026,1.279292,2.618049,2.740352,38,34,2468,3101,2318,783,39,765.277184,115.421528,0.096185,303.049765,965.841149,1268.890914,0.507151,0.305866,0.367812,9109,142840,151949,0.059948,69276,0.455916,1804,760,731,13,29,25,117,9,0.950934,0.252499,0,0,0.0,-1,0,0,0
smart-calm,5,1200.0,105,54,51,0.888889,0.944444,1.0,6.625123,5.914028,6.625123,15.730224,15.493568,51,48,2499,3331,2530,801,54,822.037504,124.007447,0.10334,325.526852,1041.527771,1367.054623,0.536731,0.322747,0.460107,10574,152645,163219,0.064784,74652,0.457373,1615,716,733,14,29,25,237,9,0.947245,0.240468,7,94,91.183086,0,29,25,0
smart-calm-static,5,1200.0,105,54,51,0.888889,0.944444,0.9988,6.675123,5.973622,6.675123,15.617184,15.493568,51,48,2496,3553,2752,801,56,876.823552,131.520677,0.109601,347.222127,1103.977832,1451.199959,0.57044,0.344663,0.49494,10872,163225,174097,0.062448,78309,0.449801,1931,877,732,13,29,25,523,9,0.945978,0.225443,0,0,0.0,1,0,54,0
smart-calm-no-fallback,5,1200.0,105,54,51,0.796296,0.814815,0.980392,1.122944,0.864567,1.122944,2.493568,2.740352,44,43,2450,3088,2285,803,52,762.068992,112.751354,0.093959,301.779321,950.851457,1252.630778,0.502459,0.305684,0.305207,10087,141225,151312,0.066664,65581,0.433416,1360,591,736,15,35,19,52,9,0.929494,0.260039,7,94,77.361707,0,38,16,0
smart-calm-no-confidence,5,1200.0,105,54,51,0.888889,0.944444,1.0,6.625123,5.914028,6.625123,15.730224,15.493568,51,48,2499,3331,2530,801,54,822.037504,124.007447,0.10334,325.526852,1041.527771,1367.054623,0.536731,0.322747,0.460107,10574,152645,163219,0.064784,74652,0.457373,1615,716,733,14,29,25,237,9,0.947245,0.240468,7,94,91.183086,0,29,25,0
meshtastic-like,6,1200.0,107,62,45,0.83871,0.903226,0.973696,0.493568,0.41268,0.493568,1.266014,0.493568,56,52,2147,4091,4034,57,57,1009.593344,153.743454,0.12812,399.798964,1331.76747,1731.566434,0.787434,0.459115,0.723028,10315,190144,200459,0.051457,107236,0.534952,2830,1690,0,0,0,0,0,0,0.0,0.013933,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,107,62,45,0.516129,0.774194,0.923356,0.524416,0.431872,0.524416,0.740352,0.715674,48,32,2036,3170,2123,1047,48,782.30528,106.238267,0.088532,309.792891,975.479178,1285.272068,0.621505,0.378291,0.478664,9152,146178,155330,0.05892,68168,0.438859,1364,0,979,20,34,28,0,0,0.0,0.330284,0,0,0.0,-1,0,0,0
calm-mesh,6,1200.0,107,62,45,0.83871,0.935484,0.932426,1.050518,0.92404,1.050518,2.493568,2.740352,58,52,2056,2745,1949,796,58,677.42208,104.639789,0.0872,268.259144,851.233334,1119.492478,0.531069,0.321358,0.397698,9853,124603,134456,0.07328,58616,0.435949,1059,553,724,14,45,17,76,9,0.954053,0.289982,0,0,0.0,-1,0,0,0
smart-calm,6,1200.0,107,62,45,0.951613,0.967742,0.933333,2.363307,1.366141,2.363307,2.751229,15.493568,60,59,2058,2558,1894,664,63,631.273472,97.378006,0.081148,249.984295,785.578986,1035.563281,0.489165,0.298192,0.377968,10084,115258,125342,0.080452,51968,0.41461,842,475,589,12,48,14,0,5,0.959002,0.259578,5,99,109.315506,0,61,0,1
smart-calm-static,6,1200.0,107,62,45,0.951613,0.967742,0.943764,4.213362,2.979474,4.213362,15.246784,15.493568,60,59,2081,2855,2095,760,63,704.56832,110.488474,0.092074,279.009055,887.696788,1166.705843,0.54519,0.329238,0.520857,10555,129340,139895,0.075449,61240,0.437757,1227,599,683,14,43,19,234,9,0.951524,0.2662,0,0,0.0,1,0,62,0
