protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.8320707,0.047316039,0.809926367,0.854215033
meshtastic-like,destination_unicast_pdr,20,0.95130315,0.017478548,0.943123032,0.959483268
meshtastic-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshtastic-like,avg_delay_s,20,0.65183395,0.082329592,0.613302958,0.690364942
meshtastic-like,mean_delivery_delay_s,20,0.6139571,0.14283451,0.54710926,0.68080494
meshtastic-like,unicast_delivery_delay_s,20,0.6139571,0.14283451,0.54710926,0.68080494
meshtastic-like,unicast_ack_delay_s,20,0.65183395,0.082329592,0.613302958,0.690364942
meshtastic-like,p95_unicast_delivery_delay_s,20,2.81795555,1.011367869,2.344626257,3.291284843
meshtastic-like,p95_unicast_ack_delay_s,20,1.5941467,0.877518484,1.183460128,2.004833272
meshtastic-like,tx_count,20,4664.15,472.603792554,4442.967158564,4885.332841436
meshtastic-like,data_tx,20,4534.4,457.326372,4320.367129303,4748.432870697
meshtastic-like,control_tx,20,129.75,16.735952476,121.917423154,137.582576846
meshtastic-like,ack_tx,20,129.75,16.735952476,121.917423154,137.582576846
meshtastic-like,total_airtime_s,20,1151.0375936,116.631054342,1096.453207259,1205.621979941
meshtastic-like,channel_busy_time_s,20,184.6780994,22.158265528,174.307831095,195.048367705
meshtastic-like,channel_busy_ratio,20,0.15389845,0.018465154,0.145256591,0.162540309
meshtastic-like,tx_energy_j,20,455.8108871,46.185897683,434.195470033,477.426304167
meshtastic-like,rx_energy_j,20,1523.84691265,157.127152361,1450.30998685,1597.38383845
meshtastic-like,total_energy_j,20,1979.65779965,203.238385122,1884.54040064,2074.77519866
meshtastic-like,energy_per_delivery_j,20,19.99751835,1.099504698,19.482940225,20.512096475
meshtastic-like,airtime_per_delivery_s,20,11.62771705,0.617916791,11.338526414,11.916907686
meshtastic-like,rx_attempts,20,228536.0,23160.672729072,217696.596075405,239375.403924595
meshtastic-like,packet_reception_ratio,20,0.06056045,0.001609255,0.059807304,0.061313596
meshtastic-like,collision_fail,20,121226.75,13038.470873675,115124.627923838,127328.872076162
meshtastic-like,collision_rate,20,0.53019135,0.009585479,0.525705259,0.534677441
meshtastic-like,duplicate_rx,20,2903.0,455.623343979,2689.764161791,3116.235838209
meshtastic-like,suppressed_forwards,20,1841.15,244.501270043,1726.721198338,1955.578801662
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.02776615,0.001520702,0.027054448,0.028477852
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.7664462,0.110615733,0.714677038,0.818215362
meshcore-like,destination_unicast_pdr,20,0.7896437,0.106926849,0.739600969,0.839686431
meshcore-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshcore-like,avg_delay_s,20,0.8002941,0.04685568,0.778365219,0.822222981
meshcore-like,mean_delivery_delay_s,20,0.56249025,0.044475733,0.541675206,0.583305294
meshcore-like,unicast_delivery_delay_s,20,0.56249025,0.044475733,0.541675206,0.583305294
meshcore-like,unicast_ack_delay_s,20,0.8002941,0.04685568,0.778365219,0.822222981
meshcore-like,p95_unicast_delivery_delay_s,20,2.493568,0.0,2.493568,2.493568
meshcore-like,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
meshcore-like,tx_count,20,925.35,76.083939103,889.742029637,960.957970363
meshcore-like,data_tx,20,99.55,14.705799071,92.667553275,106.432446725
meshcore-like,control_tx,20,825.8,65.266740139,795.254576407,856.345423593
meshcore-like,ack_tx,20,93.9,14.201186014,87.253716741,100.546283259
meshcore-like,total_airtime_s,20,228.3615744,18.776298828,219.574097042,237.149051758
meshcore-like,channel_busy_time_s,20,70.01316105,7.321391351,66.586683802,73.439638298
meshcore-like,channel_busy_ratio,20,0.0583443,0.0061011,0.05548893,0.06119967
meshcore-like,tx_energy_j,20,90.4311834,7.43541425,86.951342406,93.911024394
meshcore-like,rx_energy_j,20,304.04372055,24.968733139,292.358128031,315.729313069
meshcore-like,total_energy_j,20,394.4749039,32.325849764,379.346114383,409.603693417
meshcore-like,energy_per_delivery_j,20,4.39372755,0.492146106,4.163398729,4.624056371
meshcore-like,airtime_per_delivery_s,20,2.5433012,0.284456587,2.410172949,2.676429451
meshcore-like,rx_attempts,20,45342.15,3728.113016061,43597.359452232,47086.940547768
meshcore-like,packet_reception_ratio,20,0.23812165,0.019536834,0.228978235,0.247265065
meshcore-like,collision_fail,20,16336.7,1503.187599036,15633.194633339,17040.205366661
meshcore-like,collision_rate,20,0.36107065,0.028511593,0.347726967,0.374414333
meshcore-like,duplicate_rx,20,338.45,129.881920058,277.664088879,399.235911121
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,85.95,13.382923133,79.686671157,92.213328843
meshcore-like,route_cache_misses,20,33.35,11.599795824,27.921190835,38.778809165
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.8927293,0.010630019,0.887754355,0.897704245
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
calm-mesh,unicast_pdr,20,0.84195575,0.087040703,0.801219915,0.882691585
calm-mesh,destination_unicast_pdr,20,0.87105195,0.082008951,0.83267102,0.90943288
calm-mesh,broadcast_coverage,20,0.0,0.0,0.0,0.0
calm-mesh,avg_delay_s,20,0.80834295,0.046121773,0.786757544,0.829928356
calm-mesh,mean_delivery_delay_s,20,0.59405325,0.048894926,0.571169983,0.616936517
calm-mesh,unicast_delivery_delay_s,20,0.59405325,0.048894926,0.571169983,0.616936517
calm-mesh,unicast_ack_delay_s,20,0.80834295,0.046121773,0.786757544,0.829928356
calm-mesh,p95_unicast_delivery_delay_s,20,2.493568,0.0,2.493568,2.493568
calm-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
calm-mesh,tx_count,20,1055.9,81.84253173,1017.596956301,1094.203043699
calm-mesh,data_tx,20,143.45,35.466032675,126.851576532,160.048423468
calm-mesh,control_tx,20,912.45,53.185351169,887.558775512,937.341224488
calm-mesh,ack_tx,20,104.3,12.256469827,98.563861473,110.036138527
calm-mesh,total_airtime_s,20,260.5792256,20.19742735,251.126647264,270.031803936
calm-mesh,channel_busy_time_s,20,78.30447345,7.688107358,74.706369801,81.902577099
calm-mesh,channel_busy_ratio,20,0.06525375,0.006406814,0.062255303,0.068252197
calm-mesh,tx_energy_j,20,103.18937325,7.998181258,99.446152216,106.932594284
calm-mesh,rx_energy_j,20,343.0232113,27.509448989,330.148540826,355.897881774
calm-mesh,total_energy_j,20,446.2125847,35.370928895,429.658670659,462.766498741
calm-mesh,energy_per_delivery_j,20,4.5033724,0.500726438,4.269027907,4.737716893
calm-mesh,airtime_per_delivery_s,20,2.629939,0.290241609,2.494103307,2.765774693
calm-mesh,rx_attempts,20,51739.1,4010.284054777,49862.25085876,53615.94914124
