protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.409179,0.11939974,0.353298844,0.465059156
meshtastic-like,destination_unicast_pdr,20,0.9852507,0.024134475,0.973955548,0.996545852
meshtastic-like,broadcast_coverage,20,0.99693255,0.010964669,0.991800986,1.002064114
meshtastic-like,avg_delay_s,20,0.6784944,0.312826079,0.532088971,0.824899829
meshtastic-like,mean_delivery_delay_s,20,0.2026571,0.045247023,0.181481085,0.223833115
meshtastic-like,unicast_delivery_delay_s,20,0.74969195,0.160883933,0.674396817,0.824987083
meshtastic-like,unicast_ack_delay_s,20,0.6784944,0.312826079,0.532088971,0.824899829
meshtastic-like,p95_unicast_delivery_delay_s,20,1.4920142,0.383405865,1.312576794,1.671451606
meshtastic-like,p95_unicast_ack_delay_s,20,1.56894295,0.735511535,1.224716911,1.913168989
meshtastic-like,tx_count,20,702.7,141.735149598,636.366670447,769.033329553
meshtastic-like,data_tx,20,673.7,137.045171193,609.56162268,737.83837732
meshtastic-like,control_tx,20,29.0,8.663292191,24.945501045,33.054498955
meshtastic-like,ack_tx,20,29.0,8.663292191,24.945501045,33.054498955
meshtastic-like,total_airtime_s,20,50.5494272,10.195859721,45.777672805,55.321181595
meshtastic-like,channel_busy_time_s,20,25.8213332,4.670690672,23.6354078,28.0072586
meshtastic-like,channel_busy_ratio,20,0.0430355,0.007784579,0.039392247,0.046678753
meshtastic-like,tx_energy_j,20,20.0175732,4.037560419,18.127958474,21.907187926
meshtastic-like,rx_energy_j,20,80.98467755,16.17341113,73.415375133,88.553979967
meshtastic-like,total_energy_j,20,101.00225075,20.21026206,91.543665654,110.460835846
meshtastic-like,energy_per_delivery_j,20,0.09480115,0.015093833,0.0877371,0.1018652
meshtastic-like,airtime_per_delivery_s,20,0.0474281,0.007514239,0.043911368,0.050944832
meshtastic-like,rx_attempts,20,34432.3,6945.022330304,31181.966851904,37682.633148096
meshtastic-like,packet_reception_ratio,20,0.2319351,0.022986058,0.221177417,0.242692783
meshtastic-like,collision_fail,20,23533.85,5079.816607496,21156.449968679,25911.250031321
meshtastic-like,collision_rate,20,0.68186935,0.018231375,0.673336902,0.690401798
meshtastic-like,duplicate_rx,20,5068.2,866.526739041,4662.657663393,5473.742336607
meshtastic-like,suppressed_forwards,20,1960.4,324.039698673,1808.746495691,2112.053504309
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.0414148,0.009800875,0.036827902,0.046001698
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.4107659,0.085178223,0.370901723,0.450630077
meshcore-like,destination_unicast_pdr,20,0.48992905,0.096536265,0.444749206,0.535108894
meshcore-like,broadcast_coverage,20,0.98127955,0.031287951,0.966636507,0.995922593
meshcore-like,avg_delay_s,20,2.30797195,0.194894348,2.216759636,2.399184264
meshcore-like,mean_delivery_delay_s,20,0.20815665,0.065953923,0.177289618,0.239023682
meshcore-like,unicast_delivery_delay_s,20,2.17661905,0.164338833,2.099706993,2.253531107
meshcore-like,unicast_ack_delay_s,20,2.30797195,0.194894348,2.216759636,2.399184264
meshcore-like,p95_unicast_delivery_delay_s,20,2.2970957,0.033097165,2.281605928,2.312585472
meshcore-like,p95_unicast_ack_delay_s,20,2.44618305,0.050280449,2.422651346,2.469714754
meshcore-like,tx_count,20,2106.15,332.327086024,1950.617923595,2261.682076405
meshcore-like,data_tx,20,1092.35,218.126297312,990.264923681,1194.435076319
meshcore-like,control_tx,20,1013.8,228.143445181,907.026808047,1120.573191953
meshcore-like,ack_tx,20,17.25,5.230225918,14.802207053,19.697792947
meshcore-like,total_airtime_s,20,151.5080064,23.90628126,140.319650952,162.696361848
meshcore-like,channel_busy_time_s,20,44.8273482,6.659283875,41.710743229,47.943953171
meshcore-like,channel_busy_ratio,20,0.07471215,0.011098735,0.069517842,0.079906458
meshcore-like,tx_energy_j,20,59.99717045,9.466887425,55.566581671,64.427759229
meshcore-like,rx_energy_j,20,231.6356433,36.262753452,214.664347315,248.606939285
meshcore-like,total_energy_j,20,291.6328138,45.726967772,270.232180074,313.033447526
meshcore-like,energy_per_delivery_j,20,0.27949035,0.038804502,0.261329493,0.297651207
meshcore-like,airtime_per_delivery_s,20,0.14515565,0.019937613,0.135824667,0.154486633
meshcore-like,rx_attempts,20,103198.9,16284.280391967,95577.709767113,110820.090232887
meshcore-like,packet_reception_ratio,20,0.11020645,0.006551945,0.107140081,0.113272819
meshcore-like,collision_fail,20,74402.75,11713.482905452,68920.734254548,79884.765745452
meshcore-like,collision_rate,20,0.72104355,0.007517689,0.717525204,0.724561896
meshcore-like,duplicate_rx,20,6597.3,1009.432310496,6124.876565845,7069.723434155
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,0.55,1.276302225,-0.047320963,1.147320963
meshcore-like,route_cache_misses,20,20.3,4.889300886,18.011763046,22.588236954
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.47901585,0.073234207,0.44474158,0.51329012
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
calm-mesh,unicast_pdr,20,0.652141,0.102917501,0.603974681,0.700307319
calm-mesh,destination_unicast_pdr,20,0.71127925,0.099600974,0.664665095,0.757893405
calm-mesh,broadcast_coverage,20,0.9830806,0.030699339,0.968713032,0.997448168
calm-mesh,avg_delay_s,20,2.3824666,0.167418596,2.304113186,2.460820014
calm-mesh,mean_delivery_delay_s,20,0.20150585,0.064311731,0.171407379,0.231604321
calm-mesh,unicast_delivery_delay_s,20,2.2335318,0.177042346,2.150674384,2.316389216
calm-mesh,unicast_ack_delay_s,20,2.3824666,0.167418596,2.304113186,2.460820014
calm-mesh,p95_unicast_delivery_delay_s,20,2.3997583,0.212018664,2.300531651,2.498984949
calm-mesh,p95_unicast_ack_delay_s,20,2.5338679,0.110395165,2.482201966,2.585533834
calm-mesh,tx_count,20,1547.25,273.613995295,1419.1961801,1675.3038199
calm-mesh,data_tx,20,506.7,121.222761455,449.966653278,563.433346722
calm-mesh,control_tx,20,1040.55,232.269461255,931.845795276,1149.254204724
calm-mesh,ack_tx,20,30.3,9.894708847,25.669186933,34.930813067
calm-mesh,total_airtime_s,20,111.302976,19.682696366,102.091296412,120.514655588
calm-mesh,channel_busy_time_s,20,39.81448125,6.932579469,36.569971473,43.058991027
calm-mesh,channel_busy_ratio,20,0.06635745,0.011554158,0.06095,0.0717649
calm-mesh,tx_energy_j,20,44.0759784,7.794347697,40.428153313,47.723803487
calm-mesh,rx_energy_j,20,171.9972183,30.262435104,157.834125471,186.160311129
calm-mesh,total_energy_j,20,216.07319675,38.054760113,198.263225471,233.883168029
calm-mesh,energy_per_delivery_j,20,0.20642785,0.038456093,0.188430051,0.224425649
calm-mesh,airtime_per_delivery_s,20,0.10631385,0.019723611,0.097083022,0.115544678
calm-mesh,rx_attempts,20,75812.8,13407.695820724,69537.87731537,82087.72268463
calm-mesh,packet_reception_ratio,20,0.15545185,0.010768107,0.150412279,0.160491421
calm-mesh,collision_fail,20,52494.05,9166.73305448,48203.936176072,56784.163823928
calm-mesh,collision_rate,20,0.69292255,0.011565032,0.687510011,0.698335089
calm-mesh,duplicate_rx,20,5440.25,874.536862393,5030.958853352,5849.541146648
calm-mesh,suppressed_forwards,20,980.25,197.918876257,887.622179161,1072.877820839
calm-mesh,route_cache_hits,20,0.85,1.954078057,-0.064526171,1.764526171
calm-mesh,route_cache_misses,20,20.0,4.53059773,17.879639362,22.120360638
calm-mesh,fallback_forward_count,20,5.5,10.055111295,0.794117139,10.205882861
calm-mesh,route_repair_count,20,0.25,0.444261658,0.042081533,0.457918467
calm-mesh,mean_path_confidence,20,0.7832086,0.024141685,0.771910074,0.794507126
calm-mesh,control_overhead_ratio,20,0.66762895,0.069381597,0.635157736,0.700100164
calm-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
calm-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
calm-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
calm-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
smart-calm,unicast_pdr,20,0.60452085,0.08565089,0.56443546,0.64460624
smart-calm,destination_unicast_pdr,20,0.6748583,0.098416903,0.628798301,0.720918299
smart-calm,broadcast_coverage,20,0.98760475,0.021158193,0.977702525,0.997506975
smart-calm,avg_delay_s,20,2.40762805,0.309260434,2.262891375,2.552364725
smart-calm,mean_delivery_delay_s,20,0.21288385,0.075827741,0.177395783,0.248371917
smart-calm,unicast_delivery_delay_s,20,2.24384465,0.283806534,2.11102063,2.37666867
smart-calm,unicast_ack_delay_s,20,2.40762805,0.309260434,2.262891375,2.552364725
smart-calm,p95_unicast_delivery_delay_s,20,2.5950458,0.447090703,2.385803315,2.804288285
smart-calm,p95_unicast_ack_delay_s,20,2.78433965,0.514356831,2.543616009,3.025063291
smart-calm,tx_count,20,1542.05,266.291386702,1417.423227027,1666.676772973
smart-calm,data_tx,20,508.65,105.951962799,459.063524908,558.236475092
smart-calm,control_tx,20,1033.4,226.977717432,927.172379157,1139.627620843
smart-calm,ack_tx,20,28.55,8.911701356,24.379243313,32.720756687
smart-calm,total_airtime_s,20,110.9289088,19.155937194,101.963757259,119.894060341
smart-calm,channel_busy_time_s,20,39.68889505,6.589486669,36.604955801,42.772834299
smart-calm,channel_busy_ratio,20,0.06614815,0.010982361,0.061008306,0.071287994
smart-calm,tx_energy_j,20,43.9278479,7.585751134,40.377647887,47.478047913
smart-calm,rx_energy_j,20,171.56492375,29.413986785,157.798912394,185.330935106
smart-calm,total_energy_j,20,215.4927716,36.998840931,198.17698003,232.80856317
smart-calm,energy_per_delivery_j,20,0.2049299,0.036027478,0.188068715,0.221791085
smart-calm,airtime_per_delivery_s,20,0.10547015,0.018525183,0.096800197,0.114140103
smart-calm,rx_attempts,20,75555.55,13048.452271499,69448.756539547,81662.343460453
smart-calm,packet_reception_ratio,20,0.15119475,0.008779343,0.147085938,0.155303562
smart-calm,collision_fail,20,52805.95,8973.275940404,48606.375851931,57005.524148069
smart-calm,collision_rate,20,0.6992886,0.008823624,0.695159064,0.703418136
smart-calm,duplicate_rx,20,5411.55,852.678101476,5012.488950795,5810.611049205
smart-calm,suppressed_forwards,20,1002.6,181.052013463,917.866023218,1087.333976782
smart-calm,route_cache_hits,20,0.7,1.780005914,-0.133058837,1.533058837
smart-calm,route_cache_misses,20,20.15,4.682273402,17.958653778,22.341346222
smart-calm,fallback_forward_count,20,16.55,18.22223916,8.021827568,25.078172432
smart-calm,route_repair_count,20,0.45,0.686332741,0.128790081,0.771209919
smart-calm,mean_path_confidence,20,0.7868734,0.010603987,0.781910638,0.791836162
smart-calm,control_overhead_ratio,20,0.66512035,0.064066766,0.635136525,0.695104175
smart-calm,policy_switch_count,20,3.25,1.371706582,2.608028936,3.891971064
smart-calm,policy_update_count,20,40.55,5.529585499,37.962104067,43.137895933
smart-calm,policy_reward_total,20,17.9179747,6.580612622,14.838188585,20.997760815
smart-calm,active_profile_index,20,1.25,0.550119604,0.992539059,1.507460941
smart-calm-static,unicast_pdr,20,0.652141,0.102917501,0.603974681,0.700307319
smart-calm-static,destination_unicast_pdr,20,0.71127925,0.099600974,0.664665095,0.757893405
smart-calm-static,broadcast_coverage,20,0.9830806,0.030699339,0.968713032,0.997448168
smart-calm-static,avg_delay_s,20,2.3824666,0.167418596,2.304113186,2.460820014
