protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,12,3,9,0.666667,1.0,0.995465,0.267264,0.133632,0.267264,0.133632,0.267264,3,2,439,327,324,3,3,43.697664,13.547332,0.022579,17.304275,67.060327,84.364602,0.191303,0.099088,0.184019,1751,14272,16023,0.10928,11672,0.728453,1037,490,0,0,0,0,0,0,0,0,0.0,0.009174,0,0,0.0,-1,0,0,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
meshcore-like,1,600.0,12,3,9,0.0,0.0,0.993197,0.0,0.0,0.0,0.0,0.0,0,0,438,595,447,148,0,79.51104,14.707959,0.024513,31.486372,112.926975,144.413347,0.329711,0.181532,0.16608,1936,27219,29155,0.066404,18537,0.635809,1317,0,146,2,3,0,0,3,0,0,0.0,0.248739,0,0,0.0,-1,0,0,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0136986301369863,0,0.0,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
calm-mesh,1,600.0,12,3,9,0.0,0.333333,1.0,0.0,2.534528,0.0,2.534528,0.0,1,0,441,476,321,155,2,63.608832,15.137115,0.025229,25.189097,92.800701,117.989798,0.267551,0.144238,0.170988,2004,21320,23324,0.08592,15439,0.661936,1100,380,147,6,3,2,0,3,0,0,0.765456,0.32563,0,0,0.0,-1,0,0,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,1,0.6666666666666666,0.04081632653061224,0,1.5,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
smart-calm,1,600.0,12,3,9,0.333333,0.333333,0.997732,3.602688,3.201792,3.602688,3.201792,3.602688,1,1,440,464,308,156,3,62.005248,14.565857,0.024276,24.554078,89.911893,114.465971,0.25956,0.140601,0.166264,2061,20675,22736,0.090649,14704,0.646728,974,317,147,6,3,1,0,3,0,0,0.74875,0.336207,3,23,1.789024,2,1,1,1,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.04081632653061224,0,3.0,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
smart-calm-static,1,600.0,12,3,9,0.0,0.333333,1.0,0.0,2.534528,0.0,2.534528,0.0,1,0,441,476,321,155,2,63.608832,15.137115,0.025229,25.189097,92.800701,117.989798,0.267551,0.144238,0.170988,2004,21320,23324,0.08592,15439,0.661936,1100,380,147,6,3,2,0,3,0,0,0.765456,0.32563,0,0,0.0,1,0,3,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,1,0.6666666666666666,0.04081632653061224,0,1.5,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
smart-calm-no-fallback,1,600.0,12,3,9,0.333333,0.333333,0.997732,3.602688,3.201792,3.602688,3.201792,3.602688,1,1,440,464,308,156,3,62.005248,14.565857,0.024276,24.554078,89.911893,114.465971,0.25956,0.140601,0.166264,2061,20675,22736,0.090649,14704,0.646728,974,317,147,6,3,1,0,3,0,0,0.74875,0.336207,3,23,1.824024,2,1,1,1,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.04081632653061224,0,3.0,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
smart-calm-no-confidence,1,600.0,12,3,9,0.333333,0.666667,0.997732,2.800896,3.541091,2.800896,4.327535,2.800896,2,1,440,494,342,152,3,66.014208,16.479389,0.027466,26.141626,96.91589,123.057517,0.279042,0.149692,0.192779,2083,22123,24206,0.086053,16271,0.672189,1206,417,147,2,3,2,0,3,29,1,0.662954,0.307692,7,23,1.455111,2,1,1,1,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,0,0.6666666666666666,0.013605442176870748,0,1.0,0.6491957523710502,0.9987761904889417,0.9999965378126906,0.999999991413654,0.9999999999999246,0.17224489795918368,0.04244897959183674
meshtastic-like,2,600.0,15,8,7,0.5,1.0,1.0,1.654175,0.924208,1.654175,1.948188,2.233073,8,4,343,411,399,12,12,54.922752,18.496665,0.030828,21.74941,84.452226,106.201636,0.306057,0.158279,0.398072,2590,17549,20139,0.128606,14326,0.711356,1449,640,0,0,0,0,0,0,0,0,0.0,0.029197,0,0,0.0,-1,0,0,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.42773565438355854,0.9984305402312936,0.9999913964402687,0.9999999871346444,0.9999999999999931,0.16653061224489796,0.053061224489795916
meshcore-like,2,600.0,15,8,7,0.125,0.125,0.997085,3.202688,2.801792,3.202688,2.801792,3.202688,1,1,342,711,353,358,3,95.012352,19.695299,0.032825,37.624891,134.179703,171.804594,0.500888,0.277004,0.188817,2998,31841,34839,0.086053,21211,0.608829,1572,0,343,12,8,2,0,8,0,0,0.0,0.503516,0,0,0.0,-1,0,0,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.25,0.03498542274052478,0,2.5,0.42773565438355854,0.9984305402312936,0.9999913964402687,0.9999999871346444,0.9999999999999931,0.16653061224489796,0.053061224489795916
calm-mesh,2,600.0,15,8,7,0.125,0.625,1.0,3.944441,2.899368,3.944441,3.709196,3.944441,5,1,343,686,327,359,9,91.671552,22.279052,0.037132,36.301935,132.035807,168.337742,0.489354,0.266487,0.216886,3051,30563,33614,0.090766,21399,0.63661,1484,405,340,10,8,4,0,8,92,3,0.764661,0.523324,0,0,0.0,-1,0,0,0,icc2027_sensitivity_sf8,50,10000.0,1.0,mixed,8,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,4,4,0.5,0.029411764705882353,0,2.0,0.42773565438355854,0.9984305402312936,0.9999913964402687,0.9999999871346444,0.9999999999999931,0.16653061224489796,0.053061224489795916
