protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.836364,0.945455,0.935155,0.493568,0.400789,0.493568,0.246784,0.493568,52,46,2841,4637,4584,53,53,1144.337408,164.146966,0.136789,453.157614,1494.288615,1947.446229,0.674557,0.396376,0.554396,10452,216761,227213,0.046001,119183,0.524543,2748,1768,0,0,0,0,0,0,0,0,0.0,0.01143,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.709091,0.781818,0.91738,1.184886,0.926044,1.184886,2.493568,2.740352,43,39,2787,3584,2890,694,43,884.473856,115.189992,0.095992,350.251647,1093.962335,1444.213982,0.511045,0.312977,0.458838,9359,166257,175616,0.053292,75866,0.431999,1293,0,638,13,14,13,35,20,0,0,0.0,0.193638,0,0,0.0,-1,0,0,0
etx-mesh,1,1200.0,117,55,62,0.763636,0.836364,0.921001,1.189001,0.930588,1.189001,2.493568,2.740352,46,42,2798,3236,2440,796,46,798.593024,121.325374,0.101104,316.242838,1024.843665,1341.086502,0.472214,0.281195,0.447078,10130,148434,158564,0.063886,75752,0.477738,1519,875,735,15,15,15,39,16,0,7,0.470107,0.245983,0,0,0.0,-1,0,0,0
ett-mesh,1,1200.0,117,55,62,0.763636,0.836364,0.921001,1.189001,0.930588,1.189001,2.493568,2.740352,46,42,2798,3236,2440,796,46,798.593024,121.325374,0.101104,316.242838,1024.843665,1341.086502,0.472214,0.281195,0.447078,10130,148434,158564,0.063886,75752,0.477738,1519,875,735,15,15,15,39,16,0,7,0.772171,0.245983,0,0,0.0,-1,0,0,0
minhop-mesh,1,1200.0,117,55,62,0.763636,0.836364,0.921001,1.189001,0.930588,1.189001,2.493568,2.740352,46,42,2798,3236,2440,796,46,798.593024,121.325374,0.101104,316.242838,1024.843665,1341.086502,0.472214,0.281195,0.447078,10130,148434,158564,0.063886,75752,0.477738,1519,875,735,15,15,15,39,16,0,7,0.950107,0.245983,0,0,0.0,-1,0,0,0
meshecho,1,1200.0,117,55,62,0.745455,0.8,0.949638,1.254743,1.007124,1.254743,2.493568,2.740352,44,41,2885,3420,2625,795,44,844.00128,119.984671,0.099987,334.224507,1061.147743,1395.37225,0.476887,0.288449,0.518317,9756,157824,167580,0.058217,75678,0.451593,1288,795,736,15,16,14,36,19,44,8,0.949115,0.232456,0,0,0.0,-1,0,0,0
meshtastic-like,2,1200.0,125,69,56,0.782609,0.913043,0.944242,0.494388,0.382036,0.494388,0.246784,0.493568,63,54,2591,4868,4800,68,68,1201.344512,176.332445,0.146944,475.732427,1575.251407,2050.983834,0.775419,0.454195,0.716853,11520,227012,238532,0.048295,126216,0.529137,3072,2010,0,0,0,0,0,0,0,0,0.0,0.013969,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.318841,0.347826,0.950802,1.006214,0.810325,1.006214,2.493568,2.740352,24,22,2609,3233,2691,542,24,797.852672,104.798623,0.087332,315.949658,989.093207,1305.042865,0.496025,0.303251,0.426361,7512,150905,158417,0.047419,69899,0.441234,1784,0,509,9,11,6,19,50,0,0,0.0,0.167646,0,0,0.0,-1,0,0,0
etx-mesh,2,1200.0,125,69,56,0.42029,0.478261,0.948615,0.95842,0.791459,0.95842,2.493568,2.740352,33,29,2603,2967,2287,680,33,732.208128,110.322856,0.091936,289.954419,943.536957,1233.491376,0.468652,0.278195,0.435922,8361,137022,145383,0.05751,71269,0.490215,1675,785,635,12,15,8,28,41,0,7,0.472721,0.229188,0,0,0.0,-1,0,0,0
ett-mesh,2,1200.0,125,69,56,0.42029,0.478261,0.948615,0.95842,0.791459,0.95842,2.493568,2.740352,33,29,2603,2967,2287,680,33,732.208128,110.322856,0.091936,289.954419,943.536957,1233.491376,0.468652,0.278195,0.435922,8361,137022,145383,0.05751,71269,0.490215,1675,785,635,12,15,8,28,41,0,7,0.775482,0.229188,0,0,0.0,-1,0,0,0
