protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,202,98,104,0.693878,0.908163,0.922096,0.750375,1.17045,0.750375,5.57197,2.951486,89,68,4699,7595,7483,112,112,1874.32448,297.93511,0.248279,742.232494,2491.350601,3233.583095,0.678327,0.393187,0.870853,18264,353891,372155,0.049076,204841,0.550419,5350,3278,0,0,0,0,0,0,0,0,0.0,0.014747,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,202,98,104,0.408163,0.469388,0.94427,0.886755,0.686372,0.886755,2.493568,2.740352,46,40,4812,5647,4953,694,46,1393.589248,208.18779,0.17349,551.861342,1765.092882,2316.954224,0.477526,0.28722,0.75413,13936,262767,276703,0.050364,130898,0.473063,3813,0,636,12,13,9,52,46,0,0,0.0,0.122897,0,0,0.0,-1,0,0,0
etx-mesh,1,1200.0,202,98,104,0.459184,0.520408,0.939757,0.892996,0.643275,0.892996,2.493568,2.740352,51,45,4789,4984,4190,794,51,1229.971456,198.20266,0.165169,487.068697,1601.816799,2088.885496,0.432124,0.254442,0.71229,13876,230340,244216,0.056819,124369,0.509258,3083,1597,730,13,15,10,57,41,0,7,0.466866,0.15931,0,0,0.0,-1,0,0,0
ett-mesh,1,1200.0,202,98,104,0.459184,0.520408,0.939757,0.892996,0.643275,0.892996,2.493568,2.740352,51,45,4789,4984,4190,794,51,1229.971456,198.20266,0.165169,487.068697,1601.816799,2088.885496,0.432124,0.254442,0.71229,13876,230340,244216,0.056819,124369,0.509258,3083,1597,730,13,15,10,57,41,0,7,0.769356,0.15931,0,0,0.0,-1,0,0,0
minhop-mesh,1,1200.0,202,98,104,0.459184,0.520408,0.939757,0.892996,0.643275,0.892996,2.493568,2.740352,51,45,4789,4984,4190,794,51,1229.971456,198.20266,0.165169,487.068697,1601.816799,2088.885496,0.432124,0.254442,0.71229,13876,230340,244216,0.056819,124369,0.509258,3083,1597,730,13,15,10,57,41,0,7,0.946637,0.15931,0,0,0.0,-1,0,0,0
meshecho,1,1200.0,202,98,104,0.418367,0.469388,0.935832,0.931965,0.637529,0.931965,2.493568,2.740352,46,41,4769,4959,4219,740,46,1223.801856,184.955598,0.15413,484.625535,1556.856111,2041.481646,0.424424,0.254429,0.604667,12909,230082,242991,0.053125,115705,0.47617,2568,1448,681,13,14,9,53,45,3,6,0.944992,0.149224,0,0,0.0,-1,0,0,0
meshtastic-like,2,1200.0,205,109,96,0.706422,0.899083,0.903912,0.711378,0.755523,0.711378,3.368627,2.173543,98,77,4252,7650,7531,119,119,1887.8976,303.40532,0.252838,747.60745,2487.668186,3235.275636,0.747349,0.436105,0.799904,19331,355470,374801,0.051577,201170,0.536738,5806,3463,0,0,0,0,0,0,0,0,0.0,0.015556,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,205,109,96,0.458716,0.495413,0.927083,0.900495,0.623568,0.900495,2.493568,2.740352,54,50,4361,5163,4491,672,54,1274.145792,171.432856,0.142861,504.561734,1575.914074,2080.475808,0.471656,0.288856,0.535568,12901,240086,252987,0.050995,110619,0.437252,2363,0,607,11,13,9,54,55,0,0,0.0,0.130157,0,0,0.0,-1,0,0,0
etx-mesh,2,1200.0,205,109,96,0.412844,0.440367,0.921344,0.843068,0.621248,0.843068,2.493568,2.740352,48,45,4334,4574,3810,764,48,1128.790016,175.841695,0.146535,447.000846,1464.586041,1911.586887,0.436535,0.257773,0.576018,12636,211490,224126,0.056379,112854,0.503529,2574,1409,704,12,15,8,46,63,0,8,0.464777,0.167031,0,0,0.0,-1,0,0,0
ett-mesh,2,1200.0,205,109,96,0.412844,0.440367,0.921344,0.843068,0.621248,0.843068,2.493568,2.740352,48,45,4334,4574,3810,764,48,1128.790016,175.841695,0.146535,447.000846,1464.586041,1911.586887,0.436535,0.257773,0.576018,12636,211490,224126,0.056379,112854,0.503529,2574,1409,704,12,15,8,46,63,0,8,0.767876,0.167031,0,0,0.0,-1,0,0,0
