protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.71005635,0.060122115,0.681918657,0.738194043
meshtastic-like,destination_unicast_pdr,20,0.90852595,0.033994499,0.892616217,0.924435683
meshtastic-like,broadcast_coverage,20,0.9119723,0.019295948,0.902941622,0.921002978
meshtastic-like,avg_delay_s,20,0.7144236,0.109172196,0.663330027,0.765517173
meshtastic-like,mean_delivery_delay_s,20,0.8371793,0.110044503,0.785677479,0.888681121
meshtastic-like,unicast_delivery_delay_s,20,0.89565295,0.220353833,0.792525367,0.998780533
meshtastic-like,unicast_ack_delay_s,20,0.7144236,0.109172196,0.663330027,0.765517173
meshtastic-like,p95_unicast_delivery_delay_s,20,4.1228447,1.104710414,3.605830253,4.639859147
meshtastic-like,p95_unicast_ack_delay_s,20,2.0373231,0.652374878,1.732005768,2.342640432
meshtastic-like,tx_count,20,7584.95,498.701627386,7351.553136259,7818.346863741
meshtastic-like,data_tx,20,7471.45,489.842560636,7242.199259475,7700.700740525
meshtastic-like,control_tx,20,113.5,12.202243107,107.789240068,119.210759932
meshtastic-like,ack_tx,20,113.5,12.202243107,107.789240068,119.210759932
meshtastic-like,total_airtime_s,20,1871.8443008,123.071582413,1814.245689179,1929.442912421
meshtastic-like,channel_busy_time_s,20,302.72761795,27.647789762,289.788202746,315.667033154
meshtastic-like,channel_busy_ratio,20,0.252273,0.023040027,0.241490059,0.263055941
meshtastic-like,tx_energy_j,20,741.25034325,48.736346615,718.441293057,764.059393443
meshtastic-like,rx_energy_j,20,2481.8757228,164.118700885,2405.066689173,2558.684756427
meshtastic-like,total_energy_j,20,3223.12606605,212.516506499,3123.666422475,3322.585709625
meshtastic-like,energy_per_delivery_j,20,0.70112355,0.054009098,0.675846805,0.726400295
meshtastic-like,airtime_per_delivery_s,20,0.40725165,0.032315198,0.392127845,0.422375455
meshtastic-like,rx_attempts,20,371562.1,24453.632555254,360117.57920431,383006.62079569
meshtastic-like,packet_reception_ratio,20,0.05087135,0.001773429,0.050041369,0.051701331
meshtastic-like,collision_fail,20,202406.45,14151.684431916,195783.333928833,209029.566071167
meshtastic-like,collision_rate,20,0.5447584,0.012346672,0.538980046,0.550536754
meshtastic-like,duplicate_rx,20,5634.55,756.794658585,5280.363267674,5988.736732326
meshtastic-like,suppressed_forwards,20,3365.65,369.601673925,3192.673079953,3538.626920047
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.0149548,0.001144584,0.014419124,0.015490476
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.45671445,0.148083858,0.387409867,0.526019033
meshcore-like,destination_unicast_pdr,20,0.48788985,0.157342263,0.414252251,0.561527449
meshcore-like,broadcast_coverage,20,0.93842,0.018873708,0.929586934,0.947253066
meshcore-like,avg_delay_s,20,0.87335795,0.100130044,0.826496185,0.920219715
meshcore-like,mean_delivery_delay_s,20,0.53557405,0.108613221,0.484742082,0.586406018
meshcore-like,unicast_delivery_delay_s,20,0.63741585,0.079186736,0.600355743,0.674475957
meshcore-like,unicast_ack_delay_s,20,0.87335795,0.100130044,0.826496185,0.920219715
meshcore-like,p95_unicast_delivery_delay_s,20,2.493568,0.0,2.493568,2.493568
meshcore-like,p95_unicast_ack_delay_s,20,2.67856545,0.276317852,2.549246201,2.807884699
meshcore-like,tx_count,20,5481.45,498.738036395,5248.036096514,5714.863903486
meshcore-like,data_tx,20,4819.4,467.950559692,4600.394913551,5038.405086449
meshcore-like,control_tx,20,662.05,119.23593374,606.246506585,717.853493415
meshcore-like,ack_tx,20,51.4,18.49438037,42.744463025,60.055536975
meshcore-like,total_airtime_s,20,1352.7341568,123.080567574,1295.131340042,1410.336973558
meshcore-like,channel_busy_time_s,20,185.9956276,23.465522907,175.01355104,196.97770416
meshcore-like,channel_busy_ratio,20,0.15499645,0.019554607,0.145844717,0.164148183
meshcore-like,tx_energy_j,20,535.6827261,48.739904791,512.872010649,558.493441551
meshcore-like,rx_energy_j,20,1683.0710809,158.633038023,1608.829387015,1757.312774785
meshcore-like,total_energy_j,20,2218.75380695,207.10713613,2121.825797542,2315.681816358
meshcore-like,energy_per_delivery_j,20,0.4696524,0.012348273,0.463873297,0.475431503
meshcore-like,airtime_per_delivery_s,20,0.28637445,0.006510562,0.283327448,0.289421452
meshcore-like,rx_attempts,20,268581.25,24444.359859367,257141.068909696,280021.431090304
meshcore-like,packet_reception_ratio,20,0.0505697,0.006242482,0.047648162,0.053491238
meshcore-like,collision_fail,20,119882.95,12567.907661873,114001.05575506,125764.84424494
meshcore-like,collision_rate,20,0.44603385,0.015983404,0.438553473,0.453514227
meshcore-like,duplicate_rx,20,2956.25,599.757747147,2675.557959908,3236.942040092
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,51.5,17.969272018,43.090218475,59.909781525
meshcore-like,route_cache_misses,20,51.45,16.3786607,43.784638931,59.115361069
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.1210716,0.021314378,0.111096279,0.131046921
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
etx-mesh,unicast_pdr,20,0.5657977,0.119465266,0.509886877,0.621708523
etx-mesh,destination_unicast_pdr,20,0.60889185,0.120093774,0.55268688,0.66509682
etx-mesh,broadcast_coverage,20,0.94108815,0.020624555,0.931435672,0.950740628
etx-mesh,avg_delay_s,20,0.8801185,0.068987165,0.847831884,0.912405116
etx-mesh,mean_delivery_delay_s,20,0.54881925,0.078612857,0.512027723,0.585610777
etx-mesh,unicast_delivery_delay_s,20,0.63275305,0.053052279,0.607924105,0.657581995
etx-mesh,unicast_ack_delay_s,20,0.8801185,0.068987165,0.847831884,0.912405116
etx-mesh,p95_unicast_delivery_delay_s,20,2.493568,0.0,2.493568,2.493568
etx-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
etx-mesh,tx_count,20,4960.55,367.879481839,4788.379081397,5132.720918603
etx-mesh,data_tx,20,4056.5,352.591384198,3891.484049109,4221.515950891
etx-mesh,control_tx,20,904.05,93.611444982,860.238998653,947.861001347
etx-mesh,ack_tx,20,63.5,16.288517105,55.876826947,71.123173053
etx-mesh,total_airtime_s,20,1224.1843712,90.786770046,1181.695343224,1266.673399176
etx-mesh,channel_busy_time_s,20,196.12504915,16.27687925,188.507322719,203.742775581
etx-mesh,channel_busy_ratio,20,0.1634376,0.013564026,0.157089513,0.169785687
etx-mesh,tx_energy_j,20,484.777011,35.951561008,467.951355889,501.602666111
etx-mesh,rx_energy_j,20,1582.59484675,117.631023299,1527.542465909,1637.647227591
etx-mesh,total_energy_j,20,2067.3718577,153.400239194,1995.579160907,2139.164554493
etx-mesh,energy_per_delivery_j,20,0.43611395,0.013805374,0.42965291,0.44257499
etx-mesh,airtime_per_delivery_s,20,0.25824025,0.007931956,0.254528023,0.261952477
etx-mesh,rx_attempts,20,243062.05,18028.239635799,234624.671097075,251499.428902925
etx-mesh,packet_reception_ratio,20,0.06238435,0.006067434,0.059544736,0.065223964
etx-mesh,collision_fail,20,119830.7,9757.340546319,115264.17653807,124397.22346193
etx-mesh,collision_rate,20,0.49292415,0.015401965,0.485715891,0.500132409
etx-mesh,duplicate_rx,20,2962.95,483.708750451,2736.569938016,3189.330061984
etx-mesh,suppressed_forwards,20,1518.6,193.836990658,1427.882538472,1609.317461528
etx-mesh,route_cache_hits,20,63.55,15.622099731,56.238716294,70.861283706
etx-mesh,route_cache_misses,20,39.4,11.860593755,33.849135049,44.950864951
etx-mesh,fallback_forward_count,20,0.0,0.0,0.0,0.0
etx-mesh,route_repair_count,20,10.4,2.436563585,9.259666246,11.540333754
etx-mesh,mean_path_confidence,20,0.4637064,0.006067383,0.46086681,0.46654599
etx-mesh,control_overhead_ratio,20,0.1828403,0.020607445,0.17319583,0.19248477
etx-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
etx-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
ett-mesh,unicast_pdr,20,0.5657977,0.119465266,0.509886877,0.621708523
ett-mesh,destination_unicast_pdr,20,0.60889185,0.120093774,0.55268688,0.66509682
ett-mesh,broadcast_coverage,20,0.94108815,0.020624555,0.931435672,0.950740628
ett-mesh,avg_delay_s,20,0.8801185,0.068987165,0.847831884,0.912405116
ett-mesh,mean_delivery_delay_s,20,0.54881925,0.078612857,0.512027723,0.585610777
ett-mesh,unicast_delivery_delay_s,20,0.63275305,0.053052279,0.607924105,0.657581995
ett-mesh,unicast_ack_delay_s,20,0.8801185,0.068987165,0.847831884,0.912405116
ett-mesh,p95_unicast_delivery_delay_s,20,2.493568,0.0,2.493568,2.493568
ett-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
ett-mesh,tx_count,20,4960.55,367.879481839,4788.379081397,5132.720918603
ett-mesh,data_tx,20,4056.5,352.591384198,3891.484049109,4221.515950891
ett-mesh,control_tx,20,904.05,93.611444982,860.238998653,947.861001347
ett-mesh,ack_tx,20,63.5,16.288517105,55.876826947,71.123173053
ett-mesh,total_airtime_s,20,1224.1843712,90.786770046,1181.695343224,1266.673399176
ett-mesh,channel_busy_time_s,20,196.12504915,16.27687925,188.507322719,203.742775581
ett-mesh,channel_busy_ratio,20,0.1634376,0.013564026,0.157089513,0.169785687
