protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.84309885,0.043484344,0.822747784,0.863449916
meshtastic-like,destination_unicast_pdr,20,0.95043485,0.029995839,0.936396527,0.964473173
meshtastic-like,broadcast_coverage,20,0.94641675,0.028634178,0.933015696,0.959817804
meshtastic-like,avg_delay_s,20,0.6133227,0.111281627,0.561241894,0.665403506
meshtastic-like,mean_delivery_delay_s,20,0.5408844,0.120644365,0.484421748,0.597347052
meshtastic-like,unicast_delivery_delay_s,20,0.5542022,0.139104943,0.489099831,0.619304569
meshtastic-like,unicast_ack_delay_s,20,0.6133227,0.111281627,0.561241894,0.665403506
meshtastic-like,p95_unicast_delivery_delay_s,20,2.41841335,1.084085298,1.911051644,2.925775056
meshtastic-like,p95_unicast_ack_delay_s,20,0.97454815,0.829435039,0.586365064,1.362731236
meshtastic-like,tx_count,20,4727.2,319.781603105,4577.539322858,4876.860677142
meshtastic-like,data_tx,20,4661.95,314.415828415,4514.800553853,4809.099446147
meshtastic-like,control_tx,20,65.25,10.447235847,60.360599309,70.139400691
meshtastic-like,ack_tx,20,65.25,10.447235847,60.360599309,70.139400691
meshtastic-like,total_airtime_s,20,1166.5973248,78.916983141,1129.663464252,1203.531185348
meshtastic-like,channel_busy_time_s,20,173.1825547,15.796315578,165.789736405,180.575372995
meshtastic-like,channel_busy_ratio,20,0.1443188,0.013163603,0.138158115,0.150479485
meshtastic-like,tx_energy_j,20,461.9725407,31.251125333,447.346731919,476.598349481
meshtastic-like,rx_energy_j,20,1531.9712923,105.169017821,1482.751242527,1581.191342073
meshtastic-like,total_energy_j,20,1993.94383295,136.333746326,1930.13840889,2057.74925701
meshtastic-like,energy_per_delivery_j,20,0.70370225,0.093419175,0.659981233,0.747423267
meshtastic-like,airtime_per_delivery_s,20,0.4117839,0.055103349,0.385995035,0.437572765
meshtastic-like,rx_attempts,20,231586.25,15713.819264634,224232.040724651,238940.459275349
meshtastic-like,packet_reception_ratio,20,0.050477,0.002255336,0.049421482,0.051532518
meshtastic-like,collision_fail,20,122420.75,8607.138627631,118392.531419683,126448.968580317
meshtastic-like,collision_rate,20,0.52858445,0.007880706,0.524896209,0.532272691
meshtastic-like,duplicate_rx,20,3303.75,506.649975198,3066.633237728,3540.866762272
meshtastic-like,suppressed_forwards,20,2020.05,269.689973078,1893.832657922,2146.267342078
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.01379155,0.00191624,0.012894732,0.014688368
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
