protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,117,0,0.820513,0.948718,0.0,0.595482,0.595846,0.595482,3.08543,0.493568,111,96,0,4583,4458,125,125,1131.011072,183.23194,0.152693,447.880385,1500.856567,1948.736951,20.299343,11.781365,0.595846,13487,211080,224567,0.060058,120020,0.534451,2937,1826,0,0,0,0,0,0,0,0,0.0,0.027275,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,117,0,0.82906,0.837607,0.0,0.794683,0.567753,0.794683,2.493568,2.740352,98,97,0,1001,103,898,98,247.030784,71.550044,0.059625,97.82419,323.524029,421.34822,4.343796,2.546709,0.567753,11348,37701,49049,0.23136,16741,0.341312,223,0,784,16,16,14,88,29,0,0,0.0,0.897103,0,0,0.0,-1,0,0,0
etx-mesh,1,1200.0,117,117,0,0.82906,0.837607,0.0,0.794683,0.567753,0.794683,2.493568,2.740352,98,97,0,1001,103,898,98,247.030784,71.550044,0.059625,97.82419,323.524029,421.34822,4.343796,2.546709,0.567753,11348,37701,49049,0.23136,16741,0.341312,223,0,784,16,16,14,88,29,0,8,0.460502,0.897103,0,0,0.0,-1,0,0,0
ett-mesh,1,1200.0,117,117,0,0.82906,0.837607,0.0,0.794683,0.567753,0.794683,2.493568,2.740352,98,97,0,1001,103,898,98,247.030784,71.550044,0.059625,97.82419,323.524029,421.34822,4.343796,2.546709,0.567753,11348,37701,49049,0.23136,16741,0.341312,223,0,784,16,16,14,88,29,0,8,0.762852,0.897103,0,0,0.0,-1,0,0,0
minhop-mesh,1,1200.0,117,117,0,0.82906,0.837607,0.0,0.794683,0.567753,0.794683,2.493568,2.740352,98,97,0,1001,103,898,98,247.030784,71.550044,0.059625,97.82419,323.524029,421.34822,4.343796,2.546709,0.567753,11348,37701,49049,0.23136,16741,0.341312,223,0,784,16,16,14,88,29,0,8,0.940348,0.897103,0,0,0.0,-1,0,0,0
meshecho,1,1200.0,117,117,0,0.880342,0.888889,0.0,0.818374,0.59007,0.818374,2.493568,2.740352,104,103,0,1054,149,905,104,260.110336,74.678428,0.062232,103.003693,336.316016,439.319709,4.26524,2.525343,0.59007,11963,39683,51646,0.231635,16579,0.321012,209,11,785,16,17,15,92,25,41,9,0.942616,0.858634,0,0,0.0,-1,0,0,0
meshtastic-like,2,1200.0,126,126,0,0.873016,0.960317,0.0,0.541038,0.464643,0.541038,1.876159,0.493568,121,110,0,5031,4905,126,126,1241.570304,190.503285,0.158753,491.66184,1641.794904,2133.456744,19.395061,11.287003,0.464643,14488,232031,246519,0.05877,130538,0.529525,2933,1988,0,0,0,0,0,0,0,0,0.0,0.025045,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,126,126,0,0.68254,0.714286,0.0,0.754822,0.521391,0.754822,2.493568,2.740352,90,86,0,884,95,789,90,218.157056,70.14853,0.058457,86.390194,294.391852,380.782046,4.427698,2.53671,0.521391,10352,32964,43316,0.238988,16524,0.381476,447,0,686,13,14,11,84,42,0,0,0.0,0.892534,0,0,0.0,-1,0,0,0
etx-mesh,2,1200.0,126,126,0,0.777778,0.809524,0.0,0.768684,0.533139,0.768684,2.493568,2.740352,102,98,0,1048,107,941,102,258.629632,81.537583,0.067948,102.417334,350.072645,452.489979,4.617245,2.639078,0.533139,11732,39620,51352,0.228462,20389,0.397044,391,0,824,15,17,13,94,32,0,9,0.466699,0.897901,0,0,0.0,-1,0,0,0
ett-mesh,2,1200.0,126,126,0,0.777778,0.809524,0.0,0.768684,0.533139,0.768684,2.493568,2.740352,102,98,0,1048,107,941,102,258.629632,81.537583,0.067948,102.417334,350.072645,452.489979,4.617245,2.639078,0.533139,11732,39620,51352,0.228462,20389,0.397044,391,0,824,15,17,13,94,32,0,9,0.768763,0.897901,0,0,0.0,-1,0,0,0
minhop-mesh,2,1200.0,126,126,0,0.777778,0.809524,0.0,0.768684,0.533139,0.768684,2.493568,2.740352,102,98,0,1048,107,941,102,258.629632,81.537583,0.067948,102.417334,350.072645,452.489979,4.617245,2.639078,0.533139,11732,39620,51352,0.228462,20389,0.397044,391,0,824,15,17,13,94,32,0,9,0.945388,0.897901,0,0,0.0,-1,0,0,0
meshecho,2,1200.0,126,126,0,0.793651,0.825397,0.0,0.763182,0.559782,0.763182,2.493568,2.740352,104,100,0,1017,114,903,104,250.979328,78.543967,0.065453,99.387814,333.589855,432.977669,4.329777,2.509793,0.559782,11677,38156,49833,0.234323,18029,0.361788,323,0,784,15,17,13,94,32,7,9,0.945183,0.887906,0,0,0.0,-1,0,0,0
meshtastic-like,3,1200.0,129,129,0,0.813953,0.937984,0.0,0.652642,0.756618,0.652642,4.174116,1.737256,121,105,0,5040,4901,139,139,1243.79136,202.327171,0.168606,492.541379,1646.123209,2138.664588,20.368234,11.845632,0.756618,15054,231906,246960,0.060957,130535,0.528567,3409,2064,0,0,0,0,0,0,0,0,0.0,0.027579,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,129,129,0,0.666667,0.689922,0.0,0.754822,0.524476,0.754822,2.493568,2.740352,89,86,0,934,96,838,89,230.496256,71.823982,0.059853,91.276517,310.211975,401.488492,4.668471,2.680189,0.524476,10565,35201,45766,0.230848,17633,0.385286,475,0,735,14,15,12,83,46,0,0,0.0,0.897216,0,0,0.0,-1,0,0,0
etx-mesh,3,1200.0,129,129,0,0.806202,0.829457,0.0,0.752812,0.519758,0.752812,2.493568,2.740352,107,104,0,1173,119,1054,107,289.477632,92.088318,0.07674,114.633142,392.978227,507.611369,4.880879,2.783439,0.519758,13025,44452,57477,0.226612,23196,0.40357,725,0,931,16,19,15,103,26,0,11,0.466432,0.898551,0,0,0.0,-1,0,0,0
ett-mesh,3,1200.0,129,129,0,0.806202,0.829457,0.0,0.752812,0.519758,0.752812,2.493568,2.740352,107,104,0,1173,119,1054,107,289.477632,92.088318,0.07674,114.633142,392.978227,507.611369,4.880879,2.783439,0.519758,13025,44452,57477,0.226612,23196,0.40357,725,0,931,16,19,15,103,26,0,11,0.768748,0.898551,0,0,0.0,-1,0,0,0
minhop-mesh,3,1200.0,129,129,0,0.806202,0.829457,0.0,0.752812,0.519758,0.752812,2.493568,2.740352,107,104,0,1174,119,1055,107,289.724416,91.841534,0.076535,114.730869,393.238261,507.96913,4.884319,2.785812,0.519758,12980,44546,57526,0.225637,23254,0.404235,681,0,931,17,19,15,103,26,0,11,0.946296,0.898637,0,0,0.0,-1,0,0,0
meshecho,3,1200.0,129,129,0,0.806202,0.829457,0.0,0.774416,0.540756,0.774416,2.493568,2.740352,107,104,0,1136,132,1004,107,280.346624,88.610344,0.073842,111.017263,374.868129,485.885392,4.671975,2.695641,0.540756,12632,43032,55664,0.226933,21084,0.378773,406,0,881,16,18,15,103,26,13,10,0.945926,0.883803,0,0,0.0,-1,0,0,0
meshtastic-like,4,1200.0,112,112,0,0.830357,0.973214,0.0,0.575539,0.670394,0.575539,2.867493,0.493568,109,93,0,4351,4226,125,125,1073.757184,172.947316,0.144123,425.207845,1427.225051,1852.432896,19.918633,11.545776,0.670394,13442,199757,213199,0.063049,113856,0.534036,2967,1913,0,0,0,0,0,0,0,0,0.0,0.028729,0,0,0.0,-1,0,0,0
