protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,47,47,0,0.446809,1.0,0.0,0.518679,0.633003,0.518679,1.437677,1.421513,47,21,0,688,628,60,60,49.491968,28.196645,0.046994,19.598819,79.891349,99.490168,4.737627,2.35676,0.633003,10093,23619,33712,0.299389,20944,0.621262,5917,2177,0,0,0,0,0,0,0,0,0.0,0.087209,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshcore-like,1,600.0,47,47,0,0.723404,0.723404,0.0,0.413854,0.269982,0.413854,0.894227,1.038099,34,34,0,339,69,270,68,24.386304,14.15545,0.023592,9.656976,38.78914,48.446116,1.424886,0.717244,0.269982,7259,9352,16611,0.437,7427,0.447113,545,0,195,7,4,3,32,15,0,0,0.0,0.79646,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.035897435897435895,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
etx-mesh,1,600.0,47,47,0,0.723404,0.723404,0.0,0.413854,0.269982,0.413854,0.894227,1.038099,34,34,0,339,69,270,68,24.386304,14.15545,0.023592,9.656976,38.78914,48.446116,1.424886,0.717244,0.269982,7259,9352,16611,0.437,7427,0.447113,545,0,195,7,4,3,32,15,0,0,0.290054,0.79646,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.035897435897435895,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
ett-mesh,1,600.0,47,47,0,0.723404,0.723404,0.0,0.413854,0.269982,0.413854,0.894227,1.038099,34,34,0,339,69,270,68,24.386304,14.15545,0.023592,9.656976,38.78914,48.446116,1.424886,0.717244,0.269982,7259,9352,16611,0.437,7427,0.447113,545,0,195,7,4,3,32,15,0,0,0.830948,0.79646,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.035897435897435895,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
minhop-mesh,1,600.0,47,47,0,0.234043,0.234043,0.0,0.287744,0.143872,0.287744,0.143872,0.287744,11,11,0,246,23,223,22,17.696256,7.74239,0.012904,7.007717,27.678585,34.686302,3.1533,1.608751,0.143872,3113,8941,12054,0.258255,7269,0.603036,673,0,196,5,4,1,11,36,0,0,0.724381,0.906504,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.25,0.025510204081632654,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho,1,600.0,47,47,0,0.765957,0.765957,0.0,0.517959,0.376085,0.517959,2.287744,2.431616,36,36,0,358,83,275,71,25.753088,15.181434,0.025302,10.198223,40.948167,51.14639,1.420733,0.715364,0.376085,7657,9885,17542,0.436495,7733,0.440828,817,42,197,7,5,3,32,15,13,1,0.750443,0.768156,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.6,0.03553299492385787,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshtastic-like,2,600.0,41,41,0,0.390244,1.0,0.0,0.957313,0.961689,0.957313,2.676459,1.929202,41,16,0,626,565,61,61,45.031936,27.044986,0.045075,17.832647,73.03283,90.865477,5.679092,2.814496,0.961689,9171,21503,30674,0.298983,19287,0.628774,5320,1886,0,0,0,0,0,0,0,0,0.0,0.097444,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshcore-like,2,600.0,41,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,199,0,199,0,14.315264,4.132118,0.006887,5.668845,21.815224,27.484068,0.0,0.0,0.0,751,9000,9751,0.077018,7360,0.754794,501,0,196,3,4,0,0,41,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.015306122448979591,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
etx-mesh,2,600.0,41,41,0,0.219512,0.219512,0.0,0.525952,0.38208,0.525952,1.430195,1.574067,9,9,0,286,18,268,18,20.573696,7.905238,0.013175,8.147184,31.805921,39.953105,4.439234,2.285966,0.38208,2646,11368,14014,0.188811,9215,0.657557,655,0,245,5,5,1,8,33,0,1,0.313439,0.937063,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.2,0.02040816326530612,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
ett-mesh,2,600.0,41,41,0,0.219512,0.219512,0.0,0.525952,0.38208,0.525952,1.430195,1.574067,9,9,0,286,18,268,18,20.573696,7.905238,0.013175,8.147184,31.805921,39.953105,4.439234,2.285966,0.38208,2646,11368,14014,0.188811,9215,0.657557,655,0,245,5,5,1,8,33,0,1,0.851598,0.937063,0,0,0.0,-1,0,0,0,icc2027_cache_ttl600,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.2,0.02040816326530612,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
