protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,12,3,9,1.0,1.0,1.0,0.911878,0.791985,0.911878,1.32724,1.471112,3,3,441,140,135,5,5,10.07104,5.93205,0.009887,3.988132,16.279507,20.267639,0.045648,0.022683,0.117847,2207,4653,6860,0.32172,4143,0.603936,1389,566,0,0,0,0,0,0,0,0,0.0,0.035714,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshcore-like,1,600.0,12,3,9,0.333333,0.666667,0.997732,2.431616,2.215808,2.431616,2.28055,2.431616,2,1,440,606,452,154,3,43.593216,12.184535,0.020308,17.262914,66.607095,83.870009,0.190181,0.098851,0.109997,2947,26747,29694,0.099246,21712,0.731191,1912,0,147,4,3,2,0,3,0,0,0.0,0.254125,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,1,0.6666666666666666,0.027210884353741496,0,1.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
etx-mesh,1,600.0,12,3,9,0.333333,0.333333,1.0,2.647424,2.431616,2.647424,2.431616,2.647424,1,1,441,339,183,156,3,24.386304,9.292213,0.015487,9.656976,38.141187,47.798164,0.108141,0.055173,0.107062,2605,14006,16611,0.156824,11879,0.715129,1462,397,147,6,3,3,0,3,0,0,0.34073,0.460177,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,2,1.0,0.04081632653061224,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
ett-mesh,1,600.0,12,3,9,0.333333,0.333333,1.0,2.647424,2.431616,2.647424,2.431616,2.647424,1,1,441,339,183,156,3,24.386304,9.292213,0.015487,9.656976,38.141187,47.798164,0.108141,0.055173,0.107062,2605,14006,16611,0.156824,11879,0.715129,1462,397,147,6,3,3,0,3,0,0,0.870802,0.460177,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,3,2,1.0,0.04081632653061224,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
minhop-mesh,1,600.0,12,3,9,0.333333,0.666667,0.997732,2.431616,2.215808,2.431616,2.28055,2.431616,2,1,440,310,156,154,3,22.30016,9.000427,0.015001,8.830863,34.889198,43.720061,0.099138,0.050567,0.10827,2630,12560,15190,0.17314,10629,0.699737,1617,423,147,4,3,2,0,3,0,0,0.72734,0.496774,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,1,0.6666666666666666,0.027210884353741496,0,1.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.774957,0.448864,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshtastic-like,2,600.0,15,8,7,0.5,1.0,1.0,1.322541,0.995432,1.322541,2.269796,2.34648,8,4,343,255,242,13,13,18.34368,9.235873,0.015393,7.264097,29.45373,36.717828,0.105815,0.052864,0.148845,2804,9691,12495,0.22441,8613,0.689316,1645,686,0,0,0,0,0,0,0,0,0.0,0.05098,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshcore-like,2,600.0,15,8,7,0.375,0.5,1.0,2.431616,2.251776,2.431616,2.287744,2.431616,4,3,343,721,358,363,7,51.865856,16.149929,0.026917,20.538879,79.233616,99.772495,0.28836,0.149901,0.13556,4580,30749,35329,0.129639,24652,0.697784,2659,0,344,12,8,5,0,8,0,0,0.0,0.503467,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,3,0.625,0.03488372093023256,0,1.6,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
etx-mesh,2,600.0,15,8,7,0.375,0.5,0.997085,2.431616,2.287744,2.431616,2.287744,2.431616,4,3,342,595,183,412,7,42.80192,15.029498,0.025049,16.94956,66.281897,83.231457,0.241251,0.124064,0.127878,3957,25198,29155,0.135723,20903,0.716961,2215,297,392,13,8,5,0,8,0,0,0.326765,0.692437,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,0.625,0.03316326530612245,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
ett-mesh,2,600.0,15,8,7,0.375,0.5,0.997085,2.431616,2.287744,2.431616,2.287744,2.431616,4,3,342,595,183,412,7,42.80192,15.029498,0.025049,16.94956,66.281897,83.231457,0.241251,0.124064,0.127878,3957,25198,29155,0.135723,20903,0.716961,2215,297,392,13,8,5,0,8,0,0,0.870166,0.692437,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_calibrated_multihop,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,0.625,0.03316326530612245,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
