protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.370763,0.265954333,0.246293971,0.495232029
meshtastic-like,destination_unicast_pdr,20,1.0,0.0,1.0,1.0
meshtastic-like,broadcast_coverage,20,0.9997449,0.001140842,0.999210976,1.000278824
meshtastic-like,avg_delay_s,20,0.46006875,0.448488396,0.250172132,0.669965368
meshtastic-like,mean_delivery_delay_s,20,0.1430275,0.028677026,0.129606393,0.156448607
meshtastic-like,unicast_delivery_delay_s,20,0.73804495,0.272889036,0.610330418,0.865759482
meshtastic-like,unicast_ack_delay_s,20,0.46006875,0.448488396,0.250172132,0.669965368
meshtastic-like,p95_unicast_delivery_delay_s,20,1.2182207,0.430176507,1.016894211,1.419547189
meshtastic-like,p95_unicast_ack_delay_s,20,0.7800096,0.81308016,0.399480745,1.160538455
meshtastic-like,tx_count,20,166.95,52.034882025,142.597205457,191.302794543
meshtastic-like,data_tx,20,159.6,49.322141926,136.516792313,182.683207687
meshtastic-like,control_tx,20,7.35,4.307582055,5.334012711,9.365987289
meshtastic-like,ack_tx,20,7.35,4.307582055,5.334012711,9.365987289
meshtastic-like,total_airtime_s,20,12.0097152,3.743181273,10.257872572,13.761557828
meshtastic-like,channel_busy_time_s,20,6.18640495,2.008917356,5.246213492,7.126596408
meshtastic-like,channel_busy_ratio,20,0.0103106,0.00334822,0.008743603,0.011877597
meshtastic-like,tx_energy_j,20,4.7558472,1.482299711,4.062117553,5.449576847
meshtastic-like,rx_energy_j,20,19.27365955,6.030422748,16.451367263,22.095951837
meshtastic-like,total_energy_j,20,24.02950685,7.512550203,20.513565534,27.545448166
meshtastic-like,energy_per_delivery_j,20,0.10883685,0.061758061,0.07993352,0.13774018
meshtastic-like,airtime_per_delivery_s,20,0.0544536,0.030963191,0.039962547,0.068944653
meshtastic-like,rx_attempts,20,8180.55,2549.709219231,6987.263067414,9373.836932586
meshtastic-like,packet_reception_ratio,20,0.2377994,0.038755529,0.219661462,0.255937338
meshtastic-like,collision_fail,20,5544.1,1782.787376997,4709.739413112,6378.460586888
meshtastic-like,collision_rate,20,0.6770241,0.032032005,0.662032833,0.692015367
meshtastic-like,duplicate_rx,20,1247.65,395.000636242,1062.786136295,1432.513863705
meshtastic-like,suppressed_forwards,20,486.6,146.676299524,417.954167674,555.245832326
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.04268555,0.01956182,0.033530442,0.051840658
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.50155845,0.2197422,0.398717117,0.604399783
meshcore-like,destination_unicast_pdr,20,0.6363421,0.234912105,0.526401114,0.746283086
meshcore-like,broadcast_coverage,20,0.99923065,0.001771866,0.998401401,1.000059899
meshcore-like,avg_delay_s,20,2.2893536,0.54190023,2.0357394,2.5429678
meshcore-like,mean_delivery_delay_s,20,0.1437738,0.042669136,0.123804259,0.163743341
meshcore-like,unicast_delivery_delay_s,20,2.14925825,0.507583305,1.911704681,2.386811819
meshcore-like,unicast_ack_delay_s,20,2.2893536,0.54190023,2.0357394,2.5429678
meshcore-like,p95_unicast_delivery_delay_s,20,2.1776729,0.515148037,1.936578968,2.418766832
meshcore-like,p95_unicast_ack_delay_s,20,2.317049,0.550800002,2.059269627,2.574828373
meshcore-like,tx_count,20,534.65,158.585283382,460.430655718,608.869344282
meshcore-like,data_tx,20,273.4,107.523999769,223.077797415,323.722202585
meshcore-like,control_tx,20,261.25,127.119866765,201.756754755,320.743245245
meshcore-like,ack_tx,20,5.65,3.099660423,4.199330939,7.100669061
meshcore-like,total_airtime_s,20,38.4605824,11.407990945,33.12153965,43.79962515
meshcore-like,channel_busy_time_s,20,11.4798922,3.761213939,9.719610121,13.240174279
meshcore-like,channel_busy_ratio,20,0.01913305,0.006268808,0.016199191,0.022066909
meshcore-like,tx_energy_j,20,15.2303907,4.517564499,13.116129731,17.344651669
meshcore-like,rx_energy_j,20,58.92225385,17.583043225,50.693230887,67.151276813
meshcore-like,total_energy_j,20,74.15264445,22.100258487,63.809523964,84.495764936
meshcore-like,energy_per_delivery_j,20,0.32790405,0.176626844,0.245241092,0.410567008
meshcore-like,airtime_per_delivery_s,20,0.17003035,0.091313289,0.127294907,0.212765793
meshcore-like,rx_attempts,20,26197.85,7770.678885705,22561.102130205,29834.597869795
meshcore-like,packet_reception_ratio,20,0.11437205,0.014893769,0.107401632,0.121342468
meshcore-like,collision_fail,20,18790.65,5476.063023694,16227.803068708,21353.496931292
meshcore-like,collision_rate,20,0.71900075,0.014380676,0.712270464,0.725731036
meshcore-like,duplicate_rx,20,1670.1,624.537041167,1377.811026607,1962.388973393
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_misses,20,5.1,2.511028307,3.924816084,6.275183916
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.48242965,0.176411753,0.399867357,0.564991943
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
etx-mesh,unicast_pdr,20,0.6608875,0.25344953,0.542270832,0.779504168
etx-mesh,destination_unicast_pdr,20,0.7413258,0.209725096,0.643172562,0.839479038
etx-mesh,broadcast_coverage,20,0.9988128,0.002860403,0.997474105,1.000151495
etx-mesh,avg_delay_s,20,2.3218147,0.549557646,2.06461676,2.57901264
etx-mesh,mean_delivery_delay_s,20,0.15843565,0.057461755,0.13154303,0.18532827
etx-mesh,unicast_delivery_delay_s,20,2.2846268,0.052868223,2.259883994,2.309369606
etx-mesh,unicast_ack_delay_s,20,2.3218147,0.549557646,2.06461676,2.57901264
etx-mesh,p95_unicast_delivery_delay_s,20,2.3161587,0.069214342,2.283765763,2.348551637
etx-mesh,p95_unicast_ack_delay_s,20,2.3639872,0.562829001,2.100578146,2.627396254
etx-mesh,tx_count,20,384.05,136.513147622,320.160614514,447.939385486
etx-mesh,data_tx,20,118.1,44.218238676,97.405465111,138.794534889
etx-mesh,control_tx,20,265.95,130.786074826,204.740936285,327.159063715
etx-mesh,ack_tx,20,7.1,3.918914995,5.265912404,8.934087596
etx-mesh,total_airtime_s,20,27.6270208,9.820209787,23.031073966,32.222967634
etx-mesh,channel_busy_time_s,20,9.90904385,3.50600201,8.268203258,11.549884442
etx-mesh,channel_busy_ratio,20,0.01651505,0.005843391,0.01378029,0.01924981
etx-mesh,tx_energy_j,20,10.94030015,3.888803111,9.120305187,12.760295113
etx-mesh,rx_energy_j,20,42.8557159,15.200442926,35.741771386,49.969660414
etx-mesh,total_energy_j,20,53.7960161,19.089015552,44.862184492,62.729847708
etx-mesh,energy_per_delivery_j,20,0.2501014,0.177542037,0.167010124,0.333192676
etx-mesh,airtime_per_delivery_s,20,0.1285607,0.091530855,0.085723434,0.171397966
etx-mesh,rx_attempts,20,18818.45,6689.144233481,15687.870111206,21949.029888794
etx-mesh,packet_reception_ratio,20,0.1545043,0.00977045,0.149931641,0.159076959
etx-mesh,collision_fail,20,13182.55,4651.932518348,11005.403585205,15359.696414795
etx-mesh,collision_rate,20,0.70146695,0.01306354,0.695353096,0.707580804
etx-mesh,duplicate_rx,20,1376.5,466.454770188,1158.194956542,1594.805043458
etx-mesh,suppressed_forwards,20,243.65,96.588805606,198.445567002,288.854432998
etx-mesh,route_cache_hits,20,0.0,0.0,0.0,0.0
etx-mesh,route_cache_misses,20,5.1,2.511028307,3.924816084,6.275183916
etx-mesh,fallback_forward_count,20,0.0,0.0,0.0,0.0
etx-mesh,route_repair_count,20,0.0,0.0,0.0,0.0
etx-mesh,mean_path_confidence,20,0.3483283,0.024580889,0.336824222,0.359832378
etx-mesh,control_overhead_ratio,20,0.66399255,0.160629071,0.588816695,0.739168405
etx-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
etx-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
ett-mesh,unicast_pdr,20,0.6608875,0.25344953,0.542270832,0.779504168
ett-mesh,destination_unicast_pdr,20,0.7413258,0.209725096,0.643172562,0.839479038
ett-mesh,broadcast_coverage,20,0.9988128,0.002860403,0.997474105,1.000151495
ett-mesh,avg_delay_s,20,2.3218147,0.549557646,2.06461676,2.57901264
ett-mesh,mean_delivery_delay_s,20,0.15843565,0.057461755,0.13154303,0.18532827
ett-mesh,unicast_delivery_delay_s,20,2.2846268,0.052868223,2.259883994,2.309369606
ett-mesh,unicast_ack_delay_s,20,2.3218147,0.549557646,2.06461676,2.57901264
ett-mesh,p95_unicast_delivery_delay_s,20,2.3161587,0.069214342,2.283765763,2.348551637
