protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshecho,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.774957,0.448864,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho-no-confidence,1,600.0,12,3,9,0.333333,0.333333,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,1,1,441,337,184,153,2,24.242432,9.26362,0.015439,9.600003,37.774422,47.374425,0.107182,0.054847,0.104803,2519,13994,16513,0.152546,11745,0.711258,1576,416,147,4,3,1,0,3,0,0,0.739046,0.454006,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.3333333333333333,0.027210884353741496,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho-no-fallback,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.774957,0.448864,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho-no-hop-penalty,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.819998,0.448864,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho-no-age-penalty,1,600.0,12,3,9,0.666667,0.666667,1.0,2.53952,2.35968,2.53952,2.424422,2.636634,2,2,441,352,194,158,5,25.321472,10.010436,0.016684,10.027303,39.48844,49.515743,0.111774,0.057159,0.117621,2979,14269,17248,0.172716,11952,0.69295,1661,419,147,6,3,2,0,3,0,0,0.774957,0.448864,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.6666666666666666,0.04081632653061224,0,2.5,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho,2,600.0,15,8,7,0.625,0.625,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,343,613,196,417,10,44.096768,16.109439,0.026849,17.46232,68.367571,85.829891,0.246638,0.126715,0.147271,4602,25435,30037,0.153211,21005,0.699304,2322,321,392,15,8,6,0,8,0,0,0.791417,0.680261,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.75,0.03826530612244898,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshecho-no-confidence,2,600.0,15,8,7,0.625,0.625,0.997085,2.388454,2.25897,2.388454,2.287744,2.431616,5,5,342,611,197,414,9,43.952896,16.178122,0.026964,17.405347,68.181743,85.58709,0.246649,0.126665,0.142725,4502,25437,29939,0.150372,21021,0.702128,2514,317,392,13,8,5,0,8,0,0,0.766596,0.677578,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,4,0.625,0.03316326530612245,0,1.8,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshecho-no-fallback,2,600.0,15,8,7,0.625,0.625,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,343,613,196,417,10,44.096768,16.109439,0.026849,17.46232,68.367571,85.829891,0.246638,0.126715,0.147271,4602,25435,30037,0.153211,21005,0.699304,2322,321,392,15,8,6,0,8,0,0,0.791417,0.680261,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.75,0.03826530612244898,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshecho-no-hop-penalty,2,600.0,15,8,7,0.375,0.625,1.0,2.503552,2.345293,2.503552,2.431616,2.625843,5,3,343,612,192,420,10,44.024832,16.295143,0.027159,17.433833,68.306443,85.740277,0.247804,0.127239,0.136603,4702,25286,29988,0.156796,20855,0.695445,2473,325,392,18,8,6,0,8,0,0,0.83104,0.686275,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.75,0.04591836734693878,0,2.5,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshecho-no-age-penalty,2,600.0,15,8,7,0.625,0.625,1.0,2.431616,2.287744,2.431616,2.287744,2.431616,5,5,343,613,196,417,10,44.096768,16.109439,0.026849,17.46232,68.367571,85.829891,0.246638,0.126715,0.147271,4602,25435,30037,0.153211,21005,0.699304,2322,321,392,15,8,6,0,8,0,0,0.791417,0.680261,0,0,0.0,-1,0,0,0,meshecho_v2_1_22_icc2027_component_ablation,50,8250.0,1.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.75,0.03826530612244898,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
