protocol,metric,n,mean,sd,ci95_low,ci95_high
meshecho,unicast_pdr,20,0.7197187,0.245602496,0.604774515,0.834662885
meshecho,destination_unicast_pdr,20,0.73936155,0.246094454,0.624187124,0.854535976
meshecho,broadcast_coverage,20,0.9989318,0.002395042,0.997810899,1.000052701
meshecho,avg_delay_s,20,2.31851335,0.546392826,2.062796575,2.574230125
meshecho,mean_delivery_delay_s,20,0.1567352,0.048476294,0.134047857,0.179422543
meshecho,unicast_delivery_delay_s,20,2.18120905,0.513787764,1.940751738,2.421666362
meshecho,unicast_ack_delay_s,20,2.31851335,0.546392826,2.062796575,2.574230125
meshecho,p95_unicast_delivery_delay_s,20,2.19816495,0.521089622,1.954290303,2.442039597
meshecho,p95_unicast_ack_delay_s,20,2.3310765,0.552468052,2.072516464,2.589636536
meshecho,tx_count,20,391.2,139.8911607,325.729673898,456.670326102
meshecho,data_tx,20,123.45,48.139572298,100.920245575,145.979754425
meshecho,control_tx,20,267.75,132.078873963,205.935894618,329.564105382
meshecho,ack_tx,20,7.85,4.487116059,5.749989176,9.950010824
meshecho,total_airtime_s,20,28.1413632,10.063210536,23.431689822,32.851036578
meshecho,channel_busy_time_s,20,10.07109415,3.576593101,8.39721629,11.74497201
meshecho,channel_busy_ratio,20,0.0167851,0.005960988,0.013995304,0.019574896
meshecho,tx_energy_j,20,11.1439798,3.985031255,9.278949197,13.009010403
meshecho,rx_energy_j,20,43.53997835,15.536230036,36.268882437,50.811074263
meshecho,total_energy_j,20,54.6839583,19.521035191,45.547937601,63.819978999
meshecho,energy_per_delivery_j,20,0.25206915,0.174692241,0.170311604,0.333826696
meshecho,airtime_per_delivery_s,20,0.12982925,0.090227822,0.087601815,0.172056685
meshecho,rx_attempts,20,19168.8,6854.66687432,15960.754021006,22376.845978994
meshecho,packet_reception_ratio,20,0.1596981,0.014891374,0.152728803,0.166667397
meshecho,collision_fail,20,13232.45,4671.609442884,11046.094606885,15418.805393115
