protocol,metric,n,mean,sd,ci95_low,ci95_high
meshcore-like,unicast_pdr,3,0.0,0.0,0.0,0.0
meshcore-like,destination_unicast_pdr,3,0.0,0.0,0.0,0.0
meshcore-like,broadcast_coverage,3,0.999244,0.00130943,0.995990932,1.002497068
meshcore-like,avg_delay_s,3,0.0,0.0,0.0,0.0
meshcore-like,mean_delivery_delay_s,3,0.595257667,0.048565173,0.474605352,0.715909981
meshcore-like,unicast_delivery_delay_s,3,0.0,0.0,0.0,0.0
meshcore-like,unicast_ack_delay_s,3,0.0,0.0,0.0,0.0
meshcore-like,p95_unicast_delivery_delay_s,3,0.0,0.0,0.0,0.0
meshcore-like,p95_unicast_ack_delay_s,3,0.0,0.0,0.0,0.0
meshcore-like,tx_count,3,615.666666667,145.204453559,254.929694672,976.403638662
meshcore-like,data_tx,3,383.666666667,57.448527686,240.945094323,526.38823901
meshcore-like,control_tx,3,232.0,142.523682243,-122.077029386,586.077029386
meshcore-like,ack_tx,3,0.0,0.0,0.0,0.0
meshcore-like,total_airtime_s,3,44.288597333,10.445427571,18.338622516,70.238572151
meshcore-like,channel_busy_time_s,3,19.163902333,4.013140384,9.193904341,29.133900325
meshcore-like,channel_busy_ratio,3,0.106466,0.022295226,0.051077119,0.161854881
meshcore-like,tx_energy_j,3,17.538284667,4.136389206,7.262094918,27.814474415
meshcore-like,rx_energy_j,3,70.347290333,16.535155131,29.26837266,111.426208007
meshcore-like,total_energy_j,3,87.885575333,20.671437545,36.530733219,139.240417447
meshcore-like,energy_per_delivery_j,3,0.236074333,0.061334384,0.08369898,0.388449687
meshcore-like,airtime_per_delivery_s,3,0.118980667,0.031077441,0.041773793,0.19618754
meshcore-like,rx_attempts,3,30069.666666667,7020.236914331,12629.023868915,47510.309464418
meshcore-like,packet_reception_ratio,3,0.112152333,0.007599453,0.093272722,0.131031944
meshcore-like,collision_fail,3,22868.333333333,5671.271139113,8778.977752676,36957.68891399
meshcore-like,collision_rate,3,0.758575,0.012620721,0.72722086,0.78992914
meshcore-like,duplicate_rx,3,2571.0,409.036673172,1554.814564232,3587.185435768
meshcore-like,suppressed_forwards,3,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,3,0.0,0.0,0.0,0.0
meshcore-like,route_cache_misses,3,5.666666667,3.055050463,-1.923111928,13.256445261
meshcore-like,fallback_forward_count,3,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,3,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,3,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,3,0.355597,0.152356557,-0.022908217,0.734102217
meshcore-like,policy_switch_count,3,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,3,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,3,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,3,-1.0,0.0,-1.0,-1.0
