protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,25,25,0,0.52,1.0,0.0,2.188489,2.089935,2.188489,3.146634,3.219668,25,13,0,472,418,54,54,33.953792,26.64757,0.044413,13.445702,113.69003,127.135732,9.779672,2.61183,2.089935,12271,34457,46728,0.262605,20553,0.439843,7996,2363,0,0,0,0,0,0,0,0,0.0,0.114407,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,0,0,0.0,0.0,0,0.0,1.2771782519879312e-06,0.0011264138092182273,0.23062075638566182,0.9951399783254451,0.9999999926886891,0.7296969696969697,0.5543434343434344
meshcore-like,1,600.0,25,25,0,0.24,0.4,0.0,4.647424,4.431616,4.647424,4.575488,4.80928,10,6,0,2501,32,2469,30,179.911936,61.30513,0.102175,71.245127,584.194181,655.439308,109.239885,29.985323,4.431616,19805,227794,247599,0.079988,197459,0.797495,11764,0,2376,63,24,12,0,25,0,0,0.0,0.987205,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,12,12,0.5,0.026515151515151516,0,2.9166666666666665,1.2771782519879312e-06,0.0011264138092182273,0.23062075638566182,0.9951399783254451,0.9999999926886891,0.7296969696969697,0.5543434343434344
etx-mesh,1,600.0,25,25,0,0.6,0.68,0.0,4.647424,4.431616,4.647424,4.575488,4.863232,17,15,0,2542,52,2490,51,182.861312,63.888271,0.10648,72.41308,594.023502,666.436581,44.429105,12.190754,4.431616,21121,230537,251658,0.083927,198163,0.78743,11223,0,2376,63,24,18,0,25,0,0,0.242721,0.979544,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,18,17,0.75,0.026515151515151516,0,3.0,1.2771782519879312e-06,0.0011264138092182273,0.23062075638566182,0.9951399783254451,0.9999999926886891,0.7296969696969697,0.5543434343434344
ett-mesh,1,600.0,25,25,0,0.6,0.68,0.0,4.647424,4.431616,4.647424,4.575488,4.863232,17,15,0,2542,52,2490,51,182.861312,63.888271,0.10648,72.41308,594.023502,666.436581,44.429105,12.190754,4.431616,21121,230537,251658,0.083927,198163,0.78743,11223,0,2376,63,24,18,0,25,0,0,0.811855,0.979544,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,18,17,0.75,0.026515151515151516,0,3.0,1.2771782519879312e-06,0.0011264138092182273,0.23062075638566182,0.9951399783254451,0.9999999926886891,0.7296969696969697,0.5543434343434344
minhop-mesh,1,600.0,25,25,0,0.32,0.44,0.0,4.647424,4.405457,4.647424,4.503552,4.787699,11,8,0,2500,37,2463,30,179.84,62.179991,0.103633,71.21664,585.057303,656.273943,82.034243,22.48,4.405457,19581,227919,247500,0.079115,199106,0.804469,11466,0,2376,57,24,16,0,25,0,0,0.52289,0.9852,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,16,15,0.6666666666666666,0.023989898989898988,0,2.75,1.2771782519879312e-06,0.0011264138092182273,0.23062075638566182,0.9951399783254451,0.9999999926886891,0.7296969696969697,0.5543434343434344
meshecho,1,600.0,25,25,0,0.6,0.72,0.0,4.690586,4.447602,4.690586,4.575488,4.863232,18,15,0,2556,56,2500,56,183.868416,64.423546,0.107373,72.811893,596.952737,669.76463,44.650975,12.257894,4.447602,21537,231507,253044,0.085112,198969,0.786302,10908,0,2375,69,24,18,0,25,0,0,0.673886,0.978091,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,18,18,0.75,0.029052631578947368,0,3.111111111111111,1.2771782519879312e-06,0.0011264138092182273,0.23062075638566182,0.9951399783254451,0.9999999926886891,0.7296969696969697,0.5543434343434344
meshtastic-like,2,600.0,26,26,0,0.307692,0.961538,0.0,3.042697,2.216069,3.042697,3.489323,4.47272,25,8,0,551,499,52,52,39.636736,28.63219,0.04772,15.696147,132.373075,148.069222,18.508653,4.954592,2.216069,12236,42313,54549,0.224312,30384,0.557004,7996,2332,0,0,0,0,0,0,0,0,0.0,0.094374,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,0,0,0.0,0.0,0,0.0,3.300229173369799e-06,0.0020963624989501052,0.30726095537160203,0.9972723988989088,0.999999992633023,0.7141414141414142,0.5402020202020202
meshcore-like,2,600.0,26,26,0,0.230769,0.307692,0.0,4.575488,4.413632,4.575488,4.525133,4.647424,8,6,0,2385,30,2355,21,171.56736,55.712491,0.092854,67.940675,556.151276,624.09195,104.015325,28.59456,4.413632,17718,218397,236115,0.07504,191350,0.81041,10597,0,2279,55,24,12,1,25,0,0,0.0,0.987421,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,12,12,0.5,0.02413339183852567,0,2.75,3.300229173369799e-06,0.0020963624989501052,0.30726095537160203,0.9972723988989088,0.999999992633023,0.7141414141414142,0.5402020202020202
etx-mesh,2,600.0,26,26,0,0.423077,0.615385,0.0,4.211852,4.136656,4.211852,4.467584,4.647424,16,11,0,2323,44,2279,42,167.107328,57.106124,0.095177,66.174502,542.864577,609.039079,55.367189,15.191575,4.136656,19262,210715,229977,0.083756,183783,0.799136,10498,0,2181,56,24,15,1,25,0,2,0.244971,0.981059,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,15,15,0.625,0.02567629527739569,0,2.8,3.300229173369799e-06,0.0020963624989501052,0.30726095537160203,0.9972723988989088,0.999999992633023,0.7141414141414142,0.5402020202020202
ett-mesh,2,600.0,26,26,0,0.423077,0.615385,0.0,4.211852,4.136656,4.211852,4.467584,4.647424,16,11,0,2323,44,2279,42,167.107328,57.106124,0.095177,66.174502,542.864577,609.039079,55.367189,15.191575,4.136656,19262,210715,229977,0.083756,183783,0.799136,10498,0,2181,56,24,15,1,25,0,2,0.81524,0.981059,0,0,0.0,-1,0,0,0,icc2027_generalization_deep_multihop,100,21000.0,2.0,unicast,7,2.75,0,connected-multihop,0.85,3,5,24,3.0,1,15,15,0.625,0.02567629527739569,0,2.8,3.300229173369799e-06,0.0020963624989501052,0.30726095537160203,0.9972723988989088,0.999999992633023,0.7141414141414142,0.5402020202020202
