protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.41038315,0.111563413,0.358170465,0.462595835
meshtastic-like,destination_unicast_pdr,20,0.98780515,0.02475127,0.976221332,0.999388968
meshtastic-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshtastic-like,avg_delay_s,20,2.6246426,0.297637072,2.485345764,2.763939436
meshtastic-like,mean_delivery_delay_s,20,2.20078145,0.243138812,2.086990291,2.314572609
meshtastic-like,unicast_delivery_delay_s,20,2.20078145,0.243138812,2.086990291,2.314572609
meshtastic-like,unicast_ack_delay_s,20,2.6246426,0.297637072,2.485345764,2.763939436
meshtastic-like,p95_unicast_delivery_delay_s,20,3.2312759,0.413725417,3.03764867,3.42490313
meshtastic-like,p95_unicast_ack_delay_s,20,3.5533997,0.682550287,3.233960004,3.872839396
meshtastic-like,tx_count,20,453.45,107.233868864,403.263581297,503.636418703
meshtastic-like,data_tx,20,406.4,96.671119075,361.157043556,451.642956444
meshtastic-like,control_tx,20,47.05,12.15892568,41.359513015,52.740486985
meshtastic-like,ack_tx,20,47.05,12.15892568,41.359513015,52.740486985
meshtastic-like,total_airtime_s,20,32.6193792,7.713975591,29.009168984,36.229589416
meshtastic-like,channel_busy_time_s,20,24.4950277,5.42875295,21.95432231,27.03573309
meshtastic-like,channel_busy_ratio,20,0.04082505,0.009047861,0.036590569,0.045059531
meshtastic-like,tx_energy_j,20,12.9172743,3.054734246,11.487631095,14.346917505
meshtastic-like,rx_energy_j,20,109.0142568,25.719678255,96.977215187,121.051298413
meshtastic-like,total_energy_j,20,121.9315308,28.774393389,108.464854927,135.398206673
meshtastic-like,energy_per_delivery_j,20,14.41797635,3.917344191,12.584623904,16.251328796
meshtastic-like,airtime_per_delivery_s,20,3.85706165,1.049014069,3.366113595,4.348009705
meshtastic-like,rx_attempts,20,44871.75,10586.832009003,39917.017045142,49826.482954858
meshtastic-like,packet_reception_ratio,20,0.2418134,0.016933283,0.233888471,0.249738329
meshtastic-like,collision_fail,20,22873.3,6325.166160497,19913.065135244,25833.534864756
meshtastic-like,collision_rate,20,0.5055566,0.036823142,0.488323037,0.522790163
meshtastic-like,duplicate_rx,20,7029.15,1486.79727408,6333.315453385,7724.984546615
meshtastic-like,suppressed_forwards,20,2053.4,451.546162471,1842.072319545,2264.727680455
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
