protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,36,18,18,0.722222,1.0,0.992063,1.109689,0.991394,1.109689,1.921666,2.63537,18,13,875,493,465,28,28,35.464448,27.228571,0.045381,14.043921,58.318191,72.362112,0.081489,0.039937,0.629494,7098,17059,24157,0.293828,11773,0.487354,4666,1613,0,0,0,0,0,0,0,0,0.0,0.056795,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0,0.0,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshcore-like,1,600.0,36,18,18,0.166667,0.222222,0.996599,2.287744,2.17984,2.287744,2.266163,2.410035,4,3,879,1773,909,864,5,127.542528,54.288336,0.090481,50.506841,202.205264,252.712105,0.286522,0.144606,0.633204,9515,77362,86877,0.109523,66057,0.760351,6882,0,834,25,18,10,0,18,0,0,0.0,0.48731,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,10,6,0.5555555555555556,0.02997601918465228,0,1.6,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
etx-mesh,1,600.0,36,18,18,0.111111,0.111111,0.942177,2.323712,2.215808,2.323712,2.28055,2.420826,2,2,831,1171,314,857,3,84.237056,39.815051,0.066358,33.357874,134.338939,167.696813,0.201317,0.101125,0.54766,7965,49414,57379,0.138814,41285,0.719514,5540,774,833,21,18,6,0,18,0,1,0.383684,0.731853,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,6,3,0.3333333333333333,0.025210084033613446,0,1.5,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
ett-mesh,1,600.0,36,18,18,0.111111,0.111111,0.942177,2.323712,2.215808,2.323712,2.28055,2.420826,2,2,831,1171,314,857,3,84.237056,39.815051,0.066358,33.357874,134.338939,167.696813,0.201317,0.101125,0.54766,7965,49414,57379,0.138814,41285,0.719514,5540,774,833,21,18,6,0,18,0,1,0.891172,0.731853,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,6,3,0.3333333333333333,0.025210084033613446,0,1.5,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
minhop-mesh,1,600.0,36,18,18,0.222222,0.277778,0.943311,2.323712,2.230195,2.323712,2.287744,2.431616,5,4,832,1151,288,863,8,82.798336,40.342989,0.067238,32.788141,132.448873,165.237014,0.197652,0.099041,0.602948,8069,48330,56399,0.14307,40252,0.713701,5475,777,834,21,18,7,0,18,0,2,0.831404,0.749783,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,7,4,0.3888888888888889,0.025179856115107913,0,1.5714285714285714,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshecho,1,600.0,36,18,18,0.277778,0.333333,0.993197,2.287744,2.203819,2.287744,2.287744,2.431616,6,5,876,1235,367,868,9,88.84096,41.967147,0.069945,35.18102,141.657137,176.838157,0.200724,0.100841,0.622728,7963,52552,60515,0.131587,44269,0.731538,5290,839,833,26,18,9,0,18,14,1,0.833195,0.702834,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,9,6,0.5,0.031212484993997598,0,1.7777777777777777,3.255702414699045e-05,0.014155005933852743,0.8355678543620064,0.9995121914390295,0.9999999957207223,0.6212244897959184,0.4326530612244898
meshtastic-like,2,600.0,35,18,17,0.722222,1.0,0.995198,0.348659,0.419438,0.348659,1.560082,1.434117,18,13,829,473,451,22,22,34.025728,25.955622,0.043259,13.474188,55.921988,69.396177,0.082418,0.040411,0.628099,6854,16323,23177,0.295724,10915,0.470941,4673,1583,0,0,0,0,0,0,0,0,0.0,0.046512,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0,0.0,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
meshcore-like,2,600.0,35,18,17,0.222222,0.333333,0.9988,2.215808,2.143872,2.215808,2.143872,2.215808,6,4,832,1763,858,905,6,126.823168,54.539906,0.0909,50.221975,201.645335,251.867309,0.301277,0.151702,0.518533,9487,76900,86387,0.10982,66330,0.767824,7097,0,881,18,18,9,0,18,0,0,0.0,0.51333,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,9,1,0.5,0.02043132803632236,0,1.1111111111111112,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
etx-mesh,2,600.0,35,18,17,0.555556,0.611111,0.996399,2.302131,2.196189,2.302131,2.287744,2.431616,11,10,830,1237,316,921,15,88.984832,42.499537,0.070833,35.237993,142.400449,177.638443,0.211474,0.105934,0.493727,8528,52085,60613,0.140696,43747,0.721743,5589,768,882,24,18,15,0,18,0,0,0.431263,0.744543,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,6,0.8333333333333334,0.027210884353741496,0,1.4,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
ett-mesh,2,600.0,35,18,17,0.555556,0.611111,0.996399,2.302131,2.196189,2.302131,2.287744,2.431616,11,10,830,1237,316,921,15,88.984832,42.499537,0.070833,35.237993,142.400449,177.638443,0.211474,0.105934,0.493727,8528,52085,60613,0.140696,43747,0.721743,5589,768,882,24,18,15,0,18,0,0,0.908974,0.744543,0,0,0.0,-1,0,0,0,icc2027_generalization_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,6,0.8333333333333334,0.027210884353741496,0,1.4,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
