protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,47,47,0,0.574468,0.978723,0.0,0.404303,0.532142,0.404303,1.339259,1.441212,46,27,0,608,549,59,59,43.737088,27.714798,0.046191,17.319887,70.969162,88.289049,3.269965,1.619892,0.532142,10434,19358,29792,0.350228,16598,0.557129,6351,2129,0,0,0,0,0,0,0,0,0.0,0.097039,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshcore-like,1,600.0,47,47,0,0.404255,0.468085,0.0,0.324857,0.292992,0.324857,2.043872,0.502131,22,19,0,276,44,232,31,19.854336,10.543139,0.017572,7.862317,31.568746,39.431063,2.075319,1.044965,0.292992,4304,9220,13524,0.318249,7379,0.545623,846,0,196,5,4,3,32,15,0,0,0.0,0.84058,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,1,0.75,0.025510204081632654,0,1.3333333333333333,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
etx-mesh,1,600.0,47,47,0,0.404255,0.468085,0.0,0.324857,0.292992,0.324857,2.043872,0.502131,22,19,0,276,44,232,31,19.854336,10.543139,0.017572,7.862317,31.568746,39.431063,2.075319,1.044965,0.292992,4304,9220,13524,0.318249,7379,0.545623,846,0,196,5,4,3,32,15,0,0,0.398354,0.84058,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,1,0.75,0.025510204081632654,0,1.3333333333333333,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
ett-mesh,1,600.0,47,47,0,0.404255,0.468085,0.0,0.324857,0.292992,0.324857,2.043872,0.502131,22,19,0,276,44,232,31,19.854336,10.543139,0.017572,7.862317,31.568746,39.431063,2.075319,1.044965,0.292992,4304,9220,13524,0.318249,7379,0.545623,846,0,196,5,4,3,32,15,0,0,0.868561,0.84058,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,1,0.75,0.025510204081632654,0,1.3333333333333333,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
minhop-mesh,1,600.0,47,47,0,0.489362,0.489362,0.0,0.479805,0.376593,0.479805,2.143872,2.215808,23,23,0,278,45,233,33,19.998208,10.717318,0.017862,7.91929,31.842598,39.761888,1.728778,0.869487,0.376593,4463,9159,13622,0.327632,7286,0.53487,873,0,195,5,4,3,32,15,0,0,0.86353,0.838129,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,1,0.75,0.02564102564102564,0,1.3333333333333333,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho,1,600.0,47,47,0,0.468085,0.468085,0.0,0.495075,0.390441,0.495075,2.143872,2.215808,22,22,0,277,45,232,32,19.926272,10.636618,0.017728,7.890804,31.580972,39.471775,1.794172,0.90574,0.390441,4421,9152,13573,0.32572,7165,0.527886,804,0,195,5,4,3,32,15,0,0,0.86353,0.837545,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,1,0.75,0.02564102564102564,0,1.3333333333333333,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshtastic-like,2,600.0,41,41,0,0.487805,1.0,0.0,0.63934,0.778767,0.63934,1.63131,1.523435,41,20,0,550,494,56,56,39.5648,25.035712,0.041726,15.667661,64.308697,79.976358,3.998818,1.97824,0.778767,9143,17807,26950,0.339258,15396,0.57128,5543,1886,0,0,0,0,0,0,0,0,0.0,0.101818,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshcore-like,2,600.0,41,41,0,0.243902,0.243902,0.0,0.287744,0.143872,0.287744,0.143872,0.287744,10,10,0,242,21,221,20,17.408512,7.792937,0.012988,6.893771,27.353386,34.247156,3.424716,1.740851,0.143872,2967,8891,11858,0.250211,7299,0.615534,860,0,196,5,4,1,10,31,0,0,0.0,0.913223,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.25,0.025510204081632654,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
etx-mesh,2,600.0,41,41,0,0.243902,0.243902,0.0,0.287744,0.143872,0.287744,0.143872,0.287744,10,10,0,242,21,221,20,17.408512,7.792937,0.012988,6.893771,27.353386,34.247156,3.424716,1.740851,0.143872,2967,8891,11858,0.250211,7299,0.615534,860,0,196,5,4,1,10,31,0,0,0.306365,0.913223,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.25,0.025510204081632654,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
ett-mesh,2,600.0,41,41,0,0.243902,0.243902,0.0,0.287744,0.143872,0.287744,0.143872,0.287744,10,10,0,242,21,221,20,17.408512,7.792937,0.012988,6.893771,27.353386,34.247156,3.424716,1.740851,0.143872,2967,8891,11858,0.250211,7299,0.615534,860,0,196,5,4,1,10,31,0,0,0.842171,0.913223,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.25,0.025510204081632654,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
minhop-mesh,2,600.0,41,41,0,0.609756,0.634146,0.0,0.373499,0.226329,0.373499,0.143872,0.287744,26,25,0,313,56,257,52,22.515968,12.726976,0.021212,8.916323,35.74743,44.663753,1.78655,0.900639,0.226329,5763,9574,15337,0.375758,7316,0.477016,848,0,198,7,5,3,27,14,0,1,0.811591,0.821086,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.6,0.03535353535353535,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshecho,2,600.0,41,41,0,0.390244,0.390244,0.0,0.2248,0.1124,0.2248,0.143872,0.287744,16,16,0,256,30,226,25,18.415616,8.577816,0.014296,7.292584,28.866905,36.159489,2.259968,1.150976,0.1124,3426,9118,12544,0.273119,7318,0.583386,750,0,196,5,4,2,19,22,0,0,0.840681,0.882812,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,1,0.5,0.025510204081632654,0,1.5,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshtastic-like,3,600.0,42,42,0,0.619048,1.0,0.0,0.389111,0.628152,0.389111,1.400634,1.317995,42,26,0,659,605,54,54,47.405824,27.610033,0.046017,18.772706,76.502434,95.27514,3.664428,1.823301,0.628152,9366,22925,32291,0.29005,19927,0.617107,5791,1939,0,0,0,0,0,0,0,0,0.0,0.081942,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
meshcore-like,3,600.0,42,42,0,0.214286,0.238095,0.0,0.604302,0.486323,0.604302,2.143872,2.215808,10,9,0,231,20,211,10,16.617216,6.432958,0.010722,6.580418,25.419308,31.999725,3.555525,1.846357,0.486323,2412,8907,11319,0.213093,6744,0.595812,838,0,196,5,4,2,18,24,0,0,0.0,0.91342,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,0,0.5,0.025510204081632654,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
etx-mesh,3,600.0,42,42,0,0.214286,0.238095,0.0,0.604302,0.486323,0.604302,2.143872,2.215808,10,9,0,231,20,211,10,16.617216,6.432958,0.010722,6.580418,25.419308,31.999725,3.555525,1.846357,0.486323,2412,8907,11319,0.213093,6744,0.595812,838,0,196,5,4,2,18,24,0,0,0.449544,0.91342,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,0,0.5,0.025510204081632654,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
ett-mesh,3,600.0,42,42,0,0.214286,0.238095,0.0,0.604302,0.486323,0.604302,2.143872,2.215808,10,9,0,231,20,211,10,16.617216,6.432958,0.010722,6.580418,25.419308,31.999725,3.555525,1.846357,0.486323,2412,8907,11319,0.213093,6744,0.595812,838,0,196,5,4,2,18,24,0,0,0.886969,0.91342,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,0,0.5,0.025510204081632654,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
minhop-mesh,3,600.0,42,42,0,0.238095,0.261905,0.0,0.558259,0.448652,0.558259,2.143872,2.215808,11,10,0,232,20,212,11,16.689152,6.447421,0.010746,6.608904,25.556234,32.165138,3.216514,1.668915,0.448652,2361,9007,11368,0.207688,6867,0.604064,774,0,196,5,4,2,18,24,0,0,0.928838,0.913793,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,0,0.5,0.025510204081632654,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
meshecho,3,600.0,42,42,0,0.285714,0.285714,0.0,0.489195,0.417259,0.489195,2.143872,2.215808,12,12,0,233,20,213,12,16.761088,6.287859,0.01048,6.637391,25.531783,32.169173,2.680764,1.396757,0.417259,2288,9129,11417,0.200403,6890,0.603486,701,0,196,5,4,2,18,24,0,0,0.928838,0.914163,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,0,0.5,0.025510204081632654,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
meshtastic-like,4,600.0,37,37,0,0.567568,0.972973,0.0,0.536248,0.641312,0.536248,1.322912,1.446002,36,21,0,543,495,48,48,39.061248,23.269255,0.038782,15.468254,63.21329,78.681544,3.74674,1.860059,0.641312,8107,18500,26607,0.304694,15901,0.597625,4979,1683,0,0,0,0,0,0,0,0,0.0,0.088398,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
meshcore-like,4,600.0,37,37,0,0.378378,0.405405,0.0,0.594011,0.429722,0.594011,2.287744,2.431616,15,14,0,276,43,233,30,19.854336,9.896846,0.016495,7.862317,31.199535,39.061852,2.790132,1.418167,0.429722,4134,9390,13524,0.305679,7179,0.530834,792,0,196,7,4,3,25,12,0,0,0.0,0.844203,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.03571428571428571,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
etx-mesh,4,600.0,37,37,0,0.513514,0.567568,0.0,0.513415,0.34805,0.513415,2.287744,2.431616,21,19,0,294,49,245,42,21.149184,11.191694,0.018653,8.375077,33.356117,41.731194,2.196379,1.113115,0.34805,4924,9482,14406,0.341802,7179,0.498334,792,0,196,7,4,3,25,12,0,0,0.288339,0.833333,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.03571428571428571,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
ett-mesh,4,600.0,37,37,0,0.513514,0.567568,0.0,0.513415,0.34805,0.513415,2.287744,2.431616,21,19,0,294,49,245,42,21.149184,11.191694,0.018653,8.375077,33.356117,41.731194,2.196379,1.113115,0.34805,4924,9482,14406,0.341802,7179,0.498334,792,0,196,7,4,3,25,12,0,0,0.829283,0.833333,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.03571428571428571,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
minhop-mesh,4,600.0,37,37,0,0.513514,0.513514,0.0,0.62625,0.482378,0.62625,2.287744,2.431616,19,19,0,298,56,242,38,21.436928,11.688241,0.01948,8.489023,33.911156,42.40018,2.231588,1.128259,0.482378,5163,9439,14602,0.353582,7065,0.483838,884,0,196,8,4,4,33,4,0,0,0.74898,0.812081,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,4,1.0,0.04081632653061224,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
meshecho,4,600.0,37,37,0,0.486486,0.486486,0.0,0.645056,0.501184,0.645056,2.287744,2.431616,18,18,0,286,46,240,36,20.573696,10.695189,0.017825,8.147184,32.358515,40.505698,2.250317,1.142983,0.501184,4725,9289,14014,0.337163,6936,0.494934,888,0,196,8,4,3,25,12,0,0,0.749855,0.839161,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,3,3,0.75,0.04081632653061224,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
meshtastic-like,5,600.0,40,40,0,0.5,0.95,0.0,0.701203,0.705493,0.701203,1.46155,1.6731,38,20,0,634,582,52,52,45.607424,25.043588,0.041739,18.06054,73.406932,91.467471,4.573374,2.280371,0.705493,8739,22327,31066,0.281304,19156,0.616623,5375,1824,0,0,0,0,0,0,0,0,0.0,0.082019,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.2822315004438399,0.9963485573701147,0.9999854015505868,0.9999999883075305,0.9999999999999882,0.20326530612244897,0.06612244897959184
meshcore-like,5,600.0,40,40,0,0.6,0.675,0.0,0.409451,0.347444,0.409451,2.143872,1.926598,27,24,0,301,56,245,43,21.652736,11.60724,0.019345,8.574483,34.23391,42.808394,1.783683,0.902197,0.347444,5188,9561,14749,0.351753,7219,0.489457,771,0,196,6,4,4,36,4,0,0,0.0,0.813953,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,2,1.0,0.030612244897959183,0,1.5,0.2822315004438399,0.9963485573701147,0.9999854015505868,0.9999999883075305,0.9999999999999882,0.20326530612244897,0.06612244897959184
etx-mesh,5,600.0,40,40,0,0.6,0.675,0.0,0.409451,0.347444,0.409451,2.143872,1.926598,27,24,0,301,56,245,43,21.652736,11.60724,0.019345,8.574483,34.23391,42.808394,1.783683,0.902197,0.347444,5188,9561,14749,0.351753,7219,0.489457,771,0,196,6,4,4,36,4,0,0,0.353462,0.813953,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,2,1.0,0.030612244897959183,0,1.5,0.2822315004438399,0.9963485573701147,0.9999854015505868,0.9999999883075305,0.9999999999999882,0.20326530612244897,0.06612244897959184
ett-mesh,5,600.0,40,40,0,0.6,0.675,0.0,0.409451,0.347444,0.409451,2.143872,1.926598,27,24,0,301,56,245,43,21.652736,11.60724,0.019345,8.574483,34.23391,42.808394,1.783683,0.902197,0.347444,5188,9561,14749,0.351753,7219,0.489457,771,0,196,6,4,4,36,4,0,0,0.851308,0.813953,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,2,1.0,0.030612244897959183,0,1.5,0.2822315004438399,0.9963485573701147,0.9999854015505868,0.9999999883075305,0.9999999999999882,0.20326530612244897,0.06612244897959184
