protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,47,47,0,0.574468,0.978723,0.0,0.404303,0.532142,0.404303,1.339259,1.441212,46,27,0,608,549,59,59,43.737088,27.714798,0.046191,17.319887,70.969162,88.289049,3.269965,1.619892,0.532142,10434,19358,29792,0.350228,16598,0.557129,6351,2129,0,0,0,0,0,0,0,0,0.0,0.097039,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshcore-like,1,600.0,47,47,0,0.170213,0.191489,0.0,2.037744,1.961614,2.037744,2.287744,2.431616,9,8,0,730,15,715,12,52.51328,20.248539,0.033748,20.795259,82.172632,102.967891,12.870986,6.56416,1.961614,5371,30399,35770,0.150154,25570,0.714845,2991,0,686,17,14,10,2,45,0,0,0.0,0.979452,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.7142857142857143,0.02478134110787172,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
etx-mesh,1,600.0,47,47,0,0.191489,0.212766,0.0,1.867278,1.794227,1.867278,2.287744,2.431616,10,9,0,737,18,719,15,53.016832,20.33874,0.033898,20.994665,82.893938,103.888603,11.543178,5.890759,1.794227,5696,30417,36113,0.157727,25413,0.703708,2994,0,686,18,14,10,3,44,0,10,0.397421,0.975577,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.7142857142857143,0.026239067055393587,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
ett-mesh,1,600.0,47,47,0,0.191489,0.212766,0.0,1.867278,1.794227,1.867278,2.287744,2.431616,10,9,0,737,18,719,15,53.016832,20.33874,0.033898,20.994665,82.893938,103.888603,11.543178,5.890759,1.794227,5696,30417,36113,0.157727,25413,0.703708,2994,0,686,18,14,10,3,44,0,10,0.889721,0.975577,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.7142857142857143,0.026239067055393587,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
minhop-mesh,1,600.0,47,47,0,0.234043,0.255319,0.0,1.703052,1.655861,1.703052,2.287744,2.431616,12,11,0,737,19,718,15,53.016832,21.240136,0.0354,20.994665,83.331611,104.326277,9.484207,4.819712,1.655861,5754,30359,36113,0.159333,25636,0.709883,3071,0,685,18,14,11,4,43,0,10,0.870733,0.97422,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.7857142857142857,0.026277372262773723,0,1.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho,1,600.0,47,47,0,0.255319,0.255319,0.0,1.954411,1.852501,1.954411,2.287744,2.431616,12,12,0,948,22,926,17,68.195328,25.885582,0.043143,27.00535,106.462301,133.467651,11.122304,5.682944,1.852501,7451,39001,46452,0.160402,32397,0.69743,3834,0,881,28,18,14,3,44,0,14,0.853118,0.976793,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.7777777777777778,0.03178206583427923,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshtastic-like,2,600.0,41,41,0,0.487805,1.0,0.0,0.63934,0.778767,0.63934,1.63131,1.523435,41,20,0,550,494,56,56,39.5648,25.035712,0.041726,15.667661,64.308697,79.976358,3.998818,1.97824,0.778767,9143,17807,26950,0.339258,15396,0.57128,5543,1886,0,0,0,0,0,0,0,0,0.0,0.101818,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshcore-like,2,600.0,41,41,0,0.121951,0.121951,0.0,1.116518,0.987034,1.116518,2.287744,2.431616,5,5,0,423,11,412,9,30.428928,11.32785,0.01888,12.049855,47.449701,59.499556,11.899911,6.085786,0.987034,3295,17432,20727,0.158971,14542,0.701597,1713,0,392,11,8,4,3,38,0,0,0.0,0.973995,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.5,0.02806122448979592,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
etx-mesh,2,600.0,41,41,0,0.121951,0.121951,0.0,1.116518,0.987034,1.116518,2.287744,2.431616,5,5,0,423,11,412,9,30.428928,11.32785,0.01888,12.049855,47.449701,59.499556,11.899911,6.085786,0.987034,3295,17432,20727,0.158971,14542,0.701597,1713,0,392,11,8,4,3,38,0,4,0.367597,0.973995,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.5,0.02806122448979592,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
ett-mesh,2,600.0,41,41,0,0.121951,0.121951,0.0,1.116518,0.987034,1.116518,2.287744,2.431616,5,5,0,423,11,412,9,30.428928,11.32785,0.01888,12.049855,47.449701,59.499556,11.899911,6.085786,0.987034,3295,17432,20727,0.158971,14542,0.701597,1713,0,392,11,8,4,3,38,0,4,0.874635,0.973995,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.5,0.02806122448979592,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
minhop-mesh,2,600.0,41,41,0,0.268293,0.317073,0.0,1.982964,1.75427,1.982964,2.287744,2.431616,13,11,0,909,27,882,21,65.389824,25.619016,0.042698,25.89437,102.535463,128.429833,11.675439,5.944529,1.75427,7262,37279,44541,0.163041,31305,0.702836,3621,0,835,26,18,14,4,37,0,14,0.792549,0.970297,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.7777777777777778,0.031137724550898204,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshecho,2,600.0,41,41,0,0.243902,0.243902,0.0,1.05897,0.951066,1.05897,2.287744,2.431616,10,10,0,485,17,468,15,34.88896,12.505393,0.020842,13.816028,53.936563,67.752591,6.775259,3.488896,0.951066,3756,20009,23765,0.158048,16277,0.684915,1636,0,441,12,9,6,6,35,0,5,0.84802,0.964948,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.6666666666666666,0.027210884353741496,0,2.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshtastic-like,3,600.0,42,42,0,0.619048,1.0,0.0,0.389111,0.628152,0.389111,1.400634,1.317995,42,26,0,659,605,54,54,47.405824,27.610033,0.046017,18.772706,76.502434,95.27514,3.664428,1.823301,0.628152,9366,22925,32291,0.29005,19927,0.617107,5791,1939,0,0,0,0,0,0,0,0,0.0,0.081942,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
meshcore-like,3,600.0,42,42,0,0.119048,0.119048,0.0,2.25897,2.172646,2.25897,2.25897,2.388454,5,5,0,672,12,660,6,48.340992,16.571011,0.027618,19.143033,74.362967,93.506,18.7012,9.668198,2.172646,4517,28411,32928,0.137178,22996,0.698372,2638,0,636,18,13,10,1,41,0,0,0.0,0.982143,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.7692307692307693,0.02830188679245283,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
etx-mesh,3,600.0,42,42,0,0.119048,0.119048,0.0,2.25897,2.172646,2.25897,2.25897,2.388454,5,5,0,672,12,660,6,48.340992,16.571011,0.027618,19.143033,74.362967,93.506,18.7012,9.668198,2.172646,4515,28413,32928,0.137117,22996,0.698372,2638,0,636,18,13,10,1,41,0,9,0.417523,0.982143,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.7692307692307693,0.02830188679245283,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
ett-mesh,3,600.0,42,42,0,0.119048,0.119048,0.0,2.25897,2.172646,2.25897,2.25897,2.388454,5,5,0,672,12,660,6,48.340992,16.571011,0.027618,19.143033,74.362967,93.506,18.7012,9.668198,2.172646,4515,28413,32928,0.137117,22996,0.698372,2638,0,636,18,13,10,1,41,0,9,0.903726,0.982143,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.7692307692307693,0.02830188679245283,0,1.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
minhop-mesh,3,600.0,42,42,0,0.166667,0.190476,0.0,2.00203,1.92984,2.00203,2.287744,2.431616,8,7,0,680,14,666,11,48.91648,17.043298,0.028405,19.370926,75.367905,94.738832,13.534119,6.988069,1.92984,4823,28497,33320,0.144748,23093,0.693067,2639,0,637,18,13,10,1,41,0,9,0.842053,0.979412,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.7692307692307693,0.0282574568288854,0,2.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
meshecho,3,600.0,42,42,0,0.119048,0.119048,0.0,2.215808,2.143872,2.215808,2.143872,2.215808,5,5,0,462,5,457,5,33.234432,10.949552,0.018249,13.160835,50.806829,63.967664,12.793533,6.646886,2.143872,3103,19535,22638,0.13707,15571,0.687826,1901,0,441,11,9,5,0,42,0,5,0.913468,0.989177,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.5555555555555556,0.024943310657596373,0,0.0,0.6913896019424071,0.9988697881081403,0.9999941366787475,0.9999999862602522,0.9999999999999774,0.1510204081632653,0.035918367346938776
meshtastic-like,4,600.0,37,37,0,0.567568,0.972973,0.0,0.536248,0.641312,0.536248,1.322912,1.446002,36,21,0,543,495,48,48,39.061248,23.269255,0.038782,15.468254,63.21329,78.681544,3.74674,1.860059,0.641312,8107,18500,26607,0.304694,15901,0.597625,4979,1683,0,0,0,0,0,0,0,0,0.0,0.088398,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
meshcore-like,4,600.0,37,37,0,0.081081,0.081081,0.0,2.35968,2.239787,2.35968,2.287744,2.431616,3,3,0,466,7,459,5,33.522176,11.818641,0.019698,13.274782,52.048942,65.323724,21.774575,11.174059,2.239787,3240,19594,22834,0.141894,16172,0.708242,1924,0,441,13,9,5,0,37,0,0,0.0,0.984979,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.5555555555555556,0.02947845804988662,0,0.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
etx-mesh,4,600.0,37,37,0,0.297297,0.351351,0.0,2.411997,2.26561,2.411997,2.287744,2.431616,13,11,0,1013,27,986,24,72.871168,26.500559,0.044168,28.856983,113.122766,141.979749,12.90725,6.624652,2.26561,7916,41721,49637,0.159478,34094,0.686867,3896,0,931,31,19,16,0,37,0,15,0.369403,0.973346,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.8421052631578947,0.03329752953813104,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
ett-mesh,4,600.0,37,37,0,0.297297,0.351351,0.0,2.411997,2.26561,2.411997,2.287744,2.431616,13,11,0,1013,27,986,24,72.871168,26.500559,0.044168,28.856983,113.122766,141.979749,12.90725,6.624652,2.26561,7916,41721,49637,0.159478,34094,0.686867,3896,0,931,31,19,16,0,37,0,15,0.887335,0.973346,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,1,0.8421052631578947,0.03329752953813104,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
minhop-mesh,4,600.0,37,37,0,0.297297,0.297297,0.0,2.392378,2.261585,2.392378,2.35968,2.53952,11,11,0,851,21,830,20,61.217536,22.674114,0.03779,24.242144,95.192814,119.434958,10.857723,5.565231,2.261585,6638,35061,41699,0.159188,28754,0.689561,3315,0,784,26,16,12,0,37,0,12,0.823858,0.975323,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.75,0.03316326530612245,0,0.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
meshecho,4,600.0,37,37,0,0.513514,0.540541,0.0,2.397541,2.283338,2.397541,2.304919,2.431616,20,19,0,1248,46,1202,36,89.776128,32.713387,0.054522,35.551347,138.837932,174.389278,9.178383,4.725059,2.283338,10518,50634,61152,0.171998,40467,0.661745,4817,25,1127,39,23,20,0,37,10,19,0.814049,0.963141,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading_short_ttl,50,8250.0,4.0,unicast,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,2,0.8695652173913043,0.03460514640638864,0,2.0,0.28301472377200365,0.995908492013714,0.9999826095355685,0.9999999908889347,0.9999999999999802,0.21387755102040817,0.06938775510204082
