protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,1,600.0,42,22,20,0.5,1.0,1.0,0.848848,0.723241,0.848848,1.38432,2.651141,22,11,980,672,640,32,32,48.340992,25.728649,0.042881,19.143033,77.766553,96.909586,0.09779,0.04878,0.209546,8264,24664,32928,0.250972,22022,0.668793,5164,1944,0,0,0,0,0,0,0,0,0.0,0.047619,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshcore-like,1,600.0,42,22,20,0.409091,0.5,0.997959,2.383659,2.235427,2.383659,2.287744,2.431616,11,9,978,2144,1018,1126,18,154.230784,44.951669,0.074919,61.07539,235.135933,296.211323,0.300113,0.156262,0.222539,11457,93599,105056,0.109056,75365,0.717379,6560,0,1078,30,22,13,0,22,0,0,0.0,0.525187,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,13,8,0.5909090909090909,0.027829313543599257,0,1.6153846153846154,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
etx-mesh,1,600.0,42,22,20,0.5,0.5,0.995918,2.411997,2.274665,2.411997,2.35968,2.53952,11,11,976,1595,460,1135,21,114.73792,41.12641,0.068544,45.436216,177.82268,223.258896,0.226199,0.116249,0.243426,11122,67033,78155,0.142307,55696,0.712635,5740,880,1078,36,22,14,0,22,0,1,0.342292,0.711599,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,14,12,0.6363636363636364,0.03339517625231911,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
ett-mesh,1,600.0,42,22,20,0.5,0.5,0.995918,2.411997,2.274665,2.411997,2.35968,2.53952,11,11,976,1595,460,1135,21,114.73792,41.12641,0.068544,45.436216,177.82268,223.258896,0.226199,0.116249,0.243426,11122,67033,78155,0.142307,55696,0.712635,5740,880,1078,36,22,14,0,22,0,1,0.874798,0.711599,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,14,12,0.6363636363636364,0.03339517625231911,0,2.0,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
minhop-mesh,1,600.0,42,22,20,0.5,0.545455,0.99898,2.411997,2.275755,2.411997,2.287744,2.431616,12,11,979,1545,409,1136,23,111.14112,41.098632,0.068498,44.011884,172.56326,216.575143,0.218763,0.112264,0.239301,11707,63998,75705,0.15464,53213,0.702899,6142,919,1078,35,22,12,0,22,0,0,0.769711,0.735275,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,12,11,0.5454545454545454,0.032467532467532464,0,1.9166666666666667,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshecho,1,600.0,42,22,20,0.681818,0.772727,0.95,2.485625,2.331168,2.485625,2.521708,2.760981,17,15,931,1612,459,1153,34,115.960832,41.698352,0.069497,45.920489,178.915642,224.836131,0.23767,0.12258,0.164898,12325,66663,78988,0.156036,54452,0.689371,5617,888,1077,42,22,18,0,22,4,1,0.792436,0.715261,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,18,18,0.8181818181818182,0.03899721448467967,0,2.0555555555555554,0.5945120878254966,0.9984558033068377,0.999995630031614,0.9999999891623154,0.9999999999999051,0.18040816326530612,0.044897959183673466
meshtastic-like,2,600.0,41,20,21,0.35,1.0,1.0,0.437268,0.676452,0.437268,1.217304,1.175191,20,7,1029,609,583,26,26,43.809024,23.569142,0.039282,17.348374,70.453245,87.801619,0.084751,0.042287,0.318048,7420,22421,29841,0.248651,19965,0.669046,4744,1887,0,0,0,0,0,0,0,0,0.0,0.042693,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0,0.0,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
meshcore-like,2,600.0,41,20,21,0.15,0.2,1.0,2.35968,2.251776,2.35968,2.287744,2.431616,4,3,1029,2027,1059,968,7,145.814272,43.903806,0.073173,57.742452,223.198932,280.941384,0.27223,0.141293,0.386342,10064,89259,99323,0.101326,72921,0.73418,6452,0,932,29,20,6,0,20,0,0,0.0,0.477553,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,5,0.3,0.03111587982832618,0,1.8333333333333333,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
etx-mesh,2,600.0,41,20,21,0.15,0.15,0.999028,2.431616,2.287744,2.431616,2.287744,2.431616,3,3,1028,1443,430,1013,6,103.803648,37.24639,0.062077,41.106245,161.22042,202.326664,0.196243,0.100682,0.347033,9309,61300,70609,0.131839,51444,0.728576,5943,942,977,30,20,8,0,20,0,0,0.351973,0.70201,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,8,7,0.4,0.030706243602865915,0,1.875,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
ett-mesh,2,600.0,41,20,21,0.15,0.15,0.999028,2.431616,2.287744,2.431616,2.287744,2.431616,3,3,1028,1443,430,1013,6,103.803648,37.24639,0.062077,41.106245,161.22042,202.326664,0.196243,0.100682,0.347033,9309,61300,70609,0.131839,51444,0.728576,5943,942,977,30,20,8,0,20,0,0,0.880676,0.70201,0,0,0.0,-1,0,0,0,icc2027_sensitivity_load4,50,8250.0,4.0,mixed,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,8,7,0.4,0.030706243602865915,0,1.875,0.3719341264688532,0.9980198429511135,0.9999891406125693,0.99999998376135,0.9999999999999913,0.1730612244897959,0.054693877551020405
