protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.4340962,0.237280957,0.32304657,0.54514583
meshtastic-like,destination_unicast_pdr,20,0.98,0.061558701,0.951189972,1.008810028
meshtastic-like,broadcast_coverage,20,0.99843705,0.002790552,0.997131047,0.999743053
meshtastic-like,avg_delay_s,20,0.85441535,0.773190502,0.492555215,1.216275485
meshtastic-like,mean_delivery_delay_s,20,0.23524655,0.064278942,0.205163425,0.265329675
meshtastic-like,unicast_delivery_delay_s,20,0.87311935,0.423158085,0.675077546,1.071161154
meshtastic-like,unicast_ack_delay_s,20,0.85441535,0.773190502,0.492555215,1.216275485
meshtastic-like,p95_unicast_delivery_delay_s,20,1.55261155,0.539424281,1.300156117,1.805066983
meshtastic-like,p95_unicast_ack_delay_s,20,1.15669805,1.085575228,0.648639043,1.664757057
meshtastic-like,tx_count,20,293.5,89.069162955,251.814827648,335.185172352
meshtastic-like,data_tx,20,286.75,86.318184338,246.352310476,327.147689524
meshtastic-like,control_tx,20,6.75,4.011496636,4.87258336,8.62741664
meshtastic-like,ack_tx,20,6.75,4.011496636,4.87258336,8.62741664
meshtastic-like,total_airtime_s,20,39.220992,11.902490384,33.650519048,44.791464952
meshtastic-like,channel_busy_time_s,20,12.39799125,3.963219548,10.543168723,14.252813777
meshtastic-like,channel_busy_ratio,20,0.0206635,0.006605371,0.017572127,0.023754873
meshtastic-like,tx_energy_j,20,15.53151285,4.713386226,13.325605545,17.737420155
meshtastic-like,rx_energy_j,20,60.1296852,18.279680059,51.574629909,68.684740491
meshtastic-like,total_energy_j,20,75.66119805,22.990762612,64.901313594,86.421082506
meshtastic-like,energy_per_delivery_j,20,0.33117635,0.169211026,0.251984062,0.410368638
meshtastic-like,airtime_per_delivery_s,20,0.17128185,0.086331753,0.13087781,0.21168589
meshtastic-like,rx_attempts,20,14381.5,4364.388984787,12338.926554766,16424.073445234
meshtastic-like,packet_reception_ratio,20,0.12194735,0.021505998,0.111882349,0.132012351
meshtastic-like,collision_fail,20,10276.15,3152.73088432,8800.643484259,11751.656515741
meshtastic-like,collision_rate,20,0.71353705,0.012441116,0.707714495,0.719359605
meshtastic-like,duplicate_rx,20,1044.75,327.239792169,891.598823045,1197.901176955
meshtastic-like,suppressed_forwards,20,453.85,135.679682767,390.350683591,517.349316409
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.02244405,0.009386407,0.018051127,0.026836973
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.1622456,0.143615093,0.09503244,0.22945876
meshcore-like,destination_unicast_pdr,20,0.1839339,0.156317205,0.110776037,0.257091763
meshcore-like,broadcast_coverage,20,0.9989391,0.002089813,0.997961049,0.999917151
meshcore-like,avg_delay_s,20,1.8412096,1.396582474,1.187596394,2.494822806
meshcore-like,mean_delivery_delay_s,20,0.2016143,0.049180856,0.178597215,0.224631385
meshcore-like,unicast_delivery_delay_s,20,1.6719424,1.262622922,1.081023474,2.262861326
meshcore-like,unicast_ack_delay_s,20,1.8412096,1.396582474,1.187596394,2.494822806
meshcore-like,p95_unicast_delivery_delay_s,20,1.72160905,1.300431901,1.112995181,2.330222919
meshcore-like,p95_unicast_ack_delay_s,20,1.8772902,1.425592774,1.210099912,2.544480488
meshcore-like,tx_count,20,526.0,156.041492458,452.971172835,599.028827165
meshcore-like,data_tx,20,270.3,107.207177686,220.12607301,320.47392699
meshcore-like,control_tx,20,255.7,124.90253042,197.244488182,314.155511818
meshcore-like,ack_tx,20,2.2,1.852452144,1.333035673,3.066964327
meshcore-like,total_airtime_s,20,70.290432,20.85213672,60.531443768,80.049420232
meshcore-like,channel_busy_time_s,20,14.32020535,4.361218978,12.279115497,16.361295203
meshcore-like,channel_busy_ratio,20,0.023867,0.007268795,0.020465138,0.027268862
meshcore-like,tx_energy_j,20,27.83501115,8.25744609,23.970451834,31.699570466
meshcore-like,rx_energy_j,20,100.44060005,29.729379424,86.526982092,114.354218008
meshcore-like,total_energy_j,20,128.27561115,37.984219418,110.498653553,146.052568747
meshcore-like,energy_per_delivery_j,20,0.5733689,0.314387404,0.426232757,0.720505043
meshcore-like,airtime_per_delivery_s,20,0.3135585,0.170767926,0.233637569,0.393479431
meshcore-like,rx_attempts,20,25774.0,7646.033130426,22195.587468938,29352.412531062
meshcore-like,packet_reception_ratio,20,0.0770849,0.009312964,0.072726349,0.081443451
meshcore-like,collision_fail,20,16349.7,4773.998986836,14115.425375974,18583.974624026
meshcore-like,collision_rate,20,0.63625555,0.013526149,0.62992519,0.64258591
meshcore-like,duplicate_rx,20,1047.5,321.919162785,896.83892563,1198.16107437
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_misses,20,5.1,2.511028307,3.924816084,6.275183916
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.4801394,0.178908655,0.396408535,0.563870265
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
etx-mesh,unicast_pdr,20,0.20177485,0.220001985,0.098811935,0.304737765
etx-mesh,destination_unicast_pdr,20,0.22516775,0.236292758,0.114580606,0.335754894
etx-mesh,broadcast_coverage,20,0.996197,0.00525899,0.993735745,0.998658255
etx-mesh,avg_delay_s,20,1.6309632,1.369555734,0.989998753,2.271927647
etx-mesh,mean_delivery_delay_s,20,0.1977885,0.042916518,0.177703182,0.217873818
etx-mesh,unicast_delivery_delay_s,20,1.4873088,1.248285329,0.903099997,2.071517603
etx-mesh,unicast_ack_delay_s,20,1.6309632,1.369555734,0.989998753,2.271927647
etx-mesh,p95_unicast_delivery_delay_s,20,1.5314074,1.286766072,0.929189262,2.133625538
etx-mesh,p95_unicast_ack_delay_s,20,1.67806845,1.411168149,1.017629017,2.338507883
etx-mesh,tx_count,20,433.05,137.714607642,368.598320379,497.501679621
etx-mesh,data_tx,20,177.1,72.117521048,143.348349095,210.851650905
etx-mesh,control_tx,20,255.95,125.552872067,197.19012242,314.70987758
etx-mesh,ack_tx,20,2.45,2.762054918,1.157333364,3.742666636
etx-mesh,total_airtime_s,20,57.8693376,18.403078448,49.256530749,66.482144451
etx-mesh,channel_busy_time_s,20,13.20403655,4.329474624,11.177803341,15.230269759
etx-mesh,channel_busy_ratio,20,0.0220067,0.00721582,0.018629631,0.025383769
etx-mesh,tx_energy_j,20,22.91625785,7.287619115,19.505586314,26.326929386
etx-mesh,rx_energy_j,20,84.3257273,26.666647757,71.845495411,96.805959189
etx-mesh,total_energy_j,20,107.241985,33.952686424,91.351821239,123.132148761
etx-mesh,energy_per_delivery_j,20,0.492903,0.311260875,0.3472301,0.6385759
etx-mesh,airtime_per_delivery_s,20,0.26597145,0.168319955,0.187196192,0.344746708
