protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.73551125,0.099217403,0.68907661,0.78194589
meshtastic-like,destination_unicast_pdr,20,0.994766,0.012785167,0.988782427,1.000749573
meshtastic-like,broadcast_coverage,20,0.9961308,0.005283982,0.993657849,0.998603751
meshtastic-like,avg_delay_s,20,0.6050645,0.172433478,0.524364076,0.685764924
meshtastic-like,mean_delivery_delay_s,20,0.7348751,0.107965301,0.684346364,0.785403836
meshtastic-like,unicast_delivery_delay_s,20,0.65895405,0.131444558,0.59743681,0.72047129
meshtastic-like,unicast_ack_delay_s,20,0.6050645,0.172433478,0.524364076,0.685764924
meshtastic-like,p95_unicast_delivery_delay_s,20,2.01843825,0.475560547,1.795871621,2.241004879
meshtastic-like,p95_unicast_ack_delay_s,20,2.0578013,0.646301195,1.755326506,2.360276094
meshtastic-like,tx_count,20,551.35,93.472920368,507.603829423,595.096170577
meshtastic-like,data_tx,20,523.05,89.91251596,480.970130828,565.129869172
meshtastic-like,control_tx,20,28.3,6.350300449,25.328002061,31.271997939
meshtastic-like,ack_tx,20,28.3,6.350300449,25.328002061,31.271997939
meshtastic-like,total_airtime_s,20,39.6619136,6.724068,36.514989073,42.808838127
meshtastic-like,channel_busy_time_s,20,30.85266015,4.838893188,28.588014454,33.117305846
meshtastic-like,channel_busy_ratio,20,0.05142105,0.00806487,0.047646618,0.055195482
meshtastic-like,tx_energy_j,20,15.70611775,2.662730961,14.459935622,16.952299878
meshtastic-like,rx_energy_j,20,65.2606986,11.004972595,60.110272076,70.411125124
meshtastic-like,total_energy_j,20,80.9668163,13.667610767,74.570251074,87.363381526
meshtastic-like,energy_per_delivery_j,20,0.07982385,0.015362733,0.072633952,0.087013748
meshtastic-like,airtime_per_delivery_s,20,0.039097,0.007524255,0.035575581,0.042618419
meshtastic-like,rx_attempts,20,27011.25,4580.465546036,24867.550773429,29154.949226571
meshtastic-like,packet_reception_ratio,20,0.3100761,0.017964384,0.301668606,0.318483594
meshtastic-like,collision_fail,20,12155.95,2696.673008201,10893.882687432,13418.017312568
meshtastic-like,collision_rate,20,0.44701865,0.038229524,0.429126888,0.464910412
meshtastic-like,duplicate_rx,20,5625.35,956.073509341,5177.898966493,6072.801033507
meshtastic-like,suppressed_forwards,20,1891.45,305.046238945,1748.68560631,2034.21439369
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.05162575,0.009181715,0.047328624,0.055922876
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.26226175,0.102499057,0.214291266,0.310232234
meshcore-like,destination_unicast_pdr,20,0.29797365,0.10421211,0.249201442,0.346745858
meshcore-like,broadcast_coverage,20,0.98728975,0.025809772,0.975210544,0.999368956
meshcore-like,avg_delay_s,20,2.23465775,0.110352396,2.183011832,2.286303668
meshcore-like,mean_delivery_delay_s,20,0.56159845,0.080280871,0.524026278,0.599170622
meshcore-like,unicast_delivery_delay_s,20,2.1618233,0.089275088,2.120041753,2.203604847
meshcore-like,unicast_ack_delay_s,20,2.23465775,0.110352396,2.183011832,2.286303668
meshcore-like,p95_unicast_delivery_delay_s,20,2.2636454,0.079259377,2.226551296,2.300739504
meshcore-like,p95_unicast_ack_delay_s,20,2.35122755,0.132084205,2.28941095,2.41304415
meshcore-like,tx_count,20,2107.05,340.689621828,1947.604181344,2266.495818656
meshcore-like,data_tx,20,1049.85,236.12915177,939.339425271,1160.360574729
meshcore-like,control_tx,20,1057.2,224.342923598,952.205486458,1162.194513542
meshcore-like,ack_tx,20,7.6,3.168928094,6.116913044,9.083086956
meshcore-like,total_airtime_s,20,151.5727488,24.507848636,140.102854389,163.042643211
meshcore-like,channel_busy_time_s,20,66.2494478,10.737079429,61.224397696,71.274497904
meshcore-like,channel_busy_ratio,20,0.1104158,0.017895163,0.102040702,0.118790898
meshcore-like,tx_energy_j,20,60.02280855,9.705108055,55.480730366,64.564886734
meshcore-like,rx_energy_j,20,241.024356,38.890823095,222.823099697,259.225612303
meshcore-like,total_energy_j,20,301.04716465,48.594177539,278.304650868,323.789678432
meshcore-like,energy_per_delivery_j,20,0.30264385,0.055758279,0.276548472,0.328739228
meshcore-like,airtime_per_delivery_s,20,0.15237275,0.028133749,0.139205901,0.165539599
meshcore-like,rx_attempts,20,103240.55,16689.559423011,95429.68552185,111051.41447815
meshcore-like,packet_reception_ratio,20,0.1152086,0.002991778,0.113808421,0.116608779
meshcore-like,collision_fail,20,78271.85,12636.402582993,72357.899513625,84185.800486375
meshcore-like,collision_rate,20,0.7582558,0.006080775,0.755409942,0.761101658
meshcore-like,duplicate_rx,20,8811.2,1535.642522821,8092.505436014,9529.894563986
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,0.05,0.223606798,-0.05465,0.15465
meshcore-like,route_cache_misses,20,21.15,4.522167622,19.033584728,23.266415272
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.50245595,0.075304327,0.467212845,0.537699055
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
etx-mesh,unicast_pdr,20,0.29282755,0.090504901,0.250470439,0.335184661
etx-mesh,destination_unicast_pdr,20,0.3159204,0.085557846,0.275878556,0.355962244
etx-mesh,broadcast_coverage,20,0.98820345,0.02678936,0.975665788,1.000741112
etx-mesh,avg_delay_s,20,2.25794635,0.119499884,2.202019326,2.313873374
etx-mesh,mean_delivery_delay_s,20,0.5601501,0.084230382,0.520729521,0.599570679
etx-mesh,unicast_delivery_delay_s,20,2.17796945,0.079740745,2.140650061,2.215288839
etx-mesh,unicast_ack_delay_s,20,2.25794635,0.119499884,2.202019326,2.313873374
etx-mesh,p95_unicast_delivery_delay_s,20,2.28882305,0.06431078,2.258725024,2.318921076
etx-mesh,p95_unicast_ack_delay_s,20,2.39600765,0.105148534,2.346797187,2.445218113
etx-mesh,tx_count,20,1431.7,246.885888834,1316.155175216,1547.244824784
etx-mesh,data_tx,20,375.3,81.497239217,337.158556315,413.441443685
etx-mesh,control_tx,20,1056.4,225.726989268,950.757731229,1162.042268771
etx-mesh,ack_tx,20,8.65,2.888725816,7.298050239,10.001949761
etx-mesh,total_airtime_s,20,102.9907712,17.759983299,94.678938684,111.302603716
etx-mesh,channel_busy_time_s,20,49.62944685,8.162165892,45.809479527,53.449414173
etx-mesh,channel_busy_ratio,20,0.08271565,0.013603645,0.076349021,0.089082279
etx-mesh,tx_energy_j,20,40.78434545,7.032953439,37.492859749,44.075831151
etx-mesh,rx_energy_j,20,164.6244941,28.270441049,151.393672472,177.855315728
etx-mesh,total_energy_j,20,205.40883965,35.302564904,188.886920574,221.930758726
etx-mesh,energy_per_delivery_j,20,0.20884145,0.056445399,0.182424494,0.235258406
etx-mesh,airtime_per_delivery_s,20,0.10472535,0.028456491,0.091407455,0.118043245
etx-mesh,rx_attempts,20,70148.4,12092.030848543,64489.220399768,75807.579600232
etx-mesh,packet_reception_ratio,20,0.1408184,0.005816922,0.138096028,0.143540772
etx-mesh,collision_fail,20,50654.95,8916.676879663,46481.864723317,54828.035276683
etx-mesh,collision_rate,20,0.72176455,0.007679688,0.718170387,0.725358713
etx-mesh,duplicate_rx,20,6710.2,1084.021392292,6202.868202197,7217.531797803
etx-mesh,suppressed_forwards,20,943.35,208.760067516,845.648403781,1041.051596219
etx-mesh,route_cache_hits,20,0.05,0.223606798,-0.05465,0.15465
etx-mesh,route_cache_misses,20,21.15,4.522167622,19.033584728,23.266415272
etx-mesh,fallback_forward_count,20,0.0,0.0,0.0,0.0
etx-mesh,route_repair_count,20,0.5,0.76088591,0.143898525,0.856101475
etx-mesh,mean_path_confidence,20,0.41286595,0.020777734,0.403141783,0.422590117
etx-mesh,control_overhead_ratio,20,0.7344565,0.055187001,0.708628485,0.760284515
etx-mesh,policy_switch_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_update_count,20,0.0,0.0,0.0,0.0
etx-mesh,policy_reward_total,20,0.0,0.0,0.0,0.0
etx-mesh,active_profile_index,20,-1.0,0.0,-1.0,-1.0
ett-mesh,unicast_pdr,20,0.29282755,0.090504901,0.250470439,0.335184661
ett-mesh,destination_unicast_pdr,20,0.3159204,0.085557846,0.275878556,0.355962244
ett-mesh,broadcast_coverage,20,0.98820345,0.02678936,0.975665788,1.000741112
ett-mesh,avg_delay_s,20,2.25794635,0.119499884,2.202019326,2.313873374
ett-mesh,mean_delivery_delay_s,20,0.5601501,0.084230382,0.520729521,0.599570679
ett-mesh,unicast_delivery_delay_s,20,2.17796945,0.079740745,2.140650061,2.215288839
ett-mesh,unicast_ack_delay_s,20,2.25794635,0.119499884,2.202019326,2.313873374
ett-mesh,p95_unicast_delivery_delay_s,20,2.28882305,0.06431078,2.258725024,2.318921076
ett-mesh,p95_unicast_ack_delay_s,20,2.39600765,0.105148534,2.346797187,2.445218113
ett-mesh,tx_count,20,1431.7,246.885888834,1316.155175216,1547.244824784
ett-mesh,data_tx,20,375.3,81.497239217,337.158556315,413.441443685
ett-mesh,control_tx,20,1056.4,225.726989268,950.757731229,1162.042268771
ett-mesh,ack_tx,20,8.65,2.888725816,7.298050239,10.001949761
ett-mesh,total_airtime_s,20,102.9907712,17.759983299,94.678938684,111.302603716
ett-mesh,channel_busy_time_s,20,49.62944685,8.162165892,45.809479527,53.449414173
ett-mesh,channel_busy_ratio,20,0.08271565,0.013603645,0.076349021,0.089082279
ett-mesh,tx_energy_j,20,40.78434545,7.032953439,37.492859749,44.075831151
ett-mesh,rx_energy_j,20,164.6244941,28.270441049,151.393672472,177.855315728
ett-mesh,total_energy_j,20,205.40883965,35.302564904,188.886920574,221.930758726
ett-mesh,energy_per_delivery_j,20,0.20884145,0.056445399,0.182424494,0.235258406
ett-mesh,airtime_per_delivery_s,20,0.10472535,0.028456491,0.091407455,0.118043245
ett-mesh,rx_attempts,20,70148.4,12092.030848543,64489.220399768,75807.579600232
ett-mesh,packet_reception_ratio,20,0.1408184,0.005816922,0.138096028,0.143540772
