protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,pair_schedule,matched_rreq_timing,discovery_record_count,discovery_candidate_path_total,discovery_multi_candidate_count,discovery_candidate_fingerprints_json,discovery_records_json,scheduled_unicast_flows,scheduled_broadcast_flows,scheduled_distinct_unicast_pairs,observed_distinct_unicast_pairs,scheduled_rate_per_min,scheduled_trace_sha256,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,smart_max_timeout_retries,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
meshtastic-like,21,600.0,47,47,0,0.510638,1.0,0.0,0.411658,0.699019,0.411658,1.47897,1.51217,47,24,0,717,658,59,59,51.578112,29.420081,0.049033,20.424932,83.238697,103.66363,4.319318,2.149088,0.699019,9907,25226,35133,0.281986,22039,0.627302,6098,2157,0,0,0,0,0,0,0,0,0.0,0.082287,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,0,0,0,[],[],47,0,4,4,4.7,3d196600934d97cbe00c45305cff21e787220ad127b6fe6cd359094dc09c5b5a,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.4211618150512333,0.9974170576403413,0.9999885049868048,0.9999999739536434,0.9999999999999297,0.19020408163265307,0.05877551020408163
meshcore-like,21,600.0,47,47,0,0.170213,0.170213,0.0,0.402864,0.330928,0.402864,1.418694,1.49063,8,8,0,220,11,209,8,15.82592,6.56376,0.01094,6.267064,24.944958,31.212022,3.901503,1.97824,0.330928,1995,8785,10780,0.185065,7411,0.687477,854,0,196,5,4,1,10,37,0,0,0.0,0.95,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,20,4,"[{""key"":[6,7,4],""candidate_count"":6,""sha256"":""803bfb50e9a6d862567141907988609efde431cd49293acc0ad7c039313b448f""},{""key"":[12,44,1],""candidate_count"":4,""sha256"":""d98abfe19869c7f862c3a4741a03a6de5d4d15de638067bd619bcd6c86e0e168""},{""key"":[42,14,3],""candidate_count"":5,""sha256"":""9345f1c3efc160a84b854fc9f033c12e978e0a174fcc79b4f8566858b59a61f3""},{""key"":[47,36,2],""candidate_count"":5,""sha256"":""0b067a67e95972cacd2e3f9b37c8fe718eeb33cdcea7861c8bae37c1d0a473a5""}]","[{""key"":[6,7,4],""started_at"":21.106849616615023,""closed_at"":23.106849616615023,""candidate_paths"":[[6,5,26,7],[6,7],[6,12,3,7],[6,34,7],[6,39,7],[6,41,7]],""selected_path"":[6,7]},{""key"":[12,44,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[12,22,13,44],[12,22,47,44],[12,33,44],[12,41,44]],""selected_path"":[12,33,44]},{""key"":[42,14,3],""started_at"":13.514616280510573,""closed_at"":15.514616280510573,""candidate_paths"":[[42,6,14],[42,10,14],[42,11,28,14],[42,25,14],[42,34,17,14]],""selected_path"":[42,6,14]},{""key"":[47,36,2],""started_at"":11.252605597196476,""closed_at"":13.252605597196476,""candidate_paths"":[[47,9,36],[47,15,36],[47,16,36],[47,41,1,36],[47,46,36]],""selected_path"":[47,9,36]}]",47,0,4,4,4.7,3d196600934d97cbe00c45305cff21e787220ad127b6fe6cd359094dc09c5b5a,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,1,0,0.25,0.025510204081632654,0,1.0,0.4211618150512333,0.9974170576403413,0.9999885049868048,0.9999999739536434,0.9999999999999297,0.19020408163265307,0.05877551020408163
etx-mesh,21,600.0,47,47,0,0.340426,0.340426,0.0,0.345304,0.2374,0.345304,0.643872,0.76976,16,16,0,256,31,225,24,18.415616,9.085041,0.015142,7.292584,29.255677,36.548261,2.284266,1.150976,0.2374,3425,9119,12544,0.273039,7480,0.596301,828,0,196,5,4,2,21,26,0,0,0.371981,0.878906,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,20,4,"[{""key"":[6,7,4],""candidate_count"":6,""sha256"":""803bfb50e9a6d862567141907988609efde431cd49293acc0ad7c039313b448f""},{""key"":[12,44,1],""candidate_count"":4,""sha256"":""d98abfe19869c7f862c3a4741a03a6de5d4d15de638067bd619bcd6c86e0e168""},{""key"":[42,14,3],""candidate_count"":5,""sha256"":""9345f1c3efc160a84b854fc9f033c12e978e0a174fcc79b4f8566858b59a61f3""},{""key"":[47,36,2],""candidate_count"":5,""sha256"":""0b067a67e95972cacd2e3f9b37c8fe718eeb33cdcea7861c8bae37c1d0a473a5""}]","[{""key"":[6,7,4],""started_at"":21.106849616615023,""closed_at"":23.106849616615023,""candidate_paths"":[[6,5,26,7],[6,7],[6,12,3,7],[6,34,7],[6,39,7],[6,41,7]],""selected_path"":[6,7]},{""key"":[12,44,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[12,22,13,44],[12,22,47,44],[12,33,44],[12,41,44]],""selected_path"":[12,33,44]},{""key"":[42,14,3],""started_at"":13.514616280510573,""closed_at"":15.514616280510573,""candidate_paths"":[[42,6,14],[42,10,14],[42,11,28,14],[42,25,14],[42,34,17,14]],""selected_path"":[42,10,14]},{""key"":[47,36,2],""started_at"":11.252605597196476,""closed_at"":13.252605597196476,""candidate_paths"":[[47,9,36],[47,15,36],[47,16,36],[47,41,1,36],[47,46,36]],""selected_path"":[47,16,36]}]",47,0,4,4,4.7,3d196600934d97cbe00c45305cff21e787220ad127b6fe6cd359094dc09c5b5a,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,1,0.5,0.025510204081632654,0,1.5,0.4211618150512333,0.9974170576403413,0.9999885049868048,0.9999999739536434,0.9999999999999297,0.19020408163265307,0.05877551020408163
ett-mesh,21,600.0,47,47,0,0.340426,0.340426,0.0,0.345304,0.2374,0.345304,0.643872,0.76976,16,16,0,256,31,225,24,18.415616,9.085041,0.015142,7.292584,29.255677,36.548261,2.284266,1.150976,0.2374,3425,9119,12544,0.273039,7480,0.596301,828,0,196,5,4,2,21,26,0,0,0.865215,0.878906,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,20,4,"[{""key"":[6,7,4],""candidate_count"":6,""sha256"":""803bfb50e9a6d862567141907988609efde431cd49293acc0ad7c039313b448f""},{""key"":[12,44,1],""candidate_count"":4,""sha256"":""d98abfe19869c7f862c3a4741a03a6de5d4d15de638067bd619bcd6c86e0e168""},{""key"":[42,14,3],""candidate_count"":5,""sha256"":""9345f1c3efc160a84b854fc9f033c12e978e0a174fcc79b4f8566858b59a61f3""},{""key"":[47,36,2],""candidate_count"":5,""sha256"":""0b067a67e95972cacd2e3f9b37c8fe718eeb33cdcea7861c8bae37c1d0a473a5""}]","[{""key"":[6,7,4],""started_at"":21.106849616615023,""closed_at"":23.106849616615023,""candidate_paths"":[[6,5,26,7],[6,7],[6,12,3,7],[6,34,7],[6,39,7],[6,41,7]],""selected_path"":[6,7]},{""key"":[12,44,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[12,22,13,44],[12,22,47,44],[12,33,44],[12,41,44]],""selected_path"":[12,33,44]},{""key"":[42,14,3],""started_at"":13.514616280510573,""closed_at"":15.514616280510573,""candidate_paths"":[[42,6,14],[42,10,14],[42,11,28,14],[42,25,14],[42,34,17,14]],""selected_path"":[42,10,14]},{""key"":[47,36,2],""started_at"":11.252605597196476,""closed_at"":13.252605597196476,""candidate_paths"":[[47,9,36],[47,15,36],[47,16,36],[47,41,1,36],[47,46,36]],""selected_path"":[47,16,36]}]",47,0,4,4,4.7,3d196600934d97cbe00c45305cff21e787220ad127b6fe6cd359094dc09c5b5a,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,1,0.5,0.025510204081632654,0,1.5,0.4211618150512333,0.9974170576403413,0.9999885049868048,0.9999999739536434,0.9999999999999297,0.19020408163265307,0.05877551020408163
minhop-mesh,21,600.0,47,47,0,0.340426,0.361702,0.0,0.479296,0.358008,0.479296,2.172646,2.26976,17,16,0,259,32,227,26,18.631424,9.435907,0.015727,7.378044,29.583321,36.961365,2.310085,1.164464,0.358008,3644,9047,12691,0.287133,7341,0.578441,924,0,196,5,4,2,21,26,0,0,0.835939,0.876448,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,26,4,"[{""key"":[6,7,4],""candidate_count"":6,""sha256"":""803bfb50e9a6d862567141907988609efde431cd49293acc0ad7c039313b448f""},{""key"":[12,44,1],""candidate_count"":7,""sha256"":""f265e0c7647e17647ecbcac2c76c9c7766033370aa0346f974c67aee966131be""},{""key"":[42,14,3],""candidate_count"":4,""sha256"":""84aa8566905506b870f80912929ed58fbee2fac685b1344a19bcb2c57381f21a""},{""key"":[47,36,2],""candidate_count"":9,""sha256"":""09965e8212588a356b3f36f7f8dad962c5b93274335f7e9e9b5f261758781f07""}]","[{""key"":[6,7,4],""started_at"":21.106849616615023,""closed_at"":23.106849616615023,""candidate_paths"":[[6,5,26,7],[6,7],[6,12,3,7],[6,34,7],[6,39,7],[6,41,7]],""selected_path"":[6,7]},{""key"":[12,44,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[12,11,19,44],[12,11,43,44],[12,21,37,44],[12,22,47,44],[12,33,44],[12,34,7,44],[12,41,44]],""selected_path"":[12,33,44]},{""key"":[42,14,3],""started_at"":13.514616280510573,""closed_at"":15.514616280510573,""candidate_paths"":[[42,6,14],[42,10,14],[42,18,14],[42,31,17,14]],""selected_path"":[42,18,14]},{""key"":[47,36,2],""started_at"":11.252605597196476,""closed_at"":13.252605597196476,""candidate_paths"":[[47,0,12,36],[47,9,36],[47,15,36],[47,16,36],[47,18,3,36],[47,18,34,36],[47,41,4,36],[47,45,36],[47,46,36]],""selected_path"":[47,16,36]}]",47,0,4,4,4.7,3d196600934d97cbe00c45305cff21e787220ad127b6fe6cd359094dc09c5b5a,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,1,0.5,0.025510204081632654,0,1.5,0.4211618150512333,0.9974170576403413,0.9999885049868048,0.9999999739536434,0.9999999999999297,0.19020408163265307,0.05877551020408163
meshecho,21,600.0,47,47,0,0.425532,0.468085,0.0,0.440986,0.302801,0.440986,2.043872,2.226598,22,20,0,270,35,235,34,19.42272,10.055747,0.01676,7.691397,30.808318,38.499716,1.924986,0.971136,0.302801,4006,9224,13230,0.302797,7394,0.558881,803,0,196,5,4,2,21,26,0,0,0.835939,0.87037,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,23,4,"[{""key"":[6,7,4],""candidate_count"":6,""sha256"":""803bfb50e9a6d862567141907988609efde431cd49293acc0ad7c039313b448f""},{""key"":[12,44,1],""candidate_count"":7,""sha256"":""f265e0c7647e17647ecbcac2c76c9c7766033370aa0346f974c67aee966131be""},{""key"":[42,14,3],""candidate_count"":5,""sha256"":""108f5ce453d3ca1ee7ba5817fec3e7f89d1c55a946123f19e30292794f173b83""},{""key"":[47,36,2],""candidate_count"":5,""sha256"":""3d67fa433897c60aadc4737aa09dacb4a8b6dd31214da13cd289f4b1be3f76ae""}]","[{""key"":[6,7,4],""started_at"":21.106849616615023,""closed_at"":23.106849616615023,""candidate_paths"":[[6,5,26,7],[6,7],[6,12,3,7],[6,34,7],[6,39,7],[6,41,7]],""selected_path"":[6,7]},{""key"":[12,44,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[12,11,19,44],[12,11,43,44],[12,21,37,44],[12,22,47,44],[12,33,44],[12,34,7,44],[12,41,44]],""selected_path"":[12,33,44]},{""key"":[42,14,3],""started_at"":13.514616280510573,""closed_at"":15.514616280510573,""candidate_paths"":[[42,6,14],[42,6,17,14],[42,6,33,14],[42,10,14],[42,18,14]],""selected_path"":[42,18,14]},{""key"":[47,36,2],""started_at"":11.252605597196476,""closed_at"":13.252605597196476,""candidate_paths"":[[47,4,36],[47,9,36],[47,18,36],[47,41,7,36],[47,45,36]],""selected_path"":[47,45,36]}]",47,0,4,4,4.7,3d196600934d97cbe00c45305cff21e787220ad127b6fe6cd359094dc09c5b5a,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,2,1,0.5,0.025510204081632654,0,1.5,0.4211618150512333,0.9974170576403413,0.9999885049868048,0.9999999739536434,0.9999999999999297,0.19020408163265307,0.05877551020408163
meshtastic-like,22,600.0,35,35,0,0.6,1.0,0.0,0.477779,0.598166,0.477779,1.182461,1.246069,35,21,0,477,431,46,46,34.313472,20.568584,0.034281,13.588135,55.484314,69.072449,3.289164,1.633975,0.598166,7646,15727,23373,0.32713,13490,0.577162,4672,1624,0,0,0,0,0,0,0,0,0.0,0.096436,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,0,0,0,[],[],35,0,4,4,3.5,9d1b68659f250b49210b01dd4409ad09118f9a4e81f99d4ac7d9b6ae956d0436,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,0,0,0.0,0.0,0,0.0,0.4797611779866004,0.998760294109475,0.9999965590075816,0.9999999941250579,0.9999999999999688,0.1673469387755102,0.052244897959183675
meshcore-like,22,600.0,35,35,0,0.685714,0.714286,0.0,0.409451,0.286607,0.409451,1.743872,1.926598,25,24,0,293,51,242,40,21.077248,11.569553,0.019283,8.34659,33.439251,41.785841,1.741077,0.878219,0.286607,5191,9166,14357,0.361566,6988,0.486731,993,0,196,6,4,4,31,4,0,0,0.0,0.825939,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,18,4,"[{""key"":[2,38,1],""candidate_count"":6,""sha256"":""eac3d87d10a20e34b508625416c93f9e986c46fa485fbd2c232846d0720d8a53""},{""key"":[8,45,3],""candidate_count"":3,""sha256"":""1a03b575f040d456f6508b25494f14b6014d7992dd83a097ca2237895feeb455""},{""key"":[17,10,2],""candidate_count"":4,""sha256"":""9075adfb90132523e51fe7669ffdbd0117cc7883f9c28f15e2392a75a07be35d""},{""key"":[22,11,4],""candidate_count"":5,""sha256"":""af703beb6059cb0ffacd16e4f7c402101b069efd06829c12ee5bbf26289d912e""}]","[{""key"":[2,38,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[2,1,38],[2,3,38],[2,9,44,38],[2,37,38],[2,38],[2,48,38]],""selected_path"":[2,38]},{""key"":[8,45,3],""started_at"":55.41847420095762,""closed_at"":57.41847420095762,""candidate_paths"":[[8,27,18,45],[8,35,34,45],[8,46,45]],""selected_path"":[8,46,45]},{""key"":[17,10,2],""started_at"":29.445778943165372,""closed_at"":31.445778943165372,""candidate_paths"":[[17,3,10],[17,7,10],[17,12,32,10],[17,36,10]],""selected_path"":[17,3,10]},{""key"":[22,11,4],""started_at"":95.63282080850882,""closed_at"":97.63282080850882,""candidate_paths"":[[22,6,30,11],[22,11],[22,24,10,11],[22,25,11],[22,25,12,11]],""selected_path"":[22,11]}]",35,0,4,4,3.5,9d1b68659f250b49210b01dd4409ad09118f9a4e81f99d4ac7d9b6ae956d0436,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,2,1.0,0.030612244897959183,0,1.5,0.4797611779866004,0.998760294109475,0.9999965590075816,0.9999999941250579,0.9999999999999688,0.1673469387755102,0.052244897959183675
etx-mesh,22,600.0,35,35,0,0.771429,0.771429,0.0,0.417242,0.286692,0.417242,1.543872,1.637389,27,27,0,311,59,252,49,22.372096,12.774556,0.021291,8.85935,35.590943,44.450293,1.646307,0.828596,0.286692,5896,9343,15239,0.386902,7093,0.46545,961,0,196,7,4,4,31,4,0,0,0.333015,0.810289,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,18,4,"[{""key"":[2,38,1],""candidate_count"":6,""sha256"":""eac3d87d10a20e34b508625416c93f9e986c46fa485fbd2c232846d0720d8a53""},{""key"":[8,45,3],""candidate_count"":3,""sha256"":""1a03b575f040d456f6508b25494f14b6014d7992dd83a097ca2237895feeb455""},{""key"":[17,10,2],""candidate_count"":4,""sha256"":""9075adfb90132523e51fe7669ffdbd0117cc7883f9c28f15e2392a75a07be35d""},{""key"":[22,11,4],""candidate_count"":5,""sha256"":""af703beb6059cb0ffacd16e4f7c402101b069efd06829c12ee5bbf26289d912e""}]","[{""key"":[2,38,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[2,1,38],[2,3,38],[2,9,44,38],[2,37,38],[2,38],[2,48,38]],""selected_path"":[2,38]},{""key"":[8,45,3],""started_at"":55.41847420095762,""closed_at"":57.41847420095762,""candidate_paths"":[[8,27,18,45],[8,35,34,45],[8,46,45]],""selected_path"":[8,46,45]},{""key"":[17,10,2],""started_at"":29.445778943165372,""closed_at"":31.445778943165372,""candidate_paths"":[[17,3,10],[17,7,10],[17,12,32,10],[17,36,10]],""selected_path"":[17,3,10]},{""key"":[22,11,4],""started_at"":95.63282080850882,""closed_at"":97.63282080850882,""candidate_paths"":[[22,6,30,11],[22,11],[22,24,10,11],[22,25,11],[22,25,12,11]],""selected_path"":[22,25,11]}]",35,0,4,4,3.5,9d1b68659f250b49210b01dd4409ad09118f9a4e81f99d4ac7d9b6ae956d0436,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,3,1.0,0.03571428571428571,0,1.75,0.4797611779866004,0.998760294109475,0.9999965590075816,0.9999999941250579,0.9999999999999688,0.1673469387755102,0.052244897959183675
ett-mesh,22,600.0,35,35,0,0.771429,0.771429,0.0,0.417242,0.286692,0.417242,1.543872,1.637389,27,27,0,311,59,252,49,22.372096,12.774556,0.021291,8.85935,35.590943,44.450293,1.646307,0.828596,0.286692,5896,9343,15239,0.386902,7093,0.46545,961,0,196,7,4,4,31,4,0,0,0.846214,0.810289,0,0,0.0,-1,0,0,0,icc2027_generalization_stale_fading,50,8250.0,4.0,unicast,poisson,0,4,18,4,"[{""key"":[2,38,1],""candidate_count"":6,""sha256"":""eac3d87d10a20e34b508625416c93f9e986c46fa485fbd2c232846d0720d8a53""},{""key"":[8,45,3],""candidate_count"":3,""sha256"":""1a03b575f040d456f6508b25494f14b6014d7992dd83a097ca2237895feeb455""},{""key"":[17,10,2],""candidate_count"":4,""sha256"":""9075adfb90132523e51fe7669ffdbd0117cc7883f9c28f15e2392a75a07be35d""},{""key"":[22,11,4],""candidate_count"":5,""sha256"":""af703beb6059cb0ffacd16e4f7c402101b069efd06829c12ee5bbf26289d912e""}]","[{""key"":[2,38,1],""started_at"":1.0,""closed_at"":3.0,""candidate_paths"":[[2,1,38],[2,3,38],[2,9,44,38],[2,37,38],[2,38],[2,48,38]],""selected_path"":[2,38]},{""key"":[8,45,3],""started_at"":55.41847420095762,""closed_at"":57.41847420095762,""candidate_paths"":[[8,27,18,45],[8,35,34,45],[8,46,45]],""selected_path"":[8,46,45]},{""key"":[17,10,2],""started_at"":29.445778943165372,""closed_at"":31.445778943165372,""candidate_paths"":[[17,3,10],[17,7,10],[17,12,32,10],[17,36,10]],""selected_path"":[17,3,10]},{""key"":[22,11,4],""started_at"":95.63282080850882,""closed_at"":97.63282080850882,""candidate_paths"":[[22,6,30,11],[22,11],[22,24,10,11],[22,25,11],[22,25,12,11]],""selected_path"":[22,25,11]}]",35,0,4,4,3.5,9d1b68659f250b49210b01dd4409ad09118f9a4e81f99d4ac7d9b6ae956d0436,7,2.75,0,connected-multihop,0.9,2,4,4,2.0,1,4,3,1.0,0.03571428571428571,0,1.75,0.4797611779866004,0.998760294109475,0.9999965590075816,0.9999999941250579,0.9999999999999688,0.1673469387755102,0.052244897959183675
