protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.56080205,0.068057631,0.528950464,0.592653636
meshtastic-like,destination_unicast_pdr,20,0.9930892,0.013000271,0.987004956,0.999173444
meshtastic-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshtastic-like,avg_delay_s,20,0.54420405,0.15719795,0.47063399,0.61777411
meshtastic-like,mean_delivery_delay_s,20,0.63532205,0.11435276,0.581803926,0.688840174
meshtastic-like,unicast_delivery_delay_s,20,0.63532205,0.11435276,0.581803926,0.688840174
meshtastic-like,unicast_ack_delay_s,20,0.54420405,0.15719795,0.47063399,0.61777411
meshtastic-like,p95_unicast_delivery_delay_s,20,1.3862179,0.154754297,1.313791492,1.458644308
meshtastic-like,p95_unicast_ack_delay_s,20,1.59611795,0.327835188,1.442688122,1.749547778
meshtastic-like,tx_count,20,621.5,106.260603186,571.769078421,671.230921579
meshtastic-like,data_tx,20,563.7,99.892626565,516.949348968,610.450651032
meshtastic-like,control_tx,20,57.8,9.208691547,53.490249223,62.109750777
meshtastic-like,ack_tx,20,57.8,9.208691547,53.490249223,62.109750777
meshtastic-like,total_airtime_s,20,44.708224,7.643962751,41.130780425,48.285667575
meshtastic-like,channel_busy_time_s,20,26.22552035,4.272128736,24.226125534,28.224915166
meshtastic-like,channel_busy_ratio,20,0.04370905,0.007120154,0.040376754,0.047041346
meshtastic-like,tx_energy_j,20,17.7044566,3.027009279,16.287788931,19.121124269
meshtastic-like,rx_energy_j,20,72.27937155,12.296487657,66.524504318,78.034238782
meshtastic-like,total_energy_j,20,89.9838282,15.323125006,82.812467365,97.155189035
meshtastic-like,energy_per_delivery_j,20,3.82393915,0.595315845,3.54532596,4.10255234
meshtastic-like,airtime_per_delivery_s,20,1.8999928,0.297394643,1.760809422,2.039176178
meshtastic-like,rx_attempts,20,30451.05,5208.491836213,28013.428799999,32888.671200001
meshtastic-like,packet_reception_ratio,20,0.3090108,0.0283131,0.295760013,0.322261587
meshtastic-like,collision_fail,20,18256.35,3470.475111945,16632.136317234,19880.563682766
meshtastic-like,collision_rate,20,0.59790885,0.031441846,0.583193782,0.612623918
meshtastic-like,duplicate_rx,20,5677.6,936.820288333,5239.159647737,6116.040352263
meshtastic-like,suppressed_forwards,20,1958.35,302.211023346,1816.912512807,2099.787487193
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.0938941,0.01189272,0.0883282,0.09946
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.16991415,0.090548148,0.127536799,0.212291501
meshcore-like,destination_unicast_pdr,20,0.17947535,0.098751521,0.133258747,0.225691953
meshcore-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshcore-like,avg_delay_s,20,2.0534001,0.343444493,1.892664977,2.214135223
meshcore-like,mean_delivery_delay_s,20,1.930972,0.355729583,1.764487344,2.097456656
meshcore-like,unicast_delivery_delay_s,20,1.930972,0.355729583,1.764487344,2.097456656
meshcore-like,unicast_ack_delay_s,20,2.0534001,0.343444493,1.892664977,2.214135223
meshcore-like,p95_unicast_delivery_delay_s,20,2.2852262,0.008177047,2.281399268,2.289053132
meshcore-like,p95_unicast_ack_delay_s,20,2.4278394,0.012265511,2.42209903,2.43357977
meshcore-like,tx_count,20,615.5,207.013729522,518.615705728,712.384294272
meshcore-like,data_tx,20,13.75,7.566372975,10.208869141,17.291130859
meshcore-like,control_tx,20,601.75,199.883354142,508.202785776,695.297214224
meshcore-like,ack_tx,20,11.75,6.463460048,8.725042348,14.774957652
meshcore-like,total_airtime_s,20,44.276608,14.891739647,37.307139407,51.246076593
