seed,pair_index,source,destination,selected_graph_hops,protocol,matched_rreq_timing,unicast_flows,discovery_count,candidate_count,candidate_paths_json,selected_path_json,destination_delivered,ack_confirmed,total_airtime_s,route_cache_hits,route_repair_count,fallback_forward_count,candidate_sets_identical,shared_multi_candidate_set
21,1,12,44,2,meshecho,1,1,1,3,"[[12, 22, 44], [12, 47, 13, 44], [12, 47, 44]]","[12, 47, 44]",0,0,3.668736,0,0,0,1,1
21,1,12,44,2,etx-mesh,1,1,1,3,"[[12, 22, 44], [12, 47, 13, 44], [12, 47, 44]]","[12, 22, 44]",0,0,3.740672,0,0,0,1,1
21,1,12,44,2,minhop-mesh,1,1,1,3,"[[12, 22, 44], [12, 47, 13, 44], [12, 47, 44]]","[12, 47, 44]",0,0,3.668736,0,0,0,1,1
21,1,12,44,2,meshcore-like,1,1,1,3,"[[12, 22, 44], [12, 47, 13, 44], [12, 47, 44]]","[12, 22, 44]",0,0,3.740672,0,0,0,1,1
21,2,47,36,2,meshecho,1,1,1,4,"[[47, 1, 36], [47, 45, 36], [47, 49, 9, 36], [47, 49, 20, 36]]","[47, 45, 36]",1,1,3.95648,0,0,0,1,1
21,2,47,36,2,etx-mesh,1,1,1,4,"[[47, 1, 36], [47, 45, 36], [47, 49, 9, 36], [47, 49, 20, 36]]","[47, 45, 36]",1,1,3.95648,0,0,0,1,1
21,2,47,36,2,minhop-mesh,1,1,1,4,"[[47, 1, 36], [47, 45, 36], [47, 49, 9, 36], [47, 49, 20, 36]]","[47, 45, 36]",1,1,3.95648,0,0,0,1,1
21,2,47,36,2,meshcore-like,1,1,1,4,"[[47, 1, 36], [47, 45, 36], [47, 49, 9, 36], [47, 49, 20, 36]]","[47, 1, 36]",1,1,3.95648,0,0,0,1,1
21,3,42,14,2,meshecho,1,1,1,4,"[[42, 6, 14], [42, 14], [42, 22, 13, 14], [42, 28, 14]]","[42, 28, 14]",1,1,3.95648,0,0,0,1,1
21,3,42,14,2,etx-mesh,1,1,1,4,"[[42, 6, 14], [42, 14], [42, 22, 13, 14], [42, 28, 14]]","[42, 6, 14]",1,1,3.95648,0,0,0,1,1
21,3,42,14,2,minhop-mesh,1,1,1,4,"[[42, 6, 14], [42, 14], [42, 22, 13, 14], [42, 28, 14]]","[42, 14]",0,0,3.5968,0,0,0,1,1
21,3,42,14,2,meshcore-like,1,1,1,4,"[[42, 6, 14], [42, 14], [42, 22, 13, 14], [42, 28, 14]]","[42, 14]",0,0,3.5968,0,0,0,1,1
21,4,6,7,2,meshecho,1,1,1,4,"[[6, 34, 7], [6, 39, 3, 7], [6, 39, 7], [6, 44, 13, 7]]","[6, 34, 7]",1,1,3.95648,0,0,0,1,1
21,4,6,7,2,etx-mesh,1,1,1,4,"[[6, 34, 7], [6, 39, 3, 7], [6, 39, 7], [6, 44, 13, 7]]","[6, 39, 7]",1,1,3.95648,0,0,0,1,1
21,4,6,7,2,minhop-mesh,1,1,1,4,"[[6, 34, 7], [6, 39, 3, 7], [6, 39, 7], [6, 44, 13, 7]]","[6, 34, 7]",1,1,3.95648,0,0,0,1,1
21,4,6,7,2,meshcore-like,1,1,1,4,"[[6, 34, 7], [6, 39, 3, 7], [6, 39, 7], [6, 44, 13, 7]]","[6, 34, 7]",1,1,3.95648,0,0,0,1,1
21,5,19,4,2,meshecho,1,1,1,5,"[[19, 4], [19, 9, 4], [19, 9, 12, 4], [19, 20, 4], [19, 34, 3, 4]]","[19, 20, 4]",1,1,3.95648,0,0,0,1,1
21,5,19,4,2,etx-mesh,1,1,1,5,"[[19, 4], [19, 9, 4], [19, 9, 12, 4], [19, 20, 4], [19, 34, 3, 4]]","[19, 20, 4]",1,1,3.95648,0,0,0,1,1
21,5,19,4,2,minhop-mesh,1,1,1,5,"[[19, 4], [19, 9, 4], [19, 9, 12, 4], [19, 20, 4], [19, 34, 3, 4]]","[19, 4]",0,0,3.5968,0,0,0,1,1
21,5,19,4,2,meshcore-like,1,1,1,5,"[[19, 4], [19, 9, 4], [19, 9, 12, 4], [19, 20, 4], [19, 34, 3, 4]]","[19, 4]",0,0,3.5968,0,0,0,1,1
21,6,43,12,2,meshecho,1,1,1,5,"[[43, 4, 12], [43, 16, 36, 12], [43, 20, 8, 12], [43, 20, 12], [43, 29, 12]]","[43, 4, 12]",0,0,3.5968,0,0,0,1,1
21,6,43,12,2,etx-mesh,1,1,1,5,"[[43, 4, 12], [43, 16, 36, 12], [43, 20, 8, 12], [43, 20, 12], [43, 29, 12]]","[43, 20, 12]",0,0,3.5968,0,0,0,1,1
21,6,43,12,2,minhop-mesh,1,1,1,5,"[[43, 4, 12], [43, 16, 36, 12], [43, 20, 8, 12], [43, 20, 12], [43, 29, 12]]","[43, 4, 12]",0,0,3.5968,0,0,0,1,1
21,6,43,12,2,meshcore-like,1,1,1,5,"[[43, 4, 12], [43, 16, 36, 12], [43, 20, 8, 12], [43, 20, 12], [43, 29, 12]]","[43, 4, 12]",0,0,3.5968,0,0,0,1,1
21,7,47,49,2,meshecho,1,1,1,6,"[[47, 1, 49], [47, 4, 9, 49], [47, 4, 49], [47, 12, 49], [47, 40, 17, 49], [47, 49]]","[47, 1, 49]",0,0,3.740672,0,0,0,1,1
21,7,47,49,2,etx-mesh,1,1,1,6,"[[47, 1, 49], [47, 4, 9, 49], [47, 4, 49], [47, 12, 49], [47, 40, 17, 49], [47, 49]]","[47, 49]",1,0,3.740672,0,0,0,1,1
21,7,47,49,2,minhop-mesh,1,1,1,6,"[[47, 1, 49], [47, 4, 9, 49], [47, 4, 49], [47, 12, 49], [47, 40, 17, 49], [47, 49]]","[47, 49]",1,0,3.740672,0,0,0,1,1
21,7,47,49,2,meshcore-like,1,1,1,6,"[[47, 1, 49], [47, 4, 9, 49], [47, 4, 49], [47, 12, 49], [47, 40, 17, 49], [47, 49]]","[47, 49]",1,0,3.740672,0,0,0,1,1
21,8,16,34,2,meshecho,1,1,1,5,"[[16, 3, 34], [16, 7, 34], [16, 19, 44, 34], [16, 34], [16, 39, 34]]","[16, 39, 34]",1,1,3.95648,0,0,0,1,1
