protocol,metric,n,mean,sd,ci95_low,ci95_high
meshecho,unicast_pdr,20,0.69166665,0.113426127,0.638582199,0.744751101
meshecho,destination_unicast_pdr,20,0.70833335,0.122414763,0.651042136,0.765624564
meshecho,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshecho,avg_delay_s,20,2.4451539,0.01328016,2.438938665,2.451369135
meshecho,mean_delivery_delay_s,20,2.2970231,0.00855557,2.293019016,2.301027184
meshecho,unicast_delivery_delay_s,20,2.2970231,0.00855557,2.293019016,2.301027184
meshecho,unicast_ack_delay_s,20,2.4451539,0.01328016,2.438938665,2.451369135
meshecho,p95_unicast_delivery_delay_s,20,2.3366605,0.059025317,2.309036119,2.364284881
meshecho,p95_unicast_ack_delay_s,20,2.5066093,0.089150214,2.464886195,2.548332405
meshecho,tx_count,20,1296.95,11.820922575,1291.417701519,1302.482298481
meshecho,data_tx,20,38.7,5.601691474,36.07835782,41.32164218
meshecho,control_tx,20,1258.25,6.648110139,1255.138624438,1261.361375562
meshecho,ack_tx,20,34.9,6.077568766,32.055642951,37.744357049
meshecho,total_airtime_s,20,93.2973952,0.850349886,92.899423776,93.695366624
meshecho,channel_busy_time_s,20,32.47848585,0.983095998,32.018388048,32.938583652
meshecho,channel_busy_ratio,20,0.05413075,0.001638439,0.053363946,0.054897554
meshecho,tx_energy_j,20,36.94576845,0.336738582,36.788171754,37.103365146
meshecho,rx_energy_j,20,144.11642355,1.332206662,143.492938806,144.739908294
meshecho,total_energy_j,20,181.06219205,1.653110997,180.28852118,181.83586292
meshecho,energy_per_delivery_j,20,11.20764745,1.971684599,10.284881258,12.130413642
meshecho,airtime_per_delivery_s,20,5.774635,1.012967561,5.300557037,6.248712963
meshecho,rx_attempts,20,63550.55,579.225206179,63279.467374442,63821.632625558
meshecho,packet_reception_ratio,20,0.1599598,0.007671916,0.156369274,0.163550326
meshecho,collision_fail,20,43540.85,252.415337552,43422.717343298,43658.982656702
meshecho,collision_rate,20,0.68519505,0.007770176,0.681558538,0.688831562
meshecho,duplicate_rx,20,3907.65,403.866741311,3718.636719083,4096.663280917
meshecho,suppressed_forwards,20,0.8,3.577708764,-0.8744,2.4744
meshecho,route_cache_hits,20,0.0,0.0,0.0,0.0
meshecho,route_cache_misses,20,24.0,0.0,24.0,24.0
meshecho,fallback_forward_count,20,0.4,1.788854382,-0.4372,1.2372
meshecho,route_repair_count,20,0.05,0.223606798,-0.05465,0.15465
