protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,selected_path,final_cached_path,weak_link_shadowing_db,weak_edge,selected_confidence,final_cached_confidence,candidate_count,short_candidate_seen,long_candidate_seen,short_candidate_confidence,long_candidate_confidence,selected_route_class
meshecho-confidence,21,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,1,1,23,1,0,0,0.878396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,2,1,1,0.749846,0.905,long
meshecho-no-confidence,21,751.0,24,24,0,0.708333,0.875,0.0,1.480704,1.347035,1.480704,0.740352,1.480704,21,17,0,137,69,68,59,33.809408,33.809408,0.045019,13.388526,6.895091,20.283616,1.193154,1.988789,1.347035,262,12,274,0.956204,0,0.0,0,0,6,3,1,1,23,1,0,0,0.723223,0.49635,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.749846,0.749846,2,1,1,0.749846,0.905,short
meshecho-confidence,22,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,1,1,23,1,0,0,0.878396,0.522388,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,1,0,1,0.0,0.905,long
meshecho-no-confidence,22,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,1,1,23,1,0,0,0.878396,0.522388,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,1,0,1,0.0,0.905,long
meshecho-confidence,23,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,1,1,23,1,0,0,0.878396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,2,1,1,0.749846,0.905,long
meshecho-no-confidence,23,751.0,24,24,0,0.875,0.958333,0.0,2.087387,1.29428,2.087387,0.740352,1.480704,23,21,0,147,71,76,67,36.277248,36.277248,0.048305,14.36579,7.398382,21.764172,1.036389,1.727488,1.29428,288,6,294,0.979592,0,0.0,0,0,6,3,1,1,23,1,0,0,0.723223,0.517007,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.749846,0.749846,2,1,1,0.749846,0.905,short
meshecho-confidence,24,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,1,1,23,1,0,0,0.878396,0.522388,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,1,0,1,0.0,0.905,long
meshecho-no-confidence,24,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,201,96,105,96,49.603584,49.603584,0.06605,19.643019,10.116155,29.759174,1.239966,2.066816,1.528267,401,1,402,0.997512,0,0.0,0,0,5,4,1,1,23,1,0,0,0.878396,0.522388,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,1,0,1,0.0,0.905,long
meshecho-confidence,25,751.0,24,24,0,1.0,1.0,0.0,2.515403,1.528267,2.515403,0.987136,1.974272,24,24,0,202,96,106,96,49.850368,49.850368,0.066379,19.740746,10.166484,29.90723,1.246135,2.077099,1.528267,404,0,404,1.0,0,0.0,0,0,6,4,1,1,23,1,0,0,0.878396,0.524752,0,0,0.0,-1,0,0,0,0-3-4-6-5,0-3-4-6-5,7.5,1-2,0.905,0.905,2,1,1,0.749846,0.905,long
meshecho-no-confidence,25,751.0,24,24,0,0.833333,0.916667,0.0,2.117722,1.319459,2.117722,0.740352,2.117722,22,20,0,143,70,73,64,35.290112,35.290112,0.046991,13.974884,7.197065,21.17195,1.058597,1.764506,1.319459,278,8,286,0.972028,0,0.0,0,0,6,3,1,1,23,1,0,0,0.723223,0.51049,0,0,0.0,-1,0,0,0,0-1-2-5,0-1-2-5,7.5,1-2,0.749846,0.749846,2,1,1,0.749846,0.905,short
