protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.909091,0.963636,0.940092,0.730289,0.6562,0.730289,5.058294,0.493568,53,50,2856,4695,4635,60,60,1158.65088,165.746418,0.138122,458.825748,1512.13868,1970.964428,0.67824,0.39871,0.547374,10611,219444,230055,0.046124,120213,0.52254,2504,1670,0,0,0,0,0,0,0.0,0.01278,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.363636,0.727273,0.938776,0.493568,0.46889,0.493568,0.740352,0.493568,40,20,2852,3995,2954,1041,40,985.90208,125.49953,0.104583,390.417224,1219.885816,1610.30304,0.56069,0.343281,0.427936,9378,186377,195755,0.047907,85720,0.437894,1675,0,981,20,25,30,0,0,0.0,0.260576,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,55,62,0.8,0.854545,0.920013,1.208454,0.963843,1.208454,2.493568,2.740352,47,44,2795,3338,2541,797,47,823.764992,119.80596,0.099838,326.210937,1033.961625,1360.172562,0.479103,0.29016,0.421739,10035,153527,163562,0.061353,72970,0.446131,1303,744,735,15,39,16,0,7,0.950107,0.238766,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,55,62,0.945455,0.981818,0.933838,2.068849,2.041499,2.068849,15.246784,15.493568,54,52,2837,3209,2554,655,56,791.929856,120.351455,0.100293,313.604223,1000.702459,1314.306682,0.454935,0.274119,0.43569,10645,146596,157241,0.067699,70754,0.449972,1350,817,588,11,43,12,41,5,0.951634,0.204113,5,95,104.978745,0,54,0,1
smart-calm-static,1,1200.0,117,55,62,0.927273,0.981818,0.945359,4.595689,3.983547,4.595689,15.246784,15.493568,54,51,2872,3577,2727,850,58,882.746368,137.464967,0.114554,349.567562,1116.761431,1466.328992,0.501652,0.302,0.53396,11380,163893,175273,0.064927,79644,0.4544,1697,883,776,16,36,19,152,8,0.945999,0.237629,0,0,0.0,1,0,55,0
smart-calm-no-fallback,1,1200.0,117,55,62,0.781818,0.818182,0.942725,0.923053,0.65718,0.923053,2.093568,2.340352,45,43,2864,3200,2558,642,46,789.7088,117.486693,0.097906,312.724685,998.57186,1311.296544,0.451082,0.271658,0.367911,9702,147098,156800,0.061875,71566,0.456416,1370,745,585,11,38,17,5,5,0.950803,0.200625,5,93,78.064315,0,51,4,0
smart-calm-no-confidence,1,1200.0,117,55,62,0.945455,0.981818,0.933838,2.068849,2.041499,2.068849,15.246784,15.493568,54,52,2837,3209,2554,655,56,791.929856,120.351455,0.100293,313.604223,1000.702459,1314.306682,0.454935,0.274119,0.43569,10645,146596,157241,0.067699,70754,0.449972,1350,817,588,11,43,12,41,5,0.951634,0.204113,5,95,104.978745,0,54,0,1
meshtastic-like,2,1200.0,125,69,56,0.826087,0.956522,0.942055,0.55393,0.332112,0.55393,1.064072,0.502425,66,57,2585,4958,4890,68,68,1223.555072,170.451368,0.142043,484.527809,1588.462804,2072.990612,0.784629,0.463117,0.519893,11678,231264,242942,0.048069,124820,0.513785,2930,1912,0,0,0,0,0,0,0.0,0.013715,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.347826,0.57971,0.962464,0.536544,0.445318,0.536544,0.740352,0.919744,40,24,2641,3735,2749,986,42,921.73824,128.11085,0.106759,365.008343,1150.674875,1515.683218,0.568737,0.345868,0.481533,9785,173230,183015,0.053466,81715,0.446493,1974,0,924,20,32,37,0,0,0.0,0.263989,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,125,69,56,0.405797,0.449275,0.937682,1.126693,0.892544,1.126693,2.493568,2.740352,31,28,2573,3008,2375,633,31,742.326272,104.26373,0.086886,293.961204,924.999061,1218.960265,0.468651,0.2854,0.343918,7854,139538,147392,0.053286,65331,0.443247,1345,705,588,14,24,45,44,5,0.946566,0.210439,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,125,69,56,0.913043,0.956522,0.928936,7.207445,5.697745,7.207445,15.246784,15.493568,66,63,2549,3261,2434,827,74,804.762624,132.995891,0.11083,318.685999,1029.071312,1347.757311,0.515987,0.308102,0.551531,12120,147669,159789,0.07585,73520,0.460107,1639,848,739,14,34,35,175,10,0.951826,0.253603,7,107,113.10047,0,69,0,0
smart-calm-static,2,1200.0,125,69,56,0.884058,0.927536,0.954446,9.37549,8.524593,9.37549,15.246784,15.493568,64,61,2619,4293,3625,668,69,1059.443712,152.375811,0.12698,419.53971,1335.038863,1754.578573,0.654693,0.395315,0.67171,12073,198284,210357,0.057393,96165,0.457151,1998,1115,586,13,24,45,1283,5,0.947596,0.155602,0,0,0.0,1,0,69,0
smart-calm-no-fallback,2,1200.0,125,69,56,0.42029,0.434783,0.963192,1.02188,0.790819,1.02188,2.713568,2.980352,30,29,2643,3195,2529,666,32,788.47488,113.300303,0.094417,312.236052,1001.16381,1313.399862,0.491542,0.295088,0.440959,8402,148153,156555,0.053668,73876,0.471885,1729,826,623,11,24,45,167,6,0.933386,0.208451,10,106,-3.069591,1,7,46,16
smart-calm-no-confidence,2,1200.0,125,69,56,0.913043,0.956522,0.928936,7.207445,5.697745,7.207445,15.246784,15.493568,66,63,2549,3261,2434,827,74,804.762624,132.995891,0.11083,318.685999,1029.071312,1347.757311,0.515987,0.308102,0.551531,12120,147669,159789,0.07585,73520,0.460107,1639,848,739,14,34,35,175,10,0.951826,0.253603,7,107,113.10047,0,69,0,0
meshtastic-like,3,1200.0,125,79,46,0.797468,0.949367,0.913043,0.493568,0.577956,0.493568,2.75402,0.493568,75,63,2058,4944,4863,81,81,1220.100096,167.654715,0.139712,483.159638,1578.648624,2061.808262,0.972093,0.575248,0.281057,11497,230759,242256,0.047458,123244,0.508735,2508,1723,0,0,0,0,0,0,0.0,0.016383,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,125,79,46,0.329114,0.518987,0.978261,0.493568,0.403281,0.493568,0.740352,0.493568,41,26,2205,2990,2294,696,41,737.88416,88.233985,0.073528,292.202127,895.304875,1187.507002,0.532276,0.330741,0.249641,7662,138848,146510,0.052297,59290,0.404682,852,0,642,13,30,49,0,0,0.0,0.232776,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,125,79,46,0.670886,0.696203,0.977374,1.077746,0.809719,1.077746,2.493568,2.740352,55,53,2203,2978,2125,853,55,734.922752,109.84625,0.091539,291.02941,915.176493,1206.205903,0.534666,0.325764,0.319411,10100,135822,145922,0.069215,62574,0.428818,1006,561,784,14,50,29,115,10,0.951789,0.286434,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,125,79,46,0.873418,0.924051,0.996451,5.178609,4.352757,5.178609,15.246784,15.493568,73,69,2246,3307,2431,876,78,816.114688,133.284483,0.11107,323.181416,1028.417033,1351.598449,0.583844,0.352533,0.541039,12516,149527,162043,0.077239,71075,0.438618,1366,643,784,14,51,28,348,10,0.945502,0.264893,4,118,107.115522,1,65,14,0
smart-calm-static,3,1200.0,125,79,46,0.835443,0.886076,0.955191,4.782377,4.40895,4.782377,15.246784,15.493568,70,66,2153,3414,2510,904,75,842.520576,134.590821,0.112159,333.638148,1066.004504,1399.642652,0.630754,0.379685,0.472533,12209,155077,167286,0.072983,74989,0.448268,1312,706,815,14,50,29,543,10,0.952405,0.264792,0,0,0.0,1,0,79,0
smart-calm-no-fallback,3,1200.0,125,79,46,0.632911,0.64557,0.978261,1.764109,1.432924,1.764109,2.893568,3.140352,51,50,2205,3079,2275,804,56,759.847936,108.533726,0.090445,300.899783,940.517209,1241.416992,0.550518,0.336961,0.294941,9832,141039,150871,0.065168,63626,0.421725,1083,554,735,13,43,36,243,9,0.94227,0.261124,22,118,44.916069,0,38,2,39
smart-calm-no-confidence,3,1200.0,125,79,46,0.873418,0.924051,0.996451,5.178609,4.352757,5.178609,15.246784,15.493568,73,69,2246,3307,2431,876,78,816.114688,133.284483,0.11107,323.181416,1028.417033,1351.598449,0.583844,0.352533,0.541039,12516,149527,162043,0.077239,71075,0.438618,1366,643,784,14,51,28,348,10,0.945502,0.264893,4,118,107.115522,1,65,14,0
meshtastic-like,4,1200.0,123,53,70,0.811321,0.962264,0.930612,0.776115,0.807707,0.776115,3.703077,2.05996,51,43,3192,4639,4574,65,65,1144.830976,175.691948,0.14641,453.353066,1512.985887,1966.338953,0.607833,0.353889,0.630028,11469,215842,227311,0.050455,122572,0.539226,3266,2135,0,0,0,0,0,0,0.0,0.014012,0,0,0.0,-1,0,0,0
