protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,202,98,104,0.642857,0.928571,0.885597,0.769087,1.387477,0.769087,6.319017,2.444242,91,63,4513,7464,7348,116,116,1841.995776,315.797423,0.263165,729.430327,2458.754102,3188.184429,0.696719,0.402534,0.892228,18694,347042,365736,0.051113,203068,0.555231,5849,3368,0,0,0,0,0,0,0.0,0.015541,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,202,98,104,0.336735,0.540816,0.917386,0.493568,0.405098,0.493568,0.740352,0.493568,53,33,4675,5923,4823,1100,53,1461.701632,216.057151,0.180048,578.833846,1860.877602,2439.711449,0.518205,0.310472,0.65585,14412,275815,290227,0.049658,139102,0.479287,3569,0,1025,22,46,52,0,0,0.0,0.185717,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,202,98,104,0.459184,0.530612,0.94113,0.892996,0.707593,0.892996,2.493568,2.740352,52,45,4796,5072,4338,734,53,1251.688448,190.888278,0.159074,495.668625,1587.313622,2082.982247,0.430279,0.25856,0.679172,13438,235090,248528,0.05407,117102,0.471182,2629,1463,668,13,58,40,42,6,0.945019,0.144716,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,202,98,104,0.877551,0.938776,0.952512,9.692181,7.972811,9.692181,15.246784,26.743568,92,86,4854,5120,4427,693,101,1263.53408,221.994617,0.184996,500.359496,1641.023191,2141.382686,0.433478,0.255776,0.740124,18031,232849,250880,0.071871,122466,0.488146,2901,1521,580,12,55,43,109,4,0.942462,0.135352,5,136,130.027658,0,96,1,1
smart-calm-static,1,1200.0,202,98,104,0.846939,0.918367,0.920722,8.661933,7.823792,8.661933,15.246784,15.493568,90,83,4692,6100,5351,749,98,1505.3824,235.944957,0.196621,596.13143,1907.616587,2503.748017,0.524345,0.315263,0.755169,18037,280863,298900,0.060345,138637,0.463824,3147,1724,638,13,57,41,1122,6,0.940135,0.122787,0,0,0.0,1,0,98,0
smart-calm-no-fallback,1,1200.0,202,98,104,0.55102,0.612245,0.934851,0.883627,0.596521,0.883627,2.113568,2.740352,60,54,4764,5150,4388,762,69,1270.9376,206.308811,0.171924,503.29129,1629.12874,2132.420029,0.442594,0.263789,0.583737,15056,237294,252350,0.059663,121402,0.481086,2607,1310,678,15,61,37,78,6,0.894683,0.147961,11,135,39.911664,1,50,44,4
smart-calm-no-confidence,1,1200.0,202,98,104,0.877551,0.938776,0.952512,9.692181,7.972811,9.692181,15.246784,26.743568,92,86,4854,5120,4427,693,101,1263.53408,221.994617,0.184996,500.359496,1641.023191,2141.382686,0.433478,0.255776,0.740124,18031,232849,250880,0.071871,122466,0.488146,2901,1521,580,12,55,43,109,4,0.942462,0.135352,5,136,130.027658,0,96,1,1
meshtastic-like,2,1200.0,205,109,96,0.669725,0.908257,0.899447,0.721285,1.014957,0.721285,5.464524,2.48671,99,73,4231,7415,7292,123,123,1829.90336,317.197528,0.264331,724.641731,2453.721189,3178.362919,0.738467,0.425163,1.131422,19679,343460,363139,0.054191,203329,0.559921,6390,3711,0,0,0,0,0,0,0.0,0.016588,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,205,109,96,0.284404,0.431193,0.917092,0.497609,0.375467,0.497609,0.740352,0.493568,47,31,4314,5260,4452,808,47,1298.08384,164.482924,0.137069,514.041201,1597.857574,2111.898775,0.486053,0.298753,0.455898,11837,245903,257740,0.045926,111856,0.433988,2351,0,745,16,41,68,0,0,0.0,0.153612,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,205,109,96,0.321101,0.357798,0.942815,0.878731,0.595656,0.878731,2.493568,2.740352,39,35,4435,4586,4009,577,39,1131.751424,154.826354,0.129022,448.173564,1417.201166,1865.37473,0.41731,0.253188,0.469512,11028,213686,224714,0.049076,102663,0.456861,2100,1180,526,12,35,74,0,3,0.937189,0.125818,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,205,109,96,0.761468,0.844037,0.911139,8.76547,8.061931,8.76547,15.246784,15.493568,92,83,4286,6307,5406,901,98,1556.466688,241.639507,0.201366,616.360808,1987.04434,2603.405149,0.595881,0.356252,0.823434,17542,291501,309043,0.056762,148510,0.480548,3444,1996,789,14,46,63,1558,14,0.947482,0.142857,15,149,94.725033,2,6,83,20
smart-calm-static,2,1200.0,205,109,96,0.807339,0.834862,0.912202,10.467105,9.599271,10.467105,16.284972,16.92847,91,88,4291,6473,5764,709,103,1597.432832,243.43563,0.202863,632.583401,2036.819849,2669.40325,0.609592,0.364794,0.840683,17930,299247,317177,0.05653,151254,0.476876,3396,1855,593,13,31,78,2001,6,0.919274,0.109532,0,0,0.0,1,0,109,0
smart-calm-no-fallback,2,1200.0,205,109,96,0.284404,0.321101,0.943878,0.95848,0.7399,0.95848,2.613568,2.940352,35,31,4440,4848,4118,730,37,1196.408832,168.224759,0.140187,473.777897,1508.5737,1982.351597,0.44338,0.267593,0.540107,11418,226134,237552,0.048065,111546,0.469565,2505,1380,681,12,30,79,147,10,0.94406,0.150578,9,147,-66.902683,1,22,52,35
smart-calm-no-confidence,2,1200.0,205,109,96,0.761468,0.844037,0.911139,8.76547,8.061931,8.76547,15.246784,15.493568,92,83,4286,6307,5406,901,98,1556.466688,241.639507,0.201366,616.360808,1987.04434,2603.405149,0.595881,0.356252,0.823434,17542,291501,309043,0.056762,148510,0.480548,3444,1996,789,14,46,63,1558,14,0.947482,0.142857,15,149,94.725033,2,6,83,20
meshtastic-like,3,1200.0,216,123,93,0.658537,0.902439,0.879087,0.702177,1.015917,0.702177,5.269141,0.493568,111,81,4006,7876,7735,141,141,1943.670784,309.565857,0.257972,769.69363,2559.731111,3329.424741,0.814638,0.475574,0.782721,19635,366240,385875,0.050884,206115,0.53415,5439,3387,0,0,0,0,0,0,0.0,0.017902,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,216,123,93,0.398374,0.560976,0.900812,0.523786,0.371964,0.523786,0.740352,0.789709,69,49,4105,5449,4274,1175,72,1344.726016,185.475066,0.154563,532.511502,1662.010437,2194.52194,0.528291,0.323718,0.546282,14790,252162,266952,0.055403,116004,0.43455,2352,0,1079,24,67,56,0,0,0.0,0.215636,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,216,123,93,0.674797,0.813008,0.899715,0.893667,0.990175,0.893667,6.052402,2.740352,100,83,4100,5195,4051,1144,115,1282.04288,216.938184,0.180782,507.68898,1639.202954,2146.891934,0.513242,0.306489,0.456493,18506,236000,254506,0.072713,118808,0.466818,2829,1412,1013,16,97,26,328,18,0.94479,0.220212,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,216,123,93,0.894309,0.95122,0.915515,6.565402,5.112274,6.565402,15.246784,30.493568,117,110,4172,4783,3900,883,130,1180.367872,211.412841,0.176177,467.425677,1498.147182,1965.572859,0.459031,0.275658,0.66309,20623,213695,234318,0.088013,102919,0.439228,2496,1303,737,16,91,32,104,9,0.945903,0.184612,5,162,153.111372,0,122,0,1
smart-calm-static,3,1200.0,216,123,93,0.796748,0.886179,0.910687,5.132145,3.618029,5.132145,15.246784,30.493568,109,98,4150,5329,4168,1161,134,1315.111936,243.871302,0.203226,520.784327,1698.146752,2218.931079,0.522347,0.309584,0.67661,20857,240215,261072,0.07989,123591,0.473398,3140,1499,1011,16,94,29,357,18,0.939623,0.217865,0,0,0.0,1,0,123,0
smart-calm-no-fallback,3,1200.0,216,123,93,0.439024,0.463415,0.893131,1.914804,1.576625,1.914804,2.893568,3.331388,57,54,4070,4867,3950,917,64,1201.097728,171.906252,0.143255,475.6347,1492.980058,1968.614758,0.477356,0.291246,0.41025,13742,224741,238483,0.057623,104990,0.440241,2132,1151,836,17,56,67,254,12,0.940141,0.188412,11,158,-10.470563,2,21,49,53
smart-calm-no-confidence,3,1200.0,216,123,93,0.894309,0.95122,0.915515,6.565402,5.112274,6.565402,15.246784,30.493568,117,110,4172,4783,3900,883,130,1180.367872,211.412841,0.176177,467.425677,1498.147182,1965.572859,0.459031,0.275658,0.66309,20623,213695,234318,0.088013,102919,0.439228,2496,1303,737,16,91,32,104,9,0.945903,0.184612,5,162,153.111372,0,122,0,1
meshtastic-like,4,1200.0,203,94,109,0.670213,0.914894,0.883355,1.020863,1.163598,1.020863,4.350259,3.897282,86,63,4718,7306,7188,118,118,1803.003904,308.433569,0.257028,713.989546,2434.495461,3148.485007,0.658541,0.377119,0.931358,19117,338877,357994,0.0534,204000,0.569842,6131,3779,0,0,0,0,0,0,0.0,0.016151,0,0,0.0,-1,0,0,0
meshcore-like,4,1200.0,203,94,109,0.340426,0.5,0.928665,0.53984,0.409556,0.53984,0.740352,0.987136,47,32,4960,6053,5108,945,50,1493.783552,214.809841,0.179008,591.538287,1887.946286,2479.484572,0.496692,0.299235,0.614584,14981,281616,296597,0.05051,138681,0.467574,4068,0,874,21,44,50,0,0,0.0,0.156121,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,203,94,109,0.404255,0.43617,0.901329,1.176799,1.011433,1.176799,2.493568,2.740352,41,38,4814,5009,4213,796,46,1236.141056,203.167877,0.169307,489.511858,1605.952176,2095.464034,0.431876,0.254769,0.669512,13844,231597,245441,0.056405,123812,0.504447,3493,1784,736,14,48,46,78,9,0.939608,0.158914,0,0,0.0,-1,0,0,0
