protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.7143171,0.067285289,0.682826977,0.745807223
meshtastic-like,destination_unicast_pdr,20,0.9143578,0.029470686,0.900565253,0.928150347
meshtastic-like,broadcast_coverage,20,0.91652595,0.025617524,0.904536718,0.928515182
meshtastic-like,avg_delay_s,20,0.7530851,0.110061715,0.701575224,0.804594976
meshtastic-like,mean_delivery_delay_s,20,0.8708863,0.120450201,0.814514518,0.927258082
meshtastic-like,unicast_delivery_delay_s,20,0.93375715,0.202457967,0.839004993,1.028509307
meshtastic-like,unicast_ack_delay_s,20,0.7530851,0.110061715,0.701575224,0.804594976
meshtastic-like,p95_unicast_delivery_delay_s,20,4.4074957,0.93140136,3.971591455,4.843399945
meshtastic-like,p95_unicast_ack_delay_s,20,2.0371676,0.765710255,1.678808288,2.395526912
meshtastic-like,tx_count,20,7605.35,518.300286361,7362.780786928,7847.919213072
meshtastic-like,data_tx,20,7488.9,507.506380567,7251.382432284,7726.417567716
meshtastic-like,control_tx,20,116.45,15.108293296,109.379182345,123.520817655
meshtastic-like,ack_tx,20,116.45,15.108293296,109.379182345,123.520817655
meshtastic-like,total_airtime_s,20,1876.8786944,127.908217869,1817.016493721,1936.740895079
meshtastic-like,channel_busy_time_s,20,305.05805805,29.241022401,291.372995587,318.743120513
meshtastic-like,channel_busy_ratio,20,0.2542151,0.024367539,0.242810872,0.265619328
meshtastic-like,tx_energy_j,20,743.2439629,50.651654277,719.538531431,766.949394369
meshtastic-like,rx_energy_j,20,2490.7290361,175.820113025,2408.443635954,2573.014436246
meshtastic-like,total_energy_j,20,3233.972999,225.981589,3128.211575256,3339.734422744
meshtastic-like,energy_per_delivery_j,20,0.6999122,0.054012698,0.67463377,0.72519063
meshtastic-like,airtime_per_delivery_s,20,0.40625685,0.031630004,0.391453722,0.421059978
meshtastic-like,rx_attempts,20,372537.2,25351.75951041,360672.347681284,384402.052318716
meshtastic-like,packet_reception_ratio,20,0.0508579,0.002125076,0.049863345,0.051852455
meshtastic-like,collision_fail,20,203439.2,15761.519254851,196062.666698609,210815.733301391
meshtastic-like,collision_rate,20,0.5459866,0.014911282,0.539007986,0.552965214
meshtastic-like,duplicate_rx,20,5571.05,745.817917316,5222.000481683,5920.099518317
meshtastic-like,suppressed_forwards,20,3385.0,406.375636443,3194.812533511,3575.187466489
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
