protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.8419359,0.049353342,0.81883809,0.86503371
meshtastic-like,destination_unicast_pdr,20,0.949086,0.026973392,0.936462209,0.961709791
meshtastic-like,broadcast_coverage,20,0.9519106,0.029047654,0.938316036,0.965505164
meshtastic-like,avg_delay_s,20,0.609917,0.087258434,0.569079265,0.650754735
meshtastic-like,mean_delivery_delay_s,20,0.534417,0.111476342,0.482245065,0.586588935
meshtastic-like,unicast_delivery_delay_s,20,0.5794344,0.128596377,0.519250135,0.639618665
meshtastic-like,unicast_ack_delay_s,20,0.609917,0.087258434,0.569079265,0.650754735
meshtastic-like,p95_unicast_delivery_delay_s,20,2.6151858,0.898849718,2.194516017,3.035855583
meshtastic-like,p95_unicast_ack_delay_s,20,1.235572,0.808313734,0.857273875,1.613870125
meshtastic-like,tx_count,20,4761.6,357.10862272,4594.469940701,4928.730059299
meshtastic-like,data_tx,20,4696.3,349.773024147,4532.603067056,4859.996932944
meshtastic-like,control_tx,20,65.3,11.635245909,59.854599875,70.745400125
meshtastic-like,ack_tx,20,65.3,11.635245909,59.854599875,70.745400125
meshtastic-like,total_airtime_s,20,1175.0866944,88.128694349,1133.841669846,1216.331718954
meshtastic-like,channel_busy_time_s,20,172.61218115,14.901273594,165.638250584,179.586111716
meshtastic-like,channel_busy_ratio,20,0.1438435,0.012417746,0.138031883,0.149655117
meshtastic-like,tx_energy_j,20,465.3343309,34.898962989,449.001301164,481.667360636
meshtastic-like,rx_energy_j,20,1542.777795,115.351943998,1488.792043847,1596.763546153
meshtastic-like,total_energy_j,20,2008.11212605,150.151709529,1937.839770467,2078.384481633
meshtastic-like,energy_per_delivery_j,20,0.7042664,0.093296845,0.660602634,0.747930166
meshtastic-like,airtime_per_delivery_s,20,0.41206905,0.054366818,0.386624888,0.437513212
meshtastic-like,rx_attempts,20,233286.55,17513.532660789,225090.058607995,241483.041392005
meshtastic-like,packet_reception_ratio,20,0.04998065,0.002320121,0.048894813,0.051066487
meshtastic-like,collision_fail,20,123321.9,9215.36249337,119009.027159661,127634.772840339
meshtastic-like,collision_rate,20,0.5287088,0.008318546,0.524815645,0.532601955
meshtastic-like,duplicate_rx,20,3249.25,500.542219156,3014.991722695,3483.508277305
meshtastic-like,suppressed_forwards,20,2015.3,265.622426923,1890.986306243,2139.613693757
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.0136747,0.001958887,0.012757923,0.014591477
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.386851,0.107502712,0.33653876,0.43716324
meshcore-like,destination_unicast_pdr,20,0.6622167,0.158905873,0.587847317,0.736586083
meshcore-like,broadcast_coverage,20,0.9619368,0.022299559,0.951500405,0.972373195
meshcore-like,avg_delay_s,20,0.5108944,0.03453447,0.494731956,0.527056844
meshcore-like,mean_delivery_delay_s,20,0.39713685,0.083418743,0.358096125,0.436177575
meshcore-like,unicast_delivery_delay_s,20,0.45122785,0.041876966,0.431629052,0.470826648
meshcore-like,unicast_ack_delay_s,20,0.5108944,0.03453447,0.494731956,0.527056844
meshcore-like,p95_unicast_delivery_delay_s,20,0.740352,0.0,0.740352,0.740352
meshcore-like,p95_unicast_ack_delay_s,20,0.62211715,0.26333284,0.498875004,0.745359296
meshcore-like,tx_count,20,3928.9,419.257727544,3732.68359858,4125.11640142
meshcore-like,data_tx,20,2971.95,397.063626745,2786.120638116,3157.779361884
meshcore-like,control_tx,20,956.95,168.470979853,878.104060525,1035.795939475
meshcore-like,ack_tx,20,41.05,10.595306806,36.091300764,46.008699236
meshcore-like,total_airtime_s,20,969.5896576,103.466099034,921.166589192,1018.012726008
meshcore-like,channel_busy_time_s,20,121.881121,12.875977619,115.855047234,127.907194766
meshcore-like,channel_busy_ratio,20,0.1015676,0.010730014,0.096545857,0.106589343
meshcore-like,tx_energy_j,20,383.95750435,40.972575139,364.781969297,403.133039403
meshcore-like,rx_energy_j,20,1191.7807722,124.222061522,1133.643725969,1249.917818431
meshcore-like,total_energy_j,20,1575.7382765,165.09170852,1498.473866516,1653.002686484
meshcore-like,energy_per_delivery_j,20,0.54748455,0.034614884,0.531284472,0.563684628
meshcore-like,airtime_per_delivery_s,20,0.33680825,0.021139795,0.326914635,0.346701865
meshcore-like,rx_attempts,20,192501.4,20528.518767289,182893.867891791,202108.932108209
meshcore-like,packet_reception_ratio,20,0.05025825,0.005891726,0.047500869,0.053015631
meshcore-like,collision_fail,20,82323.55,8854.177500361,78179.714997055,86467.385002945
meshcore-like,collision_rate,20,0.42777585,0.012644459,0.421858129,0.433693571
meshcore-like,duplicate_rx,20,1794.25,363.943008118,1623.921386636,1964.578613364
meshcore-like,suppressed_forwards,20,0.0,0.0,0.0,0.0
meshcore-like,route_cache_hits,20,28.15,8.707377392,24.074868773,32.225131227
meshcore-like,route_cache_misses,20,33.3,8.742515596,29.208423776,37.391576224
meshcore-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshcore-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshcore-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshcore-like,control_overhead_ratio,20,0.244953,0.043648221,0.224525239,0.265380761
meshcore-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshcore-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshcore-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
calm-mesh,unicast_pdr,20,0.731076,0.116961442,0.676336989,0.785815011
calm-mesh,destination_unicast_pdr,20,0.7746657,0.114373012,0.721138098,0.828193302
calm-mesh,broadcast_coverage,20,0.9653459,0.024165135,0.954036399,0.976655401
calm-mesh,avg_delay_s,20,1.09025495,0.100285488,1.043320436,1.137189464
calm-mesh,mean_delivery_delay_s,20,0.4293087,0.09316667,0.385705857,0.472911543
calm-mesh,unicast_delivery_delay_s,20,0.9163848,0.144579365,0.848720352,0.984049248
calm-mesh,unicast_ack_delay_s,20,1.09025495,0.100285488,1.043320436,1.137189464
calm-mesh,p95_unicast_delivery_delay_s,20,2.57263185,0.238182288,2.461160389,2.684103311
calm-mesh,p95_unicast_ack_delay_s,20,2.740352,0.0,2.740352,2.740352
