protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,117,0,0.837607,0.931624,0.0,0.577099,0.424777,0.577099,1.795782,0.687796,109,98,0,4653,4539,114,114,1148.285952,168.12572,0.140105,454.721237,1504.102795,1958.824032,19.988,11.717204,0.424777,12929,215068,227997,0.056707,118123,0.51809,2434,1591,0,0,0,0,0,0,0.0,0.0245,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,117,0,0.649573,0.91453,0.0,0.493568,0.380555,0.493568,0.740352,0.493568,107,76,0,1724,117,1607,107,425.455616,89.43991,0.074533,168.480424,539.821849,708.302273,9.319767,5.5981,0.380555,12382,72094,84476,0.146574,31888,0.37748,405,0,1470,30,87,30,0,0,0.0,0.932135,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,117,0,0.880342,0.888889,0.0,0.818374,0.59007,0.818374,2.493568,2.740352,104,103,0,1055,150,905,104,260.35712,74.677753,0.062231,103.10142,334.822919,437.924338,4.251693,2.527739,0.59007,11948,39747,51695,0.231125,16189,0.313164,197,11,785,16,92,25,42,9,0.942616,0.85782,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,117,0,0.957265,0.974359,0.0,2.047213,1.282764,2.047213,2.233568,15.493568,114,112,0,1007,137,870,120,248.511488,81.503617,0.06792,98.410549,325.780452,424.191001,3.78742,2.218853,1.282764,13258,36085,49343,0.268691,15057,0.30515,186,0,735,15,101,16,1,7,0.955901,0.863952,3,157,162.224017,0,116,1,0
smart-calm-static,1,1200.0,117,117,0,0.974359,0.974359,0.0,2.497559,2.138905,2.497559,15.246784,15.493568,114,114,0,1396,480,916,115,344.510464,88.37329,0.073644,136.426144,444.901112,581.327256,5.099362,3.022022,2.138905,13242,55162,68404,0.193585,24432,0.357172,321,87,785,16,92,25,362,9,0.942672,0.65616,0,0,0.0,1,0,117,0
smart-calm-no-fallback,1,1200.0,117,117,0,0.940171,0.957265,0.0,0.751707,0.509242,0.751707,2.093568,2.340352,112,110,0,992,127,865,115,244.809728,78.666987,0.065556,96.944652,319.967437,416.91209,3.79011,2.225543,0.509242,12839,35769,48608,0.264133,14846,0.305423,188,0,735,15,101,16,10,7,0.953724,0.871976,7,157,155.958494,0,117,0,0
smart-calm-no-confidence,1,1200.0,117,117,0,0.957265,0.974359,0.0,2.047213,1.282764,2.047213,2.233568,15.493568,114,112,0,1007,137,870,120,248.511488,81.503617,0.06792,98.410549,325.780452,424.191001,3.78742,2.218853,1.282764,13258,36085,49343,0.268691,15057,0.30515,186,0,735,15,101,16,1,7,0.955901,0.863952,3,157,162.224017,0,116,1,0
meshtastic-like,2,1200.0,126,126,0,0.888889,0.936508,0.0,0.567954,0.386303,0.567954,1.360394,0.493568,118,112,0,4963,4840,123,123,1224.788992,180.368426,0.150307,485.016441,1600.936039,2085.95248,18.624576,10.935616,0.386303,13943,229244,243187,0.057334,124812,0.513235,2509,1768,0,0,0,0,0,0,0.0,0.024783,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,126,126,0,0.650794,0.865079,0.0,0.493568,0.359988,0.493568,0.740352,0.493568,109,82,0,1521,112,1409,109,375.358464,85.644398,0.07137,148.641952,482.5473,631.189252,7.69743,4.577542,0.359988,12269,62260,74529,0.16462,28263,0.379222,440,0,1274,26,87,39,0,0,0.0,0.926364,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,126,126,0,0.785714,0.833333,0.0,0.765905,0.627364,0.765905,2.493568,2.740352,105,99,0,1106,183,923,108,272.943104,82.314735,0.068596,108.085469,366.580599,474.666068,4.794607,2.757001,0.627364,11803,42391,54194,0.217792,21414,0.395136,352,38,800,15,94,32,76,9,0.945388,0.834539,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,126,126,0,0.960317,0.984127,0.0,4.241236,3.903783,4.241236,15.246784,15.493568,124,121,0,907,178,729,129,223.833088,81.190222,0.067659,88.637903,299.005355,387.643258,3.203663,1.84986,3.903783,13592,30851,44443,0.30583,13255,0.298247,178,15,588,12,89,37,68,4,0.947505,0.803749,5,166,160.619141,0,124,2,0
smart-calm-static,2,1200.0,126,126,0,0.952381,0.984127,0.0,3.699523,3.109372,3.699523,15.246784,15.493568,124,120,0,1910,961,949,134,471.35744,111.253392,0.092711,186.657546,615.659458,802.317004,6.685975,3.927979,3.109372,14432,79158,93590,0.154205,38809,0.41467,633,244,800,15,94,32,841,9,0.944713,0.496859,0,0,0.0,1,0,126,0
smart-calm-no-fallback,2,1200.0,126,126,0,0.825397,0.857143,0.0,0.841274,0.591163,0.841274,2.093568,2.340352,108,104,0,930,119,811,111,229.50912,75.812613,0.063177,90.885612,305.330049,396.215661,3.809766,2.206818,0.591163,12058,33512,45570,0.264604,15194,0.333421,243,0,687,13,99,27,8,7,0.948939,0.872043,4,165,116.757409,1,120,6,0
smart-calm-no-confidence,2,1200.0,126,126,0,0.960317,0.984127,0.0,4.241236,3.903783,4.241236,15.246784,15.493568,124,121,0,907,178,729,129,223.833088,81.190222,0.067659,88.637903,299.005355,387.643258,3.203663,1.84986,3.903783,13592,30851,44443,0.30583,13255,0.298247,178,15,588,12,89,37,68,4,0.947505,0.803749,5,166,160.619141,0,124,2,0
meshtastic-like,3,1200.0,129,129,0,0.868217,0.937984,0.0,0.692381,0.651194,0.692381,3.791352,2.207908,121,112,0,4999,4861,138,138,1233.673216,193.132399,0.160944,488.534594,1633.515762,2122.050356,18.946878,11.014939,0.651194,14769,230182,244951,0.060294,129841,0.530069,2918,1906,0,0,0,0,0,0,0.0,0.027606,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,129,129,0,0.565891,0.744186,0.0,0.493568,0.354752,0.493568,0.740352,0.493568,96,73,0,1401,103,1298,96,345.744384,86.032705,0.071694,136.914776,454.757233,591.672009,8.105096,4.736224,0.354752,11320,57329,68649,0.164897,28459,0.414558,615,0,1175,27,82,47,0,0,0.0,0.926481,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,129,129,0,0.813953,0.852713,0.0,0.771741,0.622415,0.771741,2.493568,2.740352,110,105,0,1190,184,1006,112,293.67296,90.203692,0.07517,116.294492,392.256843,508.551335,4.843346,2.796885,0.622415,12859,45451,58310,0.220528,22357,0.383416,476,80,878,16,103,26,65,10,0.946296,0.845378,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,129,129,0,0.922481,0.945736,0.0,1.798733,1.343306,1.798733,14.827499,15.493568,122,119,0,1063,186,877,131,262.331392,94.576074,0.078813,103.883231,359.383534,463.266765,3.892998,2.204465,1.343306,14361,37726,52087,0.275712,19238,0.369344,385,38,732,14,111,18,42,7,0.951124,0.825024,5,169,159.089098,0,127,1,1
