protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.94503,0.429511,53,2871,4609,4609,0,1137.427456,0.388997,0.647598,8082,217759,118609,2615,1734,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.727273,0.966096,0.46889,40,2935,4038,3035,1003,996.513792,0.334963,0.443069,8302,189560,83732,1443,0,982,21,25,30,0,0,0.0,0.24839,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.872727,0.940092,0.907697,48,2856,3340,2590,750,824.25856,0.283836,0.469294,8084,155576,71501,1419,747,735,15,39,16,0,7,0.950107,0.224551,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.963636,0.939105,3.407341,53,2853,3377,2785,592,833.389568,0.286782,0.542922,8390,157083,75926,1760,883,582,10,42,13,209,7,0.952331,0.175304,3,94,98.819563,0
meshtastic-like,2,1200.0,125,69,56,0.971014,0.978134,0.450524,67,2684,5082,5082,0,1254.156288,0.455891,0.589125,8587,240431,127398,2638,1827,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.550725,0.962464,0.436285,38,2641,3583,2733,850,884.227072,0.330059,0.449008,8142,167425,77012,2039,0,832,18,28,41,0,0,0.0,0.237231,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.405797,0.962099,0.863677,28,2640,3002,2409,593,740.845568,0.277678,0.464742,6268,140830,65916,1279,681,581,12,23,46,0,4,0.926784,0.197535,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.985507,0.961006,10.90718,68,2637,4013,3312,701,990.344192,0.366116,0.710658,8996,187641,87834,1710,949,687,14,37,32,899,7,0.951096,0.174682,5,109,109.802646,0
meshtastic-like,3,1200.0,125,79,46,0.974684,0.913043,0.622233,77,2058,4831,4831,0,1192.213504,0.558414,0.393133,8792,227927,121684,2961,1933,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.620253,0.978261,0.412985,49,2205,3314,2308,1006,817.842176,0.36284,0.250397,8192,154194,68525,1219,0,978,28,35,44,0,0,0.0,0.303561,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.734177,0.994232,0.881719,58,2241,2924,2142,782,721.596416,0.313874,0.412049,7976,135300,63911,1354,704,768,14,50,29,141,10,0.951789,0.267442,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.949367,0.978261,11.869996,75,2205,3904,3201,703,963.444736,0.422563,0.720661,8850,182446,83988,1561,924,689,14,46,33,1228,10,0.948986,0.180072,3,118,103.611681,0
meshtastic-like,4,1200.0,123,53,70,0.962264,0.913703,0.966495,51,3134,4525,4525,0,1116.6976,0.350611,0.736501,9264,212412,121347,3636,2197,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.754717,0.965015,0.465696,40,3310,4410,3413,997,1088.31744,0.324871,0.433488,9665,206376,94248,2285,0,976,21,27,26,0,0,0.0,0.226077,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.622642,0.966764,1.109212,33,3316,3713,2930,783,916.308992,0.273607,0.464569,8461,173476,87940,2112,1027,768,15,27,26,52,8,0.944378,0.210881,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.90566,0.938192,9.340369,48,3218,3918,3320,598,966.899712,0.29605,0.592972,8672,183065,89507,1904,1116,585,13,38,15,536,4,0.950969,0.152629,5,91,76.869418,0
meshtastic-like,5,1200.0,105,54,51,0.944444,0.980392,0.693271,51,2450,4197,4197,0,1035.752448,0.414135,0.39578,7568,198085,110000,2548,1741,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.407407,1.0,0.471133,22,2499,3236,2576,660,798.593024,0.316776,0.268461,6315,152249,67563,1447,0,645,15,16,38,0,0,0.0,0.203956,0,0,0.0,-1
calm-mesh,5,1200.0,105,54,51,0.592593,0.9992,0.87098,32,2497,2928,2276,652,722.583552,0.285719,0.325137,6715,136757,65711,1305,642,639,13,28,26,42,7,0.947855,0.222678,0,0,0.0,-1
smart-calm,5,1200.0,105,54,51,0.925926,0.9996,5.712923,50,2498,3447,2688,759,850.664448,0.333856,0.419339,8055,160848,78495,1622,836,747,12,34,20,441,10,0.956042,0.220191,1,94,79.894238,0
meshtastic-like,6,1200.0,107,62,45,0.951613,0.931973,0.532811,59,2055,4041,4041,0,997.254144,0.471738,0.683362,7593,190416,104518,2682,1652,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,107,62,45,0.822581,0.889796,0.430662,51,1962,3091,2065,1026,762.809344,0.378942,0.423479,7886,143573,64720,1287,0,1004,22,36,26,0,0,0.0,0.331931,0,0,0.0,-1
calm-mesh,6,1200.0,107,62,45,0.887097,0.963719,0.835662,55,2125,2663,1963,700,657.185792,0.301461,0.486078,7384,123103,58849,1289,624,686,14,43,19,43,8,0.951206,0.262861,0,0,0.0,-1
smart-calm,6,1200.0,107,62,45,0.935484,0.931973,4.802783,58,2055,2716,2165,551,670.265344,0.31721,0.539994,7397,125687,60599,1339,651,540,11,42,20,303,4,0.953384,0.202872,5,98,93.887066,0
meshtastic-like,7,1200.0,128,68,60,0.970588,0.933333,0.420956,66,2744,4925,4925,0,1215.4112,0.432531,0.451084,9076,232249,124829,3102,1972,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,128,68,60,0.544118,0.971769,0.40686,37,2857,3756,2956,800,926.920704,0.32029,0.447185,8015,176029,81901,1920,0,784,16,27,41,0,0,0.0,0.212993,0,0,0.0,-1
calm-mesh,7,1200.0,128,68,60,0.897059,0.965986,0.828623,61,2840,3382,2594,788,834.623488,0.287702,0.416381,9023,156695,76437,1687,846,774,14,50,18,63,8,0.943067,0.232998,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,1.0,0.954762,3.091899,68,2807,3268,2719,549,806.490112,0.280518,0.402181,8664,151468,72735,1536,802,539,10,57,11,207,3,0.94355,0.167993,1,108,120.287602,0
meshtastic-like,8,1200.0,125,63,62,0.952381,0.967413,0.514969,60,2939,4917,4917,0,1213.436928,0.404614,0.438324,8909,232024,127890,3030,1900,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.619048,0.967742,0.474585,39,2940,3946,3044,902,973.809664,0.326891,0.260796,7794,185560,79346,1163,0,884,18,24,39,0,0,0.0,0.228586,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.920635,0.967742,0.823594,58,2940,3478,2727,751,858.314752,0.286296,0.290174,8371,162051,71520,1073,653,736,15,47,16,40,8,0.948954,0.215929,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,0.968254,0.967742,9.669313,61,2940,3848,3348,500,949.624832,0.316436,0.47988,8160,180392,82591,1297,890,490,10,42,21,692,2,0.939323,0.129938,6,103,106.796571,2
meshtastic-like,9,1200.0,127,58,69,0.948276,0.968353,0.604735,55,3274,4843,4843,0,1195.174912,0.359019,0.563433,9349,227958,125312,3381,2147,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.603448,0.995563,0.416007,35,3366,4276,3473,803,1055.248384,0.310276,0.491588,8720,200804,91058,2091,0,786,17,29,29,0,0,0.0,0.187792,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.844828,0.981071,0.989969,49,3317,3798,3045,753,937.285632,0.278457,0.413764,8818,177284,82752,1653,986,738,15,36,22,129,11,0.949622,0.198262,0,0,0.0,-1
smart-calm,9,1200.0,127,58,69,1.0,0.980775,6.128501,58,3316,4008,3357,651,989.110272,0.293157,0.527703,9007,187385,87317,1592,1054,638,13,41,17,422,6,0.954555,0.162425,1,98,99.537692,0
meshtastic-like,10,1200.0,133,72,61,0.930556,0.917364,0.869751,67,2742,4928,4928,0,1216.151552,0.432948,0.464087,9147,232325,132047,3151,2062,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,133,72,61,0.652778,0.982937,0.425309,47,2938,4002,3051,951,987.629568,0.330864,0.313469,8547,187551,84266,1508,0,931,20,35,37,0,0,0.0,0.237631,0,0,0.0,-1
calm-mesh,10,1200.0,133,72,61,0.902778,0.998996,0.884109,65,2986,3531,2790,741,871.394304,0.285609,0.337088,9052,163967,77449,1438,801,727,14,56,16,66,8,0.950514,0.209856,0,0,0.0,-1
smart-calm,10,1200.0,133,72,61,0.972222,0.978923,4.610417,70,2926,3751,3118,633,925.686784,0.308974,0.428197,9126,174673,82527,1572,911,621,12,56,16,462,7,0.95165,0.168755,5,111,116.558974,0
meshtastic-like,11,1200.0,140,66,74,0.939394,0.94567,0.455554,62,3429,5392,5392,0,1330.659328,0.381169,0.572287,9851,254357,137411,3384,2169,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
