protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,117,0,0.957265,0.0,0.569299,112,0,4596,4596,0,1134.219264,10.126958,0.569299,7990,217214,118546,2504,1617,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,117,0,0.923077,0.0,0.379316,108,0,1617,117,1500,399.049728,3.694905,0.379316,8716,70517,31212,430,0,1470,30,87,30,0,0,0.0,0.927644,0,0,0.0,-1
calm-mesh,1,1200.0,117,117,0,0.965812,0.0,0.658027,113,0,962,161,801,237.406208,2.10094,0.658027,7369,39769,16381,195,5,785,16,99,18,45,9,0.942338,0.83264,0,0,0.0,-1
smart-calm,1,1200.0,117,117,0,0.803419,0.0,0.909387,94,0,2887,1836,1051,712.465408,7.579419,0.909387,9166,132297,58933,770,394,1030,21,79,38,1737,14,0.922836,0.364046,2,137,68.473771,0
meshtastic-like,2,1200.0,126,126,0,0.944444,0.0,0.361886,119,0,4888,4888,0,1206.280192,10.136808,0.361886,8500,231012,127428,2638,1833,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,126,126,0,0.865079,0.0,0.362252,109,0,1417,115,1302,349.692928,3.208192,0.362252,8805,60628,28818,725,0,1274,28,87,39,0,0,0.0,0.918843,0,0,0.0,-1
calm-mesh,2,1200.0,126,126,0,0.761905,0.0,0.575061,96,0,842,141,701,207.792128,2.164501,0.575061,6276,34982,15570,300,7,687,14,85,41,45,7,0.944487,0.832542,0,0,0.0,-1
smart-calm,2,1200.0,126,126,0,0.992063,0.0,0.600854,125,0,974,234,740,240.367616,1.922941,0.600854,7896,39830,20016,461,104,727,13,110,16,111,8,0.952762,0.759754,3,146,155.520613,0
meshtastic-like,3,1200.0,129,129,0,0.953488,0.0,0.49392,123,0,5009,5009,0,1236.141056,10.049927,0.49392,8624,236817,128744,2586,1862,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,129,129,0,0.821705,0.0,0.353879,106,0,1361,111,1250,335.873024,3.168613,0.353879,8279,58410,28154,624,0,1224,26,88,41,0,0,0.0,0.918442,0,0,0.0,-1
calm-mesh,3,1200.0,129,129,0,0.751938,0.0,0.626664,97,0,927,129,798,228.768768,2.358441,0.626664,6717,38706,18235,496,41,782,16,87,42,29,8,0.947314,0.860841,0,0,0.0,-1
smart-calm,3,1200.0,129,129,0,0.782946,0.0,0.630129,101,0,939,140,799,231.730176,2.294358,0.630129,7004,39007,19029,469,45,784,15,95,34,31,8,0.951347,0.850905,2,148,80.619584,1
meshtastic-like,4,1200.0,112,112,0,0.955357,0.0,0.519554,107,0,4254,4254,0,1049.819136,9.811394,0.519554,7783,200663,110811,2514,1777,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,112,112,0,0.875,0.0,0.367658,98,0,1406,103,1303,346.978304,3.540595,0.367658,8064,60830,28611,700,0,1275,28,79,33,0,0,0.0,0.926743,0,0,0.0,-1
calm-mesh,4,1200.0,112,112,0,0.669643,0.0,0.564398,75,0,783,83,700,193.231872,2.576425,0.564398,5475,32892,16114,415,0,686,14,71,41,0,6,0.947504,0.893997,0,0,0.0,-1
smart-calm,4,1200.0,112,112,0,0.8125,0.0,0.577594,91,0,859,159,700,211.987456,2.329532,0.577594,6157,35934,16883,363,17,686,14,81,31,66,6,0.944831,0.814901,6,132,80.98175,0
meshtastic-like,5,1200.0,134,134,0,0.910448,0.0,0.627014,122,0,4864,4864,0,1200.357376,9.838995,0.627014,9558,228778,130478,3571,2232,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,134,134,0,0.776119,0.0,0.39616,104,0,1482,128,1354,365.733888,3.516672,0.39616,9161,63457,29937,671,0,1324,30,91,43,0,0,0.0,0.91363,0,0,0.0,-1
calm-mesh,5,1200.0,134,134,0,0.865672,0.0,0.622226,116,0,962,161,801,237.406208,2.046605,0.622226,7643,39495,17115,419,19,785,16,106,28,39,9,0.942316,0.83264,0,0,0.0,-1
smart-calm,5,1200.0,134,134,0,0.865672,0.0,0.83998,116,0,3119,2112,1007,769.719296,6.635511,0.83998,10992,141839,67988,1359,643,986,21,100,34,1992,15,0.922755,0.32286,5,154,100.464021,2
meshtastic-like,6,1200.0,92,92,0,1.0,0.0,0.388078,92,0,3706,3706,0,914.581504,9.941103,0.388078,6910,174684,94944,2402,1495,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,92,92,0,0.826087,0.0,0.37667,76,0,1179,78,1101,290.958336,3.828399,0.37667,6071,51700,23176,354,0,1079,22,58,34,0,0,0.0,0.933842,0,0,0.0,-1
calm-mesh,6,1200.0,92,92,0,0.869565,0.0,0.709971,80,0,833,83,750,205.571072,2.569638,0.709971,5522,35295,14443,207,0,735,15,69,23,0,7,0.950564,0.90036,0,0,0.0,-1
smart-calm,6,1200.0,92,92,0,0.869565,0.0,0.664971,80,0,833,83,750,205.571072,2.569638,0.664971,5526,35291,14869,219,0,735,15,69,23,0,7,0.957875,0.90036,7,112,84.658568,0
meshtastic-like,7,1200.0,114,114,0,0.921053,0.0,0.483984,105,0,4273,4273,0,1054.508032,10.042934,0.483984,7309,202068,108491,2167,1558,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,114,114,0,0.833333,0.0,0.379211,95,0,1351,100,1251,333.405184,3.509528,0.379211,7454,58745,26114,354,0,1226,25,75,39,0,0,0.0,0.925981,0,0,0.0,-1
calm-mesh,7,1200.0,114,114,0,0.964912,0.0,0.673731,110,0,965,163,802,238.14656,2.164969,0.673731,7674,39611,16685,247,11,785,17,97,17,41,9,0.92993,0.831088,0,0,0.0,-1
smart-calm,7,1200.0,114,114,0,0.894737,0.0,0.841796,102,0,2839,1886,953,700.619776,6.868821,0.841796,9888,129223,58964,843,442,932,21,86,28,1772,12,0.907135,0.335682,4,134,99.644622,1
meshtastic-like,8,1200.0,105,105,0,0.942857,0.0,0.409614,99,0,4012,4012,0,990.097408,10.000984,0.409614,6655,189933,100365,1873,1356,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,105,105,0,0.72381,0.0,0.392329,76,0,1231,80,1151,303.791104,3.997251,0.392329,6399,53920,24630,475,0,1128,23,57,48,0,0,0.0,0.935012,0,0,0.0,-1
calm-mesh,8,1200.0,105,105,0,0.961905,0.0,0.716149,101,0,950,149,801,234.4448,2.321236,0.716149,6799,39751,16111,227,10,785,16,87,18,45,9,0.947996,0.843158,0,0,0.0,-1
smart-calm,8,1200.0,105,105,0,0.971429,0.0,0.680175,102,0,951,150,801,234.691584,2.300898,0.680175,6757,39842,16378,192,5,785,16,87,18,46,9,0.954555,0.842271,1,125,125.589254,0
meshtastic-like,9,1200.0,128,128,0,0.953125,0.0,0.400577,122,0,4843,4843,0,1195.174912,9.796516,0.400577,8632,228675,124743,2658,1919,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,128,128,0,0.984375,0.0,0.340797,126,0,1328,128,1200,327.729152,2.601025,0.340797,9034,56038,25248,463,0,1176,24,104,24,0,0,0.0,0.903614,0,0,0.0,-1
calm-mesh,9,1200.0,128,128,0,0.84375,0.0,0.565378,108,0,864,114,750,213.221376,1.974272,0.565378,7008,35328,14570,209,0,735,15,100,28,0,7,0.947021,0.868056,0,0,0.0,-1
smart-calm,9,1200.0,128,128,0,0.867188,0.0,0.563016,111,0,1153,403,750,284.541952,2.563441,0.563016,7540,48957,21231,314,100,735,15,100,28,289,7,0.948488,0.650477,4,147,110.918111,1
meshtastic-like,10,1200.0,119,119,0,0.932773,0.0,0.610053,111,0,4420,4420,0,1090.78528,9.826894,0.610053,8421,208159,114893,2982,1852,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,119,119,0,0.579832,0.0,0.356592,69,0,981,74,907,242.095104,3.508625,0.356592,5577,42492,19410,419,0,888,19,58,61,0,0,0.0,0.924567,0,0,0.0,-1
calm-mesh,10,1200.0,119,119,0,0.655462,0.0,0.658399,78,0,763,106,657,188.296192,2.414054,0.658399,5351,32036,15404,373,46,644,13,68,51,28,6,0.94375,0.861075,0,0,0.0,-1
smart-calm,10,1200.0,119,119,0,0.647059,0.0,0.62124,77,0,743,104,639,183.360512,2.381305,0.62124,5182,31225,14541,257,22,627,12,69,50,26,5,0.94812,0.860027,7,136,31.077941,0
meshtastic-like,11,1200.0,123,123,0,0.95122,0.0,0.720974,117,0,4723,4723,0,1165.560832,9.962058,0.720974,8922,222505,126304,3171,2028,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,11,1200.0,123,123,0,0.731707,0.0,0.350982,90,0,1193,95,1098,294.413312,3.271259,0.350982,7008,51449,24513,484,0,1076,22,75,48,0,0,0.0,0.920369,0,0,0.0,-1
calm-mesh,11,1200.0,123,123,0,0.861789,0.0,0.619001,106,0,901,150,751,222.352384,2.097664,0.619001,6808,37341,15400,245,15,736,15,94,29,42,8,0.948348,0.833518,0,0,0.0,-1
smart-calm,11,1200.0,123,123,0,0.837398,0.0,0.738837,103,0,2644,1743,901,652.496896,6.334921,0.738837,9147,120409,53729,778,404,883,18,91,32,1635,11,0.92176,0.340772,1,142,83.827812,2
meshtastic-like,12,1200.0,134,134,0,0.955224,0.0,0.557552,128,0,5142,5142,0,1268.963328,9.913776,0.557552,9392,242566,131666,3126,2042,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,12,1200.0,134,134,0,0.880597,0.0,0.358262,118,0,1428,127,1301,352.407552,2.986505,0.358262,9169,60803,27299,595,0,1274,27,97,37,0,0,0.0,0.911064,0,0,0.0,-1
calm-mesh,12,1200.0,134,134,0,0.776119,0.0,0.555739,104,0,806,106,700,198.907904,1.912576,0.555739,6635,32859,13582,195,0,686,14,94,40,0,6,0.945202,0.868486,0,0,0.0,-1
smart-calm,12,1200.0,134,134,0,0.776119,0.0,0.511058,104,0,756,106,650,186.568704,1.79393,0.511058,6523,30521,13224,188,0,637,13,95,39,0,5,0.940056,0.859788,3,154,79.347778,0
meshtastic-like,13,1200.0,111,111,0,0.963964,0.0,0.515696,107,0,4298,4298,0,1060.677632,9.912875,0.515696,7636,202966,110744,2410,1565,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,13,1200.0,111,111,0,0.873874,0.0,0.373992,97,0,1491,103,1388,367.954944,3.79335,0.373992,8025,65034,30367,566,0,1359,29,77,34,0,0,0.0,0.930919,0,0,0.0,-1
calm-mesh,13,1200.0,111,111,0,0.891892,0.0,0.680706,99,0,997,196,801,246.043648,2.485289,0.680706,6770,42083,17258,298,6,785,16,87,24,94,10,0.942697,0.80341,0,0,0.0,-1
smart-calm,13,1200.0,111,111,0,0.873874,0.0,0.670921,97,0,1538,689,849,379.553792,3.912926,0.670921,7664,67698,30571,631,166,833,16,86,25,588,9,0.937625,0.552016,3,131,97.47441,2
meshtastic-like,14,1200.0,125,125,0,0.952,0.0,0.520659,119,0,4987,4987,0,1230.711808,10.342116,0.520659,8301,236062,126977,2435,1720,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,14,1200.0,125,125,0,0.944,0.0,0.347171,118,0,1375,125,1250,339.328,2.875661,0.347171,8676,58699,25817,376,0,1225,25,100,25,0,0,0.0,0.909091,0,0,0.0,-1
calm-mesh,14,1200.0,125,125,0,0.68,0.0,0.589309,85,0,787,89,698,194.219008,2.28493,0.589309,5644,32919,14315,211,0,684,14,78,47,0,6,0.951709,0.886912,0,0,0.0,-1
