round,scenario,seed,unicast_pdr,total_airtime_s,collision_fail,policy_switch_count,policy_update_count,policy_reward_total
1,mixed,100,0.590909,313.662464,30658,6,34,10.423928
1,mixed,101,0.952381,284.048384,23583,4,33,37.255728
1,shadow6,200,1.0,227.534848,18731,6,26,25.102307
1,shadow6,201,0.941176,392.633344,33604,12,29,25.155842
1,rate10,300,0.805556,392.38656,38850,14,48,50.00227
1,rate10,301,0.8,550.821888,52020,15,51,38.015909
1,rate10,400,0.904762,438.781952,36766,10,54,51.630937
1,rate10,401,0.291667,527.870976,49831,9,34,-11.447092
2,mixed,1100,0.764706,250.732544,20736,8,29,19.100713
2,mixed,1101,0.653846,248.264704,21963,2,37,18.855348
2,shadow6,1200,0.85,253.200384,19572,8,32,25.457494
2,shadow6,1201,0.947368,265.046016,21683,3,31,32.742973
2,rate10,1300,1.0,412.376064,35253,5,34,41.930649
2,rate10,1301,0.8,432.118784,36783,8,32,23.488801
2,rate10,1400,0.888889,341.055488,29704,9,39,36.145475
2,rate10,1401,0.814815,434.093056,36616,4,39,30.154572
