protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,360.0,34,16,18,1.0,0.885057,0.734727,16,462,787,787,0,194.219008,0.406316,0.737161,1356,21467,11985,454,283,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,360.0,34,16,18,0.75,0.921456,0.493568,12,481,693,513,180,171.021312,0.346899,0.637638,1549,18548,8835,346,0,174,6,10,6,0,0,0.0,0.25974,0,0,0.0,-1
calm-mesh,1,360.0,34,16,18,0.75,0.886973,1.129045,12,463,596,446,150,147.083264,0.309649,0.565054,1284,16000,7189,199,115,145,5,10,6,0,0,0.963568,0.251678,0,0,0.0,-1
smart-calm,1,360.0,34,16,18,0.625,0.936782,1.345498,10,489,600,450,150,148.0704,0.296734,0.706876,1392,16008,8231,315,175,145,5,10,6,0,0,0.960887,0.25,2,22,7.22659,1
meshtastic-like,2,360.0,30,17,13,0.882353,0.994695,0.416718,15,375,644,644,0,158.928896,0.40751,0.633344,1254,17422,10090,444,304,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,360.0,30,17,13,0.705882,0.923077,0.452437,12,348,520,370,150,128.32768,0.356466,0.485184,1195,13885,6689,211,0,145,5,8,9,0,0,0.0,0.288462,0,0,0.0,-1
calm-mesh,2,360.0,30,17,13,0.823529,0.912467,1.174437,14,344,478,346,132,117.962752,0.329505,0.370194,1221,12641,6507,210,95,128,4,11,6,28,2,0.919146,0.276151,0,0,0.0,-1
smart-calm,2,360.0,30,17,13,0.823529,0.912467,1.203008,14,344,474,342,132,116.975616,0.326748,0.371311,1222,12524,6513,217,104,128,4,11,6,27,2,0.918563,0.278481,3,22,18.808636,0
meshtastic-like,3,360.0,32,17,15,0.882353,0.933333,0.246784,15,406,715,715,0,176.45056,0.419122,0.327121,1146,19589,10324,305,232,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,360.0,32,17,15,0.882353,1.0,0.411307,15,435,617,467,150,152.265728,0.338368,0.252268,1361,16532,7320,199,0,145,5,12,5,0,0,0.0,0.243112,0,0,0.0,-1
calm-mesh,3,360.0,32,17,15,0.882353,1.0,1.129045,15,435,554,404,150,136.718336,0.303819,0.276193,1355,14711,6490,188,120,145,5,12,5,0,0,0.966309,0.270758,0,0,0.0,-1
smart-calm,3,360.0,32,17,15,0.882353,1.0,1.022379,15,435,560,410,150,138.19904,0.307109,0.272637,1323,14917,6551,151,99,145,5,12,5,0,0,0.963866,0.267857,2,23,21.730821,2
meshtastic-like,4,360.0,41,19,22,0.947368,0.815047,0.385671,18,520,867,867,0,213.961728,0.397698,0.56197,1667,23447,12878,625,378,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,360.0,41,19,22,0.684211,0.952978,0.398651,13,608,795,644,151,196.19328,0.315931,0.477688,1651,21375,9675,390,0,146,5,10,9,0,0,0.0,0.189937,0,0,0.0,-1
calm-mesh,4,360.0,41,19,22,0.421053,0.909091,1.239328,8,580,681,531,150,168.059904,0.285816,0.308187,1246,18474,8200,206,130,145,5,6,13,0,0,0.953596,0.220264,0,0,0.0,-1
smart-calm,4,360.0,41,19,22,0.578947,0.909091,1.427433,11,580,692,541,151,170.774528,0.288959,0.411335,1485,18554,8770,324,185,146,5,8,11,23,1,0.968221,0.218208,2,24,5.563035,1
