protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,202,98,104,0.908163,0.923469,0.96114,89,4706,7712,7712,0,1903.198208,0.396913,0.672592,13778,364110,199453,4691,2932,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,202,98,104,0.55102,0.943681,0.393026,54,4809,5915,4959,956,1459.72736,0.30017,0.639137,12641,277194,135332,3310,0,937,19,47,51,0,0,0.0,0.161623,0,0,0.0,-1
calm-mesh,1,1200.0,202,98,104,0.520408,0.937794,0.748826,51,4779,5054,4358,696,1247.246336,0.258229,0.51979,10639,237007,113900,2073,1269,683,13,58,40,33,6,0.945019,0.137713,0,0,0.0,-1
smart-calm,1,1200.0,202,98,104,0.94898,0.929945,11.715828,93,4739,4978,4281,697,1228.490752,0.254241,0.730125,12955,230967,114763,2538,1323,685,12,64,34,25,6,0.948828,0.140016,1,138,130.508864,0
meshtastic-like,2,1200.0,205,109,96,0.899083,0.882228,0.727984,98,4150,7435,7435,0,1834.83904,0.43193,0.860446,15117,349051,198603,6091,3459,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,205,109,96,0.412844,0.923044,0.370746,45,4342,5316,4478,838,1311.903744,0.299043,0.46525,10593,249891,116202,2450,0,818,20,41,68,0,0,0.0,0.157637,0,0,0.0,-1
calm-mesh,2,1200.0,205,109,96,0.486239,0.928997,0.700019,53,4370,4624,3982,642,1141.129216,0.257999,0.580513,10491,216085,106287,2448,1282,628,14,45,64,93,7,0.927018,0.138841,0,0,0.0,-1
smart-calm,2,1200.0,205,109,96,0.880734,0.881803,18.049675,96,4148,6400,5740,660,1579.4176,0.372153,0.938514,12724,300876,146737,2788,1690,645,15,44,65,2010,8,0.885714,0.103125,5,147,89.68753,2
meshtastic-like,3,1200.0,216,123,93,0.902439,0.883257,0.939213,111,4025,7756,7756,0,1914.056704,0.46278,0.759228,15180,364864,206188,5665,3485,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,216,123,93,0.495935,0.907395,0.360062,61,4135,5194,4293,901,1281.796096,0.30548,0.49931,11536,242970,111707,2747,0,883,18,55,68,0,0,0.0,0.173469,0,0,0.0,-1
calm-mesh,3,1200.0,216,123,93,0.699187,0.895326,0.801217,86,4080,4688,3833,855,1156.923392,0.277706,0.36479,12225,217487,103814,2212,1208,840,15,84,39,151,13,0.942052,0.182381,0,0,0.0,-1
smart-calm,3,1200.0,216,123,93,0.926829,0.920562,10.384103,114,4195,4660,3865,795,1150.01344,0.266886,0.852441,14336,214004,106140,2923,1452,780,15,81,42,126,10,0.952389,0.170601,5,159,153.185651,0
meshtastic-like,4,1200.0,203,94,109,0.914894,0.90058,0.865688,86,4810,7312,7312,0,1804.484608,0.368563,0.822292,14594,343694,194507,5586,3432,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,203,94,109,0.361702,0.907133,0.420984,34,4845,5822,5000,822,1436.776448,0.294482,0.545245,11990,273288,133006,3772,0,804,18,36,58,0,0,0.0,0.141189,0,0,0.0,-1
calm-mesh,4,1200.0,203,94,109,0.521277,0.898708,0.985725,49,4800,5239,4256,983,1292.901376,0.266633,0.598413,12213,244498,125559,3345,1739,968,15,50,44,104,13,0.937747,0.187631,0,0,0.0,-1
smart-calm,4,1200.0,203,94,109,0.904255,0.929788,14.538701,85,4966,5190,4405,785,1280.80896,0.253575,0.916344,14327,239983,126499,3678,1935,772,13,63,31,146,9,0.949136,0.151252,1,133,148.993583,0
meshtastic-like,5,1200.0,174,91,83,0.912088,0.894763,0.80064,83,3639,6404,6404,0,1580.404736,0.424612,0.523133,11552,302244,161620,3843,2597,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,174,91,83,0.472527,0.939759,0.418959,43,3822,4816,3961,855,1188.511744,0.307506,0.36658,9936,226048,102966,2167,0,834,21,37,54,0,0,0.0,0.177533,0,0,0.0,-1
calm-mesh,5,1200.0,174,91,83,0.483516,0.956725,0.926335,44,3891,4425,3612,813,1092.0192,0.277514,0.431204,9656,207169,100681,2302,1224,801,12,36,55,133,10,0.941466,0.183729,0,0,0.0,-1
smart-calm,5,1200.0,174,91,83,0.89011,0.969757,9.698324,81,3944,4429,3592,837,1093.006336,0.271554,0.756069,12515,204506,104494,2870,1381,823,14,62,29,119,11,0.955644,0.188982,5,128,110.870149,0
meshtastic-like,6,1200.0,186,104,82,0.913462,0.902439,0.563952,95,3626,6797,6797,0,1677.390848,0.45079,0.882275,13379,319331,181928,5117,3026,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,186,104,82,0.644231,0.897213,0.372018,67,3605,4767,3716,1051,1176.419328,0.320376,0.533131,11846,221737,106193,2881,0,1029,22,63,41,0,0,0.0,0.220474,0,0,0.0,-1
calm-mesh,6,1200.0,186,104,82,0.615385,0.922101,0.725954,64,3705,4010,3259,751,989.60384,0.262564,0.604375,10261,186229,91003,2047,1168,736,15,59,45,46,8,0.947095,0.187282,0,0,0.0,-1
smart-calm,6,1200.0,186,104,82,0.932692,0.899204,5.974272,97,3613,4085,3285,800,1008.11264,0.271728,0.711297,12239,187926,92788,2311,1201,785,15,84,20,79,9,0.953971,0.195838,3,141,161.021553,0
meshtastic-like,7,1200.0,222,123,99,0.934959,0.954442,0.707269,115,4630,8452,8452,0,2085.818368,0.439582,0.684083,16430,397669,217351,6178,3646,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,222,123,99,0.455285,0.979798,0.352549,56,4753,5796,4909,887,1430.360064,0.297434,0.497798,12196,271808,122002,3020,0,867,20,48,75,0,0,0.0,0.153037,0,0,0.0,-1
calm-mesh,7,1200.0,222,123,99,0.715447,0.937745,0.578695,88,4549,4975,4137,838,1227.7504,0.264773,0.400406,12606,231169,109831,2119,1184,823,15,83,40,31,9,0.943233,0.168442,0,0,0.0,-1
smart-calm,7,1200.0,222,123,99,0.894309,0.963719,9.387748,110,4675,5222,4481,741,1288.706048,0.269322,0.667397,14192,241637,113773,2513,1458,725,16,85,38,318,7,0.938843,0.1419,12,161,126.273789,1
meshtastic-like,8,1200.0,207,100,107,0.95,0.92695,0.752438,95,4860,7897,7897,0,1948.853248,0.39331,0.621356,14322,372288,203473,4810,3192,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,207,100,107,0.67,0.943735,0.401484,67,4948,6330,5129,1201,1562.14272,0.311494,0.372488,13253,296917,133663,2705,0,1176,25,53,47,0,0,0.0,0.189731,0,0,0.0,-1
calm-mesh,8,1200.0,207,100,107,0.83,0.970246,0.70266,83,5087,5480,4629,851,1352.37632,0.261581,0.42513,13007,255513,122651,2215,1321,835,16,76,24,42,10,0.94448,0.155292,0,0,0.0,-1
smart-calm,8,1200.0,207,100,107,0.99,0.952699,5.852344,99,4995,5444,4660,784,1343.492096,0.26374,0.433346,13306,253450,122223,2071,1302,770,14,84,16,119,8,0.948987,0.144012,7,139,157.159705,0
meshtastic-like,9,1200.0,193,90,103,0.944444,0.938577,0.747946,85,4737,7194,7194,0,1775.364096,0.36818,0.885281,14715,337791,192349,5815,3469,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,193,90,103,0.477778,0.93085,0.373046,43,4698,5742,4847,895,1417.033728,0.298889,0.465861,11667,269397,128002,3243,0,877,18,39,51,0,0,0.0,0.155869,0,0,0.0,-1
calm-mesh,9,1200.0,193,90,103,0.811111,0.957202,0.732043,73,4831,5070,4222,848,1251.19488,0.255138,0.454312,12726,235704,115550,2699,1551,832,16,68,22,1,9,0.943274,0.167258,0,0,0.0,-1
smart-calm,9,1200.0,193,90,103,0.955556,0.956013,4.706039,86,4825,4974,4190,784,1227.503616,0.24995,0.612292,14082,229644,118337,3434,1799,770,14,73,17,45,8,0.953535,0.15762,3,129,138.767892,0
meshtastic-like,10,1200.0,208,105,103,0.895238,0.895582,0.745272,94,4520,7584,7584,0,1871.609856,0.405637,0.62087,13959,356824,196209,4800,3129,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,208,105,103,0.466667,0.98296,0.367658,49,4961,5866,5114,752,1447.634944,0.288949,0.422245,11880,275554,127370,3049,0,736,16,45,60,0,0,0.0,0.128196,0,0,0.0,-1
calm-mesh,10,1200.0,208,105,103,0.685714,0.992471,0.72787,72,5009,5484,4593,891,1353.363456,0.266358,0.447889,13017,255699,125547,2788,1475,876,15,68,37,157,12,0.948414,0.162473,0,0,0.0,-1
smart-calm,10,1200.0,208,105,103,1.0,0.958986,9.176815,105,4840,5170,4426,744,1275.87328,0.258013,0.560904,13994,239336,113713,2598,1398,730,14,79,26,86,8,0.951937,0.143907,1,145,159.325041,0
meshtastic-like,11,1200.0,247,122,125,0.92623,0.869224,1.092427,113,5324,8785,8785,0,2167.99744,0.398749,0.758399,17939,412526,232907,7116,4140,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,11,1200.0,247,122,125,0.557377,0.927673,0.381064,68,5682,7080,5877,1203,1747.23072,0.303866,0.527187,15087,331833,152854,3471,0,1176,27,60,62,0,0,0.0,0.169915,0,0,0.0,-1
calm-mesh,11,1200.0,247,122,125,0.836066,0.911837,0.650613,102,5585,5910,5063,847,1458.49344,0.256461,0.568358,14838,274752,133175,2809,1690,831,16,102,20,77,10,0.946098,0.143316,0,0,0.0,-1
smart-calm,11,1200.0,247,122,125,0.959016,0.91151,10.38206,117,5583,5999,5200,799,1480.457216,0.259729,0.720578,15904,278047,134725,3022,1699,784,15,85,37,182,8,0.95531,0.133189,6,160,154.816667,1
meshtastic-like,12,1200.0,213,106,107,0.867925,0.951364,0.809405,92,4988,7884,7884,0,1945.645056,0.383001,0.597585,14400,371916,203815,4968,3114,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,12,1200.0,213,106,107,0.273585,0.95556,0.365921,29,5010,5771,5147,624,1424.190464,0.282634,0.41935,10013,272766,125432,2438,0,608,16,27,79,0,0,0.0,0.108127,0,0,0.0,-1
calm-mesh,12,1200.0,213,106,107,0.386792,0.954606,0.733961,41,5005,5150,4524,626,1270.9376,0.25187,0.461324,10650,241700,118249,2484,1430,614,12,44,62,75,7,0.937919,0.121553,0,0,0.0,-1
smart-calm,12,1200.0,213,106,107,0.877358,0.964333,15.192952,93,5056,5588,4866,722,1379.028992,0.267825,0.704867,13630,260182,127065,2650,1402,709,13,57,49,298,9,0.945973,0.129205,10,146,106.017567,1
meshtastic-like,13,1200.0,210,99,111,0.888889,0.915426,0.843245,88,4979,7703,7703,0,1900.977152,0.375168,0.755859,14753,362694,200202,5483,3232,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,13,1200.0,210,99,111,0.464646,0.93326,0.391635,46,5076,6156,5203,953,1519.202304,0.296603,0.620155,12429,289215,136023,3153,0,931,22,47,52,0,0,0.0,0.154808,0,0,0.0,-1
calm-mesh,13,1200.0,210,99,111,0.444444,0.913219,0.708881,44,4967,5153,4426,727,1271.677952,0.253777,0.594601,11496,241001,122896,3186,1629,713,14,46,53,94,8,0.944587,0.141083,0,0,0.0,-1
smart-calm,13,1200.0,210,99,111,0.949495,0.934731,8.847584,94,5084,5499,4686,813,1357.065216,0.262083,0.81117,14557,254894,130125,3398,1739,800,13,67,32,213,12,0.949812,0.147845,6,139,129.13693,2
meshtastic-like,14,1200.0,188,81,107,0.950617,0.933626,0.877141,77,4895,7198,7198,0,1776.351232,0.357271,0.789707,13368,339334,186111,4708,3003,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,14,1200.0,188,81,107,0.753086,0.918558,0.424792,61,4816,6111,4961,1150,1508.097024,0.309226,0.568205,12713,286726,131487,2667,0,1127,23,46,35,0,0,0.0,0.188185,0,0,0.0,-1
calm-mesh,14,1200.0,188,81,107,0.753086,0.940874,0.875125,61,4933,5238,4538,700,1292.654592,0.258842,0.525643,11761,244901,118985,2502,1470,686,14,50,31,114,9,0.935322,0.133639,0,0,0.0,-1
smart-calm,14,1200.0,188,81,107,0.938272,0.924089,9.009105,76,4845,5312,4488,824,1310.916608,0.266392,0.685101,12928,247360,122656,2847,1541,811,13,50,31,123,9,0.956063,0.15512,3,121,112.182508,0
meshtastic-like,15,1200.0,215,102,113,0.892157,0.909879,0.666881,91,5038,8067,8067,0,1990.806528,0.388147,0.728863,15146,380137,201678,5629,3195,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,15,1200.0,215,102,113,0.186275,0.93715,0.428625,19,5189,5927,5330,597,1462.688768,0.280854,0.456648,10093,280330,129717,2738,0,580,17,21,81,0,0,0.0,0.100725,0,0,0.0,-1
calm-mesh,15,1200.0,215,102,113,0.45098,0.945097,0.950366,46,5233,5460,4805,655,1347.44064,0.255245,0.523622,11515,256025,123915,2636,1443,641,14,47,55,63,7,0.908596,0.119963,0,0,0.0,-1
smart-calm,15,1200.0,215,102,113,0.921569,0.916742,18.863705,94,5076,6919,6186,733,1707.498496,0.330271,0.982446,14561,324470,161296,3579,2016,720,13,48,54,1621,11,0.935531,0.10594,7,140,112.296243,2
meshtastic-like,16,1200.0,199,98,101,0.877551,0.943827,0.943909,86,4671,7407,7407,0,1827.929088,0.384261,0.710146,13499,349444,195631,4671,2932,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,16,1200.0,199,98,101,0.285714,0.935947,0.423058,28,4632,5502,4758,744,1357.805568,0.291375,0.518019,9970,259628,119066,2606,0,727,17,25,73,0,0,0.0,0.135224,0,0,0.0,-1
calm-mesh,16,1200.0,199,98,101,0.255102,0.941806,0.516398,25,4661,4666,4116,550,1151.494144,0.245731,0.546219,9483,219151,106389,2704,1350,539,11,27,71,0,3,0.932234,0.117874,0,0,0.0,-1
smart-calm,16,1200.0,199,98,101,0.908163,0.912103,24.490655,89,4514,6365,5633,732,1570.78016,0.341251,1.138666,13344,298541,149779,3363,1794,719,13,35,63,1635,9,0.939778,0.115004,2,137,93.393456,1
meshtastic-like,17,1200.0,206,100,106,0.95,0.903928,0.865013,95,4695,7742,7742,0,1910.601728,0.398873,0.575684,13964,365394,196701,4612,3086,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,17,1200.0,206,100,106,0.52,0.961109,0.39934,52,4992,6044,5144,900,1491.562496,0.29571,0.367558,11609,284547,125730,2359,0,883,17,41,59,0,0,0.0,0.148908,0,0,0.0,-1
calm-mesh,17,1200.0,206,100,106,0.66,0.94975,0.721275,66,4933,5056,4356,700,1247.739904,0.249598,0.519416,11845,235899,113992,2433,1453,686,14,57,43,41,7,0.94577,0.138449,0,0,0.0,-1
smart-calm,17,1200.0,206,100,106,0.91,0.915287,16.293903,91,4754,6387,5688,699,1576.209408,0.325327,0.792379,13576,299387,145721,3207,1800,685,14,45,55,1555,7,0.941704,0.109441,6,137,115.1478,1
meshtastic-like,18,1200.0,194,101,93,0.920792,0.90169,0.914073,93,4109,7047,7047,0,1739.086848,0.413871,0.836684,14022,331281,190712,5416,3238,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,18,1200.0,194,101,93,0.445545,0.926926,0.378402,45,4224,5079,4340,739,1253.415936,0.293609,0.62308,10434,238437,114567,2630,0,725,14,40,61,0,0,0.0,0.145501,0,0,0.0,-1
calm-mesh,18,1200.0,194,101,93,0.70297,0.933289,0.686336,71,4253,4678,3927,751,1154.455552,0.266988,0.40466,11036,218186,98686,1775,1025,736,15,68,33,43,8,0.942758,0.160539,0,0,0.0,-1
smart-calm,18,1200.0,194,101,93,0.950495,0.944481,9.570407,96,4304,4490,3890,600,1108.06016,0.251832,0.793682,12265,207745,98798,2001,1228,588,12,73,28,60,5,0.948737,0.13363,3,141,132.978916,0
meshtastic-like,19,1200.0,213,118,95,0.898305,0.928464,0.714982,106,4322,7972,7972,0,1967.362048,0.4443,0.843589,15013,375517,207302,5489,3341,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,19,1200.0,213,118,95,0.805085,0.929753,0.37667,95,4328,5873,4486,1387,1449.362432,0.327688,0.626208,14224,273504,131038,2651,0,1359,28,85,33,0,0,0.0,0.236166,0,0,0.0,-1
calm-mesh,19,1200.0,213,118,95,0.423729,0.974006,0.606269,50,4534,4625,4025,600,1141.376,0.248991,0.475941,10213,216265,105911,2235,1283,588,12,48,70,0,4,0.944552,0.12973,0,0,0.0,-1
smart-calm,19,1200.0,213,118,95,0.940678,0.950591,11.152645,111,4425,4779,4034,745,1179.380736,0.260005,0.746232,13725,220201,107604,2410,1291,731,14,81,37,35,8,0.944334,0.15589,10,155,147.531555,0
meshtastic-like,20,1200.0,194,95,99,0.989474,0.932797,0.582589,94,4525,7588,7588,0,1872.596992,0.405412,0.656175,14179,357633,196585,5082,3104,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,20,1200.0,194,95,99,0.452632,0.938569,0.407481,43,4553,5536,4680,856,1366.196224,0.297258,0.495108,11071,260193,121739,2707,0,838,18,33,62,0,0,0.0,0.154624,0,0,0.0,-1
calm-mesh,20,1200.0,194,95,99,0.642105,0.921047,0.754101,61,4468,4927,4177,750,1215.904768,0.268471,0.426238,11052,230371,111919,2189,1220,736,14,57,38,104,10,0.949009,0.152222,0,0,0.0,-1
smart-calm,20,1200.0,194,95,99,0.957895,0.954236,9.020482,91,4629,4885,4205,680,1205.53984,0.255411,0.625204,13347,226018,111381,2304,1392,665,15,72,23,77,8,0.905476,0.139202,5,132,139.18355,0
