protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
smart-calm,1,1200.0,117,55,62,0.981818,0.955892,3.369768,54,2904,3333,2745,588,822.531072,0.27807,0.515213,8051,155266,73411,1361,768,578,10,42,13,117,7,0.952898,0.176418,3,94,103.143678,0
smart-calm,2,1200.0,125,69,56,0.971014,0.948251,8.988678,67,2602,3154,2455,699,778.356736,0.291629,0.597052,8445,146101,68703,1305,686,685,14,42,27,59,7,0.931212,0.221623,7,108,114.529181,0
smart-calm,3,1200.0,125,79,46,0.936709,1.0,13.276765,74,2254,2754,2150,604,679.643136,0.291943,0.698893,8256,126690,59072,1104,618,590,14,43,36,110,7,0.93794,0.219317,5,118,102.338395,0
smart-calm,4,1200.0,123,53,70,0.924528,0.926239,9.890459,49,3177,3372,2774,598,832.155648,0.257953,0.572172,8577,156602,76848,1684,969,586,12,39,14,4,4,0.948947,0.177343,5,92,78.507457,0
smart-calm,5,1200.0,105,54,51,0.925926,0.998399,7.836066,50,2495,3249,2458,791,801.801216,0.31505,0.472701,7944,151257,74250,1434,684,777,14,30,24,203,10,0.948711,0.24346,11,94,80.576276,0
smart-calm,6,1200.0,107,62,45,0.935484,0.9678,6.249095,58,2134,2873,2182,691,709.010432,0.323454,0.664736,7777,133000,63981,1467,697,678,13,37,25,277,9,0.937349,0.240515,11,98,92.579632,2
smart-calm,7,1200.0,128,68,60,0.985294,0.937755,1.614961,67,2757,3252,2606,646,802.541568,0.284186,0.374203,8851,150497,71253,1635,765,636,10,55,13,87,5,0.95181,0.198647,3,108,119.710361,0
smart-calm,8,1200.0,125,63,62,0.984127,0.983871,9.517337,62,2989,3215,2715,500,793.41056,0.260049,0.479977,8130,149405,68252,1172,770,490,10,42,21,56,2,0.943928,0.155521,5,103,114.225988,0
smart-calm,9,1200.0,127,58,69,1.0,0.979592,4.928501,58,3312,3634,2983,651,896.813056,0.266117,0.486816,8778,169288,77499,1363,901,638,13,41,17,43,6,0.953096,0.179141,5,98,102.989477,0
smart-calm,10,1200.0,133,72,61,0.972222,0.962529,5.110417,70,2877,3374,2741,633,832.649216,0.282541,0.416001,8955,156371,73793,1409,785,621,12,56,16,124,8,0.950014,0.187611,7,111,116.225913,0
smart-calm,11,1200.0,140,66,74,0.984848,0.94043,5.475643,65,3410,3836,3186,650,946.663424,0.272421,0.555167,9371,178593,83687,1609,962,637,13,48,18,129,6,0.947698,0.169447,12,106,112.5577,2
smart-calm,12,1200.0,132,63,69,0.968254,0.973085,9.940372,61,3290,3617,3027,590,892.617728,0.266374,0.656737,9314,167919,82842,1918,1032,580,10,38,25,107,6,0.95376,0.163119,9,103,107.302344,0
smart-calm,13,1200.0,129,63,66,0.920635,0.984539,6.634414,58,3184,3590,2940,650,885.95456,0.273274,0.488119,8668,167242,75512,1476,818,638,12,40,23,97,6,0.951663,0.181058,1,98,105.057073,0
smart-calm,14,1200.0,114,46,68,0.978261,0.981993,2.253776,45,3272,3552,2953,599,876.576768,0.264268,0.447843,8104,165944,77847,1456,845,588,11,34,12,5,5,0.954266,0.168637,1,86,91.095708,0
smart-calm,15,1200.0,135,68,67,0.970588,0.934816,13.406443,66,3069,3568,2883,685,880.525312,0.280869,0.674526,8999,165833,77282,1498,834,672,13,34,34,70,7,0.951227,0.191984,7,107,110.547036,0
smart-calm,16,1200.0,121,53,68,0.981132,0.95048,7.332704,52,3167,3382,2832,550,834.623488,0.25928,0.585932,8260,157458,75080,1489,877,539,11,39,14,4,3,0.952006,0.162626,3,93,99.950296,0
smart-calm,17,1200.0,107,53,54,0.943396,0.981481,2.19913,50,2597,3076,2427,649,759.107584,0.28678,0.304496,7440,143284,66672,1297,656,637,12,38,15,88,6,0.943042,0.210988,5,90,92.700037,0
smart-calm,18,1200.0,122,67,55,0.940299,0.960668,10.552623,63,2589,2940,2346,594,725.54496,0.273584,0.664586,8094,135966,64821,1249,692,582,12,43,24,14,4,0.94821,0.202041,3,106,91.102772,0
smart-calm,19,1200.0,116,67,49,0.955224,0.995419,8.206595,64,2390,3737,2792,945,922.231808,0.375808,0.563705,8442,174671,79069,1287,750,927,18,35,32,608,12,0.926831,0.252877,4,106,104.8576,2
smart-calm,20,1200.0,117,50,67,0.98,0.99269,10.747722,49,3259,3585,3046,539,884.72064,0.267449,0.613464,8316,167349,80048,1611,909,529,10,32,18,87,6,0.957657,0.150349,1,90,90.359244,0
