protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
smart-calm,1,1200.0,117,55,62,0.963636,0.945688,3.958446,53,2873,3150,2601,549,777.3696,0.265677,0.470894,8104,146246,71799,1533,878,538,11,43,12,35,5,0.946336,0.174286,5,93,100.993564,0
smart-calm,2,1200.0,125,69,56,0.956522,0.958455,7.865755,66,2630,3469,2666,803,856.093696,0.317542,0.682919,9215,160766,82471,2033,938,791,12,40,29,289,12,0.955032,0.231479,8,108,110.445995,1
smart-calm,3,1200.0,125,79,46,0.962025,0.998225,16.596892,76,2250,2715,2113,602,670.01856,0.288056,0.87895,8564,124471,58561,1263,622,589,13,34,45,79,5,0.927803,0.221731,3,118,109.679654,0
smart-calm,4,1200.0,123,53,70,0.981132,0.963265,10.8042,52,3304,3538,2893,645,873.121792,0.260167,0.633352,9072,164192,82369,2067,1115,633,12,33,20,38,5,0.952479,0.182306,1,93,93.904282,0
smart-calm,5,1200.0,105,54,51,0.962963,0.9996,6.183981,52,2498,3051,2431,620,752.937984,0.29527,0.423835,7547,141952,67294,1348,705,608,12,32,22,174,8,0.9513,0.203212,1,94,90.769072,0
smart-calm,6,1200.0,107,62,45,0.967742,0.90839,1.795809,60,2003,2414,1814,600,595.736576,0.288772,0.422951,7439,110847,52167,1222,580,588,12,48,14,0,5,0.958659,0.24855,5,100,103.42195,0
smart-calm,7,1200.0,128,68,60,1.0,1.0,8.699347,68,2940,3107,2607,500,766.757888,0.254906,0.634177,9031,143212,68642,1839,848,489,11,47,21,13,2,0.947918,0.160927,3,108,114.058213,0
smart-calm,8,1200.0,125,63,62,1.0,0.983542,4.980452,63,2988,3253,2752,501,802.788352,0.263123,0.389407,8141,151256,69201,1100,727,491,10,51,12,43,3,0.94665,0.154012,3,103,120.122853,0
smart-calm,9,1200.0,127,58,69,1.0,0.983733,4.921605,58,3326,3622,2971,651,893.851648,0.264141,0.473624,9108,168370,77934,1678,999,638,13,41,17,42,6,0.953267,0.179735,1,98,102.96929,0
smart-calm,10,1200.0,133,72,61,0.972222,0.997324,7.547814,70,2981,3388,2796,592,836.104192,0.274043,0.528008,9022,156990,73980,1572,825,581,11,52,20,90,6,0.947575,0.174734,5,111,116.196392,0
smart-calm,11,1200.0,140,66,74,0.969697,0.969939,5.505704,64,3517,3825,3224,601,943.9488,0.263599,0.638024,9814,177611,82646,2098,1078,589,12,48,18,51,7,0.954773,0.157124,5,106,111.329716,0
smart-calm,12,1200.0,132,63,69,0.952381,0.98462,8.801425,60,3329,3582,3037,545,883.980288,0.260838,0.612779,9155,166363,81818,1803,1008,535,10,44,19,87,5,0.950868,0.15215,1,102,104.841219,0
smart-calm,13,1200.0,129,63,66,0.952381,0.953309,7.637095,60,3083,3501,2856,645,863.990784,0.274894,0.470473,8714,162835,76517,1540,826,633,12,40,23,79,6,0.951458,0.184233,1,100,107.452814,0
smart-calm,14,1200.0,114,46,68,1.0,0.981393,2.210145,46,3270,3575,2976,599,882.2528,0.266059,0.43692,8202,166973,77170,1516,822,587,12,34,12,1,4,0.951429,0.167552,1,86,95.097888,0
smart-calm,15,1200.0,135,68,67,0.955882,0.95035,13.619741,65,3120,4152,3357,795,1024.647168,0.32171,0.931488,10046,193402,94524,2445,1179,781,14,36,32,567,10,0.931477,0.191474,10,108,96.116782,1
smart-calm,16,1200.0,121,53,68,0.962264,0.973589,6.09949,51,3244,3451,2901,550,851.651584,0.258468,0.607474,8621,160478,75618,1799,950,539,11,39,14,4,3,0.951922,0.159374,3,93,94.265263,0
smart-calm,17,1200.0,107,53,54,0.90566,0.981481,7.884723,48,2597,2876,2326,550,709.750784,0.268337,0.434948,7390,133534,62028,1326,657,539,11,35,18,8,3,0.947,0.191238,1,90,79.488126,0
smart-calm,18,1200.0,122,67,55,0.970149,0.97885,1.233685,65,2638,3230,2629,601,797.11232,0.294899,0.331298,8201,150069,68458,1165,721,589,12,54,13,212,5,0.940892,0.186068,6,107,109.297527,2
smart-calm,19,1200.0,116,67,49,0.970149,1.0,2.235043,65,2401,2834,2234,600,699.385856,0.283611,0.335966,7808,131058,57414,962,569,588,12,54,13,0,4,0.952254,0.211715,1,107,115.620331,0
smart-calm,20,1200.0,117,50,67,0.98,0.980506,5.705747,49,3219,3624,3032,592,894.345216,0.273667,0.476112,8327,169249,78998,1574,878,581,11,36,14,86,6,0.955351,0.163355,3,90,86.914813,0
