protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,117,55,62,0.963636,0.945359,0.46944,53,2872,4632,4632,0,1143.103488,0.390805,0.602447,8327,218641,121507,2816,1863,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,117,55,62,0.818182,0.947334,0.466148,45,2878,4065,2978,1087,1003.17696,0.343201,0.491257,8863,190322,88023,1752,0,1065,22,28,27,0,0,0.0,0.267405,0,0,0.0,-1
calm-mesh,1,1200.0,117,55,62,0.854545,0.938117,0.873955,47,2850,3333,2583,750,822.531072,0.283925,0.420962,8151,155166,71323,1456,767,735,15,39,16,0,7,0.950107,0.225023,0,0,0.0,-1
smart-calm,1,1200.0,117,55,62,0.963636,0.945688,3.958446,53,2873,3150,2601,549,777.3696,0.265677,0.470894,8104,146246,71799,1533,878,538,11,43,12,35,5,0.946336,0.174286,5,93,100.993564,0
meshtastic-like,2,1200.0,125,69,56,0.942029,0.963921,0.508612,65,2645,4952,4952,0,1222.074368,0.45095,0.641328,9318,233330,126560,3446,2071,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,125,69,56,0.449275,0.96137,0.439271,31,2638,3519,2721,798,868.432896,0.325378,0.445401,7321,165110,76875,1677,0,781,17,23,46,0,0,0.0,0.226769,0,0,0.0,-1
calm-mesh,2,1200.0,125,69,56,0.362319,0.97777,0.910747,25,2683,3069,2448,621,757.380096,0.279682,0.417529,6530,143851,71056,1601,773,610,11,20,49,48,5,0.945934,0.202346,0,0,0.0,-1
smart-calm,2,1200.0,125,69,56,0.956522,0.918732,10.814212,66,2521,3780,3068,712,932.84352,0.360589,0.727066,9022,176198,87615,1995,975,700,12,37,32,777,9,0.950138,0.18836,3,108,106.133784,0
meshtastic-like,3,1200.0,125,79,46,0.962025,0.913043,0.570953,76,2058,4829,4829,0,1191.719936,0.558444,0.282035,8730,227891,120647,2955,1890,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,125,79,46,0.594937,0.978261,0.414807,47,2205,3156,2302,854,778.850304,0.345848,0.250291,7317,147327,63605,1031,0,836,18,33,46,0,0,0.0,0.270596,0,0,0.0,-1
calm-mesh,3,1200.0,125,79,46,0.708861,0.999556,0.799666,56,2253,2865,2115,750,707.03616,0.306209,0.339486,7724,132661,60348,1234,640,736,14,50,29,84,9,0.949386,0.26178,0,0,0.0,-1
smart-calm,3,1200.0,125,79,46,0.962025,0.998225,18.460033,76,2250,4087,3485,602,1008.606208,0.433623,0.922841,8683,191580,88694,1637,962,590,12,33,46,1472,6,0.94688,0.147296,3,118,101.356826,0
meshtastic-like,4,1200.0,123,53,70,0.924528,0.949271,0.575199,49,3256,4623,4623,0,1140.882432,0.345199,0.591441,8925,217357,121589,3271,2095,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,123,53,70,0.566038,0.983382,0.481084,30,3373,4365,3465,900,1077.21216,0.316548,0.347079,8559,205228,90921,2024,0,881,19,19,34,0,0,0.0,0.206186,0,0,0.0,-1
calm-mesh,4,1200.0,123,53,70,0.566038,0.969388,1.298053,30,3325,3650,2912,738,900.7616,0.268483,0.446611,8573,170277,87214,2493,1170,725,13,24,29,59,8,0.944113,0.202192,0,0,0.0,-1
smart-calm,4,1200.0,123,53,70,0.924528,0.966472,14.201344,49,3315,3914,3315,599,965.912576,0.287132,0.661962,9121,182567,87624,2080,1198,587,12,33,20,436,4,0.945936,0.15304,2,92,73.938022,1
meshtastic-like,5,1200.0,105,54,51,0.962963,0.980392,0.576011,52,2450,4108,4108,0,1013.788672,0.405191,0.350459,7728,193564,105426,2766,1742,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,105,54,51,0.62963,0.9996,0.44276,34,2498,3432,2589,843,846.962688,0.334503,0.30046,7387,160781,72970,1494,0,825,18,24,30,0,0,0.0,0.245629,0,0,0.0,-1
calm-mesh,5,1200.0,105,54,51,0.648148,0.997999,0.90823,35,2494,2969,2316,653,732.701696,0.28972,0.317664,6697,138784,65434,1264,713,639,14,28,26,87,7,0.947855,0.219939,0,0,0.0,-1
smart-calm,5,1200.0,105,54,51,0.944444,0.9996,4.380508,51,2498,3227,2559,668,796.371968,0.312425,0.385492,7824,150299,72203,1514,782,656,12,34,20,300,9,0.95508,0.207003,1,94,84.287522,0
meshtastic-like,6,1200.0,107,62,45,0.967742,0.976417,0.319333,60,2153,4178,4178,0,1031.063552,0.465912,0.643821,7744,196978,107759,2654,1778,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,107,62,45,0.790323,0.975057,0.438168,49,2150,3293,2246,1047,812.659712,0.369559,0.670049,8757,152600,74352,1990,0,1025,22,36,26,0,0,0.0,0.317947,0,0,0.0,-1
calm-mesh,6,1200.0,107,62,45,0.887097,0.955102,0.794811,55,2106,2616,1919,697,645.586944,0.298745,0.404097,7488,120696,56859,1370,624,683,14,43,19,47,8,0.952262,0.266437,0,0,0.0,-1
smart-calm,6,1200.0,107,62,45,0.967742,0.90839,1.795809,60,2003,2414,1814,600,595.736576,0.288772,0.422951,7439,110847,52167,1222,580,588,12,48,14,0,5,0.958659,0.24855,5,100,103.42195,0
meshtastic-like,7,1200.0,128,68,60,0.985294,0.95,0.379373,67,2793,5138,5138,0,1267.976192,0.443348,0.384082,8949,242813,129093,2873,1911,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,128,68,60,0.529412,0.932993,0.438727,36,2743,3697,2851,846,912.360448,0.328305,0.407659,9003,172150,79041,2190,0,823,23,26,42,0,0,0.0,0.228834,0,0,0.0,-1
calm-mesh,7,1200.0,128,68,60,0.764706,0.966327,0.722065,52,2841,3173,2531,642,783.045632,0.270669,0.403912,8268,147209,71022,1638,835,629,13,44,24,0,5,0.939719,0.202332,0,0,0.0,-1
smart-calm,7,1200.0,128,68,60,0.955882,0.965986,8.737745,65,2840,3751,3106,645,925.686784,0.318653,0.597404,9149,174650,83051,1950,998,633,12,42,26,584,5,0.941548,0.171954,12,106,103.08621,0
meshtastic-like,8,1200.0,125,63,62,0.968254,0.967084,0.339128,61,2938,4993,4993,0,1232.192512,0.410868,0.439557,8600,236057,125609,2673,1833,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,125,63,62,0.746032,0.967742,0.462064,47,2940,4111,3059,1052,1014.529024,0.339648,0.290261,9071,192368,85619,1567,0,1030,22,32,31,0,0,0.0,0.255899,0,0,0.0,-1
calm-mesh,8,1200.0,125,63,62,0.666667,0.983871,0.781733,42,2989,3355,2705,650,827.96032,0.273164,0.287689,7397,156998,69826,1143,713,637,13,35,28,0,5,0.94551,0.193741,0,0,0.0,-1
smart-calm,8,1200.0,125,63,62,1.0,0.983542,4.98281,63,2988,3331,2830,501,822.037504,0.269432,0.389456,8176,155043,70886,1135,753,491,10,51,12,124,3,0.94665,0.150405,3,103,119.811101,0
meshtastic-like,9,1200.0,127,58,69,0.931034,0.966282,0.486143,54,3267,4829,4829,0,1191.719936,0.358844,0.669194,9815,226806,127615,3867,2294,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,127,58,69,0.637931,0.983141,0.4202,37,3324,4284,3432,852,1057.222656,0.314556,0.451623,8830,201086,88831,2058,0,835,17,30,28,0,0,0.0,0.19888,0,0,0.0,-1
calm-mesh,9,1200.0,127,58,69,0.862069,0.98462,0.935105,50,3329,3864,3062,802,953.573376,0.282206,0.400962,9078,180258,82896,1744,932,786,16,38,20,89,10,0.948127,0.207557,0,0,0.0,-1
