protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.909091,0.963636,0.940092,0.730289,0.6562,0.730289,5.058294,0.493568,53,50,2856,4695,4635,60,60,1158.65088,165.746418,0.138122,458.825748,1512.13868,1970.964428,0.67824,0.39871,0.547374,10611,219444,230055,0.046124,120213,0.52254,2504,1670,0,0,0,0,0,0,0.0,0.01278,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.363636,0.727273,0.938776,0.493568,0.46889,0.493568,0.740352,0.493568,40,20,2852,3995,2954,1041,40,985.90208,125.49953,0.104583,390.417224,1219.885816,1610.30304,0.56069,0.343281,0.427936,9378,186377,195755,0.047907,85720,0.437894,1675,0,981,20,25,30,0,0,0.0,0.260576,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,55,62,0.8,0.854545,0.920013,1.208454,0.963843,1.208454,2.493568,2.740352,47,44,2795,3338,2541,797,47,823.764992,119.80596,0.099838,326.210937,1033.961625,1360.172562,0.479103,0.29016,0.421739,10035,153527,163562,0.061353,72970,0.446131,1303,744,735,15,39,16,0,7,0.950107,0.238766,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,55,62,0.927273,0.945455,0.951942,8.404702,7.332704,8.404702,35.246784,35.493568,52,51,2892,3491,2839,652,55,861.522944,126.276625,0.105231,341.163086,1078.746162,1419.909248,0.48247,0.292736,0.487245,10670,160389,171059,0.062376,75489,0.441304,1368,760,586,11,38,17,215,5,0.951341,0.186766,5,94,96.489209,0,53,1,1
meshtastic-like,2,1200.0,125,69,56,0.826087,0.956522,0.942055,0.55393,0.332112,0.55393,1.064072,0.502425,66,57,2585,4958,4890,68,68,1223.555072,170.451368,0.142043,484.527809,1588.462804,2072.990612,0.784629,0.463117,0.519893,11678,231264,242942,0.048069,124820,0.513785,2930,1912,0,0,0,0,0,0,0.0,0.013715,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.347826,0.57971,0.962464,0.536544,0.445318,0.536544,0.740352,0.919744,40,24,2641,3735,2749,986,42,921.73824,128.11085,0.106759,365.008343,1150.674875,1515.683218,0.568737,0.345868,0.481533,9785,173230,183015,0.053466,81715,0.446493,1974,0,924,20,32,37,0,0,0.0,0.263989,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,125,69,56,0.405797,0.449275,0.937682,1.126693,0.892544,1.126693,2.493568,2.740352,31,28,2573,3008,2375,633,31,742.326272,104.26373,0.086886,293.961204,924.999061,1218.960265,0.468651,0.2854,0.343918,7854,139538,147392,0.053286,65331,0.443247,1345,705,588,14,24,45,44,5,0.946566,0.210439,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,125,69,56,0.869565,0.927536,0.95809,14.240586,10.557389,14.240586,35.246784,35.493568,64,60,2629,3960,3124,836,71,977.26464,151.97945,0.12665,386.996797,1237.853315,1624.850112,0.604258,0.363431,0.770665,12402,181638,194040,0.063915,88771,0.457488,2048,1039,751,14,36,33,749,10,0.943647,0.211111,7,106,92.539346,0,66,1,2
meshtastic-like,3,1200.0,125,79,46,0.797468,0.949367,0.913043,0.493568,0.577956,0.493568,2.75402,0.493568,75,63,2058,4944,4863,81,81,1220.100096,167.654715,0.139712,483.159638,1578.648624,2061.808262,0.972093,0.575248,0.281057,11497,230759,242256,0.047458,123244,0.508735,2508,1723,0,0,0,0,0,0,0.0,0.016383,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,125,79,46,0.329114,0.518987,0.978261,0.493568,0.403281,0.493568,0.740352,0.493568,41,26,2205,2990,2294,696,41,737.88416,88.233985,0.073528,292.202127,895.304875,1187.507002,0.532276,0.330741,0.249641,7662,138848,146510,0.052297,59290,0.404682,852,0,642,13,30,49,0,0,0.0,0.232776,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,125,79,46,0.670886,0.696203,0.977374,1.077746,0.809719,1.077746,2.493568,2.740352,55,53,2203,2978,2125,853,55,734.922752,109.84625,0.091539,291.02941,915.176493,1206.205903,0.534666,0.325764,0.319411,10100,135822,145922,0.069215,62574,0.428818,1006,561,784,14,50,29,115,10,0.951789,0.286434,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,125,79,46,0.924051,0.949367,0.996451,9.500618,7.68693,9.500618,35.246784,35.493568,75,73,2246,3510,2681,829,79,866.21184,132.455095,0.110379,343.019889,1079.098466,1422.118354,0.613246,0.373528,0.580543,12438,159552,171990,0.072318,73029,0.424612,1216,667,737,13,51,28,598,11,0.948926,0.236182,7,118,107.921271,0,65,14,0
meshtastic-like,4,1200.0,123,53,70,0.811321,0.962264,0.930612,0.776115,0.807707,0.776115,3.703077,2.05996,51,43,3192,4639,4574,65,65,1144.830976,175.691948,0.14641,453.353066,1512.985887,1966.338953,0.607833,0.353889,0.630028,11469,215842,227311,0.050455,122572,0.539226,3266,2135,0,0,0,0,0,0,0.0,0.014012,0,0,0.0,-1,0,0,0
meshcore-like,4,1200.0,123,53,70,0.264151,0.54717,0.970554,0.493568,0.485058,0.493568,0.740352,0.493568,29,14,3329,4407,3427,980,29,1087.577088,132.17793,0.110148,430.680527,1337.119134,1767.79966,0.528806,0.32533,0.371672,9525,206173,215698,0.044159,93415,0.433082,2335,0,929,22,19,34,0,0,0.0,0.222373,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,123,53,70,0.490566,0.603774,0.978134,1.098471,1.37715,1.098471,4.98389,2.740352,32,26,3355,3791,3001,790,35,935.558144,137.267708,0.11439,370.481025,1199.041168,1569.522193,0.464218,0.27671,0.47455,9697,175866,185563,0.052257,90293,0.486589,2061,1112,741,14,27,26,117,9,0.946866,0.208388,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,123,53,70,0.830189,0.886792,0.972886,13.616774,13.401654,13.616774,35.246784,35.493568,47,44,3337,3945,3256,689,49,973.56288,150.614414,0.125512,385.5309,1235.630445,1621.161346,0.479492,0.287951,0.730114,11400,181856,193256,0.058989,90391,0.467727,1961,1185,628,12,34,19,358,5,0.946715,0.174651,6,93,62.410659,1,39,14,0
meshtastic-like,5,1200.0,105,54,51,0.759259,0.981481,0.960784,0.655426,0.845756,0.655426,3.215498,0.493568,53,41,2401,4226,4162,64,64,1042.909184,163.726872,0.136439,412.992037,1379.294944,1792.286981,0.733942,0.427072,0.462513,10102,196972,207074,0.048784,112228,0.541971,2930,1762,0,0,0,0,0,0,0.0,0.015144,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,105,54,51,0.351852,0.611111,0.980392,0.493568,0.44122,0.493568,0.740352,0.493568,33,19,2450,3361,2533,828,33,829.441024,106.325082,0.088604,328.458646,1021.899411,1350.358056,0.546925,0.335942,0.346958,7936,156753,164689,0.048188,71023,0.431255,1435,0,780,15,23,31,0,0,0.0,0.246355,0,0,0.0,-1,0,0,0
calm-mesh,5,1200.0,105,54,51,0.666667,0.685185,1.0,1.235641,1.022855,1.235641,2.493568,2.740352,37,36,2499,3083,2394,689,37,760.835072,97.707522,0.081423,301.290689,929.260261,1230.550949,0.485424,0.300132,0.281636,8153,142914,151067,0.053969,62443,0.413346,969,521,638,14,27,27,85,7,0.948511,0.223484,0,0,0.0,-1,0,0,0
smart-calm,5,1200.0,105,54,51,0.851852,0.925926,0.987995,7.941572,5.435471,7.941572,35.246784,35.493568,50,46,2469,3454,2537,917,58,852.391936,128.52589,0.107105,337.547207,1072.824101,1410.371308,0.560784,0.338923,0.448712,10567,158679,169246,0.062436,76042,0.449299,1550,757,845,14,32,22,290,12,0.953838,0.265489,9,94,79.695476,0,35,18,1
meshtastic-like,6,1200.0,107,62,45,0.903226,0.951613,0.953288,0.625287,0.405312,0.625287,1.818014,1.876288,59,56,2102,4094,4029,65,65,1010.333696,148.856005,0.124047,400.092144,1334.527184,1734.619327,0.803809,0.468181,0.698559,10483,190074,200557,0.052269,107376,0.535389,2546,1646,0,0,0,0,0,0,0.0,0.015877,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,107,62,45,0.451613,0.725806,0.901587,0.564078,0.444211,0.564078,0.740352,1.135206,45,28,1988,3190,2090,1100,49,787.24096,113.232159,0.09436,311.74742,981.778707,1293.526127,0.64163,0.390497,0.499605,9578,146732,156310,0.061276,68251,0.436639,1559,0,1025,26,33,29,0,0,0.0,0.344828,0,0,0.0,-1,0,0,0
