protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,202,98,104,0.642857,0.928571,0.885597,0.769087,1.387477,0.769087,6.319017,2.444242,91,63,4513,7464,7348,116,116,1841.995776,315.797423,0.263165,729.430327,2458.754102,3188.184429,0.696719,0.402534,0.892228,18694,347042,365736,0.051113,203068,0.555231,5849,3368,0,0,0,0,0,0,0.0,0.015541,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,202,98,104,0.336735,0.540816,0.917386,0.493568,0.405098,0.493568,0.740352,0.493568,53,33,4675,5923,4823,1100,53,1461.701632,216.057151,0.180048,578.833846,1860.877602,2439.711449,0.518205,0.310472,0.65585,14412,275815,290227,0.049658,139102,0.479287,3569,0,1025,22,46,52,0,0,0.0,0.185717,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,202,98,104,0.459184,0.530612,0.94113,0.892996,0.707593,0.892996,2.493568,2.740352,52,45,4796,5072,4338,734,53,1251.688448,190.888278,0.159074,495.668625,1587.313622,2082.982247,0.430279,0.25856,0.679172,13438,235090,248528,0.05407,117102,0.471182,2629,1463,668,13,58,40,42,6,0.945019,0.144716,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,202,98,104,0.857143,0.959184,0.924647,20.74123,19.84814,20.74123,35.513452,35.493568,94,84,4712,6713,6063,650,100,1656.660992,245.583734,0.204653,656.037753,2102.365151,2758.402904,0.575147,0.345426,0.904674,18202,310049,328251,0.055451,154254,0.469927,3514,1868,538,12,49,49,1840,3,0.92401,0.096827,10,134,103.292404,0,54,16,28
meshtastic-like,2,1200.0,205,109,96,0.669725,0.908257,0.899447,0.721285,1.014957,0.721285,5.464524,2.48671,99,73,4231,7415,7292,123,123,1829.90336,317.197528,0.264331,724.641731,2453.721189,3178.362919,0.738467,0.425163,1.131422,19679,343460,363139,0.054191,203329,0.559921,6390,3711,0,0,0,0,0,0,0.0,0.016588,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,205,109,96,0.284404,0.431193,0.917092,0.497609,0.375467,0.497609,0.740352,0.493568,47,31,4314,5260,4452,808,47,1298.08384,164.482924,0.137069,514.041201,1597.857574,2111.898775,0.486053,0.298753,0.455898,11837,245903,257740,0.045926,111856,0.433988,2351,0,745,16,41,68,0,0,0.0,0.153612,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,205,109,96,0.321101,0.357798,0.942815,0.878731,0.595656,0.878731,2.493568,2.740352,39,35,4435,4586,4009,577,39,1131.751424,154.826354,0.129022,448.173564,1417.201166,1865.37473,0.41731,0.253188,0.469512,11028,213686,224714,0.049076,102663,0.456861,2100,1180,526,12,35,74,0,3,0.937189,0.125818,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,205,109,96,0.733945,0.834862,0.870323,24.757915,22.619712,24.757915,36.188134,35.564261,91,80,4094,6451,5672,779,98,1592.003584,254.299527,0.211916,630.433419,2052.178622,2682.612041,0.642696,0.38141,1.183275,17350,298749,316099,0.054888,157057,0.49686,3628,1980,670,11,34,75,1991,12,0.94463,0.120756,6,147,39.503912,1,6,93,10
meshtastic-like,3,1200.0,216,123,93,0.658537,0.902439,0.879087,0.702177,1.015917,0.702177,5.269141,0.493568,111,81,4006,7876,7735,141,141,1943.670784,309.565857,0.257972,769.69363,2559.731111,3329.424741,0.814638,0.475574,0.782721,19635,366240,385875,0.050884,206115,0.53415,5439,3387,0,0,0,0,0,0,0.0,0.017902,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,216,123,93,0.398374,0.560976,0.900812,0.523786,0.371964,0.523786,0.740352,0.789709,69,49,4105,5449,4274,1175,72,1344.726016,185.475066,0.154563,532.511502,1662.010437,2194.52194,0.528291,0.323718,0.546282,14790,252162,266952,0.055403,116004,0.43455,2352,0,1079,24,67,56,0,0,0.0,0.215636,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,216,123,93,0.674797,0.813008,0.899715,0.893667,0.990175,0.893667,6.052402,2.740352,100,83,4100,5195,4051,1144,115,1282.04288,216.938184,0.180782,507.68898,1639.202954,2146.891934,0.513242,0.306489,0.456493,18506,236000,254506,0.072713,118808,0.466818,2829,1412,1013,16,97,26,328,18,0.94479,0.220212,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,216,123,93,0.869919,0.918699,0.928462,11.296242,8.666366,11.296242,35.246784,35.493568,113,107,4231,5473,4543,930,130,1350.648832,233.912981,0.194927,534.856937,1723.177106,2258.034043,0.520524,0.311353,0.825498,20716,247412,268128,0.077262,123073,0.459008,2975,1573,785,15,89,34,714,10,0.948204,0.169925,8,159,127.949387,1,66,57,0
meshtastic-like,4,1200.0,203,94,109,0.670213,0.914894,0.883355,1.020863,1.163598,1.020863,4.350259,3.897282,86,63,4718,7306,7188,118,118,1803.003904,308.433569,0.257028,713.989546,2434.495461,3148.485007,0.658541,0.377119,0.931358,19117,338877,357994,0.0534,204000,0.569842,6131,3779,0,0,0,0,0,0,0.0,0.016151,0,0,0.0,-1,0,0,0
meshcore-like,4,1200.0,203,94,109,0.340426,0.5,0.928665,0.53984,0.409556,0.53984,0.740352,0.987136,47,32,4960,6053,5108,945,50,1493.783552,214.809841,0.179008,591.538287,1887.946286,2479.484572,0.496692,0.299235,0.614584,14981,281616,296597,0.05051,138681,0.467574,4068,0,874,21,44,50,0,0,0.0,0.156121,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,203,94,109,0.404255,0.43617,0.901329,1.176799,1.011433,1.176799,2.493568,2.740352,41,38,4814,5009,4213,796,46,1236.141056,203.167877,0.169307,489.511858,1605.952176,2095.464034,0.431876,0.254769,0.669512,13844,231597,245441,0.056405,123812,0.504447,3493,1784,736,14,48,46,78,9,0.939608,0.158914,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,203,94,109,0.87234,0.893617,0.92904,17.39657,16.337888,17.39657,35.493568,35.987136,84,82,4962,5962,5171,791,93,1471.326208,236.891402,0.19741,582.645178,1886.226707,2468.871885,0.489467,0.291698,0.910367,18879,273259,292138,0.064624,139261,0.476696,3513,1909,684,14,60,34,817,7,0.932679,0.132674,4,134,126.47073,2,89,1,4
meshtastic-like,5,1200.0,174,91,83,0.67033,0.879121,0.926727,0.788227,0.903372,0.788227,4.100411,1.905884,80,61,3769,6549,6450,99,99,1616.188416,255.823055,0.213186,640.010613,2129.828079,2769.838692,0.723195,0.421981,0.765231,16105,304796,320901,0.050187,172331,0.537022,4781,2896,0,0,0,0,0,0,0.0,0.015117,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,174,91,83,0.285714,0.450549,0.915171,0.531535,0.415319,0.531535,0.740352,0.863744,41,26,3722,4748,3849,899,43,1171.730432,159.205558,0.132671,464.005251,1459.091778,1923.097029,0.5131,0.312628,0.459398,11395,221257,232652,0.048979,103983,0.446947,2617,0,838,18,32,59,0,0,0.0,0.189343,0,0,0.0,-1,0,0,0
calm-mesh,5,1200.0,174,91,83,0.340659,0.450549,0.930907,1.000906,1.12526,1.000906,4.42796,2.740352,41,31,3786,4396,3505,891,42,1084.862464,163.112093,0.135927,429.605536,1380.033104,1809.63864,0.4741,0.284219,0.464344,11085,204319,215404,0.051461,102939,0.477888,2312,1126,837,12,36,55,122,11,0.94477,0.202684,0,0,0.0,-1,0,0,0
smart-calm,5,1200.0,174,91,83,0.846154,0.912088,0.963364,10.737381,6.449721,10.737381,35.246784,70.493568,83,77,3918,4532,3683,849,97,1118.425088,198.474925,0.165396,442.896335,1443.615571,1886.511905,0.472218,0.279956,0.744708,17085,204983,222068,0.076936,105114,0.473341,2926,1388,736,16,72,19,150,9,0.945825,0.187335,10,125,108.353843,1,73,18,0
meshtastic-like,6,1200.0,186,104,82,0.759615,0.923077,0.930314,0.83011,0.838708,0.83011,3.896383,2.362636,96,79,3738,6917,6802,115,115,1707.004928,286.892665,0.239077,675.973951,2280.882572,2956.856523,0.774655,0.447211,0.952498,17870,320916,338786,0.052747,187551,0.553597,5336,3164,0,0,0,0,0,0,0.0,0.016626,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,186,104,82,0.451923,0.644231,0.914385,0.493568,0.379384,0.493568,0.740352,0.493568,67,47,3674,4883,3771,1112,67,1205.046272,177.8071,0.148173,477.198324,1514.45382,1991.652143,0.535246,0.32385,0.600662,14332,224935,239267,0.0599,107788,0.450493,3157,0,1023,22,63,41,0,0,0.0,0.227729,0,0,0.0,-1,0,0,0
calm-mesh,6,1200.0,186,104,82,0.798077,0.836538,0.927576,0.898781,0.740181,0.898781,2.493568,2.740352,87,83,3727,4361,3426,935,87,1076.225024,182.68367,0.152236,426.18511,1377.566977,1803.752086,0.473426,0.282474,0.615496,15820,197869,213689,0.074033,99020,0.463384,2137,1131,832,16,85,19,85,10,0.947097,0.2144,0,0,0.0,-1,0,0,0
smart-calm,6,1200.0,186,104,82,0.865385,0.894231,0.903435,10.480018,7.393093,10.480018,35.571102,55.223222,93,90,3630,4179,3277,902,102,1031.310336,197.767989,0.164807,408.398893,1342.017836,1750.416729,0.470542,0.277234,0.836002,17311,187460,204771,0.084538,98064,0.478896,2788,1380,785,15,81,23,157,9,0.950363,0.215841,8,140,141.110575,2,95,0,9
