protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,55,62,0.836364,0.945455,0.94865,0.493568,0.442815,0.493568,2.038478,0.493568,52,46,2882,4618,4564,54,54,1139.648512,166.780748,0.138984,451.300811,1499.95903,1951.259841,0.666414,0.389224,0.62641,10833,215449,226282,0.047874,120935,0.534444,3111,1937,0,0,0,0,0,0,0.0,0.011693,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,55,62,0.4,0.781818,0.939434,0.493568,0.464872,0.493568,0.740352,0.493568,43,22,2854,4101,2957,1144,43,1012.061184,128.201024,0.106834,400.776229,1249.017993,1649.794222,0.573642,0.351899,0.417068,9772,191177,200949,0.048629,87154,0.433712,1640,0,1079,22,28,27,0,0,0.0,0.278956,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,55,62,0.781818,0.854545,0.938117,1.21934,0.958592,1.21934,2.493568,2.740352,47,43,2850,3420,2622,798,47,844.00128,120.520717,0.100434,334.224507,1059.847574,1394.072081,0.481878,0.291739,0.466512,10114,157466,167580,0.060353,74987,0.44747,1396,817,736,15,38,17,44,8,0.949854,0.233333,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,55,62,0.909091,0.945455,0.9447,5.062925,2.651935,5.062925,17.012515,35.493568,52,50,2870,3333,2681,652,57,822.531072,128.859829,0.107383,325.722305,1040.856716,1366.579021,0.468007,0.281689,0.487965,11063,152254,163317,0.067739,73803,0.4519,1744,873,583,12,42,13,81,5,0.949313,0.19562,1,93,98.446713,0,55,0,0
meshtastic-like,2,1200.0,125,69,56,0.797101,0.971014,0.961006,0.720111,0.656664,0.720111,3.358545,2.573261,67,55,2637,4936,4856,80,80,1218.125824,187.101654,0.155918,482.377826,1611.052194,2093.430021,0.777649,0.452498,0.630181,12873,228991,241864,0.053224,130152,0.538121,3961,2364,0,0,0,0,0,0,0.0,0.016207,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,125,69,56,0.275362,0.463768,0.956997,0.495899,0.433256,0.495899,0.740352,0.497997,32,19,2626,3445,2713,732,32,850.17088,112.326649,0.093606,336.667668,1056.467134,1393.134803,0.526705,0.321426,0.435053,8500,160305,168805,0.050354,74743,0.442777,2041,0,683,17,23,46,0,0,0.0,0.212482,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,125,69,56,0.463768,0.536232,0.943513,1.086753,1.103763,1.086753,3.473247,2.740352,37,32,2589,3111,2433,678,37,767.745024,118.273113,0.098561,304.02703,988.447316,1292.474346,0.493123,0.292921,0.443148,8962,143477,152439,0.058791,74325,0.487572,1977,945,630,11,29,40,153,9,0.948079,0.217936,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,125,69,56,0.84058,0.913043,0.928936,16.102154,14.779244,16.102154,35.246784,35.493568,63,58,2549,4347,3485,862,74,1072.770048,167.579179,0.139649,424.816939,1381.828177,1806.645116,0.692998,0.411496,0.935077,12897,200106,213003,0.060548,103633,0.486533,2695,1343,774,14,27,42,1275,12,0.901218,0.198298,3,106,75.764261,2,5,2,62
meshtastic-like,3,1200.0,125,79,46,0.860759,0.962025,0.891304,0.722002,0.621492,0.722002,2.932294,2.209144,76,68,2009,4793,4704,89,89,1182.835712,172.435361,0.143696,468.402942,1546.547027,2014.949969,0.970125,0.569492,0.334716,12575,222282,234857,0.053543,121727,0.518303,3209,2084,0,0,0,0,0,0,0.0,0.018569,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,125,79,46,0.329114,0.518987,1.0,0.493568,0.403281,0.493568,0.740352,0.493568,41,26,2254,3138,2343,795,41,774.408192,97.397998,0.081165,306.665644,950.742411,1257.408055,0.551495,0.339653,0.307141,8268,145494,153762,0.053771,64741,0.421047,1255,0,738,16,30,49,0,0,0.0,0.253346,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,125,79,46,0.594937,0.620253,1.0,1.056714,0.786944,1.056714,2.493568,2.740352,49,47,2254,2855,2153,702,49,704.56832,100.754058,0.083962,279.009055,872.472227,1151.481282,0.500426,0.306201,0.352933,9495,130400,139895,0.067872,58897,0.421009,1255,593,639,14,42,37,81,7,0.947834,0.245884,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,125,79,46,0.898734,0.949367,0.978261,16.090641,14.685398,16.090641,35.246784,35.966889,75,71,2205,3984,3205,779,80,983.187456,143.700948,0.119751,389.342233,1223.576619,1612.918851,0.708664,0.43198,0.781923,12613,182603,195216,0.06461,84530,0.433008,1734,945,687,12,40,39,1191,10,0.943532,0.195532,3,118,89.757909,0,68,11,0
meshtastic-like,4,1200.0,123,53,70,0.792453,0.943396,0.907872,0.569841,0.807808,0.569841,4.104005,0.493568,50,42,3114,4533,4472,61,61,1118.671872,166.406441,0.138672,442.994061,1475.51585,1918.509911,0.607893,0.354459,0.53914,11367,210554,221921,0.051221,118605,0.534447,3528,2134,0,0,0,0,0,0,0.0,0.013457,0,0,0.0,-1,0,0,0
meshcore-like,4,1200.0,123,53,70,0.264151,0.54717,0.953061,0.493568,0.485058,0.493568,0.740352,0.493568,29,14,3269,4341,3362,979,29,1071.289344,126.146536,0.105122,424.23058,1313.539937,1737.770517,0.529324,0.326314,0.339852,9139,203276,212415,0.043024,91415,0.43036,2001,0,930,20,19,34,0,0,0.0,0.225524,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,123,53,70,0.528302,0.622642,0.954227,1.135506,1.162078,1.135506,2.970685,2.740352,33,28,3273,3738,2937,801,36,922.478592,132.151419,0.110126,365.301522,1168.868856,1534.170378,0.464759,0.279454,0.435349,9919,173047,182966,0.054212,85467,0.46712,2061,1011,751,14,27,26,63,8,0.948741,0.214286,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,123,53,70,0.811321,0.867925,0.940525,16.268626,16.548394,16.268626,36.039195,35.493568,46,43,3226,3860,3211,649,49,952.58624,142.76267,0.118969,377.224151,1216.387941,1593.612092,0.487492,0.2914,0.711488,11236,177904,189140,0.059406,89724,0.474379,2159,1181,587,13,31,22,440,4,0.940397,0.168135,2,91,58.463449,1,40,13,0
meshtastic-like,5,1200.0,105,54,51,0.777778,0.907407,0.987995,0.493568,0.563274,0.493568,3.431313,0.493568,49,42,2469,4160,4111,49,49,1026.62144,143.288814,0.119407,406.54209,1337.773412,1744.315503,0.69467,0.40885,0.387033,9544,194296,203840,0.046821,106142,0.520712,2551,1610,0,0,0,0,0,0,0.0,0.011779,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,105,54,51,0.351852,0.611111,0.980392,0.493568,0.44122,0.493568,0.740352,0.493568,33,19,2450,3370,2538,832,33,831.66208,104.40651,0.087005,329.338184,1024.424255,1353.762439,0.548304,0.336842,0.313315,8135,156995,165130,0.049264,71083,0.430467,1627,0,783,16,23,31,0,0,0.0,0.246884,0,0,0.0,-1,0,0,0
calm-mesh,5,1200.0,105,54,51,0.62963,0.703704,0.987595,1.279292,1.149026,1.279292,2.618049,2.740352,38,34,2468,3101,2318,783,39,765.277184,115.421528,0.096185,303.049765,965.841149,1268.890914,0.507151,0.305866,0.367812,9109,142840,151949,0.059948,69276,0.455916,1804,760,731,13,29,25,117,9,0.950934,0.252499,0,0,0.0,-1,0,0,0
smart-calm,5,1200.0,105,54,51,0.888889,0.925926,0.987995,10.614055,10.079402,10.614055,35.246784,35.493568,50,48,2469,3666,2908,758,55,904.710144,134.162284,0.111802,358.265217,1146.875026,1505.140243,0.59799,0.35944,0.56721,10736,168898,179634,0.059766,83149,0.46288,2004,918,686,17,26,28,720,8,0.922685,0.206765,11,94,81.659163,2,7,16,31
meshtastic-like,6,1200.0,107,62,45,0.83871,0.903226,0.973696,0.493568,0.41268,0.493568,1.266014,0.493568,56,52,2147,4091,4034,57,57,1009.593344,153.743454,0.12812,399.798964,1331.76747,1731.566434,0.787434,0.459115,0.723028,10315,190144,200459,0.051457,107236,0.534952,2830,1690,0,0,0,0,0,0,0.0,0.013933,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,107,62,45,0.516129,0.774194,0.923356,0.524416,0.431872,0.524416,0.740352,0.715674,48,32,2036,3170,2123,1047,48,782.30528,106.238267,0.088532,309.792891,975.479178,1285.272068,0.621505,0.378291,0.478664,9152,146178,155330,0.05892,68168,0.438859,1364,0,979,20,34,28,0,0,0.0,0.330284,0,0,0.0,-1,0,0,0
calm-mesh,6,1200.0,107,62,45,0.83871,0.935484,0.932426,1.050518,0.92404,1.050518,2.493568,2.740352,58,52,2056,2745,1949,796,58,677.42208,104.639789,0.0872,268.259144,851.233334,1119.492478,0.531069,0.321358,0.397698,9853,124603,134456,0.07328,58616,0.435949,1059,553,724,14,45,17,76,9,0.954053,0.289982,0,0,0.0,-1,0,0,0
smart-calm,6,1200.0,107,62,45,0.951613,0.967742,0.97415,4.424324,2.392807,4.424324,4.131229,35.493568,60,59,2148,2566,1902,664,63,633.247744,104.746789,0.087289,250.766107,802.858653,1053.62476,0.477401,0.286927,0.545027,10489,115245,125734,0.083422,55242,0.439356,1155,603,589,12,48,14,0,5,0.95516,0.258769,6,99,107.012081,1,36,24,2
meshtastic-like,7,1200.0,128,68,60,0.941176,0.985294,0.95102,0.564668,0.443701,0.564668,1.518629,0.493568,67,64,2796,5083,5012,71,71,1254.403072,178.043021,0.148369,496.743617,1629.68236,2126.425977,0.743506,0.438602,0.450797,12451,236616,249067,0.049991,127597,0.5123,3248,1989,0,0,0,0,0,0,0.0,0.013968,0,0,0.0,-1,0,0,0
meshcore-like,7,1200.0,128,68,60,0.558824,0.75,0.951701,0.493568,0.372595,0.493568,0.740352,0.493568,51,38,2798,3810,2909,901,51,940.24704,126.854179,0.105712,372.337828,1165.496804,1537.834632,0.542255,0.33154,0.434683,10826,175864,186690,0.057989,80537,0.431394,2105,0,832,18,40,28,0,0,0.0,0.236483,0,0,0.0,-1,0,0,0
calm-mesh,7,1200.0,128,68,60,0.867647,0.926471,0.920068,0.950541,0.871438,0.950541,2.493568,2.740352,63,59,2705,3316,2461,855,65,818.335744,134.223091,0.111853,324.060955,1042.651788,1366.712743,0.494469,0.296069,0.355122,12118,150366,162484,0.07458,74080,0.455922,2009,894,776,14,50,18,68,8,0.943067,0.257841,0,0,0.0,-1,0,0,0
smart-calm,7,1200.0,128,68,60,0.970588,1.0,0.954422,2.894596,2.15269,2.894596,3.840128,27.205264,68,66,2806,3229,2560,669,72,796.865536,127.76801,0.106473,315.558752,1013.519611,1329.078363,0.462771,0.27746,0.429097,12235,145986,158221,0.077329,71160,0.449751,1673,821,587,10,56,12,83,4,0.95122,0.207185,5,108,121.264901,0,67,1,0
meshtastic-like,8,1200.0,125,63,62,0.888889,0.952381,0.935484,0.590625,0.481319,0.590625,1.694564,0.916283,60,56,2842,4774,4707,67,67,1178.146816,173.530388,0.144609,466.546139,1545.624327,2012.170466,0.694331,0.406538,0.457609,12046,221880,233926,0.051495,122675,0.524418,3223,1972,0,0,0,0,0,0,0.0,0.014034,0,0,0.0,-1,0,0,0
meshcore-like,8,1200.0,125,63,62,0.333333,0.619048,0.967742,0.493568,0.474585,0.493568,0.740352,0.493568,39,21,2940,3985,3044,941,39,983.43424,110.861903,0.092385,389.439959,1191.978314,1581.418273,0.534082,0.332129,0.262271,8995,186270,195265,0.046066,80001,0.409705,1327,0,884,18,24,39,0,0,0.0,0.236136,0,0,0.0,-1,0,0,0
calm-mesh,8,1200.0,125,63,62,0.825397,0.825397,0.999671,1.050518,0.803734,1.050518,2.493568,2.740352,52,52,3037,3497,2744,753,52,863.003648,118.777493,0.098981,341.749445,1068.369973,1410.119418,0.456497,0.27938,0.315423,10792,160561,171353,0.062981,72594,0.423652,1283,725,687,14,43,20,45,7,0.948921,0.215327,0,0,0.0,-1,0,0,0
smart-calm,8,1200.0,125,63,62,1.0,1.0,0.967742,5.866816,5.620032,5.866816,35.246784,35.493568,63,63,2940,3436,2772,664,63,847.949824,120.792157,0.10066,335.78813,1051.677479,1387.465609,0.462027,0.282368,0.39428,11521,156843,168364,0.068429,70895,0.421082,1204,702,589,12,49,14,126,5,0.951923,0.193248,9,103,125.96579,0,59,1,3
meshtastic-like,9,1200.0,127,58,69,0.793103,0.948276,0.954747,0.598412,0.69293,0.598412,3.5378,1.502408,55,46,3228,4851,4791,60,60,1197.149184,188.062733,0.156719,474.071077,1579.294514,2053.365591,0.627173,0.365653,0.616406,12481,225218,237699,0.052508,127023,0.534386,4117,2377,0,0,0,0,0,0,0.0,0.012369,0,0,0.0,-1,0,0,0
meshcore-like,9,1200.0,127,58,69,0.413793,0.655172,0.971014,0.493568,0.428625,0.493568,0.740352,0.493568,38,24,3283,4279,3390,889,38,1055.988736,130.181844,0.108485,418.171539,1291.890023,1710.061563,0.517104,0.319319,0.444168,10095,199576,209671,0.048147,88863,0.423821,2142,0,834,17,31,27,0,0,0.0,0.207759,0,0,0.0,-1,0,0,0
calm-mesh,9,1200.0,127,58,69,0.793103,0.862069,0.98255,1.21012,0.950948,1.21012,2.493568,2.740352,50,46,3322,3801,2998,803,50,938.025984,132.621888,0.110518,371.45829,1174.86641,1546.3247,0.459123,0.278511,0.422393,11235,175014,186249,0.060322,82858,0.444878,1670,1001,738,15,38,20,123,11,0.950379,0.21126,0,0,0.0,-1,0,0,0
smart-calm,9,1200.0,127,58,69,0.948276,0.982759,0.968057,9.179288,6.862841,9.179288,35.246784,35.493568,57,55,3273,3944,3134,810,62,973.316096,142.151734,0.11846,385.433174,1223.324973,1608.758147,0.483401,0.292463,0.512347,12223,181033,193256,0.063248,86557,0.447888,1778,996,734,14,38,20,242,8,0.949292,0.205375,7,98,98.949517,0,55,0,3
meshtastic-like,10,1200.0,133,72,61,0.805556,0.944444,0.965206,0.522392,0.56611,0.522392,3.162991,0.493568,68,58,2885,5115,5039,76,76,1262.30016,193.443313,0.161203,499.870863,1673.8965,2173.767363,0.738623,0.428916,0.558804,13116,237519,250635,0.052331,135518,0.540699,3975,2421,0,0,0,0,0,0,0.0,0.014858,0,0,0.0,-1,0,0,0
meshcore-like,10,1200.0,133,72,61,0.430556,0.708333,0.981599,0.493568,0.420984,0.493568,0.740352,0.493568,51,31,2934,4051,3048,1003,51,999.721984,129.566572,0.107972,395.889906,1233.474681,1629.364586,0.549533,0.337174,0.344615,10832,187667,198499,0.05457,84815,0.427282,1980,0,933,19,39,33,0,0,0.0,0.247593,0,0,0.0,-1,0,0,0
calm-mesh,10,1200.0,133,72,61,0.833333,0.861111,0.966879,0.980371,0.721281,0.980371,2.493568,2.740352,62,60,2890,3307,2548,759,62,816.114688,122.478059,0.102065,323.181416,1027.804695,1350.986112,0.457961,0.276649,0.354457,11592,150451,162043,0.071537,71471,0.441062,1417,851,683,14,55,17,0,6,0.946091,0.229513,0,0,0.0,-1,0,0,0
smart-calm,10,1200.0,133,72,61,0.958333,0.958333,0.981934,10.341792,9.080516,10.341792,35.246784,35.493568,69,69,2935,3774,3155,619,71,931.362816,138.510455,0.115425,368.819675,1167.501581,1536.321256,0.511425,0.310041,0.597253,12459,172467,184926,0.067373,81013,0.438083,1721,1018,537,11,50,22,552,5,0.947186,0.164017,5,110,119.815333,0,71,1,0
