protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,1,1200.0,117,117,0,0.837607,0.931624,0.0,0.577099,0.424777,0.577099,1.795782,0.687796,109,98,0,4653,4539,114,114,1148.285952,168.12572,0.140105,454.721237,1504.102795,1958.824032,19.988,11.717204,0.424777,12929,215068,227997,0.056707,118123,0.51809,2434,1591,0,0,0,0,0,0,0.0,0.0245,0,0,0.0,-1,0,0,0
meshcore-like,1,1200.0,117,117,0,0.649573,0.91453,0.0,0.493568,0.380555,0.493568,0.740352,0.493568,107,76,0,1724,117,1607,107,425.455616,89.43991,0.074533,168.480424,539.821849,708.302273,9.319767,5.5981,0.380555,12382,72094,84476,0.146574,31888,0.37748,405,0,1470,30,87,30,0,0,0.0,0.932135,0,0,0.0,-1,0,0,0
calm-mesh,1,1200.0,117,117,0,0.880342,0.888889,0.0,0.818374,0.59007,0.818374,2.493568,2.740352,104,103,0,1055,150,905,104,260.35712,74.677753,0.062231,103.10142,334.822919,437.924338,4.251693,2.527739,0.59007,11948,39747,51695,0.231125,16189,0.313164,197,11,785,16,92,25,42,9,0.942616,0.85782,0,0,0.0,-1,0,0,0
smart-calm,1,1200.0,117,117,0,0.965812,0.965812,0.0,3.813994,1.435295,3.813994,2.493568,35.493568,113,113,0,1011,141,870,120,249.498624,82.182753,0.068486,98.801455,328.171085,426.97254,3.778518,2.207952,1.435295,13309,36230,49539,0.268657,15380,0.310462,188,3,735,15,101,16,8,7,0.955041,0.860534,4,157,158.058934,1,102,15,0
meshtastic-like,2,1200.0,126,126,0,0.888889,0.936508,0.0,0.567954,0.386303,0.567954,1.360394,0.493568,118,112,0,4963,4840,123,123,1224.788992,180.368426,0.150307,485.016441,1600.936039,2085.95248,18.624576,10.935616,0.386303,13943,229244,243187,0.057334,124812,0.513235,2509,1768,0,0,0,0,0,0,0.0,0.024783,0,0,0.0,-1,0,0,0
meshcore-like,2,1200.0,126,126,0,0.650794,0.865079,0.0,0.493568,0.359988,0.493568,0.740352,0.493568,109,82,0,1521,112,1409,109,375.358464,85.644398,0.07137,148.641952,482.5473,631.189252,7.69743,4.577542,0.359988,12269,62260,74529,0.16462,28263,0.379222,440,0,1274,26,87,39,0,0,0.0,0.926364,0,0,0.0,-1,0,0,0
calm-mesh,2,1200.0,126,126,0,0.785714,0.833333,0.0,0.765905,0.627364,0.765905,2.493568,2.740352,105,99,0,1106,183,923,108,272.943104,82.314735,0.068596,108.085469,366.580599,474.666068,4.794607,2.757001,0.627364,11803,42391,54194,0.217792,21414,0.395136,352,38,800,15,94,32,76,9,0.945388,0.834539,0,0,0.0,-1,0,0,0
smart-calm,2,1200.0,126,126,0,0.928571,0.960317,0.0,9.326888,8.222804,9.326888,35.246784,35.493568,121,117,0,1961,1186,775,126,483.943424,103.237931,0.086032,191.641596,617.513248,809.154844,6.915853,4.136269,8.222804,13586,82503,96089,0.14139,37648,0.391803,586,274,637,12,88,38,1074,5,0.94696,0.395207,1,165,124.787382,0,126,0,0
meshtastic-like,3,1200.0,129,129,0,0.868217,0.937984,0.0,0.692381,0.651194,0.692381,3.791352,2.207908,121,112,0,4999,4861,138,138,1233.673216,193.132399,0.160944,488.534594,1633.515762,2122.050356,18.946878,11.014939,0.651194,14769,230182,244951,0.060294,129841,0.530069,2918,1906,0,0,0,0,0,0,0.0,0.027606,0,0,0.0,-1,0,0,0
meshcore-like,3,1200.0,129,129,0,0.565891,0.744186,0.0,0.493568,0.354752,0.493568,0.740352,0.493568,96,73,0,1401,103,1298,96,345.744384,86.032705,0.071694,136.914776,454.757233,591.672009,8.105096,4.736224,0.354752,11320,57329,68649,0.164897,28459,0.414558,615,0,1175,27,82,47,0,0,0.0,0.926481,0,0,0.0,-1,0,0,0
calm-mesh,3,1200.0,129,129,0,0.813953,0.852713,0.0,0.771741,0.622415,0.771741,2.493568,2.740352,110,105,0,1190,184,1006,112,293.67296,90.203692,0.07517,116.294492,392.256843,508.551335,4.843346,2.796885,0.622415,12859,45451,58310,0.220528,22357,0.383416,476,80,878,16,103,26,65,10,0.946296,0.845378,0,0,0.0,-1,0,0,0
smart-calm,3,1200.0,129,129,0,0.914729,0.937984,0.0,2.741997,1.929892,2.741997,2.093568,7.313334,121,118,0,1061,189,872,127,261.837824,91.290554,0.076075,103.687778,350.726923,454.414702,3.850972,2.218965,1.929892,14138,37851,51989,0.271942,17496,0.336533,281,39,731,14,114,15,34,7,0.953871,0.821866,3,169,140.15856,0,128,0,1
meshtastic-like,4,1200.0,112,112,0,0.821429,0.973214,0.0,0.684135,0.654969,0.684135,3.087679,1.923071,109,92,0,4405,4274,131,131,1087.08352,175.549989,0.146292,430.485074,1440.964903,1871.449977,20.341848,11.816125,0.654969,13708,202137,215845,0.063509,114260,0.529361,3051,1940,0,0,0,0,0,0,0.0,0.029739,0,0,0.0,-1,0,0,0
meshcore-like,4,1200.0,112,112,0,0.625,0.857143,0.0,0.521772,0.380459,0.521772,0.740352,0.493568,96,70,0,1518,113,1405,100,374.618112,89.070131,0.074225,148.348772,484.895993,633.244765,9.046354,5.351687,0.380459,12186,62196,74382,0.16383,29052,0.390578,671,0,1275,30,80,32,0,0,0.0,0.92556,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,112,112,0,0.785714,0.8125,0.0,0.799948,0.592443,0.799948,2.493568,2.740352,91,88,0,940,99,841,91,231.97696,66.848404,0.055707,91.862876,300.020326,391.883202,4.453218,2.636102,0.592443,10622,35438,46060,0.230612,14852,0.322449,221,0,735,15,85,27,0,7,0.948916,0.894681,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,112,112,0,0.9375,0.964286,0.0,2.439299,2.188283,2.439299,4.390236,2.340352,108,105,0,1163,252,911,112,287.009792,85.146844,0.070956,113.655878,377.795607,491.451484,4.68049,2.733427,2.188283,12878,44109,56987,0.225981,20228,0.354958,387,48,784,15,95,17,126,9,0.951206,0.783319,3,152,139.471824,0,111,1,0
meshtastic-like,5,1200.0,134,134,0,0.783582,0.947761,0.0,0.675775,0.812426,0.675775,4.113786,1.519287,127,105,0,5177,5029,148,148,1277.600768,208.099259,0.173416,505.929904,1690.496724,2196.426629,20.918349,12.167626,0.812426,15808,237865,253673,0.062316,133994,0.528215,3624,2238,0,0,0,0,0,0,0.0,0.028588,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,134,134,0,0.537313,0.701493,0.0,0.493568,0.3623,0.493568,0.740352,0.493568,94,72,0,1398,102,1296,94,345.004032,76.911817,0.064093,136.621597,438.182173,574.80377,7.983386,4.791723,0.3623,10963,57539,68502,0.160039,25044,0.365595,390,0,1177,25,79,55,0,0,0.0,0.927039,0,0,0.0,-1,0,0,0
