protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
smart-calm,1,1200.0,117,55,62,0.945455,0.960829,6.624112,52,2919,3151,2603,548,777.616384,0.261736,0.528787,8284,146115,70465,1793,968,537,11,37,18,8,3,0.949441,0.173913,7,93,96.375347,0
smart-calm,2,1200.0,125,69,56,0.985507,0.962464,11.11853,68,2641,3469,2680,789,856.093696,0.316018,0.652802,9826,160155,78934,2369,1062,776,13,37,32,307,9,0.943003,0.227443,5,109,112.163171,0
smart-calm,3,1200.0,125,79,46,0.936709,0.979592,12.926368,74,2208,2933,2194,739,723.817472,0.317186,0.712896,9208,134509,65040,2011,782,727,12,40,39,210,10,0.947075,0.25196,3,118,100.332663,0
smart-calm,4,1200.0,123,53,70,0.924528,0.975219,13.524686,49,3345,3658,3061,597,902.735872,0.26598,0.681343,9277,169867,84326,2357,1237,586,11,33,20,214,4,0.946081,0.163204,2,92,69.240456,1
smart-calm,5,1200.0,105,54,51,0.925926,0.989196,6.363329,50,2472,3092,2377,715,763.056128,0.30256,0.403648,8384,143124,71069,2045,991,703,12,32,22,186,9,0.952287,0.231242,6,94,81.30694,0
smart-calm,6,1200.0,107,62,45,0.967742,0.93288,1.212475,60,2057,2424,1824,600,598.204416,0.282572,0.429903,7688,111088,51331,1493,706,588,12,48,14,0,5,0.958696,0.247525,5,100,106.69436,0
smart-calm,7,1200.0,128,68,60,1.0,0.948639,8.184641,68,2789,2981,2484,497,735.663104,0.257495,0.572931,8895,137174,64749,1866,951,487,10,48,20,12,2,0.950186,0.166723,5,108,113.217882,0
smart-calm,8,1200.0,125,63,62,0.952381,0.981238,3.180926,60,2981,3579,2779,800,883.239936,0.290444,0.356579,9230,166141,75921,1746,1026,784,16,44,19,95,9,0.956866,0.223526,7,101,112.958678,0
smart-calm,9,1200.0,127,58,69,1.0,0.996747,4.32586,58,3370,3781,3130,651,933.090304,0.272197,0.485222,9323,175946,81518,1833,1096,638,13,41,17,131,6,0.944424,0.172177,11,98,104.046339,0
smart-calm,10,1200.0,133,72,61,0.972222,0.998996,5.580301,70,2986,3398,2807,591,838.572032,0.274402,0.489417,9359,157143,73996,1884,1023,580,11,55,17,130,7,0.950092,0.173926,3,110,119.193931,0
